sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI533964_PI533964	PI533964	Milo/Durra-Bicolor	exon	5%	10874.18761	1533	62571474	0.173788260286149	0.0244999822123417
PI533965_PI533965	PI533965	Milo/Durra-Bicolor	exon	5%	11201.32638	1581	62571474	0.179016501672951	0.0252671049430608
PI533967_PI533967	PI533967	Milo/Durra-Bicolor	exon	5%	10792.22076	1528	62571474	0.17247828874864	0.0244200735945584
PI533970_PI533970	PI533970	Milo/Durra-Bicolor	exon	5%	10810.44018	1522	62571474	0.172769466482442	0.0243241832532186
PI533972_PI533972	PI533972	Milo/Durra-Bicolor	exon	5%	9735.55798	1378	62571474	0.15559099630608	0.0220228150610612
PI533976_PI533976	PI533976	Milo/Durra-Bicolor	exon	5%	10046.65784	1421	62571474	0.160562908267112	0.0227100291739971
PI533979_PI533979	PI533979	Durra	exon	5%	12319.93107	1726	62571474	0.196893732597701	0.0275844548587748
PI533980_PI533980	PI533980	Milo/Durra-Bicolor	exon	5%	11229.55734	1577	62571474	0.17946768107141	0.0252031780488342
PI533985_PI533985	PI533985	Milo/Durra-Bicolor	exon	5%	10465.27954	1455	62571474	0.167253204551326	0.0232534077749231
PI533986_PI533986	PI533986	Milo/Durra-Bicolor	exon	5%	11235.59789	1586	62571474	0.17956421947164	0.025347013560844
PI533987_PI533987	PI533987	Milo/Durra-Bicolor	exon	5%	10129.52489	1431	62571474	0.161887266552167	0.0228698464095636
PI533989_PI533989	PI533989	Milo/Durra-Bicolor	exon	5%	10783.78871	1514	62571474	0.172343530056524	0.0241963294647654
PI533991_PI533991	PI533991	Bicolor	exon	5%	10894.70399	1543	62571474	0.174116147399692	0.0246597994479082
PI533996_PI533996	PI533996	Milo/Durra-Bicolor	exon	5%	10572.59767	1483	62571474	0.168968333237603	0.0237008960345093
PI533997_PI533997	PI533997	Durra	exon	5%	10889.61918	1539	62571474	0.174034883371934	0.0245958725536816
PI534009_PI534009	PI534009	Guinea	exon	5%	11911.72056	1671	62571474	0.190369825073963	0.0267054600631591
PI534021_PI534021	PI534021	Guinea	exon	5%	12761.0617	1788	62571474	0.203943760378731	0.028575321719287
PI534028_PI534028	PI534028	Guinea	exon	5%	12689.73561	1776	62571474	0.202803846525974	0.0283835410366072
PI534037_PI534037	PI534037	Caudatum	exon	5%	11451.72855	1634	62571474	0.183018359931876	0.0261141362915632
PI534046_PI534046	PI534046	Milo/Durra-Bicolor	exon	5%	9874.55445	1395	62571474	0.15781239946497	0.0222945043615242
PI534047_PI534047	PI534047	Milo/Durra-Bicolor	exon	5%	10653.11468	1517	62571474	0.170255133833031	0.0242442746354353
PI534053_PI534053	PI534053	Kafir	exon	5%	11494.85904	1625	62571474	0.183707659499918	0.0259703007795533
PI534054_PI534054	PI534054	Durra	exon	5%	11635.14746	1638	62571474	0.185949710246557	0.0261780631857897
PI534063_PI534063	PI534063	Caudatum	exon	5%	12592.49647	1780	62571474	0.201249797471608	0.0284474679308338
PI534070_PI534070	PI534070	Caudatum	exon	5%	12503.46521	1771	62571474	0.199826924486388	0.028303632418824
PI534075_PI534075	PI534075	Caudatum	exon	5%	11636.30042	1641	62571474	0.185968136534549	0.0262260083564597
PI534079_PI534079	PI534079	Milo/Durra-Bicolor	exon	5%	12204.91858	1719	62571474	0.195055634776959	0.0274725827938782
PI534088_PI534088	PI534088	Caudatum	exon	5%	12368.77247	1754	62571474	0.197674302350621	0.0280319431183609
PI534092_PI534092	PI534092	Caudatum	exon	5%	12395.64091	1752	62571474	0.198103706331099	0.0279999796712476
PI534096_PI534096	PI534096	Caudatum	exon	5%	9971.05196	1423	62571474	0.159354595993695	0.0227419926211104
PI534097_PI534097	PI534097	Durra	exon	5%	12546.22662	1769	62571474	0.200510325519901	0.0282716689717107
PI534099_PI534099	PI534099	Milo/Durra-Bicolor	exon	5%	10954.20952	1549	62571474	0.175067148330244	0.0247556897892481
PI534101_PI534101	PI534101	Milo/Durra-Bicolor	exon	5%	9984.27572	1404	62571474	0.159565934470395	0.0224383398735341
PI534105_PI534105	PI534105	Milo/Durra-Bicolor	exon	5%	10804.69514	1521	62571474	0.17267765084134	0.0243082015296619
PI534108_PI534108	PI534108	Milo/Durra-Bicolor	exon	5%	10490.22056	1480	62571474	0.167651805038187	0.0236529508638393
PI534112_PI534112	PI534112	Milo/Durra-Bicolor	exon	5%	10730.4334	1522	62571474	0.171490820241825	0.0243241832532186
PI534114_PI534114	PI534114	Milo/Durra-Bicolor	exon	5%	10394.89496	1459	62571474	0.166128337651116	0.0233173346691497
PI534115_PI534115	PI534115	Bicolor	exon	5%	10770.56485	1519	62571474	0.172132189981652	0.0242762380825486
PI534116_PI534116	PI534116	Caudatum	exon	5%	9744.21351	1379	62571474	0.155729326593777	0.0220387967846179
PI534117_PI534117	PI534117	Caudatum	exon	5%	10774.23174	1515	62571474	0.172190793203945	0.024212311188322
PI534123_PI534123	PI534123	Guinea	exon	5%	10289.1265	1457	62571474	0.164437975362383	0.0232853712220364
PI534124_PI534124	PI534124	Caudatum	exon	5%	10094.81665	1426	62571474	0.161332569055349	0.0227899377917803
PI534127_PI534127	PI534127	Guinea	exon	5%	11632.9108	1637	62571474	0.185913964564747	0.0261620814622331
PI534128_PI534128	PI534128	Guinea	exon	5%	11729.47672	1652	62571474	0.187457254403181	0.0264018073155828
PI534132_PI534132	PI534132	Guinea	exon	5%	11013.56849	1549	62571474	0.176015806979391	0.0247556897892481
PI534133_PI534133	PI534133	Guinea	exon	5%	11354.07667	1606	62571474	0.181457714580929	0.025666648031977
PI534135_PI534135	PI534135	Guinea	exon	5%	11400.88217	1602	62571474	0.182205747142859	0.0256027211377504
PI534137_PI534137	PI534137	Guinea	exon	5%	10696.39347	1513	62571474	0.170946803490677	0.0241803477412087
PI534138_PI534138	PI534138	Milo/Durra-Bicolor	exon	5%	9656.45113	1367	62571474	0.154326732497943	0.0218470161019381
PI534139_PI534139	PI534139	Kafir	exon	5%	11255.85926	1588	62571474	0.179888031085859	0.0253789770079573
PI534144_PI534144	PI534144	Caudatum	exon	5%	11108.70812	1572	62571474	0.177536302245333	0.025123269431051
PI534145_PI534145	PI534145	Caudatum	exon	5%	11409.97695	1618	62571474	0.182351097402628	0.0258584287146568
PI534148_PI534148	PI534148	Guinea	exon	5%	11807.70564	1663	62571474	0.188707487376756	0.0265776062747059
PI534155_PI534155	PI534155	Guinea	exon	5%	10915.53964	1543	62571474	0.174449136998115	0.0246597994479082
PI534157_PI534157	PI534157	Bicolor	exon	5%	10271.7166	1450	62571474	0.164159735153434	0.0231734991571399
PI534163_PI534163	PI534163	Milo/Durra-Bicolor	exon	5%	11548.92468	1638	62571474	0.184571721612312	0.0261780631857897
PI534167_PI534167	PI534167	Guinea	exon	5%	11421.1941	1605	62571474	0.182530366793021	0.0256506663084204
PI540816_PI540816	PI540816	Kafir	exon	5%	12525.56083	1757	62571474	0.200180050577041	0.0280798882890309
PI542406_PI542406	PI542406	Milo/Durra-Bicolor	exon	5%	10960.24092	1564	62571474	0.175163540497703	0.0249954156425978
PI542718_PI542718	PI542718	Guinea	exon	5%	12451.31764	1758	62571474	0.198993516438497	0.0280958700125875
PI548797_PI548797	PI548797	Milo/Durra-Bicolor	exon	5%	11325.41204	1600	62571474	0.180999604388415	0.0255707576906371
PI552856_PI552856	PI552856	Bicolor	exon	5%	9593.36375	1356	62571474	0.15331848743087	0.021671217142815
PI552861_PI552861	PI552861	Durra	exon	5%	10854.38582	1520	62571474	0.173471793552442	0.0242922198061053
PI561071_PI561071	PI561071	Kafir	exon	5%	11499.14152	1617	62571474	0.183776100911415	0.0258424469911001
PI561072_PI561072	PI561072	Durra	exon	5%	11979.69898	1682	62571474	0.19145623739022	0.0268812590222823
PI561073_PI561073	PI561073	Durra	exon	5%	12214.97691	1717	62571474	0.195216384226461	0.0274406193467649
PI561472_PI561472	PI561472	Bicolor	exon	5%	11177.48267	1568	62571474	0.178635438091166	0.0250593425368244
PI562730_PI562730	PI562730	Guinea	exon	5%	9781.98147	1395	62571474	0.156332923689795	0.0222945043615242
PI564163_PI564163	PI564163	Durra	exon	5%	8301.6362	1177	62571474	0.132674454816263	0.0188104886261749
PI564164_PI564164	PI564164	Guinea	exon	5%	11217.92882	1576	62571474	0.179281837279397	0.0251871963252776
PI564165_PI564165	PI564165	Bicolor	exon	5%	12204.20133	1707	62571474	0.195044171885738	0.0272808021111985
PI565121_PI565121	PI565121	Bicolor	exon	5%	10877.00882	1531	62571474	0.173833348084464	0.0244680187652284
PI566819_PI566819	PI566819	Durra	exon	5%	11367.08673	1601	62571474	0.181665637763304	0.0255867394141938
PI576130_PI576130	PI576130	Bicolor	exon	5%	11112.39499	1566	62571474	0.177595224782462	0.0250273790897111
PI576332_PI576332	PI576332	Durra	exon	5%	12408.73133	1744	62571474	0.198312913804779	0.0278721258827945
PI576333_PI576333	PI576333	Durra	exon	5%	11483.77666	1613	62571474	0.183530543966409	0.0257785200968735
PI576337_PI576337	PI576337	Durra	exon	5%	10641.59779	1493	62571474	0.170071074080818	0.0238607132700758
PI576339_PI576339	PI576339	Durra	exon	5%	12575.70135	1763	62571474	0.200981382506667	0.0281757786303708
PI576340_PI576340	PI576340	Durra	exon	5%	11829.63729	1661	62571474	0.189057992944197	0.0265456428275927
PI576345_PI576345	PI576345	Durra	exon	5%	11564.29282	1625	62571474	0.184817330977372	0.0259703007795533
PI576347_PI576347	PI576347	Guinea	exon	5%	10451.82719	1476	62571474	0.167038212812439	0.0235890239696127
PI576348_PI576348	PI576348	Guinea	exon	5%	10586.3009	1505	62571474	0.169187334471296	0.0240524939527555
PI576349_PI576349	PI576349	Guinea	exon	5%	10440.08006	1488	62571474	0.166850473428195	0.0237808046522925
PI576350_PI576350	PI576350	Milo/Durra-Bicolor	exon	5%	10955.51485	1549	62571474	0.175088009753454	0.0247556897892481
PI576352_PI576352	PI576352	Durra	exon	5%	11875.29829	1665	62571474	0.189787734423517	0.0266095697218192
PI576359_PI576359	PI576359	Guinea	exon	5%	12478.62663	1742	62571474	0.199429961167288	0.0278401624356812
PI576364_PI576364	PI576364	Durra	exon	5%	12252.30338	1726	62571474	0.195812925551346	0.0275844548587748
PI576366_PI576366	PI576366	Milo/Durra-Bicolor	exon	5%	11900.73945	1677	62571474	0.190194328009597	0.026801350404499
PI576373_PI576373	PI576373	Durra	exon	5%	11450.13868	1608	62571474	0.182992951069045	0.0256986114790903
PI576375_PI576375	PI576375	Guinea	exon	5%	11432.56378	1611	62571474	0.182712073875709	0.0257465566497602
PI576376_PI576376	PI576376	Guinea	exon	5%	11369.33564	1606	62571474	0.181701579221228	0.025666648031977
PI576380_PI576380	PI576380	Bicolor	exon	5%	10514.49605	1474	62571474	0.168039769208569	0.0235570605224994
PI576381_PI576381	PI576381	Guinea	exon	5%	11717.80409	1653	62571474	0.187270705657342	0.0264177890391395
PI576385_PI576385	PI576385	Caudatum	exon	5%	12661.66903	1781	62571474	0.202355294203234	0.0284634496543904
PI576386_PI576386	PI576386	Milo/Durra-Bicolor	exon	5%	11014.7612	1550	62571474	0.176034868540895	0.0247716715128047
PI576387_PI576387	PI576387	Milo/Durra-Bicolor	exon	5%	10829.03183	1520	62571474	0.173066593093204	0.0242922198061053
PI576390_PI576390	PI576390	Guinea	exon	5%	12604.07197	1770	62571474	0.201434793912638	0.0282876506952673
PI576391_PI576391	PI576391	Guinea	exon	5%	12238.57441	1725	62571474	0.195593512948089	0.0275684731352181
PI576393_PI576393	PI576393	Milo/Durra-Bicolor	exon	5%	10377.84008	1456	62571474	0.165855771273664	0.0232693894984798
PI576394_PI576394	PI576394	Durra	exon	5%	11585.22211	1630	62571474	0.185151817104388	0.0260502093973366
PI576396_PI576396	PI576396	Milo/Durra-Bicolor	exon	5%	10412.07351	1469	62571474	0.16640288048832	0.0234771519047162
PI576399_PI576399	PI576399	Milo/Durra-Bicolor	exon	5%	11162.25177	1578	62571474	0.178392022057847	0.0252191597723909
PI576401_PI576401	PI576401	Guinea	exon	5%	11971.03389	1684	62571474	0.191317754317247	0.0269132224693956
PI576418_PI576418	PI576418	Caudatum	exon	5%	12383.07507	1752	62571474	0.197902882549962	0.0279999796712476
PI576422_PI576422	PI576422	Durra	exon	5%	11818.61717	1658	62571474	0.188881872432796	0.0264976976569227
PI576425_PI576425	PI576425	Guinea	exon	5%	11603.41427	1636	62571474	0.185442559176407	0.0261460997386764
PI576426_PI576426	PI576426	Guinea	exon	5%	11407.35157	1610	62571474	0.182309139305237	0.0257305749262036
PI576428_PI576428	PI576428	Bicolor	exon	5%	10377.15799	1455	62571474	0.165844870299843	0.0232534077749231
PI576434_PI576434	PI576434	Milo/Durra-Bicolor	exon	5%	11447.65904	1624	62571474	0.182953322148045	0.0259543190559967
PI576435_PI576435	PI576435	Milo/Durra-Bicolor	exon	5%	12049.38675	1699	62571474	0.19256996806564	0.0271529483227453
PI576437_PI576437	PI576437	Milo/Durra-Bicolor	exon	5%	10224.82157	1435	62571474	0.163410271747794	0.0229337733037902
PI585291_PI585291	PI585291	Bicolor	exon	5%	12359.77671	1733	62571474	0.197530534601119	0.0276963269236713
PI585295_PI585295	PI585295	Caudatum	exon	5%	11851.53367	1679	62571474	0.189407934836248	0.0268333138516123
PI595699_PI595699	PI595699	Guinea	exon	5%	11667.83259	1641	62571474	0.186472074958631	0.0262260083564597
PI595702_PI595702	PI595702	Durra	exon	5%	12122.27421	1697	62571474	0.193734835302106	0.027120984875632
PI595714_PI595714	PI595714	Milo/Durra-Bicolor	exon	5%	11557.04038	1623	62571474	0.18470142448618	0.02593833733244
PI595718_PI595718	PI595718	Milo/Durra-Bicolor	exon	5%	10943.01061	1551	62571474	0.174888170446488	0.0247876532363614
PI595720_PI595720	PI595720	Guinea	exon	5%	11032.64507	1559	62571474	0.176320683607358	0.0249155070248145
PI595739_PI595739	PI595739	Milo/Durra-Bicolor	exon	5%	10650.92517	1494	62571474	0.170220141689486	0.0238766949936324
PI595740_PI595740	PI595740	Milo/Durra-Bicolor	exon	5%	10824.06088	1531	62571474	0.17298714874449	0.0244680187652284
PI595741_PI595741	PI595741	Caudatum	exon	5%	11317.26916	1603	62571474	0.1808694671313	0.0256187028613071
PI595743_PI595743	PI595743	Caudatum	exon	5%	11179.91908	1567	62571474	0.178674376122257	0.0250433608132677
PI595744_PI595744	PI595744	Kafir	exon	5%	11004.16056	1536	62571474	0.175865452042891	0.0245479273830116
PI595745_PI595745	PI595745	Milo/Durra-Bicolor	exon	5%	11208.50011	1574	62571474	0.179131150242681	0.0251552328781643
PI597945_PI597945	PI597945	Guinea	exon	5%	10303.25847	1460	62571474	0.164663828600234	0.0233333163927064
PI597946_PI597946	PI597946	Milo/Durra-Bicolor	exon	5%	10698.27893	1510	62571474	0.170976936391174	0.0241324025705388
PI597949_PI597949	PI597949	Durra	exon	5%	11221.66801	1579	62571474	0.179341595980302	0.0252351414959475
PI597950_PI597950	PI597950	Milo/Durra-Bicolor	exon	5%	12152.78047	1705	62571474	0.194222377916173	0.0272488386640852
PI597951_PI597951	PI597951	Caudatum	exon	5%	13071.51372	1845	62571474	0.208905318739974	0.0294862799620159
PI597952_PI597952	PI597952	Guinea	exon	5%	11530.58393	1626	62571474	0.18427860481599	0.02598628250311
PI597957_PI597957	PI597957	Guinea	exon	5%	11555.83228	1633	62571474	0.184682116965952	0.0260981545680065
PI597958_PI597958	PI597958	Durra	exon	5%	12084.85064	1688	62571474	0.193136742151863	0.0269771493636222
PI597960_PI597960	PI597960	Caudatum	exon	5%	12496.72255	1758	62571474	0.199719165158232	0.0280958700125875
PI597961_PI597961	PI597961	Milo/Durra-Bicolor	exon	5%	10319.18946	1461	62571474	0.164918433278398	0.023349298116263
PI597964_PI597964	PI597964	Bicolor	exon	5%	10333.43146	1460	62571474	0.165146044985292	0.0233333163927064
PI597965_PI597965	PI597965	Milo/Durra-Bicolor	exon	5%	10905.71653	1539	62571474	0.174292146769629	0.0245958725536816
PI597966_PI597966	PI597966	Milo/Durra-Bicolor	exon	5%	10544.48015	1492	62571474	0.168518966805864	0.0238447315465191
PI597967_PI597967	PI597967	Bicolor	exon	5%	10598.20758	1485	62571474	0.169377623739533	0.0237328594816226
PI597968_PI597968	PI597968	Milo/Durra-Bicolor	exon	5%	11086.6422	1562	62571474	0.17718365081187	0.0249634521954845
PI597971_PI597971	PI597971	Milo/Durra-Bicolor	exon	5%	11054.41576	1560	62571474	0.176668616756575	0.0249314887483712
PI597972_PI597972	PI597972	Guinea	exon	5%	10935.59431	1543	62571474	0.174769645190075	0.0246597994479082
PI597973_PI597973	PI597973	Guinea	exon	5%	10936.70413	1541	62571474	0.174787382026513	0.0246278360007949
PI597976_PI597976	PI597976	Caudatum	exon	5%	11351.98532	1601	62571474	0.181424291203368	0.0255867394141938
PI597980_PI597980	PI597980	Milo/Durra-Bicolor	exon	5%	10953.67714	1550	62571474	0.175058639980257	0.0247716715128047
PI597982_PI597982	PI597982	Milo/Durra-Bicolor	exon	5%	10406.02929	1478	62571474	0.166306283435164	0.023620987416726
PI598069_PI598069	PI598069	Guinea	exon	5%	12122.42137	1714	62571474	0.193737187172544	0.027392674176095
PI598070_PI598070	PI598070	Guinea	exon	5%	12038.1286	1700	62571474	0.19239004342458	0.0271689300463019
PI601816_PI601816	PI601816	Bicolor	exon	5%	10919.65393	1529	62571474	0.174514890443527	0.0244360553181151
PI607931_PI607931	PI607931	Milo/Durra-Bicolor	exon	5%	10478.34113	1479	62571474	0.167461951271917	0.0236369691402827
PI609456_PI609456	PI609456	Caudatum	exon	5%	9751.33575	1399	62571474	0.155843152264561	0.0223584312557508
PI613536_PI613536	PI613536	Guinea	exon	5%	11205.66644	1568	62571474	0.17908586331209	0.0250593425368244
PI629034_PI629034	PI629034	Milo/Durra-Bicolor	exon	5%	11506.00598	1612	62571474	0.183885806813501	0.0257625383733169
PI629040_PI629040	PI629040	Guinea	exon	5%	12072.37229	1694	62571474	0.19293731661172	0.027073039704962
PI629059_PI629059	PI629059	Durra	exon	5%	10611.5023	1500	62571474	0.169590096279337	0.0239725853349723
PI641824_PI641824	PI641824	Durra	exon	5%	11591.27163	1626	62571474	0.185248498860679	0.02598628250311
PI641836_PI641836	PI641836	Durra	exon	5%	11944.89902	1682	62571474	0.190900074049718	0.0268812590222823
PI641849_PI641849	PI641849	Durra	exon	5%	13030.84563	1832	62571474	0.208255372568017	0.0292785175557795
PI641874_PI641874	PI641874	Guinea	exon	5%	13343.89982	1865	62571474	0.213258518090848	0.0298059144331489
PI642791_PI642791	PI642791	Bicolor	exon	5%	11782.9486	1654	62571474	0.188311827207395	0.0264337707626961
PI642793_PI642793	PI642793	Durra	exon	5%	12078.95871	1692	62571474	0.193042578955388	0.0270410762578487
PI642992_PI642992	PI642992	Milo/Durra-Bicolor	exon	5%	11353.82412	1604	62571474	0.181453678396644	0.0256346845848637
PI642998_PI642998	PI642998	Guinea	exon	5%	10253.03764	1462	62571474	0.163861213178389	0.0233652798398197
PI651492_PI651492	PI651492	Bicolor	exon	5%	11899.15139	1676	62571474	0.190168948073686	0.0267853686809424
PI651496_PI651496	PI651496	Milo/Durra-Bicolor	exon	5%	11664.85817	1653	62571474	0.186424538600449	0.0264177890391395
PI653616_PI653616	PI653616	Milo/Durra-Bicolor	exon	5%	11184.75235	1579	62571474	0.178751620107271	0.0252351414959475
PI653617_PI653617	PI653617	Milo/Durra-Bicolor	exon	5%	11401.87654	1610	62571474	0.182221638889312	0.0257305749262036
PI655970_PI655970	PI655970	Durra	exon	5%	12228.75751	1703	62571474	0.195436621966106	0.0272168752169719
PI655971_PI655971	PI655971	Guinea	exon	5%	12843.26866	1799	62571474	0.205257569287883	0.0287511206784101
PI655972_PI655972	PI655972	Durra	exon	5%	12299.56751	1718	62571474	0.196568287811152	0.0274566010703216
PI655973_PI655973	PI655973	Kafir	exon	5%	11334.55196	1589	62571474	0.181145676063185	0.025394958731514
PI655974_PI655974	PI655974	Durra	exon	5%	11920.67204	1662	62571474	0.190512885152745	0.0265616245511493
PI655975_PI655975	PI655975	Durra	exon	5%	11610.02253	1629	62571474	0.185548170560917	0.0260342276737799
PI655976_PI655976	PI655976	Durra	exon	5%	12100.27297	1696	62571474	0.193383217566522	0.0271050031520753
PI655977_PI655977	PI655977	Bicolor	exon	5%	11292.46431	1590	62571474	0.180473042875736	0.0254109404550706
PI655978_PI655978	PI655978	Caudatum	exon	5%	13328.78494	1878	62571474	0.213016956257096	0.0300136768393853
PI655979_PI655979	PI655979	Caudatum	exon	5%	12342.61696	1731	62571474	0.197256292220318	0.027664363476558
PI655980_PI655980	PI655980	Guinea	exon	5%	10625.95787	1502	62571474	0.16982112120293	0.0240045487820856
PI655981_PI655981	PI655981	Caudatum	exon	5%	12035.60812	1701	62571474	0.19234976180999	0.0271849117698586
PI655982_PI655982	PI655982	Durra	exon	5%	11325.37279	1599	62571474	0.180998977105765	0.0255547759670805
PI655983_PI655983	PI655983	Durra	exon	5%	11918.71055	1678	62571474	0.190481537161806	0.0268173321280557
PI655984_PI655984	PI655984	Kafir	exon	5%	11806.50646	1650	62571474	0.188688322413501	0.0263698438684695
PI655985_PI655985	PI655985	Durra	exon	5%	12780.04992	1790	62571474	0.204247224861604	0.0286072851664003
PI655986_PI655986	PI655986	Guinea	exon	5%	12419.89905	1738	62571474	0.198491393218578	0.0277762355414546
PI655987_PI655987	PI655987	Durra	exon	5%	11816.82762	1657	62571474	0.188853272339405	0.0264817159333661
PI655988_PI655988	PI655988	Durra	exon	5%	11910.04986	1659	62571474	0.190343124408417	0.0265136793804794
PI655989_PI655989	PI655989	Durra	exon	5%	11943.80428	1668	62571474	0.190882578217672	0.0266575148924892
PI655990_PI655990	PI655990	Guinea	exon	5%	12855.53611	1808	62571474	0.205453624282529	0.0288949561904199
PI655991_PI655991	PI655991	Durra	exon	5%	12116.23356	1698	62571474	0.193638295303703	0.0271369665991886
PI655992_PI655992	PI655992	Durra	exon	5%	11159.18338	1556	62571474	0.178342983897103	0.0248675618541446
PI655993_PI655993	PI655993	Durra	exon	5%	11498.44906	1613	62571474	0.183765034207121	0.0257785200968735
PI655994_PI655994	PI655994	Durra	exon	5%	11991.44364	1686	62571474	0.191643937299607	0.0269451859165089
PI655995_PI655995	PI655995	Guinea	exon	5%	10417.34748	1483	62571474	0.166487167618906	0.0237008960345093
PI655996_PI655996	PI655996	Caudatum	exon	5%	11802.56408	1660	62571474	0.188625316386186	0.026529661104036
PI655997_PI655997	PI655997	Guinea	exon	5%	12253.41596	1710	62571474	0.195830706497341	0.0273287472818684
PI655998_PI655998	PI655998	Caudatum	exon	5%	12298.78627	1739	62571474	0.19655580224944	0.0277922172650112
PI655999_PI655999	PI655999	Guinea	exon	5%	11405.93189	1600	62571474	0.182286450371938	0.0255707576906371
PI656000_PI656000	PI656000	Bicolor	exon	5%	8981.18743	1274	62571474	0.143534854716704	0.0203607158111698
PI656001_PI656001	PI656001	Bicolor	exon	5%	11005.67123	1544	62571474	0.175889595153216	0.0246757811714648
PI656002_PI656002	PI656002	Durra	exon	5%	11949.76944	1668	62571474	0.190977911755763	0.0266575148924892
PI656003_PI656003	PI656003	Durra	exon	5%	12674.79334	1783	62571474	0.202565043297526	0.0284954131015037
PI656004_PI656004	PI656004	Caudatum	exon	5%	11707.21024	1653	62571474	0.187101397675241	0.0264177890391395
PI656005_PI656005	PI656005	Durra	exon	5%	12193.04021	1708	62571474	0.194865797951316	0.0272967838347551
PI656006_PI656006	PI656006	Durra	exon	5%	11899.61633	1694	62571474	0.190176378616237	0.027073039704962
PI656007_PI656007	PI656007	Durra	exon	5%	11399.27858	1607	62571474	0.182180119010781	0.0256826297555337
PI656008_PI656008	PI656008	Bicolor	exon	5%	10794.44635	1507	62571474	0.17251385751277	0.0240844573998688
PI656009_PI656009	PI656009	Milo/Durra-Bicolor	exon	5%	10480.58069	1469	62571474	0.167497743300725	0.0234771519047162
PI656010_PI656010	PI656010	Caudatum	exon	5%	12106.63835	1715	62571474	0.193484947310015	0.0274086558996517
PI656011_PI656011	PI656011	Bicolor	exon	5%	10769.35666	1506	62571474	0.172112881023068	0.0240684756763122
PI656012_PI656012	PI656012	Guinea	exon	5%	12819.85899	1795	62571474	0.204883442413391	0.0286871937841835
PI656013_PI656013	PI656013	Guinea	exon	5%	11750.85156	1662	62571474	0.187798861187128	0.0265616245511493
PI656014_PI656014	PI656014	Caudatum	exon	5%	10686.39472	1514	62571474	0.170787006232265	0.0241963294647654
PI656015_PI656015	PI656015	Kafir	exon	5%	11262.25439	1582	62571474	0.179990236285628	0.0252830866666174
PI656016_PI656016	PI656016	Bicolor	exon	5%	9496.00316	1347	62571474	0.151762497396178	0.0215273816308051
PI656017_PI656017	PI656017	Guinea	exon	5%	12800.00767	1794	62571474	0.204566184104917	0.0286712120606269
PI656018_PI656018	PI656018	Durra	exon	5%	12636.93552	1773	62571474	0.201960010083828	0.0283355958659373
PI656019_PI656019	PI656019	Durra	exon	5%	12317.76475	1722	62571474	0.196859111070326	0.0275205279645482
PI656020_PI656020	PI656020	Durra	exon	5%	11887.45649	1663	62571474	0.189982043414863	0.0265776062747059
PI656021_PI656021	PI656021	Guinea	exon	5%	12647.83052	1771	62571474	0.202134130961978	0.028303632418824
PI656022_PI656022	PI656022	Durra	exon	5%	11456.75723	1597	62571474	0.183098726905491	0.0255228125199672
PI656023_PI656023	PI656023	Durra	exon	5%	11851.79129	1662	62571474	0.189412052047871	0.0265616245511493
PI656024_PI656024	PI656024	Bicolor	exon	5%	10881.61176	1534	62571474	0.173906910999092	0.0245159639358983
PI656025_PI656025	PI656025	Guinea	exon	5%	12314.6697	1738	62571474	0.196809646836832	0.0277762355414546
PI656026_PI656026	PI656026	Bicolor	exon	5%	11157.14329	1561	62571474	0.178310379742692	0.0249474704719278
PI656027_PI656027	PI656027	Milo/Durra-Bicolor	exon	5%	11044.13655	1549	62571474	0.176504337263974	0.0247556897892481
PI656028_PI656028	PI656028	Durra	exon	5%	12000.94331	1677	62571474	0.191795758399427	0.026801350404499
PI656029_PI656029	PI656029	Guinea	exon	5%	10526.98236	1493	62571474	0.168239321963232	0.0238607132700758
PI656031_PI656031	PI656031	Milo/Durra-Bicolor	exon	5%	10568.67916	1479	62571474	0.168905708694029	0.0236369691402827
PI656032_PI656032	PI656032	Caudatum	exon	5%	11970.11914	1682	62571474	0.191303135035623	0.0268812590222823
PI656033_PI656033	PI656033	Guinea	exon	5%	12856.01791	1802	62571474	0.205461324276938	0.02879906584908
PI656034_PI656034	PI656034	Bicolor	exon	5%	11813.72574	1665	62571474	0.188803698950739	0.0266095697218192
PI656035_PI656035	PI656035	Milo/Durra-Bicolor	exon	5%	10586.56366	1484	62571474	0.169191533828978	0.0237168777580659
PI656036_PI656036	PI656036	Bicolor	exon	5%	10752.45293	1517	62571474	0.171842730283132	0.0242442746354353
PI656037_PI656037	PI656037	Bicolor	exon	5%	11122.38327	1562	62571474	0.177754854712229	0.0249634521954845
PI656038_PI656038	PI656038	Durra	exon	5%	11742.01312	1649	62571474	0.187657607682376	0.0263538621449129
PI656039_PI656039	PI656039	Bicolor	exon	5%	10602.30666	1484	62571474	0.16944313410293	0.0237168777580659
PI656040_PI656040	PI656040	Caudatum	exon	5%	12003.10768	1702	62571474	0.191830348762441	0.0272008934934152
PI656041_PI656041	PI656041	Guinea	exon	5%	12981.93045	1817	62571474	0.207473623683533	0.0290387917024298
PI656042_PI656042	PI656042	Durra	exon	5%	11801.49446	1661	62571474	0.188608222015035	0.0265456428275927
PI656043_PI656043	PI656043	Bicolor	exon	5%	10832.00019	1523	62571474	0.173114032602141	0.0243401649767752
