sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI533869_PI533869	PI533869	Durra	downstream_2kb	5%	4577.98698	674	34254144	0.13364768303654	0.0196764514097915
PI533871_PI533871	PI533871	Caudatum	downstream_2kb	5%	4660.38663	695	34254144	0.136053221181064	0.0202895159195921
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	downstream_2kb	5%	4603.60255	687	34254144	0.134395492411079	0.0200559675349061
PI533877_PI533877	PI533877	Caudatum	downstream_2kb	5%	4682.8844	701	34254144	0.136710010911381	0.0204646772081066
PI533878_PI533878	PI533878	Caudatum	downstream_2kb	5%	4946.51424	738	34254144	0.144406301322258	0.0215448384872791
PI533882_PI533882	PI533882	Caudatum	downstream_2kb	5%	4942.25454	730	34254144	0.144281945565477	0.0213112901025931
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	downstream_2kb	5%	5198.26775	764	34254144	0.151755879522197	0.0223038707375084
PI533902_PI533902	PI533902	Durra	downstream_2kb	5%	4514.47875	671	34254144	0.131793652470195	0.0195888707655342
PI533903_PI533903	PI533903	Caudatum	downstream_2kb	5%	4080.08184	606	34254144	0.119112065389811	0.0176912901399609
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	downstream_2kb	5%	4253.95097	631	34254144	0.124187922197092	0.0184211288421045
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	downstream_2kb	5%	4986.50933	741	34254144	0.145573899905366	0.0216324191315363
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	downstream_2kb	5%	4859.49886	715	34254144	0.141866013642028	0.020873386881307
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	downstream_2kb	5%	4704.63174	700	34254144	0.137344892927408	0.0204354836600208
PI533915_PI533915	PI533915	Kafir	downstream_2kb	5%	4740.91296	701	34254144	0.138404070468087	0.0204646772081066
PI533919_PI533919	PI533919	Guinea	downstream_2kb	5%	4896.38202	728	34254144	0.142942763947042	0.0212529030064216
PI533921_PI533921	PI533921	Guinea	downstream_2kb	5%	5077.61552	752	34254144	0.14823361284404	0.0219535481604795
PI533924_PI533924	PI533924	Caudatum	downstream_2kb	5%	4092.30331	605	34254144	0.119468853461934	0.0176620965918751
PI533927_PI533927	PI533927	Caudatum	downstream_2kb	5%	4469.58858	656	34254144	0.130483149133722	0.0191509675442481
PI533936_PI533936	PI533936	Durra	downstream_2kb	5%	4495.34511	670	34254144	0.131235073630799	0.0195596772174485
PI533937_PI533937	PI533937	Durra	downstream_2kb	5%	4738.93268	698	34254144	0.138346259068684	0.0203770965638493
PI533938_PI533938	PI533938	Durra	downstream_2kb	5%	4747.87095	703	34254144	0.138607198883732	0.020523064304278
PI533939_PI533939	PI533939	Milo/Durra-Bicolor	downstream_2kb	5%	4352.70838	648	34254144	0.127071001394751	0.0189174191595621
PI533940_PI533940	PI533940	Durra	downstream_2kb	5%	4911.05454	719	34254144	0.143371106865202	0.02099016107365
PI533943_PI533943	PI533943	Guinea	downstream_2kb	5%	5406.73851	804	34254144	0.157841880678729	0.0234716126609382
PI533948_PI533948	PI533948	Durra	downstream_2kb	5%	4853.19327	718	34254144	0.141681931097154	0.0209609675255642
PI533949_PI533949	PI533949	Milo/Durra-Bicolor	downstream_2kb	5%	4016.3776	596	34254144	0.117252312596105	0.0173993546591034
PI533954_PI533954	PI533954	Durra	downstream_2kb	5%	4742.84553	695	34254144	0.138460489043311	0.0202895159195921
PI533955_PI533955	PI533955	Durra	downstream_2kb	5%	4744.69737	701	34254144	0.138514550823398	0.0204646772081066
PI533956_PI533956	PI533956	Durra	downstream_2kb	5%	4812.37114	714	34254144	0.140490188282037	0.0208441933332212
PI533957_PI533957	PI533957	Caudatum	downstream_2kb	5%	4757.20468	704	34254144	0.138879683579307	0.0205522578523638
PI533961_PI533961	PI533961	Milo/Durra-Bicolor	downstream_2kb	5%	4606.42388	678	34254144	0.1344778570441	0.0197932256021344
PI533962_PI533962	PI533962	Milo/Durra-Bicolor	downstream_2kb	5%	4076.0387	605	34254144	0.118994031787804	0.0176620965918751
PI533964_PI533964	PI533964	Milo/Durra-Bicolor	downstream_2kb	5%	4462.91456	661	34254144	0.130288310809927	0.0192969352846768
PI533965_PI533965	PI533965	Milo/Durra-Bicolor	downstream_2kb	5%	5126.42635	754	34254144	0.14965857415675	0.022011935256651
PI533967_PI533967	PI533967	Milo/Durra-Bicolor	downstream_2kb	5%	4337.86554	645	34254144	0.126637686231482	0.0188298385153049
PI533970_PI533970	PI533970	Milo/Durra-Bicolor	downstream_2kb	5%	4207.33217	631	34254144	0.122826954017593	0.0184211288421045
PI533972_PI533972	PI533972	Milo/Durra-Bicolor	downstream_2kb	5%	4197.12359	622	34254144	0.122528929346476	0.0181583869093328
PI533976_PI533976	PI533976	Milo/Durra-Bicolor	downstream_2kb	5%	4614.168	687	34254144	0.134703935383701	0.0200559675349061
PI533979_PI533979	PI533979	Durra	downstream_2kb	5%	4986.13038	738	34254144	0.145562837010319	0.0215448384872791
PI533980_PI533980	PI533980	Milo/Durra-Bicolor	downstream_2kb	5%	4767.04979	703	34254144	0.139167097271501	0.020523064304278
