sample	PI	Race	feature	cutoff	genetic_load	n_del
PI656090_PI656090	PI656090	Milo/Durra-Bicolor	upstream_2kb	5%	7937.43247	1189
PI656091_PI656091	PI656091	Guinea	downstream_2kb	5%	5080.79542	756
PI656091_PI656091	PI656091	Guinea	exon	5%	11116.14715	1555
PI656091_PI656091	PI656091	Guinea	intergenic	5%	379744.89449	56283
PI656091_PI656091	PI656091	Guinea	intron	5%	5472.1341	800
PI656091_PI656091	PI656091	Guinea	upstream_2kb	5%	8433.83349	1257
PI656092_PI656092	PI656092	Guinea	downstream_2kb	5%	5816.1529	859
PI656092_PI656092	PI656092	Guinea	exon	5%	11248.30204	1583
PI656092_PI656092	PI656092	Guinea	intergenic	5%	346299.48259	51507
PI656092_PI656092	PI656092	Guinea	intron	5%	5204.14691	760
PI656092_PI656092	PI656092	Guinea	upstream_2kb	5%	8892.92231	1329
PI656093_PI656093	PI656093	Caudatum	downstream_2kb	5%	4897.14107	730
PI656093_PI656093	PI656093	Caudatum	exon	5%	12116.88506	1719
PI656093_PI656093	PI656093	Caudatum	intergenic	5%	254335.88307	37664
PI656093_PI656093	PI656093	Caudatum	intron	5%	4802.94652	697
PI656093_PI656093	PI656093	Caudatum	upstream_2kb	5%	7887.18379	1178
PI656094_PI656094	PI656094	Caudatum	downstream_2kb	5%	4575.00432	683
PI656094_PI656094	PI656094	Caudatum	exon	5%	11889.66602	1684
PI656094_PI656094	PI656094	Caudatum	intergenic	5%	259382.87045	38693
PI656094_PI656094	PI656094	Caudatum	intron	5%	4865.15906	711
PI656094_PI656094	PI656094	Caudatum	upstream_2kb	5%	7526.33159	1122
PI656095_PI656095	PI656095	Caudatum	downstream_2kb	5%	4603.06694	686
PI656095_PI656095	PI656095	Caudatum	exon	5%	11683.5345	1656
PI656095_PI656095	PI656095	Caudatum	intergenic	5%	304680.12242	45082
PI656095_PI656095	PI656095	Caudatum	intron	5%	5306.09772	778
PI656095_PI656095	PI656095	Caudatum	upstream_2kb	5%	7309.1484	1097
PI656096_PI656096	PI656096	Caudatum	downstream_2kb	5%	5009.34187	749
PI656096_PI656096	PI656096	Caudatum	exon	5%	12390.09635	1755
PI656096_PI656096	PI656096	Caudatum	intergenic	5%	259841.99502	38586
PI656096_PI656096	PI656096	Caudatum	intron	5%	4900.09253	716
PI656096_PI656096	PI656096	Caudatum	upstream_2kb	5%	7435.86622	1117
PI656097_PI656097	PI656097	Guinea	downstream_2kb	5%	5687.45011	840
PI656097_PI656097	PI656097	Guinea	exon	5%	12389.09861	1739
PI656097_PI656097	PI656097	Guinea	intergenic	5%	322897.32898	47717
PI656097_PI656097	PI656097	Guinea	intron	5%	5192.22362	756
PI656097_PI656097	PI656097	Guinea	upstream_2kb	5%	9493.89584	1416
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	downstream_2kb	5%	4505.25039	664
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	exon	5%	10337.6639	1445
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	intergenic	5%	225735.13328	33322
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	intron	5%	4721.1302	685
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	upstream_2kb	5%	8104.72948	1214
PI656099_PI656099	PI656099	Guinea	downstream_2kb	5%	5655.5236	834
PI656099_PI656099	PI656099	Guinea	exon	5%	12614.31936	1774
PI656099_PI656099	PI656099	Guinea	intergenic	5%	353573.89043	52094
PI656099_PI656099	PI656099	Guinea	intron	5%	5513.80757	808
PI656099_PI656099	PI656099	Guinea	upstream_2kb	5%	9274.2445	1381
PI656100_PI656100	PI656100	Guinea	downstream_2kb	5%	5804.51905	857
PI656100_PI656100	PI656100	Guinea	exon	5%	12664.56317	1767
PI656100_PI656100	PI656100	Guinea	intergenic	5%	393822.39364	57980
PI656100_PI656100	PI656100	Guinea	intron	5%	6017.81974	873
PI656100_PI656100	PI656100	Guinea	upstream_2kb	5%	9225.01805	1371
PI656101_PI656101	PI656101	Kafir	downstream_2kb	5%	5037.04236	745
PI656101_PI656101	PI656101	Kafir	exon	5%	11101.16854	1557
PI656101_PI656101	PI656101	Kafir	intergenic	5%	345037.40199	50887
PI656101_PI656101	PI656101	Kafir	intron	5%	5667.1713	827
PI656101_PI656101	PI656101	Kafir	upstream_2kb	5%	8786.18077	1309
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	downstream_2kb	5%	4535.89512	664
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	exon	5%	10706.53677	1520
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	intergenic	5%	228143.31985	33674
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	intron	5%	4901.48676	716
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	upstream_2kb	5%	7855.05445	1175
PI656103_PI656103	PI656103	Guinea	downstream_2kb	5%	5229.9938	773
PI656103_PI656103	PI656103	Guinea	exon	5%	11577.12867	1631
PI656103_PI656103	PI656103	Guinea	intergenic	5%	323575.32636	47845
PI656103_PI656103	PI656103	Guinea	intron	5%	5108.36573	746
PI656103_PI656103	PI656103	Guinea	upstream_2kb	5%	9052.8574	1349
PI656104_PI656104	PI656104	Caudatum	downstream_2kb	5%	5561.52593	828
PI656104_PI656104	PI656104	Caudatum	exon	5%	12758.28794	1798
PI656104_PI656104	PI656104	Caudatum	intergenic	5%	358332.91593	53019
PI656104_PI656104	PI656104	Caudatum	intron	5%	5989.11607	877
PI656104_PI656104	PI656104	Caudatum	upstream_2kb	5%	9326.78124	1393
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	downstream_2kb	5%	4247.48952	627
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	exon	5%	10247.21953	1440
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	intergenic	5%	259712.27975	38286
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	intron	5%	5133.02813	744
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	upstream_2kb	5%	7933.60839	1181
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	downstream_2kb	5%	4228.68757	627
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	exon	5%	10517.00884	1483
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	intergenic	5%	250272.80768	36929
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	intron	5%	5089.95668	743
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	upstream_2kb	5%	8112.41905	1213
PI656107_PI656107	PI656107	Kafir	downstream_2kb	5%	4823.57063	718
PI656107_PI656107	PI656107	Kafir	exon	5%	11162.88	1564
PI656107_PI656107	PI656107	Kafir	intergenic	5%	344433.91515	50665
PI656107_PI656107	PI656107	Kafir	intron	5%	5522.97751	802
PI656107_PI656107	PI656107	Kafir	upstream_2kb	5%	8841.88972	1323
PI656108_PI656108	PI656108	Guinea	downstream_2kb	5%	5473.35729	814
PI656108_PI656108	PI656108	Guinea	exon	5%	12375.96242	1742
PI656108_PI656108	PI656108	Guinea	intergenic	5%	281624.25751	41755
PI656108_PI656108	PI656108	Guinea	intron	5%	5445.2071	798
PI656108_PI656108	PI656108	Guinea	upstream_2kb	5%	9051.97396	1353
PI656109_PI656109	PI656109	Kafir	downstream_2kb	5%	4994.40133	728
PI656109_PI656109	PI656109	Kafir	exon	5%	11724.81466	1648
PI656109_PI656109	PI656109	Kafir	intergenic	5%	321453.1683	47308
PI656109_PI656109	PI656109	Kafir	intron	5%	5324.63183	780
PI656109_PI656109	PI656109	Kafir	upstream_2kb	5%	8513.01958	1264
PI656110_PI656110	PI656110	Guinea	downstream_2kb	5%	4439.45823	658
PI656110_PI656110	PI656110	Guinea	exon	5%	10554.05166	1490
PI656110_PI656110	PI656110	Guinea	intergenic	5%	317710.2776	47024
PI656110_PI656110	PI656110	Guinea	intron	5%	4666.9634	684
PI656110_PI656110	PI656110	Guinea	upstream_2kb	5%	7193.86036	1077
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	downstream_2kb	5%	4845.92666	718
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	exon	5%	10847.2679	1524
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	intergenic	5%	252651.71783	37301
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	intron	5%	5109.61125	748
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	upstream_2kb	5%	7734.3439	1154
PI656112_PI656112	PI656112	Durra	downstream_2kb	5%	5058.03977	748
PI656112_PI656112	PI656112	Durra	exon	5%	11352.70885	1599
PI656112_PI656112	PI656112	Durra	intergenic	5%	294254.78923	43373
PI656112_PI656112	PI656112	Durra	intron	5%	5678.98142	831
PI656112_PI656112	PI656112	Durra	upstream_2kb	5%	8216.29874	1222
PI656113_PI656113	PI656113	Guinea	downstream_2kb	5%	5049.33552	751
PI656113_PI656113	PI656113	Guinea	exon	5%	11685.8497	1628
PI656113_PI656113	PI656113	Guinea	intergenic	5%	335266.32923	49596
PI656113_PI656113	PI656113	Guinea	intron	5%	5417.20932	792
PI656113_PI656113	PI656113	Guinea	upstream_2kb	5%	8908.05837	1333
PI656114_PI656114	PI656114	Guinea	downstream_2kb	5%	4699.82632	694
PI656114_PI656114	PI656114	Guinea	exon	5%	11146.44224	1577
PI656114_PI656114	PI656114	Guinea	intergenic	5%	292235.42437	43130
PI656114_PI656114	PI656114	Guinea	intron	5%	5203.93679	754
PI656114_PI656114	PI656114	Guinea	upstream_2kb	5%	8540.48357	1279
PI656115_PI656115	PI656115	Kafir	downstream_2kb	5%	5418.1147	798
PI656115_PI656115	PI656115	Kafir	exon	5%	11846.25828	1648
PI656115_PI656115	PI656115	Kafir	intergenic	5%	400613.53868	59157
PI656115_PI656115	PI656115	Kafir	intron	5%	5943.10273	871
PI656115_PI656115	PI656115	Kafir	upstream_2kb	5%	8940.56988	1332
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	downstream_2kb	5%	4108.44067	614
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	exon	5%	11531.15751	1639
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	intergenic	5%	279115.64003	41304
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	intron	5%	5062.13953	744
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	upstream_2kb	5%	7732.55099	1158
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	downstream_2kb	5%	4393.86053	656
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	exon	5%	10507.05104	1481
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	intergenic	5%	257709.55497	37973
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	intron	5%	4901.37026	715
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	upstream_2kb	5%	7824.54656	1167
PI656119_PI656119	PI656119	Caudatum	downstream_2kb	5%	4827.14418	723
PI656119_PI656119	PI656119	Caudatum	exon	5%	11739.30442	1668
PI656119_PI656119	PI656119	Caudatum	intergenic	5%	288157.69331	42870
PI656119_PI656119	PI656119	Caudatum	intron	5%	4793.95085	697
PI656119_PI656119	PI656119	Caudatum	upstream_2kb	5%	7549.89856	1130
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	downstream_2kb	5%	4566.2251	674
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	exon	5%	10767.34913	1520
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	intergenic	5%	337669.96211	49758
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	intron	5%	5432.35484	790
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	upstream_2kb	5%	7912.36866	1176
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	downstream_2kb	5%	4049.27555	604
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	exon	5%	10558.40814	1487
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	intergenic	5%	285219.5312	42293
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	intron	5%	4468.84581	654
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	upstream_2kb	5%	7328.54335	1098
PI659691_PI659691	PI659691	Bicolor	downstream_2kb	5%	4662.69863	697
PI659691_PI659691	PI659691	Bicolor	exon	5%	10523.85416	1479
PI659691_PI659691	PI659691	Bicolor	intergenic	5%	300397.16119	44308
PI659691_PI659691	PI659691	Bicolor	intron	5%	5137.2497	744
PI659691_PI659691	PI659691	Bicolor	upstream_2kb	5%	8211.34836	1225
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	downstream_2kb	5%	4655.23624	696
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	exon	5%	11691.63349	1650
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	intergenic	5%	389579.33948	57256
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	intron	5%	5756.51376	846
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	upstream_2kb	5%	8692.36964	1304
PI659695_PI659695	PI659695	Guinea	downstream_2kb	5%	5458.38717	808
PI659695_PI659695	PI659695	Guinea	exon	5%	11763.85536	1655
PI659695_PI659695	PI659695	Guinea	intergenic	5%	313108.06205	46083
PI659695_PI659695	PI659695	Guinea	intron	5%	5237.82222	763
PI659695_PI659695	PI659695	Guinea	upstream_2kb	5%	8766.23021	1311
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	downstream_2kb	5%	4631.54952	681
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	exon	5%	11207.17289	1576
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	intergenic	5%	315308.00323	46346
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	intron	5%	5273.7604	767
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	upstream_2kb	5%	8345.39098	1247
PI659753_PI659753	PI659753	Guinea	downstream_2kb	5%	5666.91571	839
PI659753_PI659753	PI659753	Guinea	exon	5%	12102.93411	1698
PI659753_PI659753	PI659753	Guinea	intergenic	5%	378343.8348	55713
PI659753_PI659753	PI659753	Guinea	intron	5%	5871.82953	858
PI659753_PI659753	PI659753	Guinea	upstream_2kb	5%	9085.17708	1355
