sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V71	improved	10%	-699808.1053083	17	699808.1053083
V72	improved	10%	-563955.0870402	17	563955.0870402
V73	improved	10%	-778908.8470103	17	778908.8470103
V74	improved	10%	-648196.553281	17	648196.553281
V75	improved	10%	-883500.2081894	17	883500.2081894
V76	improved	10%	-711719.0213323	17	711719.0213323
V77	improved	10%	-763616.7617456	17	763616.7617456
V78	improved	10%	-442790.489776	17	442790.489776
V79	improved	10%	-739429.2023082	17	739429.2023082
V80	improved	10%	-540954.0963746	17	540954.0963746
V81	improved	10%	-655495.7341876	17	655495.7341876
V82	improved	10%	-521552.4442126	17	521552.4442126
V83	improved	10%	-896726.5604931	17	896726.5604931
V84	improved	10%	-747175.6637957	17	747175.6637957
V85	improved	10%	-600359.9782647	17	600359.9782647
V86	improved	10%	-659802.9290756	17	659802.9290756
V87	improved	10%	-840718.3791296	17	840718.3791296
V88	improved	10%	-849706.5676635	17	849706.5676635
V89	improved	10%	-598993.8215182	17	598993.8215182
V90	improved	10%	-632925.8020738	17	632925.8020738
V91	improved	10%	-462048.8888176	17	462048.8888176
V92	improved	10%	-636207.2352223	17	636207.2352223
V93	improved	10%	-403092.0274979	17	403092.0274979
V94	improved	10%	-473827.2844877	17	473827.2844877
V95	improved	10%	-837535.5947224	17	837535.5947224
V96	improved	10%	-742689.0592183	17	742689.0592183
V97	improved	10%	-958802.3731657	17	958802.3731657
V98	improved	10%	-964443.3571694	17	964443.3571694
V99	improved	10%	-539421.3000031	17	539421.3000031
V100	improved	10%	-813055.666781	17	813055.666781
V101	improved	10%	-840961.3800918	17	840961.3800918
V102	improved	10%	-701239.7665862	17	701239.7665862
V103	improved	10%	-738618.4020388	17	738618.4020388
V104	improved	10%	-520927.6970491	17	520927.6970491
V105	improved	10%	-848385.2924152	17	848385.2924152
V106	improved	10%	-766172.7404515	17	766172.7404515
V107	improved	10%	-455595.7827604	17	455595.7827604
V108	improved	10%	-475681.5463801	17	475681.5463801
V109	improved	10%	-731276.1554675	17	731276.1554675
V110	improved	10%	-868317.7026197	17	868317.7026197
V111	improved	10%	-794780.5983044	17	794780.5983044
V112	improved	10%	-603134.3905295	17	603134.3905295
V113	improved	10%	-703061.7595601	17	703061.7595601
V114	improved	10%	-519736.6404189	17	519736.6404189
V115	improved	10%	-875772.0992962	17	875772.0992962
V116	improved	10%	-660271.0913903	17	660271.0913903
V117	improved	10%	-857196.4821546	17	857196.4821546
V118	improved	10%	-554410.7987364	17	554410.7987364
