cutoff_lab	group	n	median_abs	mean_abs	median_chr_rows
10%	landrace	18	263272.097822	275709.599255567	17
5%	landrace	18	155522.73469405	163467.695185044	17
1%	landrace	18	40529.35418035	42806.3148189056	17
10%	improved	288	629539.06066	627719.64029588	17
5%	improved	288	381379.0485576	380940.300674683	17
1%	improved	288	105545.4221146	104812.785522158	17
10%	wild	26	148509.926537	132525.490346669	17
5%	wild	26	79957.85223545	71028.1219394692	17
1%	wild	26	19737.7988323	18027.6570115038	17
