group1	group2	p_value	p_adj_bh	cutoff
improved	wild	6.38224855976454e-17	1.91467456792936e-16	1%
landrace	improved	1.32655321006587e-10	1.98982981509881e-10	1%
landrace	wild	1.68597576072148e-05	1.68597576072148e-05	1%
improved	wild	6.88908243646167e-17	2.0667247309385e-16	5%
landrace	improved	2.81266743896227e-10	4.2190011584434e-10	5%
landrace	wild	2.52167672868406e-05	2.52167672868406e-05	5%
improved	wild	8.99587716523811e-17	2.69876314957143e-16	10%
landrace	improved	5.03045273810671e-10	7.54567910716007e-10	10%
landrace	wild	0.000420018899169473	0.000420018899169473	10%
