sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
V98	improved	-158912.8983275	19876	10	158912.8983275	7.99521525093077
V99	improved	-155772.9345466	19430	10	155772.9345466	8.01713507702522
V100	improved	-186538.9386253	23424	10	186538.9386253	7.96358173776042
V101	improved	-137984.8505286	17218	10	137984.8505286	8.01398829879196
V102	improved	-168975.9864232	21144	10	168975.9864232	7.99167548350359
V103	improved	-177163.1893344	22178	10	177163.1893344	7.98824011788259
V104	improved	-165195.6344369	20728	10	165195.6344369	7.96968518124759
V105	improved	-160418.2697208	20132	10	160418.2697208	7.96832255716273
V106	improved	-127973.1432975	16077	10	127973.1432975	7.96001388925173
V107	improved	-157651.6084421	19727	10	157651.6084421	7.99166667218026
V108	improved	-238485.1076704	30001	10	238485.1076704	7.94923861439285
V109	improved	-126225.4750912	15793	10	126225.4750912	7.99249509853733
V110	improved	-116460.5878629	14535	10	116460.5878629	8.01242434557276
V111	improved	-132500.2815822	16613	10	132500.2815822	7.97569864456751
V112	improved	-166286.3623769	20918	10	166286.3623769	7.94943887450521
V113	improved	-147269.3510975	18486	10	147269.3510975	7.96653419330845
V114	improved	-211588.6134983	26542	10	211588.6134983	7.9718413645656
V115	improved	-181352.0597276	22810	10	181352.0597276	7.95055062374397
V116	improved	-154730.7687828	19315	10	154730.7687828	8.01091218135128
V117	improved	-156040.0523205	19509	10	156040.0523205	7.9983624132708
V118	improved	-136317.9220855	17007	10	136317.9220855	8.01540083997766
V119	improved	-214699.8526563	27035	10	214699.8526563	7.9415517905049
V120	improved	-119620.5694121	14905	10	119620.5694121	8.02553300316001
V121	improved	-177702.3960206	22224	10	177702.3960206	7.99596814347552
V122	improved	-207749.7690555	26056	10	207749.7690555	7.97320268097559
V123	improved	-132479.5294845	16532	10	132479.5294845	8.01352101890273
V124	improved	-172564.1680005	21609	10	172564.1680005	7.98575445418576
V125	improved	-190214.4628551	23846	10	190214.4628551	7.97678700222679
V126	improved	-174032.9306003	21801	10	174032.9306003	7.98279577084996
V127	improved	-148518.6710022	18526	10	148518.6710022	8.01676945925726
V128	improved	-154808.0314668	19354	10	154808.0314668	7.99876157211946
V129	improved	-228344.430381	28653	10	228344.430381	7.96930270411475
V130	improved	-241482.3063725	30281	10	241482.3063725	7.97471372717215
V131	improved	-128293.8844487	16135	10	128293.8844487	7.95127886264022
V132	improved	-192538.8979093	24270	10	192538.8979093	7.93320551748249
V5	landrace	-188762.8279218	23716	10	188762.8279218	7.95930291456401
V6	landrace	-193333.3425216	24272	10	193333.3425216	7.96528273408042
V7	landrace	-166812.2964856	20905	10	166812.2964856	7.97954061160488
