sub	n_samples	median_abs	mean_abs	median_abs_per_ndel	median_chr_rows
improved	128	170324.16655555	174217.125457382	7.97562531120621	10
landrace	101	212520.5614754	207346.57496583	7.9692254465617	10
wild	49	317837.8815843	326129.12469509	7.95469518085749	10
