sample	feature	feature_Mb	load_raw	n_del_alleles	load_per_Mb	n_del_per_Mb
PI641874_PI641874	intergenic	512.4847	995192.147978	162511.0	1941.896287	317.104097
PI642791_PI642791	exon	62.2529	19753.725591	3092.0	317.314061	49.668356
PI642791_PI642791	intron	57.7947	11786.644776	1908.0	203.939739	33.013383
PI642791_PI642791	upstream_2kb	50.4725	20083.594604	3356.0	397.911856	66.491692
PI642791_PI642791	downstream_2kb	33.9233	11688.352664	1943.0	344.551931	57.276198
PI642791_PI642791	intergenic	512.4847	685235.239133	112171.0	1337.084270	218.876776
PI642793_PI642793	exon	62.2529	20428.009705	3197.0	328.145427	51.355024
PI642793_PI642793	intron	57.7947	11733.868226	1897.0	203.026566	32.823055
PI642793_PI642793	upstream_2kb	50.4725	19911.734245	3333.0	394.506824	66.035998
PI642793_PI642793	downstream_2kb	33.9233	11838.406064	1964.0	348.975240	57.895241
PI642793_PI642793	intergenic	512.4847	608956.934863	99606.0	1188.244113	194.358971
PI642992_PI642992	exon	62.2529	19713.551464	3114.0	316.668724	50.021753
PI642992_PI642992	intron	57.7947	11769.556212	1938.0	203.644062	33.532462
PI642992_PI642992	upstream_2kb	50.4725	19692.769888	3293.0	390.168531	65.243487
PI642992_PI642992	downstream_2kb	33.9233	11390.943571	1902.0	335.784838	56.067591
PI642992_PI642992	intergenic	512.4847	736794.432791	120402.0	1437.690577	234.937743
PI642998_PI642998	exon	62.2529	18423.876623	2938.0	295.952026	47.194576
PI642998_PI642998	intron	57.7947	9437.182550	1543.0	163.287906	26.697930
PI642998_PI642998	upstream_2kb	50.4725	17274.561614	2895.0	342.257101	57.358000
PI642998_PI642998	downstream_2kb	33.9233	9564.152559	1596.0	281.934275	47.047253
PI642998_PI642998	intergenic	512.4847	598546.563065	97910.0	1167.930586	191.049604
PI651492_PI651492	exon	62.2529	20739.531722	3267.0	333.149562	52.479469
PI651492_PI651492	intron	57.7947	10571.970221	1719.0	182.922696	29.743190
PI651492_PI651492	upstream_2kb	50.4725	20128.383468	3374.0	398.799248	66.848322
PI651492_PI651492	downstream_2kb	33.9233	11112.956287	1865.0	327.590266	54.976896
PI651492_PI651492	intergenic	512.4847	728671.495583	119125.0	1421.840471	232.445961
PI651496_PI651496	exon	62.2529	20086.592294	3170.0	322.661067	50.921309
PI651496_PI651496	intron	57.7947	10348.270637	1689.0	179.052109	29.224111
PI651496_PI651496	upstream_2kb	50.4725	20852.484752	3495.0	413.145708	69.245669
PI651496_PI651496	downstream_2kb	33.9233	10704.430909	1799.0	315.547661	53.031333
PI651496_PI651496	intergenic	512.4847	549357.282664	89910.0	1071.948638	175.439382
PI653616_PI653616	exon	62.2529	19529.126068	3085.0	313.706206	49.555912
PI653616_PI653616	intron	57.7947	10573.871550	1722.0	182.955594	29.795097
PI653616_PI653616	upstream_2kb	50.4725	20501.566304	3432.0	406.193037	67.997463
PI653616_PI653616	downstream_2kb	33.9233	11215.635871	1872.0	330.617078	55.183244
PI653616_PI653616	intergenic	512.4847	594274.547175	97228.0	1159.594697	189.718832
PI653617_PI653617	exon	62.2529	19834.345151	3130.0	318.609094	50.278769
PI653617_PI653617	intron	57.7947	10944.894967	1794.0	189.375268	31.040886
PI653617_PI653617	upstream_2kb	50.4725	20341.539607	3411.0	403.022464	67.581395
PI653617_PI653617	downstream_2kb	33.9233	11355.366279	1893.0	334.736083	55.802287
PI653617_PI653617	intergenic	512.4847	553968.860019	90642.0	1080.947106	176.867717
PI655970_PI655970	exon	62.2529	20503.523623	3197.0	329.358445	51.355024
PI655970_PI655970	intron	57.7947	11881.442508	1941.0	205.579987	33.584369
PI655970_PI655970	upstream_2kb	50.4725	20160.437749	3366.0	399.434332	66.689820
PI655970_PI655970	downstream_2kb	33.9233	11657.746555	1948.0	343.649718	57.423589
PI655970_PI655970	intergenic	512.4847	625856.088826	102368.0	1221.219056	199.748400
PI655971_PI655971	exon	62.2529	21655.177992	3389.0	347.858050	54.439217
PI655971_PI655971	intron	57.7947	12555.207578	2043.0	217.237882	35.349236
PI655971_PI655971	upstream_2kb	50.4725	23277.206524	3891.0	461.186188	77.091530
PI655971_PI655971	downstream_2kb	33.9233	14301.705868	2377.0	421.588955	70.069749
PI655971_PI655971	intergenic	512.4847	905077.789681	147888.0	1766.058146	288.570563
PI655972_PI655972	exon	62.2529	20837.371678	3259.0	334.721215	52.350961
PI655972_PI655972	intron	57.7947	11475.763680	1869.0	198.560684	32.338581
PI655972_PI655972	upstream_2kb	50.4725	21114.517427	3514.0	418.337304	69.622111
PI655972_PI655972	downstream_2kb	33.9233	11476.698952	1917.0	338.312755	56.509764
PI655972_PI655972	intergenic	512.4847	616394.168720	100781.0	1202.756222	196.651722
PI655973_PI655973	exon	62.2529	19230.236644	3013.0	308.904994	48.399339
PI655973_PI655973	intron	57.7947	11400.728154	1871.0	197.262373	32.373187
PI655973_PI655973	upstream_2kb	50.4725	20034.327390	3356.0	396.935735	66.491692
PI655973_PI655973	downstream_2kb	33.9233	11766.836882	1950.0	346.865507	57.482546
PI655973_PI655973	intergenic	512.4847	691210.572200	113031.0	1348.743805	220.554874
PI655974_PI655974	exon	62.2529	20121.838991	3143.0	323.227252	50.487595
PI655974_PI655974	intron	57.7947	11797.453434	1924.0	204.126757	33.290225
PI655974_PI655974	upstream_2kb	50.4725	19828.836294	3313.0	392.864385	65.639743
PI655974_PI655974	downstream_2kb	33.9233	11581.986240	1934.0	341.416438	57.010894
PI655974_PI655974	intergenic	512.4847	617776.117996	101072.0	1205.452789	197.219544
PI655975_PI655975	exon	62.2529	19658.818910	3084.0	315.789527	49.539848
PI655975_PI655975	intron	57.7947	11537.106388	1876.0	199.622073	32.459700
PI655975_PI655975	upstream_2kb	50.4725	21357.547174	3569.0	423.152399	70.711814
PI655975_PI655975	downstream_2kb	33.9233	12493.192847	2088.0	368.277194	61.550541
PI655975_PI655975	intergenic	512.4847	708336.116898	115853.0	1382.160499	226.061380
PI655976_PI655976	exon	62.2529	20911.543602	3288.0	335.912676	52.816803
PI655976_PI655976	intron	57.7947	11302.056284	1843.0	195.555092	31.888713
PI655976_PI655976	upstream_2kb	50.4725	20899.750862	3487.0	414.082181	69.087166
PI655976_PI655976	downstream_2kb	33.9233	11833.020485	1979.0	348.816483	58.337414
PI655976_PI655976	intergenic	512.4847	618510.151000	101134.0	1206.885091	197.340523
PI655977_PI655977	exon	62.2529	19249.421636	3023.0	309.213172	48.559974
PI655977_PI655977	intron	57.7947	10224.750249	1670.0	176.914884	28.895362
PI655977_PI655977	upstream_2kb	50.4725	19486.141348	3261.0	386.074645	64.609478
PI655977_PI655977	downstream_2kb	33.9233	11456.281246	1930.0	337.710877	56.892981
PI655977_PI655977	intergenic	512.4847	665384.798794	108738.0	1298.350548	212.178039
PI655978_PI655978	exon	62.2529	21927.532043	3428.0	352.233011	55.065694
PI655978_PI655978	intron	57.7947	12050.315861	1979.0	208.501937	34.241869
PI655978_PI655978	upstream_2kb	50.4725	20829.649346	3479.0	412.693275	68.928664
PI655978_PI655978	downstream_2kb	33.9233	12534.371164	2097.0	369.491058	61.815845
PI655978_PI655978	intergenic	512.4847	822919.169977	134506.0	1605.743860	262.458564
PI655979_PI655979	exon	62.2529	20237.349668	3157.0	325.082759	50.712484
PI655979_PI655979	intron	57.7947	10575.745910	1729.0	182.988026	29.916216
PI655979_PI655979	upstream_2kb	50.4725	20245.640647	3376.0	401.122439	66.887948
PI655979_PI655979	downstream_2kb	33.9233	11341.285703	1909.0	334.321012	56.273938
PI655979_PI655979	intergenic	512.4847	665362.687630	108926.0	1298.307403	212.544879
PI655980_PI655980	exon	62.2529	18516.369727	2924.0	297.437790	46.969687
PI655980_PI655980	intron	57.7947	9772.691346	1608.0	169.093084	27.822600
PI655980_PI655980	upstream_2kb	50.4725	17698.994680	2962.0	350.666300	58.685456
PI655980_PI655980	downstream_2kb	33.9233	9894.255427	1661.0	291.665123	48.963338
PI655980_PI655980	intergenic	512.4847	605768.230907	99209.0	1182.022066	193.584314
PI655981_PI655981	exon	62.2529	20467.882240	3218.0	328.785920	51.692358
PI655981_PI655981	intron	57.7947	10811.005737	1769.0	187.058635	30.608320
PI655981_PI655981	upstream_2kb	50.4725	19692.417134	3301.0	390.161542	65.401989
PI655981_PI655981	downstream_2kb	33.9233	11789.822512	1969.0	347.543083	58.042632
PI655981_PI655981	intergenic	512.4847	689098.337582	112840.0	1344.622248	220.182180
PI655982_PI655982	exon	62.2529	18843.531138	2956.0	302.693148	47.483719
PI655982_PI655982	intron	57.7947	10998.223580	1795.0	190.297993	31.058188
PI655982_PI655982	upstream_2kb	50.4725	19576.716646	3269.0	387.869194	64.767980
PI655982_PI655982	downstream_2kb	33.9233	10981.536010	1835.0	323.716229	54.092549
PI655982_PI655982	intergenic	512.4847	541698.432616	88719.0	1057.004095	173.115410
PI655983_PI655983	exon	62.2529	20915.817084	3302.0	335.981323	53.041692
PI655983_PI655983	intron	57.7947	11769.095342	1923.0	203.636087	33.272922
PI655983_PI655983	upstream_2kb	50.4725	21866.062074	3651.0	433.227493	72.336462
PI655983_PI655983	downstream_2kb	33.9233	12096.950077	2028.0	356.596659	59.781848
PI655983_PI655983	intergenic	512.4847	612728.233737	100240.0	1195.602964	195.596081
PI655984_PI655984	exon	62.2529	20350.845900	3193.0	326.905906	51.290770
PI655984_PI655984	intron	57.7947	11865.422423	1944.0	205.302798	33.636277
PI655984_PI655984	upstream_2kb	50.4725	21340.710676	3563.0	422.818821	70.592938
PI655984_PI655984	downstream_2kb	33.9233	12104.184416	2012.0	356.809915	59.310196
PI655984_PI655984	intergenic	512.4847	834173.933473	136238.0	1627.705029	265.838177
PI655985_PI655985	exon	62.2529	21048.204716	3283.0	338.107932	52.736485
PI655985_PI655985	intron	57.7947	12383.444829	2019.0	214.265938	34.933973
PI655985_PI655985	upstream_2kb	50.4725	21495.813107	3591.0	425.891831	71.147696
PI655985_PI655985	downstream_2kb	33.9233	12442.773986	2070.0	366.790936	61.019933
PI655985_PI655985	intergenic	512.4847	727716.577246	118914.0	1419.977160	232.034241
PI655986_PI655986	exon	62.2529	20591.367804	3213.0	330.769531	51.612040
PI655986_PI655986	intron	57.7947	12210.140998	1991.0	211.267329	34.449500
PI655986_PI655986	upstream_2kb	50.4725	21186.400750	3537.0	419.761512	70.077805
PI655986_PI655986	downstream_2kb	33.9233	12367.705625	2054.0	364.578053	60.548281
PI655986_PI655986	intergenic	512.4847	728946.237726	119167.0	1422.376569	232.527915
PI655987_PI655987	exon	62.2529	19675.179444	3078.0	316.052335	49.443467
PI655987_PI655987	intron	57.7947	11423.933783	1859.0	197.663891	32.165555
PI655987_PI655987	upstream_2kb	50.4725	20445.642832	3414.0	405.085038	67.640833
PI655987_PI655987	downstream_2kb	33.9233	11895.359010	1985.0	350.654112	58.514284
PI655987_PI655987	intergenic	512.4847	600489.049908	98206.0	1171.720917	191.627182
PI655988_PI655988	exon	62.2529	19918.446046	3104.0	319.960049	49.861118
PI655988_PI655988	intron	57.7947	11814.671302	1926.0	204.424671	33.324830
PI655988_PI655988	upstream_2kb	50.4725	19935.004766	3328.0	394.967878	65.936934
PI655988_PI655988	downstream_2kb	33.9233	11625.493229	1940.0	342.698947	57.187763
PI655988_PI655988	intergenic	512.4847	633776.554413	103656.0	1236.674084	202.261646
PI655989_PI655989	exon	62.2529	19725.752501	3075.0	316.864715	49.395277
PI655989_PI655989	intron	57.7947	10951.801949	1787.0	189.494777	30.919767
PI655989_PI655989	upstream_2kb	50.4725	20056.596258	3354.0	397.376944	66.452067
PI655989_PI655989	downstream_2kb	33.9233	11682.389746	1949.0	344.376155	57.453067
PI655989_PI655989	intergenic	512.4847	595457.158851	97444.0	1161.902300	190.140308
PI655990_PI655990	exon	62.2529	21544.344439	3377.0	346.077675	54.246455
PI655990_PI655990	intron	57.7947	12614.910343	2052.0	218.270896	35.504959
PI655990_PI655990	upstream_2kb	50.4725	22910.071907	3824.0	453.912231	75.764073
PI655990_PI655990	downstream_2kb	33.9233	14020.309379	2329.0	413.293885	68.654794
