sample	feature	feature_Mb	load_raw	n_del_alleles	load_per_Mb	n_del_per_Mb
PI656001_PI656001	intergenic	512.4847	533228.073573	87321.0	1040.476071	170.387524
PI656002_PI656002	exon	62.2529	20020.822210	3124.0	321.604569	50.182388
PI656002_PI656002	intron	57.7947	10931.964848	1782.0	189.151544	30.833254
PI656002_PI656002	upstream_2kb	50.4725	19830.425661	3314.0	392.895875	65.659555
PI656002_PI656002	downstream_2kb	33.9233	11404.264953	1904.0	336.177529	56.126547
PI656002_PI656002	intergenic	512.4847	609167.439351	99659.0	1188.654866	194.462389
PI656003_PI656003	exon	62.2529	21238.571744	3327.0	341.165894	53.443280
PI656003_PI656003	intron	57.7947	12407.202881	2021.0	214.677015	34.968578
PI656003_PI656003	upstream_2kb	50.4725	21974.082879	3683.0	435.367685	72.970471
PI656003_PI656003	downstream_2kb	33.9233	12447.749946	2077.0	366.937618	61.226281
PI656003_PI656003	intergenic	512.4847	732327.267841	119629.0	1428.973898	233.429405
PI656004_PI656004	exon	62.2529	20068.411311	3164.0	322.369017	50.824928
PI656004_PI656004	intron	57.7947	11517.795593	1882.0	199.287945	32.563515
PI656004_PI656004	upstream_2kb	50.4725	20346.788661	3414.0	403.126462	67.640833
PI656004_PI656004	downstream_2kb	33.9233	11946.334229	1995.0	352.156771	58.809066
PI656004_PI656004	intergenic	512.4847	845267.480168	138145.0	1649.351620	269.559264
PI656005_PI656005	exon	62.2529	20090.886601	3135.0	322.730049	50.359087
PI656005_PI656005	intron	57.7947	11600.630620	1892.0	200.721208	32.736541
PI656005_PI656005	upstream_2kb	50.4725	19784.655280	3310.0	391.989037	65.580304
PI656005_PI656005	downstream_2kb	33.9233	11756.650606	1973.0	346.565234	58.160545
PI656005_PI656005	intergenic	512.4847	653900.136231	106948.0	1275.940781	208.685252
PI656006_PI656006	exon	62.2529	20349.566594	3218.0	326.885356	51.692358
PI656006_PI656006	intron	57.7947	11371.540170	1859.0	196.757345	32.165555
PI656006_PI656006	upstream_2kb	50.4725	19590.447850	3287.0	388.141247	65.124610
PI656006_PI656006	downstream_2kb	33.9233	11961.569978	2006.0	352.605894	59.133327
PI656006_PI656006	intergenic	512.4847	716740.655109	117245.0	1398.560087	228.777559
PI656007_PI656007	exon	62.2529	19422.765687	3053.0	311.997685	49.041879
PI656007_PI656007	intron	57.7947	10150.618963	1655.0	175.632219	28.635822
PI656007_PI656007	upstream_2kb	50.4725	19794.467595	3325.0	392.183446	65.877496
PI656007_PI656007	downstream_2kb	33.9233	11239.209476	1896.0	331.311986	55.890721
PI656007_PI656007	intergenic	512.4847	533861.183111	87396.0	1041.711444	170.533870
PI656008_PI656008	exon	62.2529	19018.935062	2990.0	305.510750	48.029879
PI656008_PI656008	intron	57.7947	11624.525518	1900.0	201.134652	32.874962
PI656008_PI656008	upstream_2kb	50.4725	19714.255610	3303.0	390.594223	65.441615
PI656008_PI656008	downstream_2kb	33.9233	11661.051872	1953.0	343.747152	57.570980
PI656008_PI656008	intergenic	512.4847	724677.479589	118605.0	1414.047036	231.431297
PI656009_PI656009	exon	62.2529	17660.411678	2764.0	283.688104	44.399527
PI656009_PI656009	intron	57.7947	9428.766667	1535.0	163.142289	26.559509
PI656009_PI656009	upstream_2kb	50.4725	18867.323127	3152.0	373.814136	62.449885
PI656009_PI656009	downstream_2kb	33.9233	10235.083557	1712.0	301.712133	50.466727
PI656009_PI656009	intergenic	512.4847	533149.841605	87214.0	1040.323419	170.178737
PI656010_PI656010	exon	62.2529	20317.276490	3198.0	326.366664	51.371088
PI656010_PI656010	intron	57.7947	11675.922552	1917.0	202.023955	33.169107
PI656010_PI656010	upstream_2kb	50.4725	20434.000561	3420.0	404.854372	67.759710
PI656010_PI656010	downstream_2kb	33.9233	11957.353488	1988.0	352.481599	58.602718
PI656010_PI656010	intergenic	512.4847	770968.836744	126075.0	1504.374331	246.007341
PI656011_PI656011	exon	62.2529	18905.215513	2970.0	303.684016	47.708609
PI656011_PI656011	intron	57.7947	10829.407441	1766.0	187.377033	30.556412
PI656011_PI656011	upstream_2kb	50.4725	19344.525597	3231.0	383.268844	64.015094
PI656011_PI656011	downstream_2kb	33.9233	11035.645013	1839.0	325.311266	54.210462
PI656011_PI656011	intergenic	512.4847	736376.622491	120425.0	1436.875313	234.982622
PI656012_PI656012	exon	62.2529	21437.818126	3352.0	344.366489	53.844867
PI656012_PI656012	intron	57.7947	12829.016784	2084.0	221.975497	36.058643
PI656012_PI656012	upstream_2kb	50.4725	22687.335430	3794.0	449.499202	75.169690
PI656012_PI656012	downstream_2kb	33.9233	13936.907317	2319.0	410.835339	68.360012
PI656012_PI656012	intergenic	512.4847	868571.143454	142050.0	1694.823540	277.179003
PI656013_PI656013	exon	62.2529	20629.609766	3262.0	331.383831	52.399152
PI656013_PI656013	intron	57.7947	11063.149996	1803.0	191.421389	31.196609
PI656013_PI656013	upstream_2kb	50.4725	19926.619937	3333.0	394.801751	66.035998
PI656013_PI656013	downstream_2kb	33.9233	11547.229230	1928.0	340.391863	56.834025
PI656013_PI656013	intergenic	512.4847	753508.662898	123161.0	1470.304682	240.321318
PI656014_PI656014	exon	62.2529	18884.240151	2992.0	303.347078	48.062006
PI656014_PI656014	intron	57.7947	10361.363771	1680.0	179.278655	29.068388
PI656014_PI656014	upstream_2kb	50.4725	17802.457161	2981.0	352.716180	59.061899
PI656014_PI656014	downstream_2kb	33.9233	10319.911730	1721.0	304.212717	50.732031
PI656014_PI656014	intergenic	512.4847	644527.220510	105404.0	1257.651620	205.672479
PI656015_PI656015	exon	62.2529	19184.280952	3011.0	308.166785	48.367212
PI656015_PI656015	intron	57.7947	11061.015262	1813.0	191.384453	31.369635
PI656015_PI656015	upstream_2kb	50.4725	20135.031362	3371.0	398.930961	66.788884
PI656015_PI656015	downstream_2kb	33.9233	11721.865110	1943.0	345.539819	57.276198
PI656015_PI656015	intergenic	512.4847	693331.309360	113317.0	1352.881952	221.112940
PI656016_PI656016	exon	62.2529	16378.656373	2588.0	263.098621	41.572350
PI656016_PI656016	intron	57.7947	10156.836795	1656.0	175.739804	28.653125
PI656016_PI656016	upstream_2kb	50.4725	18281.027250	3046.0	362.197984	60.349730
PI656016_PI656016	downstream_2kb	33.9233	10487.806584	1749.0	309.161960	51.557422
PI656016_PI656016	intergenic	512.4847	668414.631614	109454.0	1304.262593	213.575154
PI656017_PI656017	exon	62.2529	21625.684091	3388.0	347.384275	54.423153
PI656017_PI656017	intron	57.7947	12714.825621	2069.0	219.999691	35.799104
PI656017_PI656017	upstream_2kb	50.4725	23478.861795	3924.0	465.181540	77.745352
PI656017_PI656017	downstream_2kb	33.9233	14391.120632	2395.0	424.224743	70.600357
PI656017_PI656017	intergenic	512.4847	904419.703005	147763.0	1764.774036	288.326653
PI656018_PI656018	exon	62.2529	20749.727971	3239.0	333.313350	52.029691
PI656018_PI656018	intron	57.7947	12243.953738	1992.0	211.852378	34.466803
PI656018_PI656018	upstream_2kb	50.4725	21694.321420	3626.0	429.824833	71.841143
PI656018_PI656018	downstream_2kb	33.9233	12914.673561	2153.0	380.701699	63.466626
PI656018_PI656018	intergenic	512.4847	801821.454308	131083.0	1564.576357	255.779340
PI656019_PI656019	exon	62.2529	20244.892032	3152.0	325.203915	50.632166
PI656019_PI656019	intron	57.7947	11654.184515	1898.0	201.647830	32.840357
PI656019_PI656019	upstream_2kb	50.4725	21100.611172	3525.0	418.061782	69.840052
PI656019_PI656019	downstream_2kb	33.9233	12167.721797	2016.0	358.682884	59.428109
PI656019_PI656019	intergenic	512.4847	665821.993697	108948.0	1299.203637	212.587807
PI656020_PI656020	exon	62.2529	19956.618168	3120.0	320.573227	50.118134
PI656020_PI656020	intron	57.7947	11245.459045	1827.0	194.575812	31.611872
PI656020_PI656020	upstream_2kb	50.4725	20649.642405	3454.0	409.126837	68.433345
PI656020_PI656020	downstream_2kb	33.9233	12336.270270	2053.0	363.651395	60.518803
PI656020_PI656020	intergenic	512.4847	673542.517186	110061.0	1314.268522	214.759580
PI656021_PI656021	exon	62.2529	21119.814100	3301.0	339.258230	53.025629
PI656021_PI656021	intron	57.7947	12360.936340	2004.0	213.876483	34.674434
PI656021_PI656021	upstream_2kb	50.4725	22765.981215	3800.0	451.057394	75.288567
PI656021_PI656021	downstream_2kb	33.9233	14110.703214	2345.0	415.958535	69.126446
PI656021_PI656021	intergenic	512.4847	877330.980842	143393.0	1711.916415	279.799569
PI656022_PI656022	exon	62.2529	19195.267212	2993.0	308.343262	48.078069
PI656022_PI656022	intron	57.7947	11511.164928	1875.0	199.173218	32.442397
PI656022_PI656022	upstream_2kb	50.4725	19701.627125	3291.0	390.344018	65.203861
PI656022_PI656022	downstream_2kb	33.9233	11426.130676	1910.0	336.822092	56.303417
PI656022_PI656022	intergenic	512.4847	615934.664471	100763.0	1201.859601	196.616599
PI656023_PI656023	exon	62.2529	20361.984533	3197.0	327.084831	51.355024
PI656023_PI656023	intron	57.7947	10817.886364	1766.0	187.177688	30.556412
PI656023_PI656023	upstream_2kb	50.4725	20742.085451	3467.0	410.958391	68.690911
PI656023_PI656023	downstream_2kb	33.9233	11090.724857	1855.0	326.934922	54.682114
PI656023_PI656023	intergenic	512.4847	612565.385744	100193.0	1195.285203	195.504371
PI656024_PI656024	exon	62.2529	18910.596680	2983.0	303.770456	47.917434
PI656024_PI656024	intron	57.7947	10501.108160	1705.0	181.696598	29.500953
PI656024_PI656024	upstream_2kb	50.4725	19902.475893	3328.0	394.323391	65.936934
PI656024_PI656024	downstream_2kb	33.9233	10985.806414	1839.0	323.842113	54.210462
PI656024_PI656024	intergenic	512.4847	625215.212892	102346.0	1219.968529	199.705472
PI656025_PI656025	exon	62.2529	21786.934031	3442.0	349.974514	55.290583
PI656025_PI656025	intron	57.7947	11371.635011	1857.0	196.758986	32.130950
PI656025_PI656025	upstream_2kb	50.4725	21364.483593	3569.0	423.289828	70.711814
PI656025_PI656025	downstream_2kb	33.9233	12542.428892	2084.0	369.728586	61.432628
PI656025_PI656025	intergenic	512.4847	803065.889492	131238.0	1567.004596	256.081788
PI656026_PI656026	exon	62.2529	19028.588307	2981.0	305.665815	47.885307
PI656026_PI656026	intron	57.7947	10662.390876	1735.0	184.487210	30.020031
PI656026_PI656026	upstream_2kb	50.4725	19549.002898	3266.0	387.320108	64.708542
PI656026_PI656026	downstream_2kb	33.9233	10905.601614	1828.0	321.477817	53.886202
PI656026_PI656026	intergenic	512.4847	616732.027781	100859.0	1203.415479	196.803922
PI656027_PI656027	exon	62.2529	18751.867496	2939.0	301.220709	47.210640
PI656027_PI656027	intron	57.7947	10278.395200	1680.0	177.843082	29.068388
PI656027_PI656027	upstream_2kb	50.4725	19730.961941	3290.0	390.925222	65.184049
PI656027_PI656027	downstream_2kb	33.9233	11185.514343	1872.0	329.729149	55.183244
PI656027_PI656027	intergenic	512.4847	618650.484566	101162.0	1207.158921	197.395159
PI656028_PI656028	exon	62.2529	20242.641897	3163.0	325.167770	50.808865
PI656028_PI656028	intron	57.7947	11156.166420	1814.0	193.030816	31.386938
PI656028_PI656028	upstream_2kb	50.4725	20164.390022	3370.0	399.512638	66.769071
PI656028_PI656028	downstream_2kb	33.9233	11005.548399	1840.0	324.424071	54.239941
PI656028_PI656028	intergenic	512.4847	596830.502363	97564.0	1164.582075	190.374462
PI656029_PI656029	exon	62.2529	18463.839437	2928.0	296.593969	47.033941
PI656029_PI656029	intron	57.7947	9979.254700	1626.0	172.667170	28.134047
PI656029_PI656029	upstream_2kb	50.4725	19688.232866	3289.0	390.078640	65.164236
PI656029_PI656029	downstream_2kb	33.9233	11630.662514	1936.0	342.851328	57.069851
PI656029_PI656029	intergenic	512.4847	576640.233214	94266.0	1125.185252	183.939148
PI656031_PI656031	exon	62.2529	17963.415042	2813.0	288.555399	45.186638
PI656031_PI656031	intron	57.7947	9738.962834	1593.0	168.509493	27.563061
PI656031_PI656031	upstream_2kb	50.4725	19142.670898	3200.0	379.269541	63.400898
PI656031_PI656031	downstream_2kb	33.9233	10850.087889	1820.0	319.841371	53.650376
PI656031_PI656031	intergenic	512.4847	508290.977488	83149.0	991.816871	162.246793
PI656032_PI656032	exon	62.2529	20562.073358	3231.0	330.298959	51.901183
PI656032_PI656032	intron	57.7947	11673.741032	1903.0	201.986209	32.926870
PI656032_PI656032	upstream_2kb	50.4725	21322.224552	3573.0	422.452559	70.791065
PI656032_PI656032	downstream_2kb	33.9233	11949.147020	1997.0	352.239687	58.868022
PI656032_PI656032	intergenic	512.4847	733326.532047	119854.0	1430.923740	233.868443
PI656033_PI656033	exon	62.2529	21640.038277	3389.0	347.614854	54.439217
PI656033_PI656033	intron	57.7947	12793.392270	2082.0	221.359100	36.024038
PI656033_PI656033	upstream_2kb	50.4725	23340.751564	3900.0	462.445192	77.269845
PI656033_PI656033	downstream_2kb	33.9233	14423.581081	2399.0	425.181620	70.718270
PI656033_PI656033	intergenic	512.4847	900795.607655	147219.0	1757.702419	287.265158
PI656034_PI656034	exon	62.2529	19887.579392	3120.0	319.464222	50.118134
PI656034_PI656034	intron	57.7947	11028.611794	1795.0	190.823788	31.058188
PI656034_PI656034	upstream_2kb	50.4725	19646.604833	3285.0	389.253873	65.084985
PI656034_PI656034	downstream_2kb	33.9233	11442.223248	1913.0	337.296472	56.391851
PI656034_PI656034	intergenic	512.4847	646428.823196	105774.0	1261.362175	206.394452
PI656035_PI656035	exon	62.2529	18953.132821	2992.0	304.453735	48.062006
PI656035_PI656035	intron	57.7947	10437.916560	1704.0	180.603218	29.483650
PI656035_PI656035	upstream_2kb	50.4725	18949.391166	3181.0	375.440132	63.024455
PI656035_PI656035	downstream_2kb	33.9233	10655.059208	1788.0	314.092271	52.707073
PI656035_PI656035	intergenic	512.4847	589266.518930	96220.0	1149.822643	187.751944
PI656036_PI656036	exon	62.2529	18536.857729	2920.0	297.766899	46.905433
PI656036_PI656036	intron	57.7947	11412.997135	1870.0	197.474658	32.355884
PI656036_PI656036	upstream_2kb	50.4725	19756.789309	3305.0	391.436934	65.481240
PI656036_PI656036	downstream_2kb	33.9233	11428.088339	1913.0	336.879800	56.391851
PI656036_PI656036	intergenic	512.4847	744676.802630	121800.0	1453.071270	237.665629
PI656037_PI656037	exon	62.2529	18683.137816	2924.0	300.116669	46.969687
PI656037_PI656037	intron	57.7947	9773.912725	1592.0	169.114217	27.545758
PI656037_PI656037	upstream_2kb	50.4725	19446.969305	3258.0	385.298538	64.550040
PI656037_PI656037	downstream_2kb	33.9233	11097.416688	1855.0	327.132186	54.682114
PI656037_PI656037	intergenic	512.4847	629759.122695	102988.0	1228.834959	200.958192
PI656038_PI656038	exon	62.2529	20068.455781	3151.0	322.369731	50.616103
PI656038_PI656038	intron	57.7947	11111.107461	1820.0	192.251179	31.490753
PI656038_PI656038	upstream_2kb	50.4725	20394.963623	3415.0	404.080942	67.660646
PI656038_PI656038	downstream_2kb	33.9233	10897.208347	1818.0	321.230398	53.591420
PI656038_PI656038	intergenic	512.4847	611709.438055	100081.0	1193.615011	195.285828
PI656039_PI656039	exon	62.2529	18828.849974	2967.0	302.457317	47.660418
PI656039_PI656039	intron	57.7947	11370.893011	1860.0	196.746147	32.182858
PI656039_PI656039	upstream_2kb	50.4725	19618.198421	3286.0	388.691063	65.104797
PI656039_PI656039	downstream_2kb	33.9233	11454.833858	1919.0	337.668211	56.568721
PI656039_PI656039	intergenic	512.4847	659041.190945	107935.0	1285.972407	210.611163
PI656040_PI656040	exon	62.2529	20716.381774	3276.0	332.777693	52.624041
PI656040_PI656040	intron	57.7947	12212.552436	2000.0	211.309053	34.605224
PI656040_PI656040	upstream_2kb	50.4725	20066.058826	3359.0	397.564423	66.551130
PI656040_PI656040	downstream_2kb	33.9233	12149.405185	2022.0	358.142943	59.604978
PI656040_PI656040	intergenic	512.4847	768916.553664	125691.0	1500.369757	245.258051
PI656041_PI656041	exon	62.2529	21756.136422	3402.0	349.479797	54.648043
PI656041_PI656041	intron	57.7947	12838.470151	2090.0	222.139065	36.162459
PI656041_PI656041	upstream_2kb	50.4725	23477.797952	3924.0	465.160462	77.745352
PI656041_PI656041	downstream_2kb	33.9233	14634.430507	2434.0	431.397088	71.750008
PI656041_PI656041	intergenic	512.4847	904041.559849	147715.0	1764.036174	288.232992
PI656042_PI656042	exon	62.2529	20360.695310	3208.0	327.064122	51.531723
PI656042_PI656042	intron	57.7947	12257.698858	1995.0	212.090204	34.518710
PI656042_PI656042	upstream_2kb	50.4725	21081.096060	3537.0	417.675133	70.077805
PI656042_PI656042	downstream_2kb	33.9233	11991.015541	2000.0	353.473897	58.956457
PI656042_PI656042	intergenic	512.4847	812272.556099	132797.0	1584.969359	259.123830
PI656043_PI656043	exon	62.2529	18789.333066	2957.0	301.822537	47.499783
PI656043_PI656043	intron	57.7947	11015.327645	1793.0	190.593938	31.023583
PI656043_PI656043	upstream_2kb	50.4725	19580.519252	3277.0	387.944534	64.926482
PI656043_PI656043	downstream_2kb	33.9233	11731.206357	1964.0	345.815182	57.895241
PI656043_PI656043	intergenic	512.4847	705318.231841	115420.0	1376.271767	225.216477
PI656044_PI656044	exon	62.2529	18153.917169	2858.0	291.615531	45.909496
PI656044_PI656044	intron	57.7947	10323.261845	1685.0	178.619392	29.154901
PI656044_PI656044	upstream_2kb	50.4725	19509.316864	3262.0	386.533817	64.629291
PI656044_PI656044	downstream_2kb	33.9233	10859.994923	1816.0	320.133413	53.532463
PI656044_PI656044	intergenic	512.4847	618332.521030	101130.0	1206.538486	197.332718
PI656046_PI656046	exon	62.2529	20555.833938	3232.0	330.198732	51.917247
PI656046_PI656046	intron	57.7947	12158.706177	1988.0	210.377373	34.397592
PI656046_PI656046	upstream_2kb	50.4725	20366.436154	3406.0	403.515733	67.482331
PI656046_PI656046	downstream_2kb	33.9233	12382.189485	2055.0	365.005012	60.577760
PI656046_PI656046	intergenic	512.4847	743143.632126	121419.0	1450.079629	236.922192
PI656047_PI656047	exon	62.2529	21768.974652	3428.0	349.686024	55.065694
PI656047_PI656047	intron	57.7947	11793.168483	1940.0	204.052616	33.567067
PI656047_PI656047	upstream_2kb	50.4725	20975.658869	3506.0	415.586129	69.463609
PI656047_PI656047	downstream_2kb	33.9233	13048.674585	2168.0	384.651812	63.908800
PI656047_PI656047	intergenic	512.4847	745299.557012	121903.0	1454.286437	237.866611
PI656048_PI656048	exon	62.2529	16629.780766	2622.0	267.132559	42.118509
PI656048_PI656048	intron	57.7947	9607.512701	1557.0	166.235062	26.940167
PI656048_PI656048	upstream_2kb	50.4725	18627.023866	3126.0	369.053139	61.934753
PI656048_PI656048	downstream_2kb	33.9233	10724.000305	1786.0	316.124532	52.648116
PI656048_PI656048	intergenic	512.4847	527430.267554	86439.0	1029.162942	168.666497
PI656049_PI656049	exon	62.2529	20785.720842	3254.0	333.891522	52.270644
PI656049_PI656049	intron	57.7947	11119.403420	1804.0	192.394720	31.213912
PI656049_PI656049	upstream_2kb	50.4725	20188.826322	3376.0	399.996789	66.887948
PI656049_PI656049	downstream_2kb	33.9233	11814.221103	1972.0	348.262310	58.131067
PI656049_PI656049	intergenic	512.4847	583901.046002	95499.0	1139.353115	186.345073
PI656050_PI656050	exon	62.2529	18526.970437	2920.0	297.608074	46.905433
PI656050_PI656050	intron	57.7947	10105.169308	1652.0	174.845821	28.583915
PI656050_PI656050	upstream_2kb	50.4725	18691.230539	3133.0	370.325252	62.073442
PI656050_PI656050	downstream_2kb	33.9233	10494.738102	1760.0	309.366289	51.881682
PI656050_PI656050	intergenic	512.4847	564731.168037	92290.0	1101.947358	180.083423
PI656051_PI656051	exon	62.2529	18534.761048	2914.0	297.733219	46.809052
PI656051_PI656051	intron	57.7947	10152.167486	1662.0	175.659013	28.756941
PI656051_PI656051	upstream_2kb	50.4725	19328.219145	3235.0	382.945768	64.094346
PI656051_PI656051	downstream_2kb	33.9233	11449.124813	1918.0	337.499918	56.539242
PI656051_PI656051	intergenic	512.4847	691414.779403	113099.0	1349.142270	220.687561
PI656052_PI656052	exon	62.2529	19153.398268	3017.0	307.670700	48.463593
PI656052_PI656052	intron	57.7947	11578.593205	1898.0	200.339903	32.840357
PI656052_PI656052	upstream_2kb	50.4725	20834.996570	3474.0	412.799218	68.829600
PI656052_PI656052	downstream_2kb	33.9233	11889.464236	1974.0	350.480344	58.190023
PI656052_PI656052	intergenic	512.4847	788229.766971	128815.0	1538.055200	251.353842
PI656053_PI656053	exon	62.2529	17379.181274	2753.0	279.170558	44.222828
PI656053_PI656053	intron	57.7947	10406.395271	1699.0	180.057817	29.397137
PI656053_PI656053	upstream_2kb	50.4725	19085.217235	3174.0	378.131224	62.885766
PI656053_PI656053	downstream_2kb	33.9233	10528.926275	1764.0	310.374095	51.999595
PI656053_PI656053	intergenic	512.4847	632734.989181	103571.0	1234.641701	202.095787
PI656054_PI656054	exon	62.2529	19648.166024	3084.0	315.618405	49.539848
PI656054_PI656054	intron	57.7947	10459.185517	1710.0	180.971226	29.587466
PI656054_PI656054	upstream_2kb	50.4725	19412.717348	3245.0	384.619912	64.292473
PI656054_PI656054	downstream_2kb	33.9233	10336.601999	1728.0	304.704716	50.938379
PI656054_PI656054	intergenic	512.4847	669898.775565	109568.0	1307.158570	213.797600
PI656055_PI656055	exon	62.2529	17910.224675	2816.0	287.700976	45.234829
PI656055_PI656055	intron	57.7947	10902.362369	1777.0	188.639343	30.746741
PI656055_PI656055	upstream_2kb	50.4725	19545.377232	3276.0	387.248273	64.906670
PI656055_PI656055	downstream_2kb	33.9233	11078.709709	1863.0	326.580737	54.917940
PI656055_PI656055	intergenic	512.4847	796742.279474	130306.0	1554.665476	254.263197
PI656056_PI656056	exon	62.2529	18661.096919	2932.0	299.762615	47.098195
PI656056_PI656056	intron	57.7947	10815.049199	1760.0	187.128597	30.452597
PI656056_PI656056	upstream_2kb	50.4725	19246.020256	3219.0	381.317179	63.777341
PI656056_PI656056	downstream_2kb	33.9233	11425.022328	1914.0	336.789420	56.421329
PI656056_PI656056	intergenic	512.4847	712734.352201	116656.0	1390.742678	227.628256
PI656057_PI656057	exon	62.2529	19739.198496	3106.0	317.080705	49.893245
PI656057_PI656057	intron	57.7947	11544.774325	1893.0	199.754748	32.753844
PI656057_PI656057	upstream_2kb	50.4725	18694.879936	3132.0	370.397557	62.053629
PI656057_PI656057	downstream_2kb	33.9233	11233.286231	1876.0	331.137379	55.301157
PI656057_PI656057	intergenic	512.4847	702534.788241	114774.0	1370.840495	223.955952
PI656058_PI656058	exon	62.2529	19021.861540	2995.0	305.557760	48.110196
PI656058_PI656058	intron	57.7947	11087.570503	1818.0	191.843928	31.456148
PI656058_PI656058	upstream_2kb	50.4725	19425.868624	3243.0	384.880475	64.252848
PI656058_PI656058	downstream_2kb	33.9233	11135.153622	1872.0	328.244604	55.183244
PI656058_PI656058	intergenic	512.4847	629797.322373	103072.0	1228.909497	201.122099
PI656059_PI656059	exon	62.2529	17117.773014	2684.0	274.971425	43.114446
PI656059_PI656059	intron	57.7947	9910.858034	1613.0	171.483729	27.909113
PI656059_PI656059	upstream_2kb	50.4725	18177.252690	3040.0	360.141922	60.230853
PI656059_PI656059	downstream_2kb	33.9233	10985.788637	1842.0	323.841589	54.298897
PI656059_PI656059	intergenic	512.4847	527719.444743	86486.0	1029.727207	168.758207
PI656060_PI656060	exon	62.2529	19292.785769	3003.0	309.909752	48.238704
PI656060_PI656060	intron	57.7947	11458.029121	1867.0	198.253829	32.303976
PI656060_PI656060	upstream_2kb	50.4725	19345.073339	3227.0	383.279696	63.935843
PI656060_PI656060	downstream_2kb	33.9233	11290.975744	1888.0	332.837964	55.654896
PI656060_PI656060	intergenic	512.4847	611927.536516	100113.0	1194.040582	195.348269
PI656061_PI656061	exon	62.2529	18641.935484	2904.0	299.454816	46.648417
PI656061_PI656061	intron	57.7947	10528.904185	1719.0	182.177541	29.743190
PI656061_PI656061	upstream_2kb	50.4725	18570.227543	3092.0	367.927846	61.261118
PI656061_PI656061	downstream_2kb	33.9233	10619.679267	1773.0	313.049333	52.264899
PI656061_PI656061	intergenic	512.4847	543925.645037	88979.0	1061.350005	173.622742
PI656062_PI656062	exon	62.2529	18740.587888	2938.0	301.039519	47.194576
PI656062_PI656062	intron	57.7947	10933.202392	1786.0	189.172956	30.902465
PI656062_PI656062	upstream_2kb	50.4725	19583.585717	3271.0	388.005289	64.807606
PI656062_PI656062	downstream_2kb	33.9233	11145.352165	1858.0	328.545239	54.770549
PI656062_PI656062	intergenic	512.4847	735026.223964	120179.0	1434.240311	234.502608
PI656063_PI656063	exon	62.2529	18153.859075	2856.0	291.614598	45.877369
PI656063_PI656063	intron	57.7947	10307.568671	1681.0	178.347859	29.085690
PI656063_PI656063	upstream_2kb	50.4725	18797.483211	3146.0	372.430413	62.331008
PI656063_PI656063	downstream_2kb	33.9233	10820.547860	1804.0	318.970583	53.178724
PI656063_PI656063	intergenic	512.4847	543882.462693	89058.0	1061.265744	173.776893
PI656064_PI656064	exon	62.2529	21738.363647	3421.0	349.194304	54.953249
PI656064_PI656064	intron	57.7947	11987.993098	1958.0	207.423590	33.878514
PI656064_PI656064	upstream_2kb	50.4725	22705.720161	3794.0	449.863454	75.169690
PI656064_PI656064	downstream_2kb	33.9233	13144.037966	2180.0	387.462956	64.262538
PI656064_PI656064	intergenic	512.4847	823240.569669	134504.0	1606.371000	262.454661
PI656065_PI656065	exon	62.2529	19086.114445	3004.0	306.589886	48.254768
PI656065_PI656065	intron	57.7947	11342.258731	1855.0	196.250699	32.096345
PI656065_PI656065	upstream_2kb	50.4725	20275.188712	3396.0	401.707868	67.284203
PI656065_PI656065	downstream_2kb	33.9233	11721.307616	1945.0	345.523385	57.335155
PI656065_PI656065	intergenic	512.4847	694860.315263	113612.0	1355.865467	221.688567
PI656066_PI656066	exon	62.2529	18584.142387	2942.0	298.526456	47.258830
PI656066_PI656066	intron	57.7947	10872.682192	1768.0	188.125799	30.591018
PI656066_PI656066	upstream_2kb	50.4725	19717.644792	3290.0	390.661372	65.184049
PI656066_PI656066	downstream_2kb	33.9233	11160.459015	1871.0	328.990562	55.153766
PI656066_PI656066	intergenic	512.4847	700307.632728	114506.0	1366.494696	223.433009
PI656067_PI656067	exon	62.2529	21087.909183	3333.0	338.745725	53.539661
PI656067_PI656067	intron	57.7947	11127.951233	1822.0	192.542620	31.525359
PI656067_PI656067	upstream_2kb	50.4725	20979.756064	3505.0	415.667306	69.443796
PI656067_PI656067	downstream_2kb	33.9233	12312.359680	2036.0	362.946553	60.017673
PI656067_PI656067	intergenic	512.4847	714289.222710	116795.0	1393.776662	227.899484
PI656068_PI656068	exon	62.2529	17294.810672	2722.0	277.815270	43.724859
PI656068_PI656068	intron	57.7947	10274.078132	1672.0	177.768385	28.929967
PI656068_PI656068	upstream_2kb	50.4725	18799.866109	3157.0	372.477625	62.548949
PI656068_PI656068	downstream_2kb	33.9233	10700.053221	1797.0	315.418615	52.972377
PI656068_PI656068	intergenic	512.4847	709341.178764	116111.0	1384.121654	226.564810
PI656069_PI656069	exon	62.2529	18345.085938	2895.0	294.686372	46.503846
PI656069_PI656069	intron	57.7947	9365.301892	1531.0	162.044183	26.490299
PI656069_PI656069	upstream_2kb	50.4725	18732.162263	3146.0	371.136223	62.331008
PI656069_PI656069	downstream_2kb	33.9233	10057.669373	1683.0	296.482277	49.611859
PI656069_PI656069	intergenic	512.4847	514656.656763	84230.0	1004.238079	164.356124
PI656070_PI656070	exon	62.2529	18427.504088	2901.0	296.010296	46.600227
PI656070_PI656070	intron	57.7947	9956.328551	1624.0	172.270487	28.099442
PI656070_PI656070	upstream_2kb	50.4725	19366.996823	3246.0	383.714061	64.312286
PI656070_PI656070	downstream_2kb	33.9233	10962.307735	1833.0	323.149413	54.033593
