sample	feature	cutoff	genetic_load	n_del
PI533839_PI533839	exon	5%	10202.882900	1456.000000
PI533841_PI533841	exon	5%	12482.048170	1756.000000
PI533842_PI533842	exon	5%	12525.999300	1753.000000
PI533843_PI533843	exon	5%	12706.379260	1781.000000
PI533845_PI533845	exon	5%	11710.900470	1635.000000
PI533852_PI533852	exon	5%	11823.766950	1669.000000
PI533855_PI533855	exon	5%	11528.948090	1625.000000
PI533856_PI533856	exon	5%	12922.587200	1812.000000
PI533863_PI533863	exon	5%	11188.544150	1575.000000
PI533866_PI533866	exon	5%	11313.694980	1602.000000
PI533869_PI533869	exon	5%	11293.059690	1581.000000
PI533871_PI533871	exon	5%	12290.222060	1735.000000
PI533876_PI533876	exon	5%	10844.129570	1526.000000
PI533877_PI533877	exon	5%	11878.615640	1674.000000
PI533878_PI533878	exon	5%	12124.825100	1718.000000
PI533882_PI533882	exon	5%	11616.473620	1650.000000
PI533901_PI533901	exon	5%	11398.623830	1606.000000
PI533902_PI533902	exon	5%	12325.676320	1726.000000
PI533903_PI533903	exon	5%	9490.892710	1340.000000
PI533910_PI533910	exon	5%	10874.977450	1531.000000
PI533911_PI533911	exon	5%	10653.701080	1503.000000
PI533912_PI533912	exon	5%	10845.225110	1524.000000
PI533913_PI533913	exon	5%	10780.990530	1531.000000
PI533915_PI533915	exon	5%	11709.462420	1639.000000
PI533919_PI533919	exon	5%	9905.805550	1406.000000
PI533921_PI533921	exon	5%	11655.647700	1640.000000
PI533924_PI533924	exon	5%	10304.054280	1459.000000
PI533927_PI533927	exon	5%	10943.406820	1534.000000
PI533936_PI533936	exon	5%	11880.541130	1672.000000
PI533937_PI533937	exon	5%	12199.775440	1713.000000
PI533938_PI533938	exon	5%	11233.226060	1586.000000
PI533939_PI533939	exon	5%	11172.852120	1566.000000
PI533940_PI533940	exon	5%	11797.883080	1659.000000
PI533943_PI533943	exon	5%	12971.001080	1811.000000
PI533948_PI533948	exon	5%	11612.431950	1628.000000
PI533949_PI533949	exon	5%	10581.733230	1493.000000
PI533954_PI533954	exon	5%	11588.663620	1622.000000
PI533955_PI533955	exon	5%	12000.630070	1688.000000
PI533956_PI533956	exon	5%	11174.500150	1575.000000
PI533957_PI533957	exon	5%	11552.273250	1628.000000
PI533961_PI533961	exon	5%	10405.544110	1473.000000
PI533962_PI533962	exon	5%	10604.577140	1484.000000
PI533964_PI533964	exon	5%	10874.187610	1533.000000
PI533965_PI533965	exon	5%	11201.326380	1581.000000
PI533967_PI533967	exon	5%	10792.220760	1528.000000
PI533970_PI533970	exon	5%	10810.440180	1522.000000
PI533972_PI533972	exon	5%	9735.557980	1378.000000
PI533976_PI533976	exon	5%	10046.657840	1421.000000
PI533979_PI533979	exon	5%	12319.931070	1726.000000
PI533980_PI533980	exon	5%	11229.557340	1577.000000
PI533985_PI533985	exon	5%	10465.279540	1455.000000
PI533986_PI533986	exon	5%	11235.597890	1586.000000
PI533987_PI533987	exon	5%	10129.524890	1431.000000
PI533989_PI533989	exon	5%	10783.788710	1514.000000
PI533991_PI533991	exon	5%	10894.703990	1543.000000
PI533996_PI533996	exon	5%	10572.597670	1483.000000
PI533997_PI533997	exon	5%	10889.619180	1539.000000
PI534009_PI534009	exon	5%	11911.720560	1671.000000
PI534021_PI534021	exon	5%	12761.061700	1788.000000
PI534028_PI534028	exon	5%	12689.735610	1776.000000
PI534037_PI534037	exon	5%	11451.728550	1634.000000
PI534046_PI534046	exon	5%	9874.554450	1395.000000
PI534047_PI534047	exon	5%	10653.114680	1517.000000
PI534053_PI534053	exon	5%	11494.859040	1625.000000
PI534054_PI534054	exon	5%	11635.147460	1638.000000
PI534063_PI534063	exon	5%	12592.496470	1780.000000
PI534070_PI534070	exon	5%	12503.465210	1771.000000
PI534075_PI534075	exon	5%	11636.300420	1641.000000
PI534079_PI534079	exon	5%	12204.918580	1719.000000
PI534088_PI534088	exon	5%	12368.772470	1754.000000
PI534092_PI534092	exon	5%	12395.640910	1752.000000
PI534096_PI534096	exon	5%	9971.051960	1423.000000
PI534097_PI534097	exon	5%	12546.226620	1769.000000
PI534099_PI534099	exon	5%	10954.209520	1549.000000
PI534101_PI534101	exon	5%	9984.275720	1404.000000
PI534105_PI534105	exon	5%	10804.695140	1521.000000
PI534108_PI534108	exon	5%	10490.220560	1480.000000
PI534112_PI534112	exon	5%	10730.433400	1522.000000
PI534114_PI534114	exon	5%	10394.894960	1459.000000
PI534115_PI534115	exon	5%	10770.564850	1519.000000
PI534116_PI534116	exon	5%	9744.213510	1379.000000
PI534117_PI534117	exon	5%	10774.231740	1515.000000
PI534123_PI534123	exon	5%	10289.126500	1457.000000
PI534124_PI534124	exon	5%	10094.816650	1426.000000
PI534127_PI534127	exon	5%	11632.910800	1637.000000
PI534128_PI534128	exon	5%	11729.476720	1652.000000
PI534132_PI534132	exon	5%	11013.568490	1549.000000
PI534133_PI534133	exon	5%	11354.076670	1606.000000
PI534135_PI534135	exon	5%	11400.882170	1602.000000
PI534137_PI534137	exon	5%	10696.393470	1513.000000
PI534138_PI534138	exon	5%	9656.451130	1367.000000
PI534139_PI534139	exon	5%	11255.859260	1588.000000
PI534144_PI534144	exon	5%	11108.708120	1572.000000
PI534145_PI534145	exon	5%	11409.976950	1618.000000
PI534148_PI534148	exon	5%	11807.705640	1663.000000
PI534155_PI534155	exon	5%	10915.539640	1543.000000
PI534157_PI534157	exon	5%	10271.716600	1450.000000
PI534163_PI534163	exon	5%	11548.924680	1638.000000
PI534167_PI534167	exon	5%	11421.194100	1605.000000
PI540816_PI540816	exon	5%	12525.560830	1757.000000
PI542406_PI542406	exon	5%	10960.240920	1564.000000
PI542718_PI542718	exon	5%	12451.317640	1758.000000
PI548797_PI548797	exon	5%	11325.412040	1600.000000
PI552856_PI552856	exon	5%	9593.363750	1356.000000
PI552861_PI552861	exon	5%	10854.385820	1520.000000
PI561071_PI561071	exon	5%	11499.141520	1617.000000
PI561072_PI561072	exon	5%	11979.698980	1682.000000
PI561073_PI561073	exon	5%	12214.976910	1717.000000
PI561472_PI561472	exon	5%	11177.482670	1568.000000
PI562730_PI562730	exon	5%	9781.981470	1395.000000
PI564163_PI564163	exon	5%	8301.636200	1177.000000
PI564164_PI564164	exon	5%	11217.928820	1576.000000
PI564165_PI564165	exon	5%	12204.201330	1707.000000
PI565121_PI565121	exon	5%	10877.008820	1531.000000
PI566819_PI566819	exon	5%	11367.086730	1601.000000
PI576130_PI576130	exon	5%	11112.394990	1566.000000
PI576332_PI576332	exon	5%	12408.731330	1744.000000
PI576333_PI576333	exon	5%	11483.776660	1613.000000
PI576337_PI576337	exon	5%	10641.597790	1493.000000
PI576339_PI576339	exon	5%	12575.701350	1763.000000
PI576340_PI576340	exon	5%	11829.637290	1661.000000
PI576345_PI576345	exon	5%	11564.292820	1625.000000
PI576347_PI576347	exon	5%	10451.827190	1476.000000
PI576348_PI576348	exon	5%	10586.300900	1505.000000
PI576349_PI576349	exon	5%	10440.080060	1488.000000
PI576350_PI576350	exon	5%	10955.514850	1549.000000
PI576352_PI576352	exon	5%	11875.298290	1665.000000
PI576359_PI576359	exon	5%	12478.626630	1742.000000
PI576364_PI576364	exon	5%	12252.303380	1726.000000
PI576366_PI576366	exon	5%	11900.739450	1677.000000
PI576373_PI576373	exon	5%	11450.138680	1608.000000
PI576375_PI576375	exon	5%	11432.563780	1611.000000
PI576376_PI576376	exon	5%	11369.335640	1606.000000
PI576380_PI576380	exon	5%	10514.496050	1474.000000
PI576381_PI576381	exon	5%	11717.804090	1653.000000
PI576385_PI576385	exon	5%	12661.669030	1781.000000
PI576386_PI576386	exon	5%	11014.761200	1550.000000
PI576387_PI576387	exon	5%	10829.031830	1520.000000
PI576390_PI576390	exon	5%	12604.071970	1770.000000
PI576391_PI576391	exon	5%	12238.574410	1725.000000
PI576393_PI576393	exon	5%	10377.840080	1456.000000
PI576394_PI576394	exon	5%	11585.222110	1630.000000
PI576396_PI576396	exon	5%	10412.073510	1469.000000
PI576399_PI576399	exon	5%	11162.251770	1578.000000
PI576401_PI576401	exon	5%	11971.033890	1684.000000
PI576418_PI576418	exon	5%	12383.075070	1752.000000
PI576422_PI576422	exon	5%	11818.617170	1658.000000
PI576425_PI576425	exon	5%	11603.414270	1636.000000
PI576426_PI576426	exon	5%	11407.351570	1610.000000
PI576428_PI576428	exon	5%	10377.157990	1455.000000
PI576434_PI576434	exon	5%	11447.659040	1624.000000
PI576435_PI576435	exon	5%	12049.386750	1699.000000
PI576437_PI576437	exon	5%	10224.821570	1435.000000
PI585291_PI585291	exon	5%	12359.776710	1733.000000
PI585295_PI585295	exon	5%	11851.533670	1679.000000
PI595699_PI595699	exon	5%	11667.832590	1641.000000
PI595702_PI595702	exon	5%	12122.274210	1697.000000
PI595714_PI595714	exon	5%	11557.040380	1623.000000
PI595718_PI595718	exon	5%	10943.010610	1551.000000
PI595720_PI595720	exon	5%	11032.645070	1559.000000
PI595739_PI595739	exon	5%	10650.925170	1494.000000
PI595740_PI595740	exon	5%	10824.060880	1531.000000
PI595741_PI595741	exon	5%	11317.269160	1603.000000
PI595743_PI595743	exon	5%	11179.919080	1567.000000
PI595744_PI595744	exon	5%	11004.160560	1536.000000
PI595745_PI595745	exon	5%	11208.500110	1574.000000
PI597945_PI597945	exon	5%	10303.258470	1460.000000
PI597946_PI597946	exon	5%	10698.278930	1510.000000
PI597949_PI597949	exon	5%	11221.668010	1579.000000
PI597950_PI597950	exon	5%	12152.780470	1705.000000
PI597951_PI597951	exon	5%	13071.513720	1845.000000
PI597952_PI597952	exon	5%	11530.583930	1626.000000
PI597957_PI597957	exon	5%	11555.832280	1633.000000
PI597958_PI597958	exon	5%	12084.850640	1688.000000
PI597960_PI597960	exon	5%	12496.722550	1758.000000
PI597961_PI597961	exon	5%	10319.189460	1461.000000
PI597964_PI597964	exon	5%	10333.431460	1460.000000
PI597965_PI597965	exon	5%	10905.716530	1539.000000
PI597966_PI597966	exon	5%	10544.480150	1492.000000
PI597967_PI597967	exon	5%	10598.207580	1485.000000
PI597968_PI597968	exon	5%	11086.642200	1562.000000
PI597971_PI597971	exon	5%	11054.415760	1560.000000
PI597972_PI597972	exon	5%	10935.594310	1543.000000
PI597973_PI597973	exon	5%	10936.704130	1541.000000
PI597976_PI597976	exon	5%	11351.985320	1601.000000
PI597980_PI597980	exon	5%	10953.677140	1550.000000
PI597982_PI597982	exon	5%	10406.029290	1478.000000
PI598069_PI598069	exon	5%	12122.421370	1714.000000
PI598070_PI598070	exon	5%	12038.128600	1700.000000
PI601816_PI601816	exon	5%	10919.653930	1529.000000
PI607931_PI607931	exon	5%	10478.341130	1479.000000
PI609456_PI609456	exon	5%	9751.335750	1399.000000
PI613536_PI613536	exon	5%	11205.666440	1568.000000
PI629034_PI629034	exon	5%	11506.005980	1612.000000
PI629040_PI629040	exon	5%	12072.372290	1694.000000
PI629059_PI629059	exon	5%	10611.502300	1500.000000
PI641824_PI641824	exon	5%	11591.271630	1626.000000
PI641836_PI641836	exon	5%	11944.899020	1682.000000
PI641849_PI641849	exon	5%	13030.845630	1832.000000
PI641874_PI641874	exon	5%	13343.899820	1865.000000
PI642791_PI642791	exon	5%	11782.948600	1654.000000
PI642793_PI642793	exon	5%	12078.958710	1692.000000
PI642992_PI642992	exon	5%	11353.824120	1604.000000
PI642998_PI642998	exon	5%	10253.037640	1462.000000
PI651492_PI651492	exon	5%	11899.151390	1676.000000
PI651496_PI651496	exon	5%	11664.858170	1653.000000
PI653616_PI653616	exon	5%	11184.752350	1579.000000
PI653617_PI653617	exon	5%	11401.876540	1610.000000
PI655970_PI655970	exon	5%	12228.757510	1703.000000
PI655971_PI655971	exon	5%	12843.268660	1799.000000
PI655972_PI655972	exon	5%	12299.567510	1718.000000
PI655973_PI655973	exon	5%	11334.551960	1589.000000
PI655974_PI655974	exon	5%	11920.672040	1662.000000
PI655975_PI655975	exon	5%	11610.022530	1629.000000
PI655976_PI655976	exon	5%	12100.272970	1696.000000
PI655977_PI655977	exon	5%	11292.464310	1590.000000
PI655978_PI655978	exon	5%	13328.784940	1878.000000
PI655979_PI655979	exon	5%	12342.616960	1731.000000
PI655980_PI655980	exon	5%	10625.957870	1502.000000
PI655981_PI655981	exon	5%	12035.608120	1701.000000
PI655982_PI655982	exon	5%	11325.372790	1599.000000
PI655983_PI655983	exon	5%	11918.710550	1678.000000
PI655984_PI655984	exon	5%	11806.506460	1650.000000
PI655985_PI655985	exon	5%	12780.049920	1790.000000
PI655986_PI655986	exon	5%	12419.899050	1738.000000
PI655987_PI655987	exon	5%	11816.827620	1657.000000
PI655988_PI655988	exon	5%	11910.049860	1659.000000
PI655989_PI655989	exon	5%	11943.804280	1668.000000
PI655990_PI655990	exon	5%	12855.536110	1808.000000
PI655991_PI655991	exon	5%	12116.233560	1698.000000
PI655992_PI655992	exon	5%	11159.183380	1556.000000
PI655993_PI655993	exon	5%	11498.449060	1613.000000
PI655994_PI655994	exon	5%	11991.443640	1686.000000
PI655995_PI655995	exon	5%	10417.347480	1483.000000
PI655996_PI655996	exon	5%	11802.564080	1660.000000
PI655997_PI655997	exon	5%	12253.415960	1710.000000
PI655998_PI655998	exon	5%	12298.786270	1739.000000
PI655999_PI655999	exon	5%	11405.931890	1600.000000
PI656000_PI656000	exon	5%	8981.187430	1274.000000
PI656001_PI656001	exon	5%	11005.671230	1544.000000
PI656002_PI656002	exon	5%	11949.769440	1668.000000
PI656003_PI656003	exon	5%	12674.793340	1783.000000
PI656004_PI656004	exon	5%	11707.210240	1653.000000
PI656005_PI656005	exon	5%	12193.040210	1708.000000
PI656006_PI656006	exon	5%	11899.616330	1694.000000
PI656007_PI656007	exon	5%	11399.278580	1607.000000
PI656008_PI656008	exon	5%	10794.446350	1507.000000
PI656009_PI656009	exon	5%	10480.580690	1469.000000
PI656010_PI656010	exon	5%	12106.638350	1715.000000
PI656011_PI656011	exon	5%	10769.356660	1506.000000
PI656012_PI656012	exon	5%	12819.858990	1795.000000
PI656013_PI656013	exon	5%	11750.851560	1662.000000
PI656014_PI656014	exon	5%	10686.394720	1514.000000
PI656015_PI656015	exon	5%	11262.254390	1582.000000
PI656016_PI656016	exon	5%	9496.003160	1347.000000
PI656017_PI656017	exon	5%	12800.007670	1794.000000
PI656018_PI656018	exon	5%	12636.935520	1773.000000
PI656019_PI656019	exon	5%	12317.764750	1722.000000
PI656020_PI656020	exon	5%	11887.456490	1663.000000
PI656021_PI656021	exon	5%	12647.830520	1771.000000
PI656022_PI656022	exon	5%	11456.757230	1597.000000
PI656023_PI656023	exon	5%	11851.791290	1662.000000
PI656024_PI656024	exon	5%	10881.611760	1534.000000
PI656025_PI656025	exon	5%	12314.669700	1738.000000
PI656026_PI656026	exon	5%	11157.143290	1561.000000
PI656027_PI656027	exon	5%	11044.136550	1549.000000
PI656028_PI656028	exon	5%	12000.943310	1677.000000
PI656029_PI656029	exon	5%	10526.982360	1493.000000
PI656031_PI656031	exon	5%	10568.679160	1479.000000
PI656032_PI656032	exon	5%	11970.119140	1682.000000
PI656033_PI656033	exon	5%	12856.017910	1802.000000
PI656034_PI656034	exon	5%	11813.725740	1665.000000
PI656035_PI656035	exon	5%	10586.563660	1484.000000
PI656036_PI656036	exon	5%	10752.452930	1517.000000
PI656037_PI656037	exon	5%	11122.383270	1562.000000
PI656038_PI656038	exon	5%	11742.013120	1649.000000
PI656039_PI656039	exon	5%	10602.306660	1484.000000
PI656040_PI656040	exon	5%	12003.107680	1702.000000
PI656041_PI656041	exon	5%	12981.930450	1817.000000
PI656042_PI656042	exon	5%	11801.494460	1661.000000
PI656043_PI656043	exon	5%	10832.000190	1523.000000
PI656044_PI656044	exon	5%	10545.007710	1485.000000
PI656046_PI656046	exon	5%	11928.393910	1678.000000
PI656047_PI656047	exon	5%	12440.132120	1746.000000
PI656048_PI656048	exon	5%	9559.220820	1347.000000
PI656049_PI656049	exon	5%	12189.496360	1702.000000
PI656050_PI656050	exon	5%	10377.239100	1451.000000
PI656051_PI656051	exon	5%	10978.223240	1548.000000
PI656052_PI656052	exon	5%	11186.861890	1579.000000
PI656053_PI656053	exon	5%	9833.690460	1391.000000
PI656054_PI656054	exon	5%	11588.532980	1632.000000
PI656055_PI656055	exon	5%	10438.067610	1468.000000
PI656056_PI656056	exon	5%	10826.940680	1518.000000
PI656057_PI656057	exon	5%	11539.193370	1627.000000
PI656058_PI656058	exon	5%	11119.705630	1569.000000
PI656059_PI656059	exon	5%	10156.774840	1427.000000
PI656060_PI656060	exon	5%	11705.407840	1633.000000
PI656061_PI656061	exon	5%	11238.360390	1568.000000
PI656062_PI656062	exon	5%	10745.975460	1499.000000
PI656063_PI656063	exon	5%	10773.965630	1522.000000
PI656064_PI656064	exon	5%	12628.542600	1774.000000
PI656065_PI656065	exon	5%	11037.193360	1552.000000
PI656066_PI656066	exon	5%	10373.106920	1463.000000
PI656067_PI656067	exon	5%	11828.694640	1661.000000
PI656068_PI656068	exon	5%	10039.148400	1412.000000
PI656069_PI656069	exon	5%	10784.407040	1532.000000
PI656070_PI656070	exon	5%	10852.919640	1536.000000
PI656071_PI656071	exon	5%	10741.302000	1510.000000
PI656072_PI656072	exon	5%	11570.079370	1639.000000
PI656073_PI656073	exon	5%	11216.188490	1570.000000
PI656074_PI656074	exon	5%	10749.336440	1519.000000
PI656075_PI656075	exon	5%	11354.390830	1609.000000
PI656076_PI656076	exon	5%	10402.884760	1465.000000
PI656077_PI656077	exon	5%	10995.810550	1557.000000
PI656078_PI656078	exon	5%	9667.388700	1378.000000
PI656079_PI656079	exon	5%	11069.624910	1567.000000
PI656080_PI656080	exon	5%	10508.136880	1480.000000
PI656081_PI656081	exon	5%	9542.568040	1358.000000
PI656082_PI656082	exon	5%	11653.850720	1649.000000
PI656083_PI656083	exon	5%	13012.561170	1834.000000
PI656085_PI656085	exon	5%	10194.968100	1443.000000
PI656086_PI656086	exon	5%	10328.625800	1457.000000
PI656087_PI656087	exon	5%	10353.999670	1464.000000
PI656088_PI656088	exon	5%	11486.626380	1609.000000
PI656089_PI656089	exon	5%	11983.128370	1673.000000
PI656090_PI656090	exon	5%	10629.731580	1505.000000
PI656091_PI656091	exon	5%	11116.147150	1555.000000
PI656092_PI656092	exon	5%	11248.302040	1583.000000
PI656093_PI656093	exon	5%	12116.885060	1719.000000
PI656094_PI656094	exon	5%	11889.666020	1684.000000
PI656095_PI656095	exon	5%	11683.534500	1656.000000
PI656096_PI656096	exon	5%	12390.096350	1755.000000
PI656097_PI656097	exon	5%	12389.098610	1739.000000
PI656098_PI656098	exon	5%	10337.663900	1445.000000
PI656099_PI656099	exon	5%	12614.319360	1774.000000
PI656100_PI656100	exon	5%	12664.563170	1767.000000
PI656101_PI656101	exon	5%	11101.168540	1557.000000
PI656102_PI656102	exon	5%	10706.536770	1520.000000
PI656103_PI656103	exon	5%	11577.128670	1631.000000
PI656104_PI656104	exon	5%	12758.287940	1798.000000
PI656105_PI656105	exon	5%	10247.219530	1440.000000
PI656106_PI656106	exon	5%	10517.008840	1483.000000
PI656107_PI656107	exon	5%	11162.880000	1564.000000
PI656108_PI656108	exon	5%	12375.962420	1742.000000
PI656109_PI656109	exon	5%	11724.814660	1648.000000
PI656110_PI656110	exon	5%	10554.051660	1490.000000
PI656111_PI656111	exon	5%	10847.267900	1524.000000
PI656112_PI656112	exon	5%	11352.708850	1599.000000
PI656113_PI656113	exon	5%	11685.849700	1628.000000
PI656114_PI656114	exon	5%	11146.442240	1577.000000
PI656115_PI656115	exon	5%	11846.258280	1648.000000
PI656116_PI656116	exon	5%	11531.157510	1639.000000
PI656118_PI656118	exon	5%	10507.051040	1481.000000
PI656119_PI656119	exon	5%	11739.304420	1668.000000
PI656120_PI656120	exon	5%	10767.349130	1520.000000
PI656121_PI656121	exon	5%	10558.408140	1487.000000
PI659691_PI659691	exon	5%	10523.854160	1479.000000
PI659694_PI659694	exon	5%	11691.633490	1650.000000
PI659695_PI659695	exon	5%	11763.855360	1655.000000
PI659696_PI659696	exon	5%	11207.172890	1576.000000
PI659753_PI659753	exon	5%	12102.934110	1698.000000
PI152651_PI152651	intergenic	5%	335909.527440	49535.000000
PI17548_PI17548	intergenic	5%	333560.533290	49357.000000
PI24969_PI24969	intergenic	5%	447447.589350	66224.000000
PI276837_PI276837	intergenic	5%	412472.632090	60858.000000
PI329435_PI329435	intergenic	5%	282039.194520	41599.000000
PI329440_PI329440	intergenic	5%	376049.088020	55266.000000
PI34911_PI34911	intergenic	5%	349290.616470	51245.000000
PI35038_PI35038	intergenic	5%	299523.587610	44223.000000
PI48770_PI48770	intergenic	5%	300102.380340	44351.000000
PI533750_PI533750	intergenic	5%	329384.679020	49001.000000
PI533752_PI533752	intergenic	5%	329400.849090	48546.000000
PI533754_PI533754	intergenic	5%	302091.242240	44944.000000
PI533755_PI533755	intergenic	5%	349826.639310	51652.000000
PI533757_PI533757	intergenic	5%	265869.160520	39195.000000
PI533758_PI533758	intergenic	5%	254068.644460	37447.000000
PI533759_PI533759	intergenic	5%	280891.547020	41418.000000
PI533760_PI533760	intergenic	5%	310135.684130	45637.000000
PI533761_PI533761	intergenic	5%	262140.270800	38683.000000
PI533762_PI533762	intergenic	5%	307690.113430	45583.000000
PI533766_PI533766	intergenic	5%	277132.065140	41310.000000
PI533769_PI533769	intergenic	5%	225537.302490	33310.000000
PI533776_PI533776	intergenic	5%	308269.910350	45905.000000
PI533785_PI533785	intergenic	5%	288646.206060	43029.000000
PI533788_PI533788	intergenic	5%	379265.052870	55928.000000
PI533789_PI533789	intergenic	5%	280099.181620	41515.000000
PI533792_PI533792	intergenic	5%	367107.258870	54570.000000
PI533794_PI533794	intergenic	5%	320042.943010	47356.000000
PI533799_PI533799	intergenic	5%	319820.054960	47319.000000
PI533800_PI533800	intergenic	5%	315144.376570	46265.000000
PI533807_PI533807	intergenic	5%	262909.044060	39007.000000
PI533810_PI533810	intergenic	5%	349187.692060	51603.000000
PI533814_PI533814	intergenic	5%	347815.541450	51641.000000
PI533821_PI533821	intergenic	5%	233995.473810	34531.000000
PI533822_PI533822	intergenic	5%	301587.037200	44409.000000
PI533824_PI533824	intergenic	5%	272602.650990	40399.000000
PI533830_PI533830	intergenic	5%	337894.264000	49868.000000
PI533831_PI533831	intergenic	5%	289506.233520	42647.000000
PI533833_PI533833	intergenic	5%	220935.285210	32633.000000
PI533838_PI533838	intergenic	5%	280192.372750	41524.000000
PI533839_PI533839	intergenic	5%	116151.146730	17339.000000
PI533841_PI533841	intergenic	5%	337571.023820	50054.000000
PI533842_PI533842	intergenic	5%	301085.604590	44519.000000
PI533843_PI533843	intergenic	5%	298671.341320	44094.000000
PI533845_PI533845	intergenic	5%	333053.878520	49062.000000
PI533852_PI533852	intergenic	5%	299007.477760	44233.000000
PI533855_PI533855	intergenic	5%	278649.430100	41101.000000
PI533856_PI533856	intergenic	5%	369636.076030	54474.000000
PI533863_PI533863	intergenic	5%	292065.639940	43312.000000
PI533866_PI533866	intergenic	5%	319833.714430	47339.000000
PI533869_PI533869	intergenic	5%	279231.466930	41210.000000
PI533871_PI533871	intergenic	5%	275603.974010	40867.000000
PI533876_PI533876	intergenic	5%	281763.911490	41682.000000
PI533877_PI533877	intergenic	5%	289208.884390	42891.000000
PI533878_PI533878	intergenic	5%	294059.466040	43779.000000
PI533882_PI533882	intergenic	5%	268804.828730	39546.000000
PI533901_PI533901	intergenic	5%	306780.643540	45043.000000
PI533902_PI533902	intergenic	5%	319805.647710	47108.000000
PI533903_PI533903	intergenic	5%	219797.290690	32482.000000
PI533910_PI533910	intergenic	5%	265335.023140	39103.000000
PI533911_PI533911	intergenic	5%	378492.084220	56137.000000
PI533912_PI533912	intergenic	5%	241551.984580	35666.000000
PI533913_PI533913	intergenic	5%	270055.698360	39848.000000
PI533915_PI533915	intergenic	5%	325663.874720	47795.000000
PI533919_PI533919	intergenic	5%	279728.127870	41429.000000
PI533921_PI533921	intergenic	5%	438264.721240	64772.000000
PI533924_PI533924	intergenic	5%	293267.279880	43232.000000
PI533927_PI533927	intergenic	5%	301755.030760	44588.000000
PI533936_PI533936	intergenic	5%	296908.632120	43810.000000
PI533937_PI533937	intergenic	5%	302134.807870	44581.000000
PI533938_PI533938	intergenic	5%	289845.947500	43028.000000
PI533939_PI533939	intergenic	5%	310928.836980	46050.000000
PI533940_PI533940	intergenic	5%	319883.414030	47355.000000
PI533943_PI533943	intergenic	5%	351345.267220	51958.000000
PI533948_PI533948	intergenic	5%	310606.465890	45864.000000
PI533949_PI533949	intergenic	5%	268562.545330	39594.000000
PI533954_PI533954	intergenic	5%	355433.308880	52701.000000
PI533955_PI533955	intergenic	5%	309066.584480	45621.000000
PI533956_PI533956	intergenic	5%	283576.626260	41929.000000
PI533957_PI533957	intergenic	5%	332427.284350	49237.000000
PI533961_PI533961	intergenic	5%	319690.496630	46972.000000
PI533962_PI533962	intergenic	5%	258729.328120	38167.000000
PI533964_PI533964	intergenic	5%	309640.323360	45561.000000
PI533965_PI533965	intergenic	5%	344819.007540	50799.000000
PI533967_PI533967	intergenic	5%	324810.930080	47667.000000
PI533970_PI533970	intergenic	5%	327455.323150	48342.000000
PI533972_PI533972	intergenic	5%	245696.551710	36226.000000
PI533976_PI533976	intergenic	5%	296835.159210	43764.000000
PI533979_PI533979	intergenic	5%	365660.259550	53845.000000
PI533980_PI533980	intergenic	5%	293167.751260	43164.000000
PI533985_PI533985	intergenic	5%	258369.533580	38050.000000
PI533986_PI533986	intergenic	5%	271986.335750	40098.000000
PI533987_PI533987	intergenic	5%	258666.008180	38139.000000
PI533989_PI533989	intergenic	5%	284707.413560	41921.000000
PI533991_PI533991	intergenic	5%	274851.267760	40508.000000
PI533996_PI533996	intergenic	5%	266755.444000	39540.000000
PI533997_PI533997	intergenic	5%	241976.877660	35638.000000
PI534009_PI534009	intergenic	5%	332755.404140	49268.000000
PI534021_PI534021	intergenic	5%	301930.371870	44632.000000
PI534028_PI534028	intergenic	5%	349521.338550	51581.000000
PI534037_PI534037	intergenic	5%	304694.607760	45349.000000
PI534046_PI534046	intergenic	5%	282314.529060	41814.000000
PI534047_PI534047	intergenic	5%	287821.819040	42400.000000
PI534053_PI534053	intergenic	5%	311789.491420	45793.000000
PI534054_PI534054	intergenic	5%	260448.275470	38453.000000
PI534063_PI534063	intergenic	5%	299689.417020	44454.000000
PI534070_PI534070	intergenic	5%	303919.887670	45290.000000
PI534075_PI534075	intergenic	5%	272455.700680	40480.000000
PI534079_PI534079	intergenic	5%	260936.440410	38578.000000
PI534088_PI534088	intergenic	5%	278757.877850	41397.000000
PI534092_PI534092	intergenic	5%	318921.818040	47426.000000
PI534096_PI534096	intergenic	5%	82841.345610	12292.000000
PI534097_PI534097	intergenic	5%	394679.333190	58253.000000
PI534099_PI534099	intergenic	5%	293695.044710	43215.000000
PI534101_PI534101	intergenic	5%	273638.995000	40379.000000
PI534105_PI534105	intergenic	5%	268665.133130	39557.000000
PI534108_PI534108	intergenic	5%	258928.788690	38171.000000
PI534112_PI534112	intergenic	5%	264758.916340	39088.000000
PI534114_PI534114	intergenic	5%	302025.546370	44514.000000
PI534115_PI534115	intergenic	5%	307206.765820	45252.000000
PI534116_PI534116	intergenic	5%	231813.292990	34208.000000
PI534117_PI534117	intergenic	5%	250330.663580	36958.000000
PI534123_PI534123	intergenic	5%	283030.786270	41633.000000
PI534124_PI534124	intergenic	5%	245910.635550	36232.000000
PI534127_PI534127	intergenic	5%	391520.501230	57798.000000
PI534128_PI534128	intergenic	5%	400188.017900	59285.000000
PI534132_PI534132	intergenic	5%	348982.064550	51867.000000
PI534133_PI534133	intergenic	5%	384891.759260	57144.000000
PI534135_PI534135	intergenic	5%	342283.438720	50904.000000
PI534137_PI534137	intergenic	5%	351060.414360	51755.000000
