sample	feature	cutoff	genetic_load	n_del
PI534037_PI534037	downstream_2kb	5%	4804.531050	711.000000
PI534046_PI534046	downstream_2kb	5%	4288.760710	631.000000
PI534047_PI534047	downstream_2kb	5%	4689.043920	697.000000
PI534053_PI534053	downstream_2kb	5%	4903.202430	725.000000
PI534054_PI534054	downstream_2kb	5%	4839.723680	718.000000
PI534063_PI534063	downstream_2kb	5%	4976.856770	742.000000
PI534070_PI534070	downstream_2kb	5%	4670.198770	696.000000
PI534075_PI534075	downstream_2kb	5%	4583.327560	686.000000
PI534079_PI534079	downstream_2kb	5%	4591.889350	688.000000
PI534088_PI534088	downstream_2kb	5%	4939.749970	738.000000
PI534092_PI534092	downstream_2kb	5%	5250.976230	783.000000
PI534096_PI534096	downstream_2kb	5%	2460.621330	366.000000
PI534097_PI534097	downstream_2kb	5%	5095.538480	757.000000
PI534099_PI534099	downstream_2kb	5%	4456.426980	659.000000
PI534101_PI534101	downstream_2kb	5%	4254.766720	632.000000
PI534105_PI534105	downstream_2kb	5%	4322.076710	639.000000
PI534108_PI534108	downstream_2kb	5%	4343.228030	641.000000
PI534112_PI534112	downstream_2kb	5%	4464.729590	664.000000
PI534114_PI534114	downstream_2kb	5%	4454.756100	663.000000
PI534115_PI534115	downstream_2kb	5%	4566.077900	679.000000
PI534116_PI534116	downstream_2kb	5%	4329.425620	642.000000
PI534117_PI534117	downstream_2kb	5%	4727.714370	697.000000
PI534123_PI534123	downstream_2kb	5%	4224.996270	625.000000
PI534124_PI534124	downstream_2kb	5%	3792.867810	561.000000
PI534127_PI534127	downstream_2kb	5%	5078.352290	759.000000
PI534128_PI534128	downstream_2kb	5%	5508.839100	821.000000
PI534132_PI534132	downstream_2kb	5%	5289.420600	786.000000
PI534133_PI534133	downstream_2kb	5%	5725.096390	849.000000
PI534135_PI534135	downstream_2kb	5%	5579.049240	828.000000
PI534137_PI534137	downstream_2kb	5%	5346.487150	792.000000
PI534138_PI534138	downstream_2kb	5%	4289.446450	628.000000
PI534139_PI534139	downstream_2kb	5%	5413.528470	797.000000
PI534144_PI534144	downstream_2kb	5%	4798.544260	701.000000
PI534145_PI534145	downstream_2kb	5%	4672.488080	696.000000
PI534148_PI534148	downstream_2kb	5%	5585.295320	829.000000
PI534155_PI534155	downstream_2kb	5%	4735.937720	705.000000
PI534157_PI534157	downstream_2kb	5%	4570.322440	682.000000
PI534163_PI534163	downstream_2kb	5%	4359.799150	653.000000
PI534167_PI534167	downstream_2kb	5%	5378.271730	804.000000
PI540816_PI540816	downstream_2kb	5%	4844.181990	718.000000
PI542406_PI542406	downstream_2kb	5%	4087.895970	604.000000
PI542718_PI542718	downstream_2kb	5%	5635.218900	835.000000
PI548797_PI548797	downstream_2kb	5%	4663.697720	691.000000
PI552856_PI552856	downstream_2kb	5%	4401.993450	653.000000
PI552861_PI552861	downstream_2kb	5%	4387.405100	648.000000
PI561071_PI561071	downstream_2kb	5%	4610.051200	690.000000
PI561072_PI561072	downstream_2kb	5%	4889.685680	726.000000
PI561073_PI561073	downstream_2kb	5%	5152.614440	762.000000
PI561472_PI561472	downstream_2kb	5%	4552.231330	676.000000
PI562730_PI562730	downstream_2kb	5%	3727.684590	556.000000
PI564163_PI564163	downstream_2kb	5%	4488.224290	665.000000
PI564164_PI564164	downstream_2kb	5%	5034.115680	744.000000
PI564165_PI564165	downstream_2kb	5%	5190.466710	770.000000
PI565121_PI565121	downstream_2kb	5%	4427.794630	660.000000
PI566819_PI566819	downstream_2kb	5%	4774.487480	706.000000
PI576130_PI576130	downstream_2kb	5%	4697.447730	699.000000
PI576332_PI576332	downstream_2kb	5%	5273.537310	780.000000
PI576333_PI576333	downstream_2kb	5%	4878.976110	720.000000
PI576337_PI576337	downstream_2kb	5%	4405.517700	657.000000
PI576339_PI576339	downstream_2kb	5%	5114.316960	757.000000
PI576340_PI576340	downstream_2kb	5%	4687.927350	693.000000
PI576345_PI576345	downstream_2kb	5%	4498.572060	664.000000
PI576347_PI576347	downstream_2kb	5%	4674.116810	695.000000
PI576348_PI576348	downstream_2kb	5%	3721.052350	560.000000
PI576349_PI576349	downstream_2kb	5%	3908.465150	581.000000
PI576350_PI576350	downstream_2kb	5%	4669.989920	695.000000
PI576352_PI576352	downstream_2kb	5%	4665.505370	688.000000
PI576359_PI576359	downstream_2kb	5%	5825.215550	859.000000
PI576364_PI576364	downstream_2kb	5%	4917.463520	735.000000
PI576366_PI576366	downstream_2kb	5%	5025.675560	742.000000
PI576373_PI576373	downstream_2kb	5%	4547.006130	674.000000
PI576375_PI576375	downstream_2kb	5%	5388.001580	796.000000
PI576376_PI576376	downstream_2kb	5%	5292.874070	787.000000
PI576380_PI576380	downstream_2kb	5%	4577.277110	685.000000
PI576381_PI576381	downstream_2kb	5%	6008.803560	891.000000
PI576385_PI576385	downstream_2kb	5%	4941.763220	736.000000
PI576386_PI576386	downstream_2kb	5%	4680.105940	691.000000
PI576387_PI576387	downstream_2kb	5%	4436.070870	664.000000
PI576390_PI576390	downstream_2kb	5%	5641.912860	826.000000
PI576391_PI576391	downstream_2kb	5%	5752.641780	849.000000
PI576393_PI576393	downstream_2kb	5%	4084.696520	605.000000
PI576394_PI576394	downstream_2kb	5%	4743.576130	704.000000
PI576396_PI576396	downstream_2kb	5%	4313.733390	636.000000
PI576399_PI576399	downstream_2kb	5%	4778.991590	706.000000
PI576401_PI576401	downstream_2kb	5%	5939.091890	883.000000
PI576418_PI576418	downstream_2kb	5%	4620.516960	691.000000
PI576422_PI576422	downstream_2kb	5%	4837.251560	719.000000
PI576425_PI576425	downstream_2kb	5%	5449.963680	812.000000
PI576426_PI576426	downstream_2kb	5%	5706.478050	843.000000
PI576428_PI576428	downstream_2kb	5%	4592.450590	683.000000
PI576434_PI576434	downstream_2kb	5%	4408.932870	653.000000
PI576435_PI576435	downstream_2kb	5%	4844.026350	717.000000
PI576437_PI576437	downstream_2kb	5%	4709.638400	691.000000
PI585291_PI585291	downstream_2kb	5%	5056.125360	751.000000
PI585295_PI585295	downstream_2kb	5%	4473.795300	662.000000
PI595699_PI595699	downstream_2kb	5%	5488.985610	816.000000
PI595702_PI595702	downstream_2kb	5%	4866.702680	719.000000
PI595714_PI595714	downstream_2kb	5%	4319.890800	641.000000
PI595718_PI595718	downstream_2kb	5%	4595.914780	684.000000
PI595720_PI595720	downstream_2kb	5%	5338.966380	797.000000
PI595739_PI595739	downstream_2kb	5%	4363.596750	653.000000
PI595740_PI595740	downstream_2kb	5%	4778.651700	705.000000
PI595741_PI595741	downstream_2kb	5%	4910.618340	732.000000
PI595743_PI595743	downstream_2kb	5%	5401.680130	804.000000
PI595744_PI595744	downstream_2kb	5%	5113.428110	747.000000
PI595745_PI595745	downstream_2kb	5%	4310.974640	646.000000
PI597945_PI597945	downstream_2kb	5%	4779.695290	713.000000
PI597946_PI597946	downstream_2kb	5%	4333.307480	645.000000
PI597949_PI597949	downstream_2kb	5%	4780.991270	702.000000
PI597950_PI597950	downstream_2kb	5%	5151.177830	765.000000
PI597951_PI597951	downstream_2kb	5%	4768.173090	713.000000
PI597952_PI597952	downstream_2kb	5%	5029.811270	749.000000
PI597957_PI597957	downstream_2kb	5%	4725.273120	707.000000
PI597958_PI597958	downstream_2kb	5%	5171.043820	761.000000
PI597960_PI597960	downstream_2kb	5%	4123.204120	622.000000
PI597961_PI597961	downstream_2kb	5%	4308.989030	641.000000
PI597964_PI597964	downstream_2kb	5%	4392.655990	653.000000
PI597965_PI597965	downstream_2kb	5%	4403.101160	653.000000
PI597966_PI597966	downstream_2kb	5%	4588.889210	675.000000
PI597967_PI597967	downstream_2kb	5%	4517.977190	668.000000
PI597968_PI597968	downstream_2kb	5%	4961.252540	733.000000
PI597971_PI597971	downstream_2kb	5%	4730.752280	694.000000
PI597972_PI597972	downstream_2kb	5%	4616.320400	690.000000
PI597973_PI597973	downstream_2kb	5%	4485.723310	667.000000
PI597976_PI597976	downstream_2kb	5%	4194.413270	624.000000
PI597980_PI597980	downstream_2kb	5%	4271.172560	636.000000
PI597982_PI597982	downstream_2kb	5%	4600.233960	687.000000
PI598069_PI598069	downstream_2kb	5%	5057.580180	746.000000
PI598070_PI598070	downstream_2kb	5%	4992.895370	735.000000
PI601816_PI601816	downstream_2kb	5%	4711.454910	701.000000
PI607931_PI607931	downstream_2kb	5%	4691.184560	696.000000
PI609456_PI609456	downstream_2kb	5%	2343.306080	349.000000
PI613536_PI613536	downstream_2kb	5%	4815.013390	713.000000
PI629034_PI629034	downstream_2kb	5%	4550.404250	679.000000
PI629040_PI629040	downstream_2kb	5%	5215.738240	777.000000
PI629059_PI629059	downstream_2kb	5%	4493.778110	663.000000
PI641824_PI641824	downstream_2kb	5%	4729.399490	706.000000
PI641836_PI641836	downstream_2kb	5%	4955.209340	737.000000
PI641849_PI641849	downstream_2kb	5%	5369.732330	795.000000
PI641874_PI641874	downstream_2kb	5%	6093.996720	899.000000
PI642791_PI642791	downstream_2kb	5%	4925.332410	722.000000
PI642793_PI642793	downstream_2kb	5%	5201.552160	764.000000
PI642992_PI642992	downstream_2kb	5%	4814.499440	713.000000
PI642998_PI642998	downstream_2kb	5%	4042.793250	602.000000
PI651492_PI651492	downstream_2kb	5%	4336.708620	642.000000
PI651496_PI651496	downstream_2kb	5%	4303.677270	645.000000
PI653616_PI653616	downstream_2kb	5%	4841.163700	724.000000
PI653617_PI653617	downstream_2kb	5%	4904.211720	729.000000
PI655970_PI655970	downstream_2kb	5%	4873.793120	722.000000
PI655971_PI655971	downstream_2kb	5%	6218.840810	919.000000
PI655972_PI655972	downstream_2kb	5%	4714.127570	697.000000
PI655973_PI655973	downstream_2kb	5%	5194.282110	764.000000
PI655974_PI655974	downstream_2kb	5%	4862.033850	720.000000
PI655975_PI655975	downstream_2kb	5%	5147.274700	763.000000
PI655976_PI655976	downstream_2kb	5%	4860.847730	720.000000
PI655977_PI655977	downstream_2kb	5%	4610.192440	693.000000
PI655978_PI655978	downstream_2kb	5%	5301.389330	793.000000
PI655979_PI655979	downstream_2kb	5%	4614.105300	693.000000
PI655980_PI655980	downstream_2kb	5%	3828.832550	569.000000
PI655981_PI655981	downstream_2kb	5%	4941.490390	735.000000
PI655982_PI655982	downstream_2kb	5%	4561.876130	674.000000
PI655983_PI655983	downstream_2kb	5%	4918.721800	732.000000
PI655984_PI655984	downstream_2kb	5%	5254.250310	773.000000
PI655985_PI655985	downstream_2kb	5%	5216.218680	767.000000
PI655986_PI655986	downstream_2kb	5%	5245.500870	769.000000
PI655987_PI655987	downstream_2kb	5%	4868.672010	719.000000
PI655988_PI655988	downstream_2kb	5%	4876.717900	720.000000
PI655989_PI655989	downstream_2kb	5%	4767.521750	703.000000
PI655990_PI655990	downstream_2kb	5%	6098.846110	899.000000
PI655991_PI655991	downstream_2kb	5%	5131.783430	754.000000
PI655992_PI655992	downstream_2kb	5%	4732.853880	700.000000
PI655993_PI655993	downstream_2kb	5%	5100.616750	756.000000
PI655994_PI655994	downstream_2kb	5%	4926.260670	723.000000
PI655995_PI655995	downstream_2kb	5%	4354.730970	649.000000
PI655996_PI655996	downstream_2kb	5%	5267.387410	785.000000
PI655997_PI655997	downstream_2kb	5%	5529.666440	822.000000
PI655998_PI655998	downstream_2kb	5%	5150.244360	770.000000
PI655999_PI655999	downstream_2kb	5%	3925.104980	581.000000
PI656000_PI656000	downstream_2kb	5%	4384.869270	652.000000
PI656001_PI656001	downstream_2kb	5%	4646.082740	691.000000
PI656002_PI656002	downstream_2kb	5%	4716.891320	698.000000
PI656003_PI656003	downstream_2kb	5%	5226.858810	775.000000
PI656004_PI656004	downstream_2kb	5%	5198.711140	779.000000
PI656005_PI656005	downstream_2kb	5%	4658.546310	691.000000
