UID,geno,panicle_num,panicle_weight,panicle_avg,rachis_len,rachis_dia,DaysToBloom,PlantHeight,Treatment_Type,note
40629,PI 656044,3,405.6,135.2,27.96666667,1.129666667,73.33333333,311,LN,Tall_Late
40630,PI 656028,3,269.3,89.76666667,26.26666667,0.901333333,74,400.4,LN,Tall_Late
40631,PI 597964,3,427.9,142.6333333,27.33333333,1.071,71.66666667,285,LN,Tall_Late
40632,PI 597960,3,129,43,36.53333333,1.058333333,70,305.5,LN,Tall_Late
40633,PI 656083,3,171.5,57.16666667,23.73333333,0.867,71.4,585,LN,Tall_Late
40634,PI 656076,2,142.7,71.35,21.65,1.1805,69.55555556,275.1666667,LN,Tall_Late
40635,Tx430,1,85.9,85.9,30.9,0.872,70.25,498,LN,Tall_Late
40636,PI 641824,3,259.1,86.36666667,23.8,0.817,NA,NA,LN,Tall_Late
40701,PI 533754,2,167.7,83.85,31.05,1.1675,61.625,226,LN,Short_Early
40702,PI 534097,3,169.9,56.63333333,25.6,0.624333333,64.22222222,220,LN,Short_Early
40704,PI 533769,3,231.7,77.23333333,24.41333333,1.281,59.14285714,211.4,LN,Short_Early
40705,PI 576332,3,155.2,51.73333333,21.36666667,0.729,62.625,220.5,LN,Short_Early
40706,check,3,497,165.6666667,36.36666667,1.136333333,NA,NA,LN,NA
40707,PI 534116,3,108.4,36.13333333,34.1,0.874,65.55555556,199.8333333,LN,Short_Early
40708,PI 597961,1,58,58,18.3,1.03,62.55555556,227.6666667,LN,Short_Early
40709,PI 655985,3,448,149.3333333,27.7,1.081,NA,NA,LN,Short_Early
40710,PI 656025,3,448.2,149.4,26.1,1.492333333,63.33333333,212.8,LN,Short_Early
40711,check,3,504.5,168.1666667,37,1.132666667,NA,NA,LN,NA
40712,PI 656116,2,60.3,30.15,25.1,0.512,57.55555556,217.6666667,LN,Short_Early
40713,PI 533980,1,65.5,65.5,27.1,0.908,73.44444444,226.5,LN,Short_Late
40714,PI 533814,3,284.9,94.96666667,20.76666667,1.324,75.77777778,218.8333333,LN,Short_Late
40715,PI 533843,3,283,94.33333333,31.3,1.125333333,68.5,140,LN,Short_Late
40716,check,2,387.7,193.85,39.9,1.135,NA,NA,LN,NA
40717,PI 597949,0,0,#DIV/0!,NA,NA,77.28571429,218.8,LN,Short_Late
40718,PI 576396,2,124.7,62.35,15.7,0.869666667,66.625,213.4,LN,Short_Late
40719,PI 656004,1,74.7,74.7,28.3,0.97,69.66666667,190.3333333,LN,Short_Late
40720,check,3,613.8,204.6,38.2,1.186,NA,NA,LN,NA
40721,PI 656015,2,257.2,128.6,22.35,1.301,76,141,LN,Short_Late
40722,PI 656069,2,219.6,109.8,29.8,0.9525,80.44444444,216.8333333,LN,Short_Late
40723,PI 656034,3,452,150.6666667,28.4,1.034666667,75.875,215,LN,Short_Late
40724,check,3,600.9,200.3,39.2,1.283,NA,NA,LN,NA
40725,PI 533970,3,242.2,80.73333333,17.6,1.018666667,67.625,285.8,LN,Tall_Early
40726,PI 534104,2,156.4,78.2,29.6,1.2175,66,282.8,LN,Tall_Early
40727,PI 533877,1,91.8,91.8,28.2,0.817,63.4,367,LN,Tall_Early
40728,check,3,546.3,182.1,37.33333333,1.224666667,NA,NA,LN,NA
40729,PI 576385,1,78.9,78.9,29.2,0.758,58.22222222,299.8333333,LN,Tall_Early
40730,PI 576393,1,80,80,29.8,0.751,59.14285714,286.75,LN,Tall_Early
40731,PI 597951,1,95.4,95.4,31.9,0.747,64.71428571,285.6,LN,Tall_Early
40732,PI 597980,2,203.9,101.95,29.5,1.2805,60.875,274.2,LN,Tall_Early
40733,PI 656103,1,142.1,142.1,25,1.376,62,343,LN,Tall_Early
40735,check,3,437.3,145.7666667,34.86666667,1.197333333,NA,NA,LN,NA
40736,PI 656013,3,696.1,232.0333333,26.36666667,1.719666667,66.5,358.2,LN,Tall_Early
40801,PI 534047,3,175.9,58.63333333,25.73333333,0.753,56.77777778,229.5,LN,Short_Early
40802,check,3,419.7,139.9,33.33333333,1.079333333,NA,NA,LN,NA
40803,PI 533785,3,396.3,132.1,41.7,0.892,64.33333333,208.6666667,LN,Short_Early
40804,PI 533957,2,187.3,93.65,26.8,0.8515,62.44444444,218.3333333,LN,Short_Early
40805,PI 552861,3,281.4,93.8,28.8,1.078333333,64.33333333,221.8333333,LN,Short_Early
40807,PI 534099,3,271.6,90.53333333,24.06666667,1.191333333,65.11111111,212,LN,Short_Early
40808,PI 576337,3,150.3,50.1,32.06666667,0.798333333,63.77777778,208.5,LN,Short_Early
40809,PI 659693,3,178.9,59.63333333,22.66666667,1.045666667,50.875,230,LN,Short_Early
40810,PI 656010,3,267.3,89.1,27.2,0.917,65.28571429,196.75,LN,Short_Early
