id	Dry
PI152651	0.768421211022532
PI17548	0.654136290398528
PI24969	0.838030734342726
PI276837	0.929839852419277
PI329440	0.853139108346564
PI34911	0.816901298433798
PI35038	0.771179651338209
PI48770	0.71339240120903
PI533750	0.60831913855126
PI533752	0.745836696032244
PI533754	0.996776084179977
PI533757	0.598085572260882
PI533758	0.687186896018611
PI533759	0.623277076168336
PI533760	0.656139643184344
PI533761	0.939944913201912
PI533762	0.667114847568274
PI533766	0.725955954712933
PI533769	0.705370498303681
PI533776	0.775532362741553
PI533785	0.806087650013348
PI533788	0.800621190005593
PI533789	0.717865990043524
PI533792	0.75138913934105
PI533794	0.758531864292453
PI533799	0.91534157551511
PI533800	0.637602605786481
PI533807	0.672515125434043
PI533814	0.772848099986893
PI533821	1.00075782613075
PI533822	0.674783307323164
PI533824	0.698052854196574
PI533830	0.72033987267954
PI533831	0.710616407700476
PI533833	0.84467976864034
PI533838	0.679937313675564
PI533839	0.693244360918398
PI533841	0.803980440055901
PI533843	0.62425735829271
PI533845	0.77544646686508
PI533852	0.667785364014011
PI533855	0.83118006440969
PI533856	0.977123057952218
PI533863	0.77931173090952
PI533866	0.638797686741535
PI533869	0.704008304496415
PI533871	0.832172561155248
PI533876	0.645265657478406
PI533877	0.85267811243541
PI533878	0.818927803883218
PI533901	0.560904870724199
PI533902	0.823671469454644
PI533903	0.69527686068802
PI533910	0.529975803789132
PI533911	0.638388459182605
PI533915	0.736049592328594
PI533919	0.735894266425903
PI533924	0.750503130082571
PI533927	0.721963392540688
PI533936	0.595207557048419
PI533937	0.72942782582771
PI533938	0.720904881922338
PI533939	0.620475941180345
PI533940	0.674645596918392
PI533943	0.760884811151372
PI533948	0.671905292110702
PI533949	0.760455745435824
PI533954	0.820510317692839
PI533955	0.782022426005587
PI533957	0.82307279672565
PI533961	0.838663713333302
PI533962	0.76394257418544
PI533964	0.722402569985163
PI533965	0.840078922304699
PI533967	0.748545084068436
PI533970	0.647284041245128
PI533972	0.898374904998241
PI533976	0.693244360918398
PI533979	0.711524181359293
PI533980	0.808657045568183
PI533985	0.868553072131895
PI533986	0.826781901629753
PI533987	0.759152129643013
PI533989	0.702584386135614
PI533991	0.789831223667926
PI533996	0.730834025460811
PI533997	0.684058752229103
PI533998	0.682953514765068
PI534009	0.840640309247723
PI534021	0.729776651410911
PI534028	0.693124141297582
PI534037	0.808331922442187
PI534046	0.621595326715243
PI534047	0.772848099986893
PI534053	0.75415973692818
PI534054	0.62201308586387
PI534063	0.842471926178075
PI534070	0.676480469596053
PI534075	0.72474369987801
PI534079	0.760884811151372
PI534092	0.858243455101475
PI534096	0.753081664010076
PI534097	0.679321760099066
PI534099	0.771407933209874
PI534101	0.728972155802438
PI534104	0.775980377373127
PI534105	0.810080205265441
PI534108	0.7457652882698
PI534112	0.668847529076634
PI534114	0.785281642993137
PI534116	0.777815103432003
PI534117	0.791435581316298
PI534123	0.637390543752972
PI534124	0.712310099593048
PI534127	0.696150364924611
PI534128	1.01646425405562
PI534132	0.864568345713658
PI534133	0.714437104398455
PI534135	0.794001420383921
PI534137	0.799100305047445
PI534139	0.837454222353667
PI534144	0.782022426005587
PI534145	0.720339872679541
PI534148	0.645265657478406
PI534155	0.757075623148842
PI534157	1.08472916261844
PI534163	0.7905381406118
PI534167	0.866549410122561
PI542718	0.792645072295933
PI548797	0.61173483293996
PI552856	0.807984619308389
PI561071	0.641255807797412
PI561072	0.606711449728059
PI561073	0.785281642993137
PI561472	0.759651249827351
PI564163	0.768999284578187
