id	height
PI152651	20.9665836755787
PI17548	22.5752016739567
PI24969	22.4611108474063
PI276837	20.9855509479661
PI329440	22.2935397849107
PI34911	20.6774508692099
PI35038	20.811079880193
PI48770	20.3045273538911
PI533750	21.8809617166308
PI533752	21.0628038855051
PI533754	20.2478525418879
PI533757	21.6685334710787
PI533758	21.7409373122327
PI533759	20.8839165442499
PI533760	19.4061838906661
PI533761	20.1645355852182
PI533762	21.6836515418837
PI533766	20.444306673127
PI533769	20.4693154191937
PI533776	21.3925678948683
PI533785	20.9157254285328
PI533788	22.0924424025155
PI533789	20.1438010262916
PI533792	21.4341320243639
PI533794	21.6965340586638
PI533799	21.977400338321
PI533800	20.5903893931904
PI533807	20.8345534017708
PI533810	21.4545528302315
PI533814	21.1796001297236
PI533821	21.6585118255837
PI533822	20.4232989612837
PI533824	21.11329202937
PI533830	21.1969210669018
PI533831	20.6849560230347
PI533833	20.9401627804634
PI533838	21.7599298430384
PI533839	20.7480103722704
PI533841	19.7432473840085
PI533843	19.4388463643798
PI533845	22.0727646113642
PI533852	20.1251291022973
PI533855	20.7218143738999
PI533856	19.8589617723317
PI533863	20.2491596145085
PI533866	20.9743837333614
PI533869	21.3233744617735
PI533871	22.2990368546062
PI533876	20.986775632744
PI533877	21.1079912310532
PI533878	21.6362862101609
PI533901	19.7596159454342
PI533902	19.5306842446062
PI533903	21.3599766543665
PI533910	20.8370352619131
PI533911	22.211427705254
PI533912	20.7895678045789
PI533915	21.961021097322
PI533919	21.1312560955156
PI533921	20.6232755287036
PI533924	20.4677644138048
PI533927	20.8447549258529
PI533936	21.3474138745552
PI533937	21.8587552797554
PI533938	20.7469703315156
PI533939	21.7571691532523
PI533940	19.5225786503773
PI533943	21.5263931504519
PI533948	21.4276146131018
PI533949	21.199502481438
PI533954	21.3567309584066
PI533955	21.73299105176
PI533957	21.2220923311664
PI533961	21.9069854727157
PI533962	20.1322093051124
PI533964	21.136345191218
PI533965	20.3620165512053
PI533967	20.4602436788165
PI533970	22.5778613926087
PI533972	20.8965643359081
PI533976	20.2073615156578
PI533979	20.7467964222286
PI533980	20.4817777693874
PI533985	20.705602169379
PI533986	21.8032260104256
PI533987	21.4756816150884
PI533989	21.7087831723958
PI533991	21.2893393142251
PI533996	20.2918982050696
PI533997	21.0735441102468
PI533998	20.52654528713
PI534009	21.8058212930961
PI534021	21.1328959912299
PI534028	21.1507571875224
PI534037	21.4460233849473
PI534046	20.7286927209967
PI534047	20.7306420969829
PI534053	20.9693231446931
PI534054	20.8108170993307
PI534063	20.2962250246013
PI534070	20.9310016338074
PI534075	20.6142234727662
PI534079	22.0407501824117
PI534092	21.7641450061196
PI534096	20.2363918992309
PI534097	21.5221223247769
PI534099	21.5760825475063
PI534101	21.1609398765588
PI534104	22.5492744869984
PI534105	21.1573876478346
PI534108	21.4755084177669
PI534112	21.0904234428361
PI534114	21.0090601934577
PI534115	22.1561436712909
PI534116	20.9703215736814
PI534117	21.6057449368332
PI534123	21.2464856300391
PI534124	21.9314008637958
PI534127	20.8750446602985
PI534128	21.8108135257587
PI534132	20.3480878552472
PI534133	21.4903833033034
PI534135	21.0572987999354
PI534137	20.9850530931722
PI534139	20.2435126022119
PI534144	21.1030075180614
PI534145	21.9503209096992
PI534148	22.6618174879543
PI534155	20.3275017604977
PI534157	21.5596842176079
PI534163	20.7079983991373
PI534167	21.4349755124025
PI542718	21.3652750165875
PI548797	20.3145529063164
PI552856	20.9531491403129
PI561071	19.8777311424926
PI561072	20.9976647690233
PI561073	21.3219109471831
PI561472	21.4322526023772
PI564163	20.516401435088
PI564164	21.379468584256
PI564165	21.1141790540769
PI565121	20.3177685763905
PI566819	20.9020671673003
PI574455	21.1468860545873
PI576130	20.6184775119063
PI576332	21.466063625417
PI576333	20.613330000249
PI576337	20.0013431011791
PI576339	21.5628511350798
PI576340	20.3581092100072
PI576345	21.9525074712984
PI576347	20.8772114744845
PI576348	22.6442581713428
PI576352	19.3389009778436
PI576359	20.7168189418659
PI576364	20.0441406949331
PI576373	19.9104121848499
PI576375	21.4708405715368
PI576376	21.4544047448868
PI576380	20.8315333150975
PI576381	20.7489473197873
PI576385	21.3140244907371
PI576386	21.4997459856784
PI576390	20.585925415229
PI576393	20.6979140593607
PI576394	21.4464909295855
PI576396	22.2995293169255
PI576399	22.2110881311447
PI576422	20.0481790403045
PI576425	21.693974033368
PI576426	20.894249604756
PI576428	21.8463176852503
PI576434	20.8243175254039
PI595699	20.9182566416985
PI595702	20.0051261245294
PI595714	21.7733692379696
PI595718	20.5863660041268
PI595720	21.7909197409636
PI595739	21.3682751033942
PI595740	20.9192753179852
PI595741	20.8304972503055
PI595743	20.9912806248718
PI595744	21.2125013565338
PI595745	20.0439900495696
PI597945	20.6522149667455
PI597946	21.2013446253025
PI597950	20.7234776771158
PI597951	20.6112917731917
PI597952	20.1002198345607
PI597957	21.5715265154804
PI597958	20.5257618686217
PI597960	21.5911512857914
PI597961	21.016947885932
PI597964	19.7424751515024
PI597965	21.3472362094879
PI597966	20.1968061079348
PI597968	19.9992522691978
PI597971	20.3100297155913
PI597972	21.7452670402369
PI597973	21.8139641579072
PI597976	20.706632298684
PI597980	21.5193347752634
PI597982	21.1212094562506
PI598070	21.4523486988642
PI601816	21.5267295609499
PI607931	20.8245306754454
PI609456	20.4430904604165
PI613536	21.3746446905851
PI629034	20.9084493276884
PI629040	21.4024918194719
PI629059	21.5425369875957
PI641824	21.4509954812098
PI641836	20.3167396470087
PI641849	21.1181346419609
PI641874	22.0867392057285
PI642791	20.1065532993125
PI642998	21.7176878901773
PI651496	20.9828364580781
PI653617	21.7621531263113
PI655970	21.1151885885794
PI655971	22.1582925817524
PI655972	21.2541145957053
PI655973	20.1722609197131
PI655974	21.4302583484265
PI655975	20.8395667298987
PI655976	21.0897410414448
PI655977	20.3759266143399
PI655979	20.6263631484813
PI655980	20.5390981094656
PI655981	21.0859847839905
PI655982	22.066731352725
PI655983	20.5477646862998
PI655984	19.8176429651922
PI655985	22.0257845561905
PI655986	20.7659391472716
PI655987	22.0137069583744
PI655988	21.4700286466583
PI655989	20.4044218304177
PI655990	20.6174452846435
PI655991	21.7836850245886
PI655992	20.4194550174325
PI655993	20.833649174609
PI655994	21.4302860685185
PI655995	22.3634277853358
PI655997	20.6857631141546
PI655998	20.6224177268884
PI655999	22.6477910152309
PI656001	20.8682441751581
PI656002	21.6237475364833
PI656004	22.5221046697745
PI656006	20.4104224499607
PI656007	20.8036892553484
PI656008	21.3874439996845
PI656009	21.6801061612001
PI656010	20.0173952652599
PI656015	20.653165422381
PI656018	20.0082959511031
PI656019	22.2911459434271
PI656020	21.9223492948825
PI656022	21.8226090213675
PI656023	21.5330398843146
PI656024	21.4290311348336
PI656025	22.0888270068961
PI656026	20.2493070114521
PI656028	21.8910034671826
PI656029	21.0057154050494
PI656031	20.4397397893006
PI656033	21.567076908283
PI656034	22.4948476661679
PI656036	21.09603527813
PI656037	21.4966735998008
PI656038	20.9686004733153
PI656039	21.8046107644413
PI656041	21.1058777217806
PI656043	22.2883708386078
PI656044	20.5058576669439
PI656046	22.1441963964503
PI656047	19.6614343626432
PI656049	22.7647610125832
PI656051	22.1164435764035
PI656052	20.4980570962101
PI656053	20.8156465679883
PI656055	23.3643313583264
PI656056	21.8247862521312
PI656057	21.6394456535591
PI656058	20.0760959102011
PI656059	20.0978781764605
PI656060	21.2480794033402
PI656061	21.8339297620768
PI656062	20.7800591066304
PI656068	22.2180323076075
PI656069	20.1360522678814
PI656070	21.4592248536196
PI656071	21.6392307802073
PI656072	21.5834378132481
PI656073	21.9745251317739
PI656075	21.6058922281435
PI656076	21.0314487453722
PI656077	21.4858939084243
PI656078	21.6713473256633
PI656079	21.1420197054119
PI656080	20.0663329901873
PI656081	20.2456942297047
PI656082	20.3943177409484
PI656083	21.4672933700417
PI656084	20.7960744351513
PI656085	20.7224252884492
PI656086	21.8812507704913
PI656087	20.7674487264864
PI656088	20.7158635742465
PI656089	19.5596388121116
PI656090	20.900260307658
PI656091	21.8579871167085
PI656092	22.4094717300934
PI656093	20.4048567318123
PI656094	20.5925924353094
PI656095	21.6156586567451
PI656096	21.2942531037251
PI656097	21.6301300820998
PI656098	19.7050635140484
PI656099	21.5582612288461
PI656101	21.0924739736247
PI656102	20.8820417876734
PI656103	21.9207296261143
PI656104	19.9528018871275
PI656105	21.6933616248238
PI656106	22.3552945015721
PI656107	21.170550418482
PI656108	21.8639058621102
PI656109	20.7842380483198
PI656110	19.7475050502161
PI656111	21.3310840761819
PI656112	22.7974794936969
PI656113	20.7951478182817
PI656117	21.5945415605607
PI656118	21.7412767947492
PI656119	20.463147992049
PI656120	20.6117250452185
PI656121	21.235383462535
PI659691	21.9364376079695
PI659693	20.5556784052741
PI659694	21.2670397014793
PI659695	21.5834822446372
PI659696	21.3350792233341
PI659753	21.2085606659576
