id	Dry
PI152651	0.181509384891916
PI17548	0.178782232677175
PI24969	0.155399681764603
PI276837	0.147258985136701
PI329440	0.159712301064713
PI34911	0.1527562272731
PI35038	0.148863736651603
PI48770	0.135377229882783
PI533750	0.178119211590539
PI533752	0.151469756117615
PI533754	0.148863736651603
PI533757	0.149288567311481
PI533758	0.158850084789898
PI533759	0.164840388344096
PI533760	0.147681426307009
PI533761	0.159119789100046
PI533762	0.170402721108111
PI533766	0.139457345522917
PI533769	0.157090206925265
PI533776	0.155554550724855
PI533785	0.139457345522917
PI533788	0.208188854360552
PI533789	0.139187641212769
PI533792	0.188343750155592
PI533794	0.145568459976039
PI533799	0.178119211590539
PI533800	0.139187641212769
PI533807	0.145177944766967
PI533810	0.155009166555532
PI533821	0.220907727405251
PI533822	0.158694958440168
PI533824	0.174498172393509
PI533830	0.14285164273599
PI533831	0.162062856593331
PI533833	0.162514086313119
PI533838	0.164071541802962
PI533839	0.148863736651603
PI533841	0.145568459976039
PI533843	0.145177944766967
PI533845	0.192007751678812
PI533852	0.16895101088861
PI533855	0.168526180228732
PI533856	0.174865696954854
PI533863	0.148863736651603
PI533866	0.157090206925265
PI533869	0.184893347130297
PI533871	0.169517663048764
PI533876	0.152231634804766
PI533877	0.168526180228732
PI533878	0.150605297602142
PI533901	0.150673576172096
PI533902	0.151469756117615
PI533903	0.168681306578463
PI533910	0.169517663048764
PI533911	0.151469756117615
PI533912	0.155039673459912
PI533915	0.184502831921225
PI533919	0.189806130992934
PI533921	0.140479072122272
PI533924	0.138130133173291
PI533927	0.152231634804766
PI533936	0.148863736651603
PI533937	0.1596864412602
PI533938	0.152682864524554
PI533939	0.152231634804766
PI533940	0.132353275949093
PI533943	0.16692142871383
PI533948	0.184533338825606
PI533949	0.151469756117615
PI533954	0.149855219471635
PI533955	0.132353275949093
PI533957	0.189180106625893
PI533961	0.165230903553168
PI533962	0.14285164273599
PI533964	0.147258985136701
PI533965	0.139187641212769
PI533967	0.149881079276148
PI533970	0.176753033961682
PI533972	0.186583872290959
PI533976	0.159712301064713
PI533979	0.157090206925265
PI533980	0.149881079276148
PI533985	0.16895101088861
PI533986	0.178119211590539
PI533987	0.149288567311481
PI533989	0.140774075813578
PI533991	0.171678163103351
PI533996	0.166092894600942
PI533997	0.150673576172096
PI533998	0.150605297602142
PI534009	0.140774075813578
PI534021	0.146625191460618
PI534028	0.152015719526222
PI534037	0.145177944766967
PI534046	0.140023997683071
PI534047	0.165230903553168
PI534053	0.150515189069544
PI534054	0.169517663048764
PI534063	0.171678163103351
PI534070	0.145177944766967
PI534075	0.140023997683071
PI534079	0.174671610132661
PI534092	0.1596864412602
PI534096	0.164280494514811
PI534097	0.152231634804766
PI534099	0.201740232579759
PI534101	0.140023997683071
PI534104	0.167789177064469
PI534105	0.16895101088861
PI534108	0.150673576172096
PI534112	0.162514086313119
PI534114	0.158850084789898
PI534116	0.151361597430628
PI534117	0.173195273758454
PI534123	0.180238737854069
PI534124	0.194284479433878
PI534127	0.150673576172096
PI534128	0.19436456061417
PI534132	0.14913518807607
PI534133	0.175062125341732
PI534135	0.147258985136701
PI534137	0.168526180228732
PI534139	0.16050479796066
PI534144	0.214387012495991
PI534145	0.180167241537789
PI534148	0.166931646387034
PI534155	0.188950952774901
PI534157	0.178774386759662
PI534163	0.188343750155592
PI534167	0.145568459976039
PI542718	0.151469756117615
PI548797	0.151469756117615
PI552856	0.152015719526222
PI561071	0.14285164273599
PI561072	0.135377229882783
PI561073	0.185593201072996
PI561472	0.152682864524554
PI564163	0.151644075380537
PI564164	0.148863736651603
PI564165	0.172345308101683
PI565121	0.164071541802962
PI566819	0.149881079276148
PI574455	0.165230903553168
PI576130	0.140023997683071
PI576332	0.204555790707426
PI576333	0.170267741179271
PI576337	0.135377229882783
PI576339	0.158694958440168
PI576340	0.145568459976039
PI576345	0.149881079276148
PI576347	0.135377229882783
PI576348	0.145177944766967
PI576352	0.151802631988012
PI576359	0.149881079276148
PI576364	0.151469756117615
PI576373	0.140023997683071
PI576375	0.149881079276148
PI576376	0.148863736651603
PI576380	0.17899875770538
PI576381	0.14590941369704
PI576385	0.140774075813578
PI576386	0.171132199694744
PI576390	0.14285164273599
PI576393	0.135377229882783
PI576394	0.159712301064713
PI576396	0.172345308101683
PI576422	0.132353275949093
PI576425	0.208275898042868
PI576426	0.151390049644243
PI576428	0.206996570123034
PI576434	0.154611102038623
PI595699	0.158850084789898
PI595702	0.152231634804766
PI595714	0.16050479796066
PI595718	0.147258985136701
PI595720	0.151469756117615
PI595739	0.164280494514811
PI595740	0.122522054160529
PI595741	0.198019845594426
PI595743	0.155399681764603
PI595744	0.188343750155592
PI595745	0.145177944766967
PI597945	0.179348884837329
PI597946	0.140023997683071
PI597950	0.150673576172096
PI597951	0.140023997683071
PI597952	0.149018863001334
PI597958	0.151469756117615
PI597960	0.155039673459912
PI597961	0.178357402017297
PI597964	0.16050479796066
PI597965	0.152682864524554
PI597966	0.179374744641842
PI597968	0.150605297602142
PI597971	0.155039673459912
PI597972	0.180167241537789
PI597973	0.180963421483309
PI597976	0.16050479796066
PI597980	0.16130097790618
PI597982	0.149018863001334
PI598070	0.162514086313119
PI601816	0.201171828469045
PI607931	0.180098962967836
PI609456	0.147258985136701
PI613536	0.150515189069544
PI629034	0.152015719526222
PI629040	0.16755724569535
PI629059	0.164840388344096
PI641824	0.149288567311481
PI641836	0.150673576172096
PI641849	0.158026600066563
PI641874	0.171894078381895
PI642791	0.149881079276148
PI642998	0.16130097790618
PI651496	0.150673576172096
PI653617	0.152682864524554
PI655970	0.193639452116147
PI655971	0.176752650502394
PI655972	0.162514086313119
PI655973	0.162062856593331
PI655974	0.165230903553168
PI655975	0.184533338825606
PI655976	0.145208451671348
PI655977	0.145568459976039
PI655979	0.183537857853424
PI655980	0.135377229882783
PI655981	0.147258985136701
PI655982	0.150673576172096
PI655983	0.164840388344096
PI655984	0.148863736651603
PI655985	0.170336019749225
PI655986	0.206320944274867
PI655987	0.172345308101683
PI655988	0.150605297602142
PI655989	0.145177944766967
PI655990	0.165230903553168
PI655991	0.145177944766967
PI655992	0.1527562272731
PI655993	0.151469756117615
PI655994	0.158850084789898
PI655995	0.188343750155592
PI655997	0.1899301847564
PI655998	0.152231634804766
PI655999	0.140774075813578
PI656001	0.150673576172096
PI656002	0.168526180228732
PI656004	0.274485479727181
PI656006	0.147345603987179
PI656007	0.145177944766967
PI656008	0.169379060182633
PI656010	0.119408414357579
PI656015	0.192007751678812
PI656018	0.139457345522917
PI656019	0.179348884837329
PI656020	0.145568459976039
PI656022	0.184533338825606
PI656023	0.178357402017297
PI656024	0.139457345522917
PI656025	0.164870895248477
PI656026	0.153411402442222
PI656028	0.140023997683071
PI656029	0.155399681764603
PI656031	0.143558510798999
PI656033	0.149881079276148
PI656034	0.16050479796066
PI656036	0.135377229882783
PI656037	0.152015719526222
PI656038	0.150673576172096
PI656039	0.158850084789898
PI656041	0.152682864524554
PI656043	0.190794643271873
PI656044	0.155107684905749
PI656046	0.168526180228732
PI656047	0.16895101088861
PI656049	0.155589808000992
PI656051	0.150605297602142
PI656052	0.149018863001334
PI656053	0.164840388344096
PI656055	0.169543522853277
PI656056	0.149018863001334
PI656057	0.148863736651603
PI656058	0.151390049644243
PI656059	0.150673576172096
PI656060	0.142184497737658
PI656061	0.168526180228732
PI656062	0.1527562272731
PI656068	0.159119789100046
PI656069	0.157090206925265
PI656070	0.184533338825606
PI656071	0.145568459976039
PI656072	0.147258985136701
PI656073	0.168681306578463
PI656075	0.171894078381895
PI656076	0.172708588304619
PI656077	0.186583872290959
PI656078	0.180238737854069
PI656079	0.184533338825606
PI656080	0.140774075813578
PI656081	0.145345107907843
PI656082	0.142184497737658
PI656083	0.172708588304619
PI656084	0.145177944766967
PI656085	0.145568459976039
PI656086	0.203048476631275
PI656087	0.180957959957427
PI656088	0.152231634804766
PI656089	0.160436519390707
PI656090	0.14285164273599
PI656091	0.157090206925265
PI656092	0.162062856593331
PI656093	0.147258985136701
PI656094	0.169543522853277
PI656095	0.176752650502394
PI656096	0.149288567311481
PI656097	0.135377229882783
PI656098	0.180098962967836
PI656099	0.16050479796066
PI656101	0.171678163103351
PI656102	0.140774075813578
PI656103	0.151469756117615
PI656104	0.152231634804766
PI656105	0.16895101088861
PI656106	0.171894078381895
PI656107	0.155554550724855
PI656108	0.218515145699348
PI656109	0.170267741179271
PI656110	0.152231634804766
PI656111	0.19436456061417
PI656112	0.174671610132661
PI656113	0.152682864524554
PI656117	0.164071541802962
PI656118	0.168681306578463
PI656119	0.151469756117615
PI656120	0.213996497286919
PI656121	0.142184497737658
PI659691	0.152231634804766
PI659693	0.18172530017046
PI659694	0.167329975083322
PI659695	0.158850084789898
PI659696	0.1596864412602
PI659753	0.149288567311481
