id	Fresh
PI152651	0.929392767423741
PI17548	0.956436456032316
PI24969	0.947282193377843
PI276837	0.893251683705084
PI329440	0.899080983378844
PI34911	0.902210643205433
PI35038	0.90797338601973
PI48770	0.881359966397469
PI533750	0.911615184930955
PI533752	0.921955004402397
PI533754	0.885428774016943
PI533757	0.904543674932242
PI533758	0.916805622189272
PI533759	0.932558737816617
PI533760	0.870688255951401
PI533761	0.908602575384421
PI533762	0.939329119859556
PI533766	0.877118687974271
PI533769	0.919819031214846
PI533776	0.91799483688835
PI533785	0.891655732597752
PI533788	0.964871755782677
PI533789	0.885138077680727
PI533792	0.912330595085867
PI533794	0.90966918194758
PI533799	0.940653034700826
PI533800	0.895522669392046
PI533807	0.918516344614624
PI533810	0.904270505465537
PI533821	0.965025672619014
PI533822	0.910423098959245
PI533824	0.933619050829023
PI533830	0.890462938518422
PI533831	0.918419721554572
PI533833	0.915450339897354
PI533838	0.918048056792289
PI533839	0.896316616059407
PI533841	0.888623969062712
PI533843	0.880261432645038
PI533845	0.93605720705818
PI533852	0.890711963265772
PI533855	0.90514134871338
PI533856	0.913075420145213
PI533863	0.88805397553247
PI533866	0.90621350646563
PI533869	0.92806819555029
PI533871	0.903664068986615
PI533876	0.900774996273046
PI533877	0.900613529969931
PI533878	0.920615915180189
PI533901	0.89059495316154
PI533902	0.887309275825309
PI533903	0.922839461161576
PI533910	0.902692527244554
PI533911	0.915274748179391
PI533912	0.910852920052229
PI533915	0.919820406553379
PI533919	0.924865151351948
PI533921	0.900865134547095
PI533924	0.891494800178727
PI533927	0.904625242849252
PI533936	0.908092539395231
PI533937	0.919061141335853
PI533938	0.906379339443789
PI533939	0.88127582337188
PI533940	0.890317671227154
PI533943	0.917547440359788
PI533948	0.917847113257653
PI533949	0.907790617765202
PI533954	0.906627308949079
PI533955	0.915814407195195
PI533957	0.939640765918942
PI533961	0.929155555437379
PI533962	0.888517572719702
PI533964	0.946548129876701
PI533965	0.897092114209432
PI533967	0.899549523111018
PI533970	0.937976482660794
PI533972	0.920055057036661
PI533976	0.904111352026731
PI533979	0.904787378533498
PI533980	0.886713004045929
PI533985	0.919704398441436
PI533986	0.930488947695595
PI533987	0.922704279256156
PI533989	0.894732309379598
PI533991	0.917988647324017
PI533996	0.910706631662046
PI533997	0.890035717299205
PI533998	0.904547280619437
PI534009	0.879385811575953
PI534021	0.901183889639018
PI534028	0.907288515213342
PI534037	0.892298347529873
PI534046	0.887097230386636
PI534047	0.900139883739619
PI534053	0.905410705792019
PI534054	0.916764684144403
PI534063	0.915518831960279
PI534070	0.894519905185179
PI534075	0.895202729880887
PI534079	0.929082520617896
PI534092	0.909990140882288
PI534096	0.888875175427758
PI534097	0.900986379385894
PI534099	0.946179887617077
PI534101	0.9082892384563
PI534104	0.964936838103839
PI534105	0.920893535004391
