id	leaf
PI152651	3.9229003825193
PI17548	3.92128590014423
PI24969	4.03877443643022
PI276837	3.79103900340493
PI329440	3.96134528200273
PI34911	3.90031742274683
PI35038	3.88592353667338
PI48770	3.79190664309234
PI533750	3.84655683341682
PI533752	3.82078597810009
PI533754	3.78321740851253
PI533757	3.93083770393846
PI533758	3.90748696094423
PI533759	3.91384286247219
PI533760	3.92499771542204
PI533761	3.74266743573462
PI533762	4.01642794006809
PI533766	3.81467076187469
PI533769	3.85980641220593
PI533776	3.91314481988703
PI533785	3.83054281392525
PI533788	3.89420330094336
PI533789	3.90188494135846
PI533792	3.89690574931515
PI533794	3.80275475794415
PI533799	3.93301119682078
PI533800	3.86355302135367
PI533807	3.92242690126376
PI533810	3.78952762069602
PI533814	3.80342369982481
PI533821	4.01076506257105
PI533822	3.91852899885055
PI533824	3.96569154069532
PI533830	3.90810412595771
PI533831	3.76170370400108
PI533833	3.90587868369514
PI533838	3.94282940510044
PI533839	3.93021947601597
PI533841	3.84321577351097
PI533843	3.82315883022541
PI533845	3.92863673805997
PI533852	3.806325202031
PI533855	3.94025186540786
PI533856	4.0345147851
PI533863	3.78956209551168
PI533866	3.82895485005689
PI533869	3.90016606734356
PI533871	3.9609693074769
PI533876	3.77224430701961
PI533877	3.89610428699232
PI533878	3.83240134881875
PI533901	3.95493925911787
PI533902	3.81331318746204
PI533903	3.89926492190468
PI533910	3.90713588306347
PI533911	3.90562464910994
PI533912	3.90114099231804
PI533915	3.8219513601381
PI533919	3.79437607071067
PI533921	4.14049669757483
PI533924	4.08314178637705
PI533927	3.86060888724645
PI533936	3.89707205199497
PI533937	3.86938178815072
PI533938	3.77808256550473
PI533939	3.83009854497107
PI533940	3.87783980164435
PI533943	3.85482722016263
PI533948	3.85449853073787
PI533949	3.92424107729341
PI533954	3.91100567845711
PI533955	3.87263824336872
PI533957	3.93764622533885
PI533961	4.0191902432441
PI533962	3.85272114010913
PI533964	3.85083313197431
PI533965	3.86430714753134
PI533967	3.82293825085782
PI533970	4.06753606729321
PI533972	3.84479483077074
PI533976	3.7829652196557
PI533979	3.96034745154655
PI533980	3.93528803813668
PI533985	3.91231261991261
PI533986	4.02801211298771
PI533987	3.91725512701706
PI533989	3.84795243603856
PI533991	3.82702620163731
PI533996	3.83507773701437
PI533997	3.87645235837543
PI533998	3.90872675297135
PI534009	3.90893318266478
PI534021	3.69861917808657
PI534028	3.86359286174152
PI534037	3.86624729948069
PI534046	3.9080843019796
PI534047	3.84788744021468
PI534053	3.88721434924901
PI534054	3.90544905351527
PI534063	3.82966145010164
PI534070	3.78358066365007
PI534075	3.79170348103743
PI534079	3.87663264629212
PI534092	3.86440259610742
PI534096	3.87042762989686
PI534097	3.95182179021972
PI534099	3.95484598203987
PI534101	3.90832780829063
PI534104	3.88976184001582
PI534105	4.00151874552855
PI534108	3.80603796882599
PI534112	3.86630371703053
PI534114	3.92201795678176
PI534115	3.94522875861876
PI534116	3.92214512458785
PI534117	3.79749529828348
PI534123	3.85577963435539
PI534124	4.02762021317946
PI534127	3.86047301193758
PI534128	3.89739931937801
PI534132	3.77636756220567
PI534133	3.87277769687022
PI534135	3.84419654699095
PI534137	3.88241936834635
PI534139	3.8962606848648
PI534144	3.85962333567629
PI534145	3.94135668219647
PI534148	3.70273730921825
PI534155	3.63300271809057
PI534157	3.86681778680304
PI534163	3.89521891976695
PI534167	3.94429429967258
PI542718	3.84273058446103
PI548797	3.79139176175441
PI552856	3.82061606847445
PI561071	3.90312493391441
PI561072	3.85590633551332
PI561073	3.95611338945906
PI561472	3.84777863300468
PI564163	3.83767855800236
PI564164	3.90083277638401
PI564165	3.86324142318607
PI565121	3.76148671910569
PI566819	3.83942898249704
PI574455	3.79272236855226
PI576130	3.79665939746511
PI576332	3.94844823977248
PI576333	3.90226716107327
PI576337	3.80193903248422
PI576339	3.91400165063024
PI576340	3.88740003686537
PI576345	3.93153254622296
PI576347	3.83890842574007
PI576348	3.78300533999819
PI576352	3.78179055421995
PI576359	3.98177956013119
PI576364	3.89705891319551
PI576373	3.94671757900812
PI576375	3.69465272397229
PI576376	3.85842142008369
PI576380	4.0564388095043
PI576381	3.99507603072742
PI576385	3.92567336485399
PI576386	4.03789838325427
PI576390	3.77639573595653
PI576393	3.85680578937799
PI576394	3.99180783200339
PI576396	4.09443045747415
PI576399	3.9172673457403
PI576422	3.86628114438292
PI576425	3.86369023794625
PI576426	3.81513156183609
PI576428	3.58833714127426
PI576434	4.01752198894481
PI595699	3.90843537986036
PI595702	3.81906381883833
PI595714	3.90334309082755
PI595718	3.91122904453673
PI595720	3.8760627257507
PI595739	3.90328703819958
PI595740	3.86480033182884
PI595741	3.84389042424616
PI595743	3.89580674058621
PI595744	3.93241234592568
PI595745	3.81059078342467
PI597945	3.90617484734085
PI597946	3.88755168987735
PI597950	3.89722844986745
PI597951	3.8720596583172
PI597952	3.94244473531757
PI597957	3.86802314085363
PI597958	3.7780666384241
PI597960	3.84475782019173
PI597961	3.8871310067607
PI597964	3.82796610559108
PI597965	3.9068464486978
PI597966	3.78766696357386
PI597968	3.7820854833905
PI597971	3.91965544596731
PI597972	3.90004797860219
PI597973	3.88821081323762
PI597976	3.89107469837057
PI597980	3.84624531318846
PI597982	3.93702953821695
PI598070	3.99395147429389
PI601816	3.85017799183369
PI607931	3.82838758893896
PI609456	3.828577005385
PI613536	3.84204349702289
PI629034	3.91042872279846
PI629040	3.89771799821546
PI629059	3.93190939394273
PI641824	3.93518042938168
PI641836	3.91963217178831
PI641849	3.89878561672352
PI641874	3.95321224770663
PI642791	3.83848056358091
PI642998	3.91158990903304
PI651496	3.89338195701069
PI653617	3.86927972438964
PI655970	3.89221007049426
PI655971	3.91605987565298
PI655972	3.95819866141921
PI655973	3.82545281445507
PI655974	3.86566163687986
PI655975	3.8509077973835
PI655976	3.81031426738347
PI655977	3.85782848544895
PI655979	5.60359726655652
PI655980	3.72564330338719
PI655981	3.79939292669764
PI655982	3.89814153255191
PI655983	3.87459285932437
PI655984	3.91101352670295
PI655985	3.98554094555086
PI655986	3.9756244804761
PI655987	3.87327381257796
PI655988	3.86988057280364
PI655989	3.87941381517541
PI655990	3.89919830234091
PI655991	3.83768662615222
PI655992	3.81937466931892
PI655993	3.91676828665536
PI655994	3.90580013139602
PI655995	3.8893238766704
PI655997	3.76537721472199
PI655998	3.84880872959718
PI655999	3.87539651720373
PI656001	3.83559989218524
PI656002	3.89896415175096
PI656004	4.03352684689734
PI656006	3.83102060456071
PI656007	3.83918494178127
PI656008	3.89263021462481
PI656009	3.95135170344828
PI656010	3.82017454844067
PI656015	3.97512826005447
PI656018	3.82400012422919
PI656019	4.02595872102226
PI656020	3.8568607204463
PI656022	3.84995937846737
PI656023	3.94045713561564
PI656024	3.84395768383308
PI656025	3.84937897339487
PI656026	3.90473711957547
PI656028	3.97079364935985
PI656029	3.88901755202197
PI656031	3.85482722016263
PI656033	3.89759617154874
