id	height
PI152651	34.1856669814493
PI17548	31.2460013848999
PI24969	30.8982495643935
PI276837	55.5631500592725
PI329440	32.4881225517087
PI34911	32.7251947256862
PI35038	37.0243344885614
PI48770	34.6013545034275
PI533750	33.9549452002261
PI533752	29.9495027338231
PI533754	37.92973842511
PI533757	31.7477699827456
PI533758	32.7861322025524
PI533759	32.9511700325306
PI533760	31.1048123681697
PI533761	35.8290286317838
PI533762	30.5123675785908
PI533766	33.6097215610951
PI533769	28.564065901759
PI533776	36.7567573687078
PI533785	39.2660544933985
PI533788	40.3428609632376
PI533789	32.9211927596667
PI533792	36.073432877313
PI533794	30.7668916444913
PI533799	35.4487045317162
PI533800	36.1293657997693
PI533807	29.5031359865033
PI533810	37.5017488676577
PI533814	37.5472533072881
PI533821	38.1133548768506
PI533822	33.4765451138084
PI533824	33.6829427150504
PI533830	40.6439336882244
PI533831	30.9625346416552
PI533833	39.2890635656208
PI533838	32.2321038785294
PI533839	31.0236825223522
PI533841	30.909526666842
PI533843	41.3069643568962
PI533845	32.5921220274384
PI533852	31.2619511289779
PI533855	32.1372208428886
PI533856	37.4380764322329
PI533863	34.0068706451719
PI533866	32.0694715554216
PI533869	34.3413318311835
PI533871	37.8201384259824
PI533876	32.8061568241353
PI533877	33.7930559028488
PI533878	34.7769374181226
PI533901	27.9717081500667
PI533902	37.6063050919649
PI533903	35.9327631434607
PI533910	31.5676027378845
PI533911	26.6331787253935
PI533912	44.4047439436507
PI533915	33.8314276292159
PI533919	38.7120038717331
PI533921	NA
PI533924	35.273666320202
PI533927	35.8315133034952
PI533936	35.1525308268916
PI533937	33.996751821427
PI533938	34.6563488886243
PI533939	34.7376720236512
PI533940	35.9308421798186
PI533943	38.2516957033783
PI533948	33.585828364366
PI533949	41.3950371269865
PI533954	37.0763106543449
PI533955	34.8503577229044
PI533957	36.4670715625518
PI533961	40.6028516666663
PI533962	36.7192332894173
PI533964	42.127227739769
PI533965	38.8941673420234
PI533967	33.7585682137752
PI533970	36.164955221236
PI533972	40.3432551817348
PI533976	32.8875182105293
PI533979	36.557131278066
PI533980	37.4405878362222
PI533985	39.6198386232056
PI533986	29.2964748139123
PI533987	36.6981410944249
PI533989	34.0450342585545
PI533991	38.7240494511391
PI533996	35.6489755468255
PI533997	36.3034998787246
PI533998	31.6806304912453
PI534009	40.71702578
PI534021	25.9170972764128
PI534028	30.5435062689401
PI534037	33.8516216041879
PI534046	30.8702671485596
PI534047	34.5218968279282
PI534053	35.4517603827446
PI534054	32.7291235290673
PI534063	34.6293367772014
PI534070	37.5362975257486
PI534075	31.1523526553575
PI534079	31.1204982877443
PI534092	35.7263198950524
PI534096	36.9949265694263
PI534097	36.9682622086535
PI534099	29.389674115615
PI534101	33.3013571766166
PI534104	39.4926114130714
PI534105	35.7176825001105
PI534108	28.794147639222
PI534112	35.1723150011727
PI534114	40.9911516373861
PI534115	35.4713243114656
PI534116	35.698651859798
PI534117	34.3316157218492
PI534123	34.9961999440726
PI534124	35.3508109377177
PI534127	36.3587204046824
PI534128	41.300951921384
PI534132	37.1668233687651
PI534133	37.1541356335981
PI534135	41.8270126103814
PI534137	33.9155458672207
PI534139	28.8211450145934
PI534144	36.5791328539672
PI534145	35.8087657435331
PI534148	33.8056049380165
PI534155	31.0572169905752
PI534157	48.5366896747738
PI534163	35.8491994356559
PI534167	35.6635103112983
PI542718	40.0085852153635
PI548797	33.4283663445411
PI552856	39.9005367696721
PI561071	37.2753361273375
PI561072	38.1836290919697
PI561073	33.1036151019121
PI561472	39.4060943581822
PI564163	38.0719289154453
PI564164	41.2970284811904
PI564165	42.7340647838142
PI565121	34.3850402050919
PI566819	36.1575511153178
PI574455	32.3591318483777
PI576130	32.4372838448818
PI576332	37.9991119378342
PI576333	35.6216836894178
PI576337	31.7924772711076
PI576339	35.6758074392828
PI576340	29.244822667779
PI576345	41.7325519190615
PI576347	38.7587739884447
PI576348	41.1723681211772
PI576352	35.4055867917926
PI576359	33.5274762671136
PI576364	33.1636810769572
PI576373	34.3862277743957
PI576375	33.4684244824368
PI576376	39.4323127324741
PI576380	40.8927307858045
PI576381	38.3579193501668
PI576385	33.9499620845618
PI576386	NA
PI576390	29.6952486664523
PI576393	37.0534251218485
PI576394	33.6917741433962
PI576396	35.0820064604907
PI576399	38.5178932527889
PI576422	35.0547090955226
PI576425	41.9405150365215
PI576426	29.6838604540599
PI576428	35.4964603184289
PI576434	40.1662465482445
PI595699	34.1867957093144
PI595702	35.9125496377637
PI595714	28.9527214713333
PI595718	32.8725793723647
PI595720	32.7193381321734
PI595739	42.0193489140153
PI595740	31.2320961013131
PI595741	31.9407981289868
PI595743	37.8506230544835
PI595744	38.2984000397071
PI595745	34.1150145857131
PI597945	30.2153350479866
PI597946	35.3925209150036
PI597950	29.7732571007319
PI597951	40.8556460683029
PI597952	34.1397029351363
PI597957	35.4472783715916
PI597958	34.9692831244142
PI597960	33.6997138875399
PI597961	35.2438765727029
PI597964	32.4512903417918
PI597965	30.6106325548404
PI597966	35.1494119121979
PI597968	31.7920949154504
PI597971	33.5423161093879
PI597972	36.1349138064521
PI597973	37.5084215981627
PI597976	35.9189164420885
PI597980	35.3816039899731
PI597982	38.9980414046171
PI598070	33.3118436971261
PI601816	32.9804104111034
PI607931	40.673310968697
PI609456	35.1922049762166
PI613536	33.9905139109876
PI629034	40.7841942115942
PI629040	40.7126979055934
PI629059	39.0384113187716
PI641824	32.8664483242865
PI641836	32.8165481432454
PI641849	35.835777854956
PI641874	30.7553937424486
PI642791	32.110829416981
PI642998	43.3971447272933
PI651496	40.8024610759234
PI653617	35.8895405655415
PI655970	30.3338379903248
PI655971	32.8129891009708
PI655972	36.2833609373872
PI655973	33.8729976573615
PI655974	37.9987494946292
PI655975	33.9413847745179
PI655976	34.8851182740782
PI655977	38.3457017605068
PI655979	36.3029001161147
PI655980	40.4948032209749
PI655981	37.7313434499651
PI655982	34.5485872436912
PI655983	32.1174972156341
PI655984	33.9886243547574
PI655985	32.611289686482
PI655986	33.8538468119334
PI655987	30.3084935293003
PI655988	35.5679392125569
PI655989	35.1661631692048
PI655990	31.9999806694586
PI655991	36.6710461440541
PI655992	34.5086391143979
PI655993	32.7834092641732
PI655994	33.4610772187944
PI655995	48.4252682911939
PI655997	39.6949645075863
PI655998	38.4316634899294
PI655999	37.5823860500826
PI656001	35.1282272768839
PI656002	40.0914193428677
PI656004	32.078259329003
PI656006	39.2340767795837
PI656007	30.418957112636
PI656008	41.2676130258508
PI656009	35.8172966091646
PI656010	40.6436721759642
PI656015	35.0826509315531
PI656018	34.3209924502656
PI656019	30.4861364443831
PI656020	38.1436472576869
PI656022	36.762323417256
PI656023	31.5763803797248
PI656024	42.1930147763595
PI656025	40.4093555510502
PI656026	37.1675206608861
PI656028	36.5712316310224
PI656029	34.6827731933532
PI656031	30.5064183193461
PI656033	34.5687763434565
PI656034	37.4926205880242
PI656036	33.9319459345273
PI656037	37.4399438747212
PI656038	35.9605084886259
PI656039	37.0071206252613
PI656041	34.9734925422885
PI656043	41.0051062815916
PI656044	35.4406113284832
PI656046	37.5425729038016
PI656047	32.5112638238822
PI656049	37.7906650225585
PI656051	24.6397796050647
PI656052	32.9682294926724
PI656053	36.5528327464735
PI656055	40.8058983722351
PI656056	39.3104472476423
PI656057	37.647592046132
PI656058	39.8937213360337
PI656059	29.8484798561142
PI656060	35.7492875402387
PI656061	42.7059559263111
PI656062	30.7124451657956
PI656068	35.4484292476769
PI656069	32.0872211348283
PI656070	39.6194761800005
PI656071	36.3338357923555
PI656072	35.3310786035532
PI656073	42.1928388401336
PI656075	32.7754650216803
PI656076	32.9172264724402
PI656077	34.5371721805964
PI656078	33.4814596097067
PI656079	32.7704251433444
PI656080	31.9357038866203
PI656081	37.5354337095855
PI656082	31.1919771620542
PI656083	40.1459078871087
PI656084	37.8987134679632
PI656085	36.8409140774219
PI656086	35.2875913840059
PI656087	32.5521401931557
PI656088	38.6628705069968
PI656089	32.8310701593609
PI656090	36.4212644107435
PI656091	40.8151102930355
PI656092	36.4697358988354
PI656093	36.7724218592406
PI656094	31.3034312357364
PI656095	40.0754359994971
PI656096	34.9737760978984
PI656097	37.06671216865
PI656098	29.320405021599
PI656099	26.6938763985263
PI656101	30.8752617858426
PI656102	32.9685545447978
PI656103	35.1971996134996
PI656104	36.4819613640941
PI656105	35.611707378266
PI656106	43.3199792322741
PI656107	37.5182639863916
PI656108	31.7671475461345
PI656109	39.4847780660913
PI656110	37.8474001753832
PI656111	32.629470369559
PI656112	32.8421512824281
PI656113	35.0333308792404
PI656117	40.7496100572034
PI656118	42.8178448033405
PI656119	30.2133191796665
PI656120	29.5480826610798
PI656121	34.2150511695846
PI659691	33.7847039000058
PI659693	32.046108670449
PI659694	35.1374107262682
PI659695	47.3569653116868
PI659696	37.6481570456621
PI659753	38.9063786616463
