sample	PI	Race	cutoff	miss	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
PI597960_PI597960	PI597960	Caudatum	25%	miss50	-1003188.2198564	102057	10	1003188.2198564	9.82968556646187
PI597976_PI597976	PI597976	Caudatum	25%	miss50	-1152584.9143496	117219	10	1152584.9143496	9.83274822639333
PI609456_PI609456	PI609456	Caudatum	25%	miss50	-492431.6132892	53325	10	492431.6132892	9.23453564536709
PI655978_PI655978	PI655978	Caudatum	25%	miss50	-1700005.2547267	170290	10	1700005.2547267	9.98300108477714
PI655979_PI655979	PI655979	Caudatum	25%	miss50	-1427577.7502678	143991	10	1427577.7502678	9.91435402398621
PI655981_PI655981	PI655981	Caudatum	25%	miss50	-1453606.3632172	145859	10	1453606.3632172	9.9658325041115
PI655996_PI655996	PI655996	Caudatum	25%	miss50	-1662908.6607213	169389	10	1662908.6607213	9.81709946172006
PI655998_PI655998	PI655998	Caudatum	25%	miss50	-1348695.4585	136267	10	1348695.4585	9.89744735335775
PI656004_PI656004	PI656004	Caudatum	25%	miss50	-1738955.8490246	175329	10	1738955.8490246	9.91824426663358
PI656010_PI656010	PI656010	Caudatum	25%	miss50	-1595632.2325395	178178	10	1595632.2325395	8.95527075474805
PI656014_PI656014	PI656014	Caudatum	25%	miss50	-1339869.5302657	206890	10	1339869.5302657	6.47624114392044
PI656032_PI656032	PI656032	Caudatum	25%	miss50	-1504892.8722242	235510	10	1504892.8722242	6.38993194439387
PI656040_PI656040	PI656040	Caudatum	25%	miss50	-1586366.6159403	167494	10	1586366.6159403	9.47118473461915
PI656054_PI656054	PI656054	Caudatum	25%	miss50	-1385213.99301	149359	10	1385213.99301	9.27439252411974
PI656078_PI656078	PI656078	Caudatum	25%	miss50	-479903.048046	54859	10	479903.048046	8.74793649257187
PI656079_PI656079	PI656079	Caudatum	25%	miss50	-1219038.6047742	131782	10	1219038.6047742	9.25041815099331
PI656081_PI656081	PI656081	Caudatum	25%	miss50	-430407.2918481	47192	10	430407.2918481	9.12034437718469
PI656083_PI656083	PI656083	Caudatum	25%	miss50	-1388562.3563426	257178	10	1388562.3563426	5.39922682477739
PI656093_PI656093	PI656093	Caudatum	25%	miss50	-1126598.9226293	116828	10	1126598.9226293	9.64322698864398
PI656094_PI656094	PI656094	Caudatum	25%	miss50	-1120522.523693	114988	10	1120522.523693	9.74469095638675
PI656095_PI656095	PI656095	Caudatum	25%	miss50	-1315198.0727122	137660	10	1315198.0727122	9.55395955769432
PI656096_PI656096	PI656096	Caudatum	25%	miss50	-1144688.2340038	117258	10	1144688.2340038	9.76213336406728
PI656104_PI656104	PI656104	Caudatum	25%	miss50	-1503575.0760014	254118	10	1503575.0760014	5.91683814606364
PI656119_PI656119	PI656119	Caudatum	25%	miss50	-1218013.4577758	149759	10	1218013.4577758	8.13315699073712
PI17548_PI17548	PI17548	Durra	25%	miss50	-1403179.9196237	142302	10	1403179.9196237	9.86057764208304
PI329440_PI329440	PI329440	Durra	25%	miss50	-1571189.1745744	156629	10	1571189.1745744	10.0312788473041
PI35038_PI35038	PI35038	Durra	25%	miss50	-1293862.3355887	129915	10	1293862.3355887	9.95929904621254
PI48770_PI48770	PI48770	Durra	25%	miss50	-1283281.2573378	161517	10	1283281.2573378	7.94517764283513
PI533869_PI533869	PI533869	Durra	25%	miss50	-1200610.9539424	121174	10	1200610.9539424	9.90815648523941
PI533902_PI533902	PI533902	Durra	25%	miss50	-1346649.7250456	154358	10	1346649.7250456	8.72419780669352
PI533936_PI533936	PI533936	Durra	25%	miss50	-1276196.4559974	127260	10	1276196.4559974	10.0282606946205
PI533937_PI533937	PI533937	Durra	25%	miss50	-1296135.4669317	129313	10	1296135.4669317	10.0232418003735
PI533938_PI533938	PI533938	Durra	25%	miss50	-1233100.7727553	126070	10	1233100.7727553	9.78108013607758
PI533940_PI533940	PI533940	Durra	25%	miss50	-1351768.7803287	134839	10	1351768.7803287	10.0250578862844
PI533948_PI533948	PI533948	Durra	25%	miss50	-1319076.5650789	130257	10	1319076.5650789	10.1267230557966
PI533954_PI533954	PI533954	Durra	25%	miss50	-1459766.8280144	146758	10	1459766.8280144	9.94676152587527
PI533955_PI533955	PI533955	Durra	25%	miss50	-1311179.8393267	130165	10	1311179.8393267	10.0732135314923
PI533956_PI533956	PI533956	Durra	25%	miss50	-1227047.0025564	123248	10	1227047.0025564	9.95591816951512
PI533979_PI533979	PI533979	Durra	25%	miss50	-1526799.2755503	150548	10	1526799.2755503	10.1416111509306
PI533997_PI533997	PI533997	Durra	25%	miss50	-1061677.0980479	110229	10	1061677.0980479	9.63155882796632
PI534054_PI534054	PI534054	Durra	25%	miss50	-1146615.5510579	114467	10	1146615.5510579	10.0169966108826
PI534097_PI534097	PI534097	Durra	25%	miss50	-1628056.9787748	162826	10	1628056.9787748	9.9987531400071
PI552861_PI552861	PI552861	Durra	25%	miss50	-1156704.7170982	115159	10	1156704.7170982	10.0444143931278
PI561072_PI561072	PI561072	Durra	25%	miss50	-1386937.0450805	137878	10	1386937.0450805	10.0591613243628
PI561073_PI561073	PI561073	Durra	25%	miss50	-1637169.3407489	165368	10	1637169.3407489	9.90015807622333
PI564163_PI564163	PI564163	Durra	25%	miss50	-1120795.0604882	114114	10	1120795.0604882	9.82171390441313
