sample	PI	Race	cutoff	miss	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
PI533987_PI533987	PI533987	Guinea	25%	miss50	-1130145.9744681	112999	10	1130145.9744681	10.0013803172426
PI533989_PI533989	PI533989	Guinea	25%	miss50	-1201702.6988256	126626	10	1201702.6988256	9.49017341482477
PI533996_PI533996	PI533996	Guinea	25%	miss50	-1156249.4932571	117855	10	1156249.4932571	9.81078013879004
PI534046_PI534046	PI534046	Guinea	25%	miss50	-1197496.9438863	120990	10	1197496.9438863	9.89748693186462
PI534047_PI534047	PI534047	Guinea	25%	miss50	-1249893.3407854	126715	10	1249893.3407854	9.86381518198634
PI534079_PI534079	PI534079	Guinea	25%	miss50	-1138437.2825896	116019	10	1138437.2825896	9.8125072840621
PI534099_PI534099	PI534099	Guinea	25%	miss50	-1246376.6705087	126458	10	1246376.6705087	9.85605236923484
PI534101_PI534101	PI534101	Guinea	25%	miss50	-1169965.4578343	152172	10	1169965.4578343	7.68844109188484
PI534105_PI534105	PI534105	Guinea	25%	miss50	-1151114.2804552	114135	10	1151114.2804552	10.085550273406
PI534108_PI534108	PI534108	Guinea	25%	miss50	-1124316.1813513	113502	10	1124316.1813513	9.90569488952881
PI534112_PI534112	PI534112	Guinea	25%	miss50	-1143611.6025559	169974	10	1143611.6025559	6.72815608596549
PI534114_PI534114	PI534114	Guinea	25%	miss50	-1268732.8557098	126424	10	1268732.8557098	10.0355379968186
PI534138_PI534138	PI534138	Guinea	25%	miss50	-996957.0093491	101232	10	996957.0093491	9.84823977940868
PI534163_PI534163	PI534163	Guinea	25%	miss50	-1303863.9732618	132513	10	1303863.9732618	9.83951743045436
PI542406_PI542406	PI542406	Guinea	25%	miss50	-1087997.1511262	111076	10	1087997.1511262	9.79506960213005
PI548797_PI548797	PI548797	Guinea	25%	miss50	-1395626.623636	139406	10	1395626.623636	10.0112378494182
PI576350_PI576350	PI576350	Guinea	25%	miss50	-1085053.549478	164039	10	1085053.549478	6.61460719388682
PI576366_PI576366	PI576366	Guinea	25%	miss50	-1199398.6161404	122349	10	1199398.6161404	9.80309292385226
PI576386_PI576386	PI576386	Guinea	25%	miss50	-1124240.6825964	112296	10	1124240.6825964	10.0114045255076
PI576387_PI576387	PI576387	Guinea	25%	miss50	-1132228.5552386	112864	10	1132228.5552386	10.031795393027
PI576393_PI576393	PI576393	Guinea	25%	miss50	-1100857.4204539	122294	10	1100857.4204539	9.00172878844342
PI576396_PI576396	PI576396	Guinea	25%	miss50	-1128124.0737649	112685	10	1128124.0737649	10.0113065072095
PI576399_PI576399	PI576399	Guinea	25%	miss50	-1153073.0801814	118186	10	1153073.0801814	9.75642698950299
PI576434_PI576434	PI576434	Guinea	25%	miss50	-1194009.2708346	121468	10	1194009.2708346	9.8298257222857
PI576435_PI576435	PI576435	Guinea	25%	miss50	-1506948.0505912	150086	10	1506948.0505912	10.0405637473928
PI576437_PI576437	PI576437	Guinea	25%	miss50	-1295105.1081581	130451	10	1295105.1081581	9.9279047930495
PI595714_PI595714	PI595714	Guinea	25%	miss50	-1424970.234062	142489	10	1424970.234062	10.0005630895157
PI595718_PI595718	PI595718	Guinea	25%	miss50	-1299881.8159218	130625	10	1299881.8159218	9.95124835155443
PI595739_PI595739	PI595739	Guinea	25%	miss50	-1106478.1229737	110181	10	1106478.1229737	10.0423677673437
PI595740_PI595740	PI595740	Guinea	25%	miss50	-1418677.899142	192155	10	1418677.899142	7.38298716734928
PI595745_PI595745	PI595745	Guinea	25%	miss50	-1031646.3660327	103810	10	1031646.3660327	9.9378322515432
PI597946_PI597946	PI597946	Guinea	25%	miss50	-1355616.5722833	136487	10	1355616.5722833	9.93220286388667
PI597950_PI597950	PI597950	Guinea	25%	miss50	-1026472.6698757	105407	10	1026472.6698757	9.73818313656304
PI597961_PI597961	PI597961	Guinea	25%	miss50	-1125426.6169353	112995	10	1125426.6169353	9.95996829005973
PI597965_PI597965	PI597965	Guinea	25%	miss50	-1214668.8782996	121393	10	1214668.8782996	10.0060866631486
PI597966_PI597966	PI597966	Guinea	25%	miss50	-1359274.3002133	134385	10	1359274.3002133	10.1147769484191
PI597968_PI597968	PI597968	Guinea	25%	miss50	-1385962.2864303	138853	10	1385962.2864303	9.98150768388368
PI597971_PI597971	PI597971	Guinea	25%	miss50	-1122358.1122221	112611	10	1122358.1122221	9.96668275942937
PI597980_PI597980	PI597980	Guinea	25%	miss50	-1110839.8942929	110636	10	1110839.8942929	10.0404921932545
PI597982_PI597982	PI597982	Guinea	25%	miss50	-1065787.5633873	108919	10	1065787.5633873	9.78513907938285
PI607931_PI607931	PI607931	Guinea	25%	miss50	-1136289.5233508	113402	10	1136289.5233508	10.0200130804642
PI629034_PI629034	PI629034	Guinea	25%	miss50	-1184187.424159	118358	10	1184187.424159	10.0051320921188
PI642992_PI642992	PI642992	Guinea	25%	miss50	-1489144.5096208	148734	10	1489144.5096208	10.0121324621189
PI651496_PI651496	PI651496	Guinea	25%	miss50	-1175136.0141495	117457	10	1175136.0141495	10.0048189052121
PI653616_PI653616	PI653616	Guinea	25%	miss50	-1274976.4494764	132391	10	1274976.4494764	9.63038612501153
PI653617_PI653617	PI653617	Guinea	25%	miss50	-1188107.8057406	119024	10	1188107.8057406	9.98208601408624
PI656009_PI656009	PI656009	Guinea	25%	miss50	-1131879.8866455	115548	10	1131879.8866455	9.79575489532921
PI656027_PI656027	PI656027	Guinea	25%	miss50	-1286385.9667947	132137	10	1286385.9667947	9.73524422981224
PI656031_PI656031	PI656031	Guinea	25%	miss50	-1090263.3878199	113255	10	1090263.3878199	9.62662476552821
PI656035_PI656035	PI656035	Guinea	25%	miss50	-1228215.9097185	122899	10	1228215.9097185	9.99370141106516
PI656050_PI656050	PI656050	Guinea	25%	miss50	-1183580.2657323	128244	10	1183580.2657323	9.22912780116261
PI656057_PI656057	PI656057	Guinea	25%	miss50	-1427304.5756399	197731	10	1427304.5756399	7.21841580551304
PI656069_PI656069	PI656069	Guinea	25%	miss50	-1106503.4401792	128635	10	1106503.4401792	8.60188471395189
PI656070_PI656070	PI656070	Guinea	25%	miss50	-1166333.6344183	125257	10	1166333.6344183	9.31152458080825
PI656071_PI656071	PI656071	Guinea	25%	miss50	-1240015.8769791	124027	10	1240015.8769791	9.99795106693784
PI656075_PI656075	PI656075	Guinea	25%	miss50	-1182493.6077904	120490	10	1182493.6077904	9.81403940402023
PI656085_PI656085	PI656085	Guinea	25%	miss50	-1160746.4464204	149144	10	1160746.4464204	7.7827230490023
PI656087_PI656087	PI656087	Guinea	25%	miss50	-1127855.6319805	117599	10	1127855.6319805	9.59069066897253
PI656090_PI656090	PI656090	Guinea	25%	miss50	-1143983.114316	121387	10	1143983.114316	9.42426383645695
PI656098_PI656098	PI656098	Guinea	25%	miss50	-998403.384765501	109939	10	998403.384765501	9.08143047294864
PI656102_PI656102	PI656102	Guinea	25%	miss50	-1007844.6727793	101609	10	1007844.6727793	9.91885239279296
PI656105_PI656105	PI656105	Guinea	25%	miss50	-1116229.9839813	119889	10	1116229.9839813	9.31052877229186
PI656106_PI656106	PI656106	Guinea	25%	miss50	-1083141.664677	118722	10	1083141.664677	9.1233441542174
PI656111_PI656111	PI656111	Guinea	25%	miss50	-1104899.5340978	110859	10	1104899.5340978	9.96671027248848
PI656116_PI656116	PI656116	Guinea	25%	miss50	-1209905.6751728	154734	10	1209905.6751728	7.8192619280365
PI656118_PI656118	PI656118	Guinea	25%	miss50	-1110028.0667532	117994	10	1110028.0667532	9.40749586210486
PI656120_PI656120	PI656120	Guinea	25%	miss50	-1398305.0400449	145619	10	1398305.0400449	9.60249033467404
PI656121_PI656121	PI656121	Guinea	25%	miss50	-1200772.9000524	129274	10	1200772.9000524	9.28858780615128
PI659694_PI659694	PI659694	Guinea	25%	miss50	-1605106.8428858	167794	10	1605106.8428858	9.5659370590474
PI659696_PI659696	PI659696	Guinea	25%	miss50	-1338803.8622499	137530	10	1338803.8622499	9.73463144223005
PI152651_PI152651	PI152651	Kafir	25%	miss50	-1411399.725257	144001	10	1411399.725257	9.80131891623668
PI533755_PI533755	PI533755	Kafir	25%	miss50	-1454660.3082559	152940	10	1454660.3082559	9.51131364100888
PI533915_PI533915	PI533915	Kafir	25%	miss50	-1393703.4667369	138599	10	1393703.4667369	10.0556531196971
PI534053_PI534053	PI534053	Kafir	25%	miss50	-1345808.9433668	134206	10	1345808.9433668	10.0279342456134
PI534139_PI534139	PI534139	Kafir	25%	miss50	-1594245.2698829	158615	10	1594245.2698829	10.051037227771
PI540816_PI540816	PI540816	Kafir	25%	miss50	-1502803.2789865	150254	10	1502803.2789865	10.0017522261404
PI561071_PI561071	PI561071	Kafir	25%	miss50	-1497595.594504	149385	10	1497595.594504	10.0250734310941
PI595744_PI595744	PI595744	Kafir	25%	miss50	-1075369.6410364	107593	10	1075369.6410364	9.99479186412128
PI655973_PI655973	PI655973	Kafir	25%	miss50	-1435656.3030072	143703	10	1435656.3030072	9.99044072153817
PI655984_PI655984	PI655984	Kafir	25%	miss50	-1690244.2448618	170691	10	1690244.2448618	9.9023630118858
PI656015_PI656015	PI656015	Kafir	25%	miss50	-1436489.7387678	142711	10	1436489.7387678	10.0657254084675
PI656065_PI656065	PI656065	Kafir	25%	miss50	-1438503.3263199	142980	10	1438503.3263199	10.060870935235
PI656073_PI656073	PI656073	Kafir	25%	miss50	-1464562.2799015	150424	10	1464562.2799015	9.73622746304777
PI656074_PI656074	PI656074	Kafir	25%	miss50	-1214682.5164849	131046	10	1214682.5164849	9.26913081272912
PI656101_PI656101	PI656101	Kafir	25%	miss50	-1457212.9033467	144936	10	1457212.9033467	10.0541818688711
PI656107_PI656107	PI656107	Kafir	25%	miss50	-1450053.6155263	189354	10	1450053.6155263	7.65789798750647
PI656109_PI656109	PI656109	Kafir	25%	miss50	-1367305.7835315	152033	10	1367305.7835315	8.99348025449409
PI656115_PI656115	PI656115	Kafir	25%	miss50	-1639533.4302675	168882	10	1639533.4302675	9.70815972257257
PI276837_PI276837	PI276837	Milo/Durra-Bicolor	25%	miss50	-1688779.9561833	171122	10	1688779.9561833	9.8688652317253
PI329435_PI329435	PI329435	Milo/Durra-Bicolor	25%	miss50	-1210553.376142	124883	10	1210553.376142	9.69350012525324
PI533794_PI533794	PI533794	Milo/Durra-Bicolor	25%	miss50	-1336616.6611934	133605	10	1336616.6611934	10.0042413172666
PI533799_PI533799	PI533799	Milo/Durra-Bicolor	25%	miss50	-1332512.7128822	133249	10	1332512.7128822	10.0001704544289
PI533800_PI533800	PI533800	Milo/Durra-Bicolor	25%	miss50	-1342837.406109	135304	10	1342837.406109	9.92459503125553
PI533991_PI533991	PI533991	Milo/Durra-Bicolor	25%	miss50	-1183162.8089907	118254	10	1183162.8089907	10.0052667054873
PI534115_PI534115	PI534115	Milo/Durra-Bicolor	25%	miss50	-1297837.6436503	130558	10	1297837.6436503	9.94069795531717
PI534157_PI534157	PI534157	Milo/Durra-Bicolor	25%	miss50	-1424548.8987428	189942	10	1424548.8987428	7.49991523066409
PI552856_PI552856	PI552856	Milo/Durra-Bicolor	25%	miss50	-1286744.1495372	128068	10	1286744.1495372	10.0473510130337
PI561472_PI561472	PI561472	Milo/Durra-Bicolor	25%	miss50	-1666077.9123565	177195	10	1666077.9123565	9.40251086292785
PI564165_PI564165	PI564165	Milo/Durra-Bicolor	25%	miss50	-1640501.990362	165904	10	1640501.990362	9.88826062278184
PI565121_PI565121	PI565121	Milo/Durra-Bicolor	25%	miss50	-1145764.6257179	113142	10	1145764.6257179	10.1267842685996
PI576130_PI576130	PI576130	Milo/Durra-Bicolor	25%	miss50	-1486748.4086373	147361	10	1486748.4086373	10.0891579769226
PI576380_PI576380	PI576380	Milo/Durra-Bicolor	25%	miss50	-1294843.3034485	128726	10	1294843.3034485	10.0589104256211
PI576428_PI576428	PI576428	Milo/Durra-Bicolor	25%	miss50	-1442512.2927005	144218	10	1442512.2927005	10.0023041000465
PI585291_PI585291	PI585291	Milo/Durra-Bicolor	25%	miss50	-1654013.8444047	245324	10	1654013.8444047	6.74216075233039
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	25%	miss50	-1208702.013072	120892	10	1208702.013072	9.99819684571353
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	25%	miss50	-1212703.4286295	120916	10	1212703.4286295	10.0293048780104
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	25%	miss50	-1181710.6756294	116680	10	1181710.6756294	10.1277911864021
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	25%	miss50	-1435538.665723	143092	10	1435538.665723	10.0322775956937
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	25%	miss50	-1480273.5803254	147999	10	1480273.5803254	10.0019160962263
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	25%	miss50	-1353923.4054831	134242	10	1353923.4054831	10.0856915531883
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	25%	miss50	-1138046.6577388	111728	10	1138046.6577388	10.1858679806208
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	25%	miss50	-1145840.1072193	113976	10	1145840.1072193	10.053345504486
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	25%	miss50	-1462466.7210246	145964	10	1462466.7210246	10.0193658780562
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	25%	miss50	-1501571.0786051	163124	10	1501571.0786051	9.20508986173156
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	25%	miss50	-1410683.1513557	141275	10	1410683.1513557	9.98537003260097
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	25%	miss50	-1316314.7747849	141547	10	1316314.7747849	9.29948903745682
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	25%	miss50	-1275200.8989609	125451	10	1275200.8989609	10.1649321166105
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	25%	miss50	-1350092.7318611	222072	10	1350092.7318611	6.07952705366322
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	25%	miss50	-1517204.879289	163687	10	1517204.879289	9.26893937385985
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	25%	miss50	-1322837.2263773	138822	10	1322837.2263773	9.52901720460229
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	25%	miss50	-1351731.7237436	138234	10	1351731.7237436	9.77857635417913
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	25%	miss50	-1461966.5424442	145695	10	1461966.5424442	10.0344318092192
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	25%	miss50	-1276149.0732819	125431	10	1276149.0732819	10.1741122472267
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	25%	miss50	-1120887.6394994	111427	10	1120887.6394994	10.0593899099805
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	25%	miss50	-1438245.0935237	142808	10	1438245.0935237	10.0711801406343
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	25%	miss50	-1309494.2866372	136056	10	1309494.2866372	9.62467136059563
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	25%	miss50	-1623635.4699973	172077	10	1623635.4699973	9.43551706501914
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	25%	miss50	-1475435.5260772	146732	10	1475435.5260772	10.0553084949241
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	25%	miss50	-1121916.7562317	113414	10	1121916.7562317	9.89222455985769
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	25%	miss50	-1499168.6776833	163089	10	1499168.6776833	9.19233472326949
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	25%	miss50	-1462859.3575568	156623	10	1462859.3575568	9.34000343217023
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	25%	miss50	-1447699.0658348	153695	10	1447699.0658348	9.41929838859299
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	25%	miss50	-1274340.9459588	178647	10	1274340.9459588	7.13329048883439
