population	trait_id	anc_effect
Landrace	X2020_extantLeafNumber_NR	0.0186536785993748
Landrace	X2020_extantLeafNumber_NR	-0.0240992057940033
Landrace	X2020_extantLeafNumber_NR	-0.0165239336666817
Landrace	X2020_extantLeafNumber_NR	-0.0134736519886474
Landrace	X2020_extantLeafNumber_NR	0.0162924631079654
Landrace	X2020_extantLeafNumber_NR	0.0365491668011655
Landrace	X2020_extantLeafNumber_NR	-0.0233709800730455
Landrace	X2020_extantLeafNumber_NR	0.0168480173772785
Landrace	X2020_extantLeafNumber_NR	0.0336229676854415
Landrace	X2020_extantLeafNumber_NR	-0.0254404432216383
Landrace	X2020_extantLeafNumber_NR	-0.0259497484768284
Landrace	X2020_extantLeafNumber_NR	0.0182526541705312
Landrace	X2020_extantLeafNumber_NR	0.0138806785259389
Landrace	X2020_extantLeafNumber_NR	-0.0201477243740577
Landrace	X2020_extantLeafNumber_NR	0.0135976649756013
Landrace	X2020_extantLeafNumber_NR	-0.0171688849536477
Landrace	X2020_extantLeafNumber_NR	-0.0188339093089949
Landrace	X2020_extantLeafNumber_NR	0.0296453222979948
Landrace	X2020_extantLeafNumber_NR	0.0213478316433218
Landrace	X2020_extantLeafNumber_NR	0.027953542602795
Landrace	X2020_extantLeafNumber_NR	-0.0573899332630875
Landrace	X2020_extantLeafNumber_NR	0.0300837992381499
Landrace	X2020_extantLeafNumber_NR	0.0572342440602374
Landrace	X2020_extantLeafNumber_NR	0.0226895073309886
Landrace	X2020_extantLeafNumber_NR	0.0421806414661428
Landrace	X2020_extantLeafNumber_NR	0.0308786428580321
Landrace	X2020_extantLeafNumber_NR	-0.0252882487060947
Landrace	X2020_extantLeafNumber_NR	0.0268514310798946
Landrace	X2020_extantLeafNumber_NR	-0.0220843245487007
Landrace	X2020_extantLeafNumber_NR	0.0302585817134083
Landrace	X2020_extantLeafNumber_NR	-0.0226132974417694
Landrace	X2020_extantLeafNumber_NR	-0.035518864253583
Landrace	X2020_extantLeafNumber_NR	-0.0471140906228516
Landrace	X2020_extantLeafNumber_NR	0.0201148095633602
Landrace	X2020_extantLeafNumber_NR	-0.0282558930144935
Landrace	X2020_extantLeafNumber_NR	0.0361750469473015
Landrace	X2020_extantLeafNumber_NR	-0.0383576593819138
Landrace	X2020_extantLeafNumber_NR	0.0195974583487321
Landrace	X2020_extantLeafNumber_NR	-0.0300000086371193
Landrace	X2020_extantLeafNumber_NR	0.0208657826697147
Landrace	X2020_extantLeafNumber_NR	-0.0268573810274325
Landrace	X2020_extantLeafNumber_NR	-0.0350158414012148
Landrace	X2020_extantLeafNumber_NR	-0.0209267905906649
Landrace	X2020_extantLeafNumber_NR	0.0245537866530149
Landrace	X2020_extantLeafNumber_NR	-0.0227714720418288
Landrace	X2020_extantLeafNumber_NR	-0.0503462740091701
Landrace	X2020_extantLeafNumber_NR	-0.0473700203089583
Landrace	X2020_extantLeafNumber_NR	0.013087828590509
Landrace	X2020_extantLeafNumber_NR	0.0155434053847556
Landrace	X2020_extantLeafNumber_NR	0.023215575721961
Landrace	X2020_extantLeafNumber_NR	-0.0285815717351437
Landrace	X2020_extantLeafNumber_NR	-0.0236761072562613
Landrace	X2020_extantLeafNumber_NR	-0.0263604356862238
Landrace	X2020_extantLeafNumber_NR	0.0334446528870639
Landrace	X2020_extantLeafNumber_NR	0.0344215362580199
Landrace	X2020_extantLeafNumber_NR	0.0376539166169827
Landrace	X2020_extantLeafNumber_NR	0.0381890816380894
Landrace	X2020_extantLeafNumber_NR	-0.0395164919572483
Landrace	X2020_extantLeafNumber_NR	0.0284070988851484
Landrace	X2020_extantLeafNumber_NR	-0.0169768932611907
Landrace	X2020_extantLeafNumber_NR	-0.0235178872759859
Landrace	X2020_extantLeafNumber_NR	0.0221367638126301
Landrace	X2020_extantLeafNumber_NR	-0.018816874771454
Landrace	X2020_extantLeafNumber_NR	0.0353255829318345
Landrace	X2020_extantLeafNumber_NR	-0.010748242633721
Landrace	X2020_extantLeafNumber_NR	-0.0346679796627701
Landrace	X2020_extantLeafNumber_NR	0.0501822909908516
Landrace	X2020_extantLeafNumber_NR	-0.0300594695898562
Landrace	X2020_extantLeafNumber_NR	-0.014999215568926
Landrace	X2020_extantLeafNumber_NR	0.015496165828995
Landrace	X2020_extantLeafNumber_NR	-0.0314043932769355
Landrace	X2020_extantLeafNumber_NR	0.0286173505485542
Landrace	X2020_extantLeafNumber_NR	-0.0412917809970249
Landrace	X2020_extantLeafNumber_NR	-0.0240445116340354
Landrace	X2020_extantLeafNumber_NR	0.0431792841916171
Landrace	X2020_extantLeafNumber_NR	0.0521844649367546
Landrace	X2020_extantLeafNumber_NR	-0.0166061610398248
Landrace	X2020_extantLeafNumber_NR	-0.0201910206805733
Landrace	X2020_extantLeafNumber_NR	0.0290125590647138
Landrace	X2020_extantLeafNumber_NR	0.040685174635669
Landrace	X2020_extantLeafNumber_NR	0.0174874413529103
Landrace	X2020_extantLeafNumber_NR	-0.0319276256920902
Landrace	X2020_extantLeafNumber_NR	0.0197712380024188
Landrace	X2020_extantLeafNumber_NR	0.011376472022554
Landrace	X2020_extantLeafNumber_NR	0.0196420944418382
Landrace	X2020_extantLeafNumber_NR	-0.017793408090395
Landrace	X2020_extantLeafNumber_NR	-0.0352222232921531
Landrace	X2020_extantLeafNumber_NR	0.0148002215329496
Landrace	X2020_extantLeafNumber_NR	-0.0114719706429664
Landrace	X2020_extantLeafNumber_NR	-0.0259526652573071
Landrace	X2020_extantLeafNumber_NR	-0.0472035695393376
