sample	feature	feature_Mb	selected_sites_feature	callable_selected_sites	missing_genotypes_selected_sites	load_raw	n_del_alleles	burden_per_callable_site	n_del_alleles_per_callable_site	burden_per_Mb	n_del_alleles_per_Mb
PI533855_PI533855	intergenic	512.484706	199249	195799	3450	397359.039513	61996.0	2.02942323	0.31663083	775.35784944	120.97141490
PI533856_PI533856	exon	62.252916	5835	5782	53	17008.458627	2520.0	2.94162204	0.43583535	273.21545270	40.48003149
PI533856_PI533856	intron	57.794743	3078	2990	88	8228.635433	1263.0	2.75205198	0.42240803	142.37688422	21.85319866
PI533856_PI533856	upstream_2kb	50.472471	5342	5198	144	13706.941069	2151.0	2.63696442	0.41381301	271.57261765	42.61729132
PI533856_PI533856	downstream_2kb	33.923341	3170	3069	101	8397.483644	1321.0	2.73622797	0.43043337	247.54294229	38.94073995
PI533856_PI533856	intergenic	512.484706	199249	191834	7415	540893.329004	84397.0	2.81959053	0.43994808	1055.43311375	164.68198760
PI533863_PI533863	exon	62.252916	5835	5785	50	14861.295898	2209.0	2.56893620	0.38184961	238.72449442	35.48428157
PI533863_PI533863	intron	57.794743	3078	3020	58	7427.869634	1147.0	2.45955948	0.37980132	128.52154449	19.84609569
PI533863_PI533863	upstream_2kb	50.472471	5342	5213	129	12582.571344	1988.0	2.41369103	0.38135431	249.29572685	39.38780806
PI533863_PI533863	downstream_2kb	33.923341	3170	3112	58	7830.382451	1226.0	2.51618973	0.39395887	230.82580372	36.14030823
PI533863_PI533863	intergenic	512.484706	199249	195435	3814	403423.117094	62964.0	2.06423167	0.32217361	787.19054905	122.86025176
PI533866_PI533866	exon	62.252916	5835	5786	49	14459.809869	2150.0	2.49910298	0.37158659	232.27522175	34.53653480
PI533866_PI533866	intron	57.794743	3078	2993	85	6806.968871	1046.0	2.27429632	0.34948212	117.77833965	18.09853190
PI533866_PI533866	upstream_2kb	50.472471	5342	5200	142	12116.099545	1911.0	2.33001914	0.36750000	240.05362340	37.86222394
PI533866_PI533866	downstream_2kb	33.923341	3170	3078	92	7065.134127	1119.0	2.29536521	0.36354776	208.26763870	32.98613777
PI533866_PI533866	intergenic	512.484706	199249	191141	8108	447827.591507	69931.0	2.34291749	0.36586080	873.83601162	136.45480378
PI533869_PI533869	exon	62.252916	5835	5756	79	14591.974796	2153.0	2.53508944	0.37404448	234.39825366	34.58472532
PI533869_PI533869	intron	57.794743	3078	2974	104	6939.320994	1066.0	2.33332918	0.35843981	120.06837706	18.44458414
PI533869_PI533869	upstream_2kb	50.472471	5342	5156	186	12319.433713	1943.0	2.38933935	0.37684251	244.08223867	38.49623293
PI533869_PI533869	downstream_2kb	33.923341	3170	3071	99	7025.563357	1100.0	2.28771194	0.35818951	207.10116252	32.42605143
PI533869_PI533869	intergenic	512.484706	199249	191936	7313	398284.472714	62155.0	2.07508999	0.32383190	777.16362664	121.28166806
PI533871_PI533871	exon	62.252916	5835	5743	92	15821.387896	2350.0	2.75489951	0.40919380	254.14693660	37.74923571
PI533871_PI533871	intron	57.794743	3078	2951	127	6593.669317	1013.0	2.23438472	0.34327347	114.08770028	17.52754571
PI533871_PI533871	upstream_2kb	50.472471	5342	5186	156	12067.057675	1914.0	2.32685262	0.36907057	239.08196758	37.92166229
PI533871_PI533871	downstream_2kb	33.923341	3170	3061	109	6928.096927	1093.0	2.26334431	0.35707285	204.22802479	32.21970383
PI533871_PI533871	intergenic	512.484706	199249	190330	8919	380682.180317	59497.0	2.00011654	0.31259917	742.81666528	116.09517182
PI533876_PI533876	exon	62.252916	5835	5817	18	14125.260365	2098.0	2.42827237	0.36066701	226.90118428	33.70123257
PI533876_PI533876	intron	57.794743	3078	3058	20	7021.038152	1083.0	2.29595754	0.35415304	121.48229730	18.73872854
PI533876_PI533876	upstream_2kb	50.472471	5342	5306	36	11895.583581	1876.0	2.24191172	0.35356201	235.68458895	37.16877662
PI533876_PI533876	downstream_2kb	33.923341	3170	3153	17	6733.406369	1063.0	2.13555546	0.33713923	198.48889202	31.33535697
PI533876_PI533876	intergenic	512.484706	199249	197805	1444	399003.955944	62316.0	2.01715809	0.31503754	778.56753826	121.59582378
PI533877_PI533877	exon	62.252916	5835	5797	38	15426.551522	2293.0	2.66112671	0.39554942	247.80448071	36.83361595
PI533877_PI533877	intron	57.794743	3078	2994	84	7082.243712	1091.0	2.36547886	0.36439546	122.54131336	18.87714943
PI533877_PI533877	upstream_2kb	50.472471	5342	5203	139	11931.863830	1890.0	2.29326616	0.36325197	236.40340156	37.44615555
PI533877_PI533877	downstream_2kb	33.923341	3170	3070	100	7188.494679	1140.0	2.34152921	0.37133550	211.90408926	33.60518057
PI533877_PI533877	intergenic	512.484706	199249	190891	8358	400006.335788	62530.0	2.09546985	0.32756914	780.52345973	122.01339722
PI533878_PI533878	exon	62.252916	5835	5771	64	15785.034917	2357.0	2.73523391	0.40842142	253.56298035	37.86168025
PI533878_PI533878	intron	57.794743	3078	2962	116	6756.498473	1045.0	2.28105958	0.35280216	116.90506995	18.08122929
PI533878_PI533878	upstream_2kb	50.472471	5342	5176	166	11591.642036	1832.0	2.23949808	0.35394127	229.66266178	36.29701427
PI533878_PI533878	downstream_2kb	33.923341	3170	3055	115	7147.507372	1124.0	2.33960961	0.36792144	210.69585605	33.13352892
PI533878_PI533878	intergenic	512.484706	199249	189877	9372	392731.258569	61308.0	2.06834561	0.32288271	766.32776348	119.62893581
PI533882_PI533882	exon	62.252916	5835	5783	52	15378.027898	2304.0	2.65917826	0.39840913	247.02502126	37.01031450
PI533882_PI533882	intron	57.794743	3078	3007	71	7523.463564	1168.0	2.50198323	0.38842700	130.17556914	20.20945054
PI533882_PI533882	upstream_2kb	50.472471	5342	5169	173	11875.671874	1881.0	2.29747957	0.36390017	235.29008266	37.26784052
PI533882_PI533882	downstream_2kb	33.923341	3170	3046	124	7483.254000	1176.0	2.45674787	0.38608011	220.59307189	34.66639680
PI533882_PI533882	intergenic	512.484706	199249	188011	11238	395063.583514	61689.0	2.10127909	0.32811378	770.87877724	120.37237263
PI533901_PI533901	exon	62.252916	5835	5793	42	14748.756605	2184.0	2.54596178	0.37700673	236.91671896	35.08269396
PI533901_PI533901	intron	57.794743	3078	3009	69	7781.649782	1206.0	2.58612489	0.40079761	134.64286505	20.86694978
PI533901_PI533901	upstream_2kb	50.472471	5342	5239	103	13167.826408	2067.0	2.51342363	0.39454094	260.89125710	40.95301774
PI533901_PI533901	downstream_2kb	33.923341	3170	3120	50	7941.341652	1241.0	2.54530181	0.39775641	234.09668439	36.58248166
PI533901_PI533901	intergenic	512.484706	199249	194260	4989	448727.928409	69965.0	2.30993477	0.36016164	875.59281898	136.52114723
PI533902_PI533902	exon	62.252916	5835	5759	76	15721.561777	2318.0	2.72991175	0.40250043	252.54337929	37.23520357
PI533902_PI533902	intron	57.794743	3078	2962	116	6639.145755	1030.0	2.24144016	0.34773801	114.87456144	17.82169011
PI533902_PI533902	upstream_2kb	50.472471	5342	5211	131	13095.080516	2068.0	2.51296882	0.39685281	259.44995870	40.97283052
PI533902_PI533902	downstream_2kb	33.923341	3170	3088	82	7082.773320	1119.0	2.29364421	0.36237047	208.78761086	32.98613777
PI533902_PI533902	intergenic	512.484706	199249	193014	6235	462805.850051	72164.0	2.39778384	0.37387961	903.06275413	140.81200698
PI533903_PI533903	exon	62.252916	5835	5748	87	12522.173102	1868.0	2.17852698	0.32498260	201.14998471	30.00662652
PI533903_PI533903	intron	57.794743	3078	2922	156	5475.314025	852.0	1.87382410	0.29158111	94.73723285	14.74182522
PI533903_PI533903	upstream_2kb	50.472471	5342	5149	193	10877.616025	1721.0	2.11256866	0.33423966	215.51582100	34.09779561
PI533903_PI533903	downstream_2kb	33.923341	3170	3034	136	5994.567874	944.0	1.97579693	0.31114041	176.70924198	27.82744777
PI533903_PI533903	intergenic	512.484706	199249	185909	13340	307776.415286	48033.0	1.65552187	0.25836834	600.55726870	93.72572379
PI533910_PI533910	exon	62.252916	5835	5799	36	13676.152840	2021.0	2.35836400	0.34850836	219.68694350	32.46434271
PI533910_PI533910	intron	57.794743	3078	3032	46	6525.950019	1004.0	2.15235819	0.33113456	112.91597956	17.37182221
PI533910_PI533910	upstream_2kb	50.472471	5342	5273	69	12015.489874	1886.0	2.27868194	0.35767115	238.06026604	37.36690443
PI533910_PI533910	downstream_2kb	33.923341	3170	3123	47	6640.288329	1050.0	2.12625307	0.33621518	195.74393715	30.95214000
PI533910_PI533910	intergenic	512.484706	199249	194354	4895	382538.129722	59728.0	1.96825447	0.30731552	746.43813804	116.54591698
PI533911_PI533911	exon	62.252916	5835	5789	46	13944.611156	2074.0	2.40881174	0.35826568	223.99932489	33.31570846
PI533911_PI533911	intron	57.794743	3078	3013	65	7653.317331	1185.0	2.54009868	0.39329572	132.42237846	20.50359494
PI533911_PI533911	upstream_2kb	50.472471	5342	5224	118	12143.470175	1912.0	2.32455402	0.36600306	240.59591168	37.88203672
PI533911_PI533911	downstream_2kb	33.923341	3170	3099	71	7150.813725	1124.0	2.30745845	0.36269764	210.79332148	33.13352892
PI533911_PI533911	intergenic	512.484706	199249	193247	6002	529567.137116	82650.0	2.74036408	0.42769099	1033.33256762	161.27310539
PI533912_PI533912	exon	62.252916	5835	5783	52	14120.952018	2091.0	2.44180391	0.36157704	226.83197713	33.58878803
PI533912_PI533912	intron	57.794743	3078	3015	63	6846.090149	1058.0	2.27067667	0.35091211	118.45523993	18.30616324
PI533912_PI533912	upstream_2kb	50.472471	5342	5210	132	12277.184633	1944.0	2.35646538	0.37312860	243.24516691	38.51604571
PI533912_PI533912	downstream_2kb	33.923341	3170	3103	67	7066.358895	1103.0	2.27726680	0.35546246	208.30374268	32.51448612
PI533912_PI533912	intergenic	512.484706	199249	192642	6607	344566.262041	53789.0	1.78863520	0.27921741	672.34447781	104.95727847
PI533913_PI533913	exon	62.252916	5835	5759	76	13672.044492	2039.0	2.37403099	0.35405452	219.62094903	32.75348580
PI533913_PI533913	intron	57.794743	3078	3002	76	6833.032718	1063.0	2.27616013	0.35409727	118.22931228	18.39267630
PI533913_PI533913	upstream_2kb	50.472471	5342	5219	123	11844.950932	1870.0	2.26958247	0.35830619	234.68141538	37.04989993
PI533913_PI533913	downstream_2kb	33.923341	3170	3078	92	7234.612355	1143.0	2.35042637	0.37134503	213.26355664	33.69361526
PI533913_PI533913	intergenic	512.484706	199249	190320	8929	380248.145407	59325.0	1.99794108	0.31171185	741.96974262	115.75955205
PI533915_PI533915	exon	62.252916	5835	5732	103	15246.351817	2252.0	2.65986598	0.39288207	244.90984193	36.17501227
PI533915_PI533915	intron	57.794743	3078	2977	101	6873.954461	1058.0	2.30902065	0.35539133	118.93736530	18.30616324
PI533915_PI533915	upstream_2kb	50.472471	5342	5156	186	12097.106080	1906.0	2.34621918	0.36966641	239.67731004	37.76316004
PI533915_PI533915	downstream_2kb	33.923341	3170	3072	98	7202.645112	1131.0	2.34461104	0.36816406	212.32121895	33.33987652
PI533915_PI533915	intergenic	512.484706	199249	190022	9227	483562.168964	75419.0	2.54476939	0.39689615	943.56409723	147.16341603
PI533919_PI533919	exon	62.252916	5835	5775	60	12872.652533	1925.0	2.22903074	0.33333333	206.77991266	30.92224628
PI533919_PI533919	intron	57.794743	3078	2958	120	5914.603329	909.0	1.99952783	0.30730223	102.33808513	15.72807409
PI533919_PI533919	upstream_2kb	50.472471	5342	5163	179	11603.764120	1828.0	2.24748482	0.35405772	229.90283397	36.21776314
PI533919_PI533919	downstream_2kb	33.923341	3170	3069	101	7171.709227	1130.0	2.33682282	0.36819811	211.40928386	33.31039829
PI533919_PI533919	intergenic	512.484706	199249	189824	9425	387131.761348	60423.0	2.03942474	0.31831065	755.40158919	117.90205501
PI533921_PI533921	exon	62.252916	5835	5755	80	15129.627504	2241.0	2.62895352	0.38940052	243.03484038	35.99831372
PI533921_PI533921	intron	57.794743	3078	3021	57	8662.562133	1330.0	2.86744857	0.44025157	149.88494944	23.01247364
PI533921_PI533921	upstream_2kb	50.472471	5342	5192	150	13517.821292	2138.0	2.60358654	0.41178737	267.82562898	42.35972517
PI533921_PI533921	downstream_2kb	33.923341	3170	3085	85	7962.541136	1256.0	2.58105061	0.40713128	234.72160765	37.02465509
PI533921_PI533921	intergenic	512.484706	199249	191924	7325	629216.618236	98107.0	3.27846761	0.51117630	1227.77638214	191.43400545
PI533924_PI533924	exon	62.252916	5835	5771	64	13225.232797	1968.0	2.29167091	0.34101542	212.44358733	31.61297697
PI533924_PI533924	intron	57.794743	3078	2944	134	5254.608213	821.0	1.78485333	0.27887228	90.91844587	14.20544426
PI533924_PI533924	upstream_2kb	50.472471	5342	5143	199	11111.933619	1763.0	2.16059374	0.34279603	220.15830409	34.92993240
PI533924_PI533924	downstream_2kb	33.923341	3170	3017	153	6464.708991	1017.0	2.14276069	0.33708982	190.56816929	29.97935846
PI533924_PI533924	intergenic	512.484706	199249	188443	10806	419370.913302	65397.0	2.22545233	0.34703863	818.30912882	127.60771050
PI533927_PI533927	exon	62.252916	5835	5743	92	14038.885191	2069.0	2.44452119	0.36026467	225.51369628	33.23539093
PI533927_PI533927	intron	57.794743	3078	2964	114	6885.739689	1060.0	2.32312405	0.35762483	119.14128054	18.34076847
PI533927_PI533927	upstream_2kb	50.472471	5342	5162	180	12012.855585	1900.0	2.32717078	0.36807439	238.00807344	37.64428336
PI533927_PI533927	downstream_2kb	33.923341	3170	3062	108	6871.407108	1076.0	2.24409115	0.35140431	202.55690935	31.71857395
PI533927_PI533927	intergenic	512.484706	199249	190906	8343	422949.665481	65996.0	2.21548650	0.34569893	825.29226829	128.77652587
PI533936_PI533936	exon	62.252916	5835	5802	33	15337.506896	2273.0	2.64348619	0.39176146	246.37411196	36.51234586
PI533936_PI533936	intron	57.794743	3078	3014	64	8311.600595	1283.0	2.75766443	0.42568016	143.81239822	22.19925089
PI533936_PI533936	upstream_2kb	50.472471	5342	5264	78	13507.733582	2123.0	2.56605881	0.40330547	267.62576340	42.06253346
PI533936_PI533936	downstream_2kb	33.923341	3170	3126	44	7354.716069	1168.0	2.35275626	0.37364044	216.80400137	34.43057097
PI533936_PI533936	intergenic	512.484706	199249	194943	4306	421529.245894	65752.0	2.16232050	0.33728834	822.52063517	128.30041410
PI533937_PI533937	exon	62.252916	5835	5794	41	15718.218685	2327.0	2.71284409	0.40162237	252.48967752	37.37977511
PI533937_PI533937	intron	57.794743	3078	3031	47	8223.707769	1271.0	2.71319953	0.41933355	142.29162276	21.99161955
PI533937_PI533937	upstream_2kb	50.472471	5342	5260	82	14304.787234	2252.0	2.71954130	0.42813688	283.41761263	44.61838217
PI533937_PI533937	downstream_2kb	33.923341	3170	3118	52	7323.849372	1151.0	2.34889332	0.36914689	215.89410582	33.92944109
PI533937_PI533937	intergenic	512.484706	199249	194621	4628	431061.753301	67258.0	2.21487791	0.34558449	841.12120470	131.23903838
PI533938_PI533938	exon	62.252916	5835	5755	80	15302.142693	2293.0	2.65893009	0.39843614	245.80603892	36.83361595
PI533938_PI533938	intron	57.794743	3078	2953	125	6883.116386	1059.0	2.33088940	0.35861835	119.09589054	18.32346586
PI533938_PI533938	upstream_2kb	50.472471	5342	5130	212	12265.461864	1942.0	2.39092824	0.37855750	243.01290626	38.47642015
PI533938_PI533938	downstream_2kb	33.923341	3170	3067	103	7146.492187	1124.0	2.33012461	0.36648190	210.66593020	33.13352892
PI533938_PI533938	intergenic	512.484706	199249	187192	12057	403578.903647	63040.0	2.15596235	0.33676653	787.49453188	123.00854886
PI533939_PI533939	exon	62.252916	5835	5797	38	14365.730890	2120.0	2.47813195	0.36570640	230.76398365	34.05462967
PI533939_PI533939	intron	57.794743	3078	3025	53	7256.415232	1109.0	2.39881495	0.36661157	125.55493553	19.18859644
PI533939_PI533939	upstream_2kb	50.472471	5342	5256	86	11950.782227	1891.0	2.27374091	0.35977930	236.77822761	37.46596833
PI533939_PI533939	downstream_2kb	33.923341	3170	3116	54	6634.040498	1052.0	2.12902455	0.33761232	195.55976216	31.01109646
PI533939_PI533939	intergenic	512.484706	199249	197046	2203	435132.627075	67996.0	2.20827942	0.34507678	849.06461009	132.67908135
PI533940_PI533940	exon	62.252916	5835	5780	55	15558.060489	2311.0	2.69170597	0.39982699	249.91697560	37.12275904
PI533940_PI533940	intron	57.794743	3078	3021	57	7984.520392	1227.0	2.64300576	0.40615690	138.15305645	21.23030463
PI533940_PI533940	upstream_2kb	50.472471	5342	5259	83	14082.021550	2217.0	2.67769948	0.42156303	279.00400497	43.92493484
PI533940_PI533940	downstream_2kb	33.923341	3170	3093	77	7815.046025	1227.0	2.52668801	0.39670223	230.37371305	36.16978646
PI533940_PI533940	intergenic	512.484706	199249	194165	5084	449451.847742	70176.0	2.31479333	0.36142456	877.00538666	136.93286683
PI533943_PI533943	exon	62.252916	5835	5781	54	16764.676097	2468.0	2.89996127	0.42691576	269.29945093	39.64472925
PI533943_PI533943	intron	57.794743	3078	2993	85	8367.867003	1289.0	2.79581256	0.43067157	144.78595403	22.30306656
PI533943_PI533943	upstream_2kb	50.472471	5342	5185	157	13741.477292	2166.0	2.65023670	0.41774349	272.25687628	42.91448303
PI533943_PI533943	downstream_2kb	33.923341	3170	3071	99	7825.786744	1232.0	2.54828614	0.40117226	230.69033042	36.31717760
PI533943_PI533943	intergenic	512.484706	199249	191262	7987	500249.041209	78075.0	2.61551715	0.40820968	976.12481963	152.34600972
PI533948_PI533948	exon	62.252916	5835	5815	20	15131.879884	2240.0	2.60221494	0.38521066	243.07102151	35.98225021
PI533948_PI533948	intron	57.794743	3078	3053	25	8082.290167	1246.0	2.64732727	0.40812316	139.84472890	21.55905426
PI533948_PI533948	upstream_2kb	50.472471	5342	5270	72	12805.314457	2019.0	2.42985094	0.38311195	253.70888731	40.00200426
PI533948_PI533948	downstream_2kb	33.923341	3170	3136	34	7362.352177	1155.0	2.34768883	0.36830357	217.02910032	34.04735400
PI533948_PI533948	intergenic	512.484706	199249	196167	3082	441779.831547	68941.0	2.25205989	0.35144035	862.03515222	134.52303882
PI533949_PI533949	exon	62.252916	5835	5797	38	13849.307675	2059.0	2.38904738	0.35518372	222.46841698	33.07475589
PI533949_PI533949	intron	57.794743	3078	3042	36	6285.401803	967.0	2.06620704	0.31788297	108.75386717	16.73162557
PI533949_PI533949	upstream_2kb	50.472471	5342	5252	90	12017.271843	1897.0	2.28813249	0.36119573	238.09557179	37.58484501
PI533949_PI533949	downstream_2kb	33.923341	3170	3118	52	6260.182376	990.0	2.00775573	0.31751123	184.53908699	29.18344629
