sample	feature	feature_Mb	selected_sites_feature	callable_selected_sites	missing_genotypes_selected_sites	load_raw	n_del_alleles	burden_per_callable_site	n_del_alleles_per_callable_site	burden_per_Mb	n_del_alleles_per_Mb
PI656115_PI656115	exon	62.252916	5835	5795	40	15446.382386	2274.0	2.66546719	0.39240725	248.12303388	36.52840937
PI656115_PI656115	intron	57.794743	3078	3031	47	8622.765988	1342.0	2.84485846	0.44275817	149.19637219	23.22010498
PI656115_PI656115	upstream_2kb	50.472471	5342	5242	100	13596.274598	2141.0	2.59371892	0.40843190	269.38000714	42.41916351
PI656115_PI656115	downstream_2kb	33.923341	3170	3119	51	8345.162203	1311.0	2.67558904	0.42032703	246.00059891	38.64595766
PI656115_PI656115	intergenic	512.484706	199249	192043	7206	577690.295058	90075.0	3.00812992	0.46903558	1127.23421459	175.76134262
PI656116_PI656116	exon	62.252916	5835	5790	45	14831.305555	2216.0	2.56153809	0.38272884	238.24274441	35.59672610
PI656116_PI656116	intron	57.794743	3078	3028	50	6993.070836	1089.0	2.30946857	0.35964333	120.99838969	18.84254421
PI656116_PI656116	upstream_2kb	50.472471	5342	5215	127	11731.705080	1853.0	2.24960788	0.35532119	232.43770016	36.71308266
PI656116_PI656116	downstream_2kb	33.923341	3170	3091	79	6479.847171	1028.0	2.09635949	0.33257845	191.01441603	30.30361897
PI656116_PI656116	intergenic	512.484706	199249	194515	4734	390048.165783	60926.0	2.00523438	0.31322006	761.09230425	118.88354772
PI656118_PI656118	exon	62.252916	5835	5791	44	13743.134328	2047.0	2.37318845	0.35347954	220.76290094	32.88199383
PI656118_PI656118	intron	57.794743	3078	3022	56	6600.421512	1017.0	2.18412360	0.33653210	114.20453089	17.59675616
PI656118_PI656118	upstream_2kb	50.472471	5342	5251	91	11884.538512	1878.0	2.26329052	0.35764616	235.46575542	37.20840218
PI656118_PI656118	downstream_2kb	33.923341	3170	3116	54	6748.879886	1066.0	2.16587930	0.34210526	198.94502391	31.42379166
PI656118_PI656118	intergenic	512.484706	199249	195135	4114	367699.466422	57369.0	1.88433375	0.29399646	717.48378462	111.94285279
PI656119_PI656119	exon	62.252916	5835	5791	44	14673.235822	2180.0	2.53380000	0.37644621	235.70359052	35.01843994
PI656119_PI656119	intron	57.794743	3078	2943	135	6402.419011	982.0	2.17547367	0.33367312	110.77857048	16.99116475
PI656119_PI656119	upstream_2kb	50.472471	5342	5206	136	11455.062835	1812.0	2.20035782	0.34805993	226.95664802	35.90075865
