year,trait,n_fitted,intercept_hn,intercept_ln,nr_reconstruction_rmse
2020,branchInternodeLength,310,3.0402203072364835,1.5369321581064652,1.8626592824948238e-15
2020,daysToFlower,329,60.00631197465072,55.033454218802675,5.254941821418846e-16
2020,estimatedPlotYield,282,472.1586121058841,523.9735695422041,1.3454019142359298e-14
2020,extantLeafNumber,323,9.467514772046721,10.042078580775737,3.7936997125911637e-16
2020,flagLeafLength,306,29.154796761928818,24.59619595459621,8.426912550575966e-16
2020,flagLeafWidth,311,2.8255168395479795,3.1639822740868007,8.376420272710486e-16
2020,leafAngleStandardDeviation,317,3.121836714689406,7.143694280219596,1.230535497662052e-15
2020,medianLeafAngle,331,50.31296318251721,43.84768072043307,6.391251721675672e-16
2020,panicleGrainWeight,308,21.9925069155705,15.222707000447505,1.9372995784733138e-15
2020,paniclesPerPlot,320,22.198967916014574,13.433143359578372,2.3259963987666887e-15
2020,plantHeight,308,154.91014675246092,159.94844189408514,9.39122261448125e-16
2020,primaryBranchNumber,318,38.327233220254286,41.031740420235494,7.034431702973359e-16
2020,rachisDiameterLower,331,6.070541648225291,5.495690660102559,5.012127309347907e-16
2020,rachisDiameterUpper,322,2.595857073109255,1.8200235116001005,1.286228677102975e-15
2020,rachisLength,331,16.597428296536993,17.34193088597676,1.1113702006950503e-15
2020,stemDiameterLower,330,20.150859018262175,15.255654719380509,6.521251570234836e-16
2020,stemDiameterUpper,332,8.56628314279378,7.49137196253035,4.16863498501742e-16
2020,thirdLeafLength,307,55.492912949051686,58.10015114494237,6.07381282686273e-16
2020,thirdLeafWidth,297,5.489754947780261,6.018252606514808,4.657802872809379e-16
2020,tillersPerPlant,310,0.8878548353910188,0.044068327593604885,9.238549265361627e-15
2021,daysToFlower,325,55.42418413703328,56.86090317709547,4.993268646396353e-16
2021,plantHeight,313,135.64403101416264,134.81419810996158,1.1654465963627048e-15
2021,stemDiameterLower,306,13.131428533527247,13.596845619789807,7.39121113400072e-16
2021,stemDiameterUpper,322,6.507651657668967,7.357730556016194,5.856578565323163e-16
2021,tillersPerPlant,310,2.311566193016574,1.43099482926325,2.3381307028536946e-12
