sample	PI	Race	cutoff	miss	Genetic_load	N_del	Abs_genetic_load
PI656019_PI656019	PI656019	Durra	1%	miss50	-84493.7356851	5520	84493.7356851
PI656020_PI656020	PI656020	Durra	1%	miss50	-83691.4330651	5579	83691.4330651
PI656021_PI656021	PI656021	Bicolor	1%	miss50	-110958.6327004	8040	110958.6327004
PI656022_PI656022	PI656022	Durra	1%	miss50	-75772.1518435	5210	75772.1518435
PI656023_PI656023	PI656023	Durra	1%	miss50	-75622.9772895	4866	75622.9772895
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	1%	miss50	-79539.1069104	5615	79539.1069104
PI656025_PI656025	PI656025	Bicolor	1%	miss50	-97193.9662597	6733	97193.9662597
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	1%	miss50	-76883.8242029	4933	76883.8242029
PI656027_PI656027	PI656027	Guinea	1%	miss50	-76250.2603467	5146	76250.2603467
PI656028_PI656028	PI656028	Durra	1%	miss50	-74215.0625961	5049	74215.0625961
PI656029_PI656029	PI656029	Bicolor	1%	miss50	-74683.2304356	5214	74683.2304356
PI656031_PI656031	PI656031	Guinea	1%	miss50	-65585.5562625	4423	65585.5562625
PI656032_PI656032	PI656032	Caudatum	1%	miss50	-88128.0621853	8935	88128.0621853
PI656033_PI656033	PI656033	Bicolor	1%	miss50	-112697.2130934	7450	112697.2130934
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	1%	miss50	-79252.4841775	8391	79252.4841775
PI656035_PI656035	PI656035	Guinea	1%	miss50	-72960.8108442	4765	72960.8108442
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	1%	miss50	-90973.8719152	6424	90973.8719152
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	1%	miss50	-81056.6463448	5533	81056.6463448
PI656038_PI656038	PI656038	Durra	1%	miss50	-74636.5932612	5437	74636.5932612
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	1%	miss50	-77599.4158844	5197	77599.4158844
PI656040_PI656040	PI656040	Caudatum	1%	miss50	-97162.4385451	6768	97162.4385451
PI656041_PI656041	PI656041	Bicolor	1%	miss50	-113526.4527792	7509	113526.4527792
PI656042_PI656042	PI656042	Durra	1%	miss50	-98253.4551764	6684	98253.4551764
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	1%	miss50	-87758.5976307	5713	87758.5976307
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	1%	miss50	-76507.9391997	4909	76507.9391997
PI656046_PI656046	PI656046	Bicolor	1%	miss50	-91371.1128917	6290	91371.1128917
PI656047_PI656047	PI656047	Bicolor	1%	miss50	-90018.9053887	6295	90018.9053887
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	1%	miss50	-63989.531743	4128	63989.531743
PI656049_PI656049	PI656049	Durra	1%	miss50	-73404.5283006	6711	73404.5283006
PI656050_PI656050	PI656050	Guinea	1%	miss50	-69084.5562134	4927	69084.5562134
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	1%	miss50	-86967.2913635	5633	86967.2913635
PI656052_PI656052	PI656052	Durra	1%	miss50	-94131.3420902	6676	94131.3420902
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	1%	miss50	-75198.8273962	5087	75198.8273962
PI656054_PI656054	PI656054	Caudatum	1%	miss50	-81780.9420016	5760	81780.9420016
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	1%	miss50	-98436.4561706001	6830	98436.4561706001
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	1%	miss50	-88936.1647856	5776	88936.1647856
PI656057_PI656057	PI656057	Guinea	1%	miss50	-85403.0694482	7717	85403.0694482
PI656058_PI656058	PI656058	Durra	1%	miss50	-76566.6811476	5355	76566.6811476
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	1%	miss50	-63843.4384506	4190	63843.4384506
PI656060_PI656060	PI656060	Durra	1%	miss50	-75081.4796043	5223	75081.4796043
PI656061_PI656061	PI656061	Durra	1%	miss50	-68361.2707957	4606	68361.2707957
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	1%	miss50	-91580.6186042	6538	91580.6186042
PI656063_PI656063	PI656063	Durra	1%	miss50	-66754.9089303	5967	66754.9089303
PI656064_PI656064	PI656064	Bicolor	1%	miss50	-104650.3177963	6894	104650.3177963
PI656065_PI656065	PI656065	Kafir	1%	miss50	-85809.701492	5573	85809.701492
PI656066_PI656066	PI656066	Bicolor	1%	miss50	-83967.5927305	5817	83967.5927305
PI656067_PI656067	PI656067	Bicolor	1%	miss50	-90724.8534675	6722	90724.8534675
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	1%	miss50	-86756.9044138	6081	86756.9044138
PI656069_PI656069	PI656069	Guinea	1%	miss50	-64186.1801372	4850	64186.1801372
PI656070_PI656070	PI656070	Guinea	1%	miss50	-69245.058017	4829	69245.058017
PI656071_PI656071	PI656071	Guinea	1%	miss50	-75314.6600162	4936	75314.6600162
PI656072_PI656072	PI656072	Bicolor	1%	miss50	-97870.8529834	6458	97870.8529834
PI656073_PI656073	PI656073	Kafir	1%	miss50	-87741.0222924	5907	87741.0222924
PI656074_PI656074	PI656074	Kafir	1%	miss50	-69834.4632753	4923	69834.4632753
PI656075_PI656075	PI656075	Guinea	1%	miss50	-69229.7374237	4626	69229.7374237
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	1%	miss50	-87424.3411635	6054	87424.3411635
PI656077_PI656077	PI656077	Bicolor	1%	miss50	-75744.603053	5729	75744.603053
PI656078_PI656078	PI656078	Caudatum	1%	miss50	-23479.9364026	1706	23479.9364026
PI656079_PI656079	PI656079	Caudatum	1%	miss50	-72519.3408345	5095	72519.3408345
PI656080_PI656080	PI656080	Durra	1%	miss50	-67808.6578324	4814	67808.6578324
PI656081_PI656081	PI656081	Caudatum	1%	miss50	-19546.8576634	1342	19546.8576634
PI656082_PI656082	PI656082	Bicolor	1%	miss50	-96354.4213144	6405	96354.4213144
PI656083_PI656083	PI656083	Caudatum	1%	miss50	-80298.3624585	9606	80298.3624585
PI656085_PI656085	PI656085	Guinea	1%	miss50	-68774.2175809	5788	68774.2175809
PI656086_PI656086	PI656086	Bicolor	1%	miss50	-77032.4059884	5128	77032.4059884
PI656087_PI656087	PI656087	Guinea	1%	miss50	-66502.6698763	4524	66502.6698763
PI656088_PI656088	PI656088	Bicolor	1%	miss50	-90801.9772763	6339	90801.9772763
PI656089_PI656089	PI656089	Bicolor	1%	miss50	-90893.1418202	6383	90893.1418202
PI656090_PI656090	PI656090	Guinea	1%	miss50	-65836.2506709	4579	65836.2506709
PI656091_PI656091	PI656091	Bicolor	1%	miss50	-92370.7995303	7749	92370.7995303
PI656092_PI656092	PI656092	Bicolor	1%	miss50	-86156.3522608	5657	86156.3522608
PI656093_PI656093	PI656093	Caudatum	1%	miss50	-64272.3665555	4311	64272.3665555
PI656094_PI656094	PI656094	Caudatum	1%	miss50	-64700.5590761	4266	64700.5590761
PI656095_PI656095	PI656095	Caudatum	1%	miss50	-73965.4649651	5044	73965.4649651
PI656096_PI656096	PI656096	Caudatum	1%	miss50	-65723.4246265	4352	65723.4246265
PI656097_PI656097	PI656097	Bicolor	1%	miss50	-82664.6943965	5397	82664.6943965
PI656098_PI656098	PI656098	Guinea	1%	miss50	-59168.9976685	4213	59168.9976685
PI656099_PI656099	PI656099	Bicolor	1%	miss50	-87440.2627343	6213	87440.2627343
PI656100_PI656100	PI656100	Bicolor	1%	miss50	-98385.0977249	6892	98385.0977249
PI656101_PI656101	PI656101	Kafir	1%	miss50	-86610.5723429	5646	86610.5723429
PI656102_PI656102	PI656102	Guinea	1%	miss50	-58673.5409573	3820	58673.5409573
PI656103_PI656103	PI656103	Bicolor	1%	miss50	-80565.2024766	5583	80565.2024766
PI656104_PI656104	PI656104	Caudatum	1%	miss50	-88479.7363767	9700	88479.7363767
PI656105_PI656105	PI656105	Guinea	1%	miss50	-66025.265473	4627	66025.265473
PI656106_PI656106	PI656106	Guinea	1%	miss50	-63849.7474205	4569	63849.7474205
PI656107_PI656107	PI656107	Kafir	1%	miss50	-85427.0234003	7360	85427.0234003
PI656108_PI656108	PI656108	Bicolor	1%	miss50	-71615.7765306	4742	71615.7765306
PI656109_PI656109	PI656109	Kafir	1%	miss50	-81747.1340331	5947	81747.1340331
PI656110_PI656110	PI656110	Bicolor	1%	miss50	-77919.4557116	6162	77919.4557116
PI656111_PI656111	PI656111	Guinea	1%	miss50	-64348.9872959	4182	64348.9872959
PI656112_PI656112	PI656112	Durra	1%	miss50	-75047.1737982	5172	75047.1737982
PI656113_PI656113	PI656113	Bicolor	1%	miss50	-83733.0159451	5924	83733.0159451
PI656114_PI656114	PI656114	Bicolor	1%	miss50	-73778.0364291	6198	73778.0364291
PI656115_PI656115	PI656115	Kafir	1%	miss50	-100126.2984135	6777	100126.2984135
PI656116_PI656116	PI656116	Guinea	1%	miss50	-69004.2051923	5735	69004.2051923
PI656118_PI656118	PI656118	Guinea	1%	miss50	-66031.7210711	4579	66031.7210711
PI656119_PI656119	PI656119	Caudatum	1%	miss50	-71951.6613984	5740	71951.6613984
PI656120_PI656120	PI656120	Guinea	1%	miss50	-84335.6047224	5794	84335.6047224
PI656121_PI656121	PI656121	Guinea	1%	miss50	-70829.327735	5012	70829.327735
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	1%	miss50	-75394.4673219	6865	75394.4673219
PI659694_PI659694	PI659694	Guinea	1%	miss50	-96571.9452946	6727	96571.9452946
PI659695_PI659695	PI659695	Bicolor	1%	miss50	-79179.4926549	5559	79179.4926549
PI659696_PI659696	PI659696	Guinea	1%	miss50	-78653.9125447	5309	78653.9125447
PI659753_PI659753	PI659753	Bicolor	1%	miss50	-94562.0839625	6995	94562.0839625
