sample	PI	Race	cutoff	miss	Genetic_load	N_del	Abs_genetic_load
PI533938_PI533938	PI533938	Durra	1%	miss50	-72067.2157441	4784	72067.2157441
PI533939_PI533939	PI533939	Guinea	1%	miss50	-76598.5010128	5699	76598.5010128
PI533940_PI533940	PI533940	Durra	1%	miss50	-78879.966677	5118	78879.966677
PI533943_PI533943	PI533943	Bicolor	1%	miss50	-88493.6255352	5878	88493.6255352
PI533948_PI533948	PI533948	Durra	1%	miss50	-77017.3123671	4952	77017.3123671
PI533949_PI533949	PI533949	Guinea	1%	miss50	-68280.7720929	4440	68280.7720929
PI533954_PI533954	PI533954	Durra	1%	miss50	-88391.9475131	5785	88391.9475131
PI533955_PI533955	PI533955	Durra	1%	miss50	-76848.2746462	4967	76848.2746462
PI533956_PI533956	PI533956	Durra	1%	miss50	-70634.0512299	4609	70634.0512299
PI533957_PI533957	PI533957	Caudatum	1%	miss50	-82920.1411824	5447	82920.1411824
PI533961_PI533961	PI533961	Guinea	1%	miss50	-79628.424641	5197	79628.424641
PI533962_PI533962	PI533962	Guinea	1%	miss50	-65915.7816036	4338	65915.7816036
PI533964_PI533964	PI533964	Guinea	1%	miss50	-78180.8135831	5078	78180.8135831
PI533965_PI533965	PI533965	Guinea	1%	miss50	-87536.4986591	5751	87536.4986591
PI533967_PI533967	PI533967	Guinea	1%	miss50	-81600.033377	5400	81600.033377
PI533970_PI533970	PI533970	Guinea	1%	miss50	-80907.3370065	5328	80907.3370065
PI533972_PI533972	PI533972	Guinea	1%	miss50	-63772.2772147	4169	63772.2772147
PI533976_PI533976	PI533976	Guinea	1%	miss50	-73127.040881	4846	73127.040881
PI533979_PI533979	PI533979	Durra	1%	miss50	-88797.6882173	5744	88797.6882173
PI533980_PI533980	PI533980	Guinea	1%	miss50	-74578.6156134	4855	74578.6156134
PI533985_PI533985	PI533985	Guinea	1%	miss50	-66674.802385	4370	66674.802385
PI533986_PI533986	PI533986	Guinea	1%	miss50	-70050.544044	4551	70050.544044
PI533987_PI533987	PI533987	Guinea	1%	miss50	-66291.0207399	4321	66291.0207399
PI533989_PI533989	PI533989	Guinea	1%	miss50	-73443.9909707	5081	73443.9909707
PI533991_PI533991	PI533991	Milo/Durra-Bicolor	1%	miss50	-69697.9080553	4544	69697.9080553
PI533996_PI533996	PI533996	Guinea	1%	miss50	-65852.5039626	4346	65852.5039626
PI533997_PI533997	PI533997	Durra	1%	miss50	-62380.9694417	4202	62380.9694417
PI534009_PI534009	PI534009	Bicolor	1%	miss50	-84707.4024602	5635	84707.4024602
PI534021_PI534021	PI534021	Bicolor	1%	miss50	-76936.0432813	5106	76936.0432813
PI534028_PI534028	PI534028	Bicolor	1%	miss50	-87114.3472698	5770	87114.3472698
PI534037_PI534037	PI534037	Caudatum	1%	miss50	-75569.1857785	4966	75569.1857785
PI534046_PI534046	PI534046	Guinea	1%	miss50	-70490.5755455	4627	70490.5755455
PI534047_PI534047	PI534047	Guinea	1%	miss50	-71719.3102682	4756	71719.3102682
PI534053_PI534053	PI534053	Kafir	1%	miss50	-78432.8229324	5119	78432.8229324
PI534054_PI534054	PI534054	Durra	1%	miss50	-64562.6756665	4171	64562.6756665
PI534063_PI534063	PI534063	Caudatum	1%	miss50	-74209.0542987	4861	74209.0542987
PI534070_PI534070	PI534070	Caudatum	1%	miss50	-75217.6567305	4909	75217.6567305
PI534075_PI534075	PI534075	Caudatum	1%	miss50	-66639.5930653	4471	66639.5930653
PI534079_PI534079	PI534079	Guinea	1%	miss50	-66229.1743518	4387	66229.1743518
PI534088_PI534088	PI534088	Caudatum	1%	miss50	-70101.8816325	4584	70101.8816325
PI534092_PI534092	PI534092	Caudatum	1%	miss50	-80227.6963225	5709	80227.6963225
PI534096_PI534096	PI534096	Caudatum	1%	miss50	-23430.4843749	1586	23430.4843749
