sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V114	improved	-211588.6134983	26542	10	improved	211588.6134983
V115	improved	-181352.0597276	22810	10	improved	181352.0597276
V116	improved	-154730.7687828	19315	10	improved	154730.7687828
V117	improved	-156040.0523205	19509	10	improved	156040.0523205
V118	improved	-136317.9220855	17007	10	improved	136317.9220855
V119	improved	-214699.8526563	27035	10	improved	214699.8526563
V120	improved	-119620.5694121	14905	10	improved	119620.5694121
V121	improved	-177702.3960206	22224	10	improved	177702.3960206
V122	improved	-207749.7690555	26056	10	improved	207749.7690555
V123	improved	-132479.5294845	16532	10	improved	132479.5294845
V124	improved	-172564.1680005	21609	10	improved	172564.1680005
V125	improved	-190214.4628551	23846	10	improved	190214.4628551
V126	improved	-174032.9306003	21801	10	improved	174032.9306003
V127	improved	-148518.6710022	18526	10	improved	148518.6710022
V128	improved	-154808.0314668	19354	10	improved	154808.0314668
V129	improved	-228344.430381	28653	10	improved	228344.430381
V130	improved	-241482.3063725	30281	10	improved	241482.3063725
V131	improved	-128293.8844487	16135	10	improved	128293.8844487
V132	improved	-192538.8979093	24270	10	improved	192538.8979093
V5	landrace	-188762.8279218	23716	10	landrace	188762.8279218
V6	landrace	-193333.3425216	24272	10	landrace	193333.3425216
V7	landrace	-166812.2964856	20905	10	landrace	166812.2964856
V8	landrace	-201854.9483823	25307	10	landrace	201854.9483823
V9	landrace	-234085.0589702	29469	10	landrace	234085.0589702
V10	landrace	-215403.7835835	27033	10	landrace	215403.7835835
V11	landrace	-229079.1864944	28837	10	landrace	229079.1864944
V12	landrace	-239091.9233071	29974	10	landrace	239091.9233071
V13	landrace	-156192.7601429	19634	10	landrace	156192.7601429
V14	landrace	-221642.5277062	27865	10	landrace	221642.5277062
V15	landrace	-149488.9686884	18781	10	landrace	149488.9686884
V16	landrace	-134144.849236	16797	10	landrace	134144.849236
V17	landrace	-155147.3929677	19335	10	landrace	155147.3929677
V18	landrace	-208125.6484941	26133	10	landrace	208125.6484941
V19	landrace	-194870.9500968	24487	10	landrace	194870.9500968
V20	landrace	-257399.5592612	32383	10	landrace	257399.5592612
V21	landrace	-181847.8114625	22794	10	landrace	181847.8114625
V22	landrace	-215915.9728208	27062	10	landrace	215915.9728208
V23	landrace	-192220.7480988	24090	10	landrace	192220.7480988
V24	landrace	-212520.5614754	26641	10	landrace	212520.5614754
V25	landrace	-189136.305906	23702	10	landrace	189136.305906
V26	landrace	-242566.9793664	30413	10	landrace	242566.9793664
V27	landrace	-235455.7536011	29630	10	landrace	235455.7536011
V28	landrace	-255708.0086423	32150	10	landrace	255708.0086423
V29	landrace	-245265.7078274	30830	10	landrace	245265.7078274
V30	landrace	-230384.7846437	28890	10	landrace	230384.7846437
V31	landrace	-239646.6936063	30080	10	landrace	239646.6936063
V32	landrace	-261277.2458478	32845	10	landrace	261277.2458478
V33	landrace	-239032.1782971	29942	10	landrace	239032.1782971
V34	landrace	-159322.5617554	19954	10	landrace	159322.5617554
V35	landrace	-193826.3900006	24278	10	landrace	193826.3900006
V36	landrace	-140151.3360598	17492	10	landrace	140151.3360598
V37	landrace	-219470.3318034	27453	10	landrace	219470.3318034
V38	landrace	-215707.0901755	27064	10	landrace	215707.0901755
V39	landrace	-235594.2504194	29552	10	landrace	235594.2504194
V40	landrace	-206706.3445528	25959	10	landrace	206706.3445528
V41	landrace	-231610.2886801	29075	10	landrace	231610.2886801
V42	landrace	-243157.8480406	30515	10	landrace	243157.8480406
V43	landrace	-215224.9948026	27009	10	landrace	215224.9948026
V44	landrace	-231238.5442833	29005	10	landrace	231238.5442833
V45	landrace	-210580.9014831	26422	10	landrace	210580.9014831
V46	landrace	-239073.9808896	30003	10	landrace	239073.9808896
V47	landrace	-212711.4840825	26705	10	landrace	212711.4840825
V48	landrace	-208503.5482742	26122	10	landrace	208503.5482742
V49	landrace	-203451.0235494	25519	10	landrace	203451.0235494
V50	landrace	-174671.5558602	21910	10	landrace	174671.5558602
V51	landrace	-196462.804246	24659	10	landrace	196462.804246
V52	landrace	-234621.4070735	29446	10	landrace	234621.4070735
V53	landrace	-200562.1705622	25143	10	landrace	200562.1705622
V54	landrace	-215707.7319579	27093	10	landrace	215707.7319579
V55	landrace	-147208.7576865	18396	10	landrace	147208.7576865
V56	landrace	-212262.3966323	26697	10	landrace	212262.3966323
V57	landrace	-234397.9272805	29408	10	landrace	234397.9272805
V58	landrace	-169600.0158241	21301	10	landrace	169600.0158241
V59	landrace	-142247.6376732	17770	10	landrace	142247.6376732
V60	landrace	-169160.5147511	21261	10	landrace	169160.5147511
V61	landrace	-244626.962064	30767	10	landrace	244626.962064
V62	landrace	-166958.0784663	20943	10	landrace	166958.0784663
V63	landrace	-158794.1590967	19838	10	landrace	158794.1590967
V64	landrace	-235431.0995465	29620	10	landrace	235431.0995465
