Race	n	median_abs	mean_abs
Bicolor	94	86283.8795407	86701.3158740968
Kafir	18	86073.306959	85684.1079752945
Milo/Durra-Bicolor	45	81056.6463448	81648.4101664844
Durra	78	76069.8781465	78397.5678964923
Caudatum	59	74209.0542987	72591.1283667491
Guinea	106	69380.02032	71381.065248217
