"Cluster" "genotype"
"214" "guinea" "PI576399"
"215" "guinea" "PI576434"
"216" "guinea" "PI576435"
"217" "guinea" "PI576437"
"218" "guinea" "PI595714"
"219" "guinea" "PI595718"
"220" "guinea" "PI595739"
"221" "guinea" "PI595740"
"222" "guinea" "PI595745"
"223" "guinea" "PI597946"
"224" "guinea" "PI597950"
"225" "guinea" "PI597961"
"226" "guinea" "PI597965"
"227" "guinea" "PI597966"
"228" "guinea" "PI597968"
"229" "guinea" "PI597971"
"230" "guinea" "PI597980"
"231" "guinea" "PI597982"
"232" "guinea" "PI607931"
"233" "guinea" "PI629034"
"234" "guinea" "PI642992"
"235" "guinea" "PI651496"
"236" "guinea" "PI653616"
"237" "guinea" "PI653617"
"238" "guinea" "PI656009"
"239" "guinea" "PI656027"
"240" "guinea" "PI656031"
"241" "guinea" "PI656035"
"242" "guinea" "PI656050"
"243" "guinea" "PI656057"
"244" "guinea" "PI656069"
"245" "guinea" "PI656070"
"246" "guinea" "PI656071"
"247" "guinea" "PI656075"
"248" "guinea" "PI656085"
"249" "guinea" "PI656087"
"250" "guinea" "PI656090"
"251" "guinea" "PI656098"
"252" "guinea" "PI656102"
"253" "guinea" "PI656105"
"254" "guinea" "PI656106"
"255" "guinea" "PI656111"
"256" "guinea" "PI656116"
"257" "guinea" "PI656118"
"258" "guinea" "PI656120"
"259" "guinea" "PI656121"
"260" "guinea" "PI659694"
"261" "guinea" "PI659696"
"262" "milo/durra-bicolor" "PI276837"
"263" "milo/durra-bicolor" "PI329435"
"264" "milo/durra-bicolor" "PI533794"
"265" "milo/durra-bicolor" "PI533799"
"266" "milo/durra-bicolor" "PI533800"
"267" "milo/durra-bicolor" "PI533991"
"268" "milo/durra-bicolor" "PI534115"
"269" "milo/durra-bicolor" "PI534157"
"270" "milo/durra-bicolor" "PI552856"
"271" "milo/durra-bicolor" "PI561472"
"272" "milo/durra-bicolor" "PI564165"
"273" "milo/durra-bicolor" "PI565121"
"274" "milo/durra-bicolor" "PI576130"
"275" "milo/durra-bicolor" "PI576380"
"276" "milo/durra-bicolor" "PI576428"
