id	height_BLUP
PI152651	35.9710131148366
PI17548	29.7823246948424
PI24969	31.1699229952895
PI276837	58.033826091946
PI329440	30.6981395731375
PI34911	31.0431335823598
PI35038	41.7216892804165
PI48770	31.0034111992359
PI533750	36.3595406389618
PI533752	27.9229429722433
PI533754	36.8313240611138
PI533757	29.9210845248871
PI533758	35.4714777266757
PI533759	33.2790724119692
PI533760	29.9473851417514
PI533761	37.3427132027961
PI533762	31.1421710292806
PI533766	31.891474111522
PI533769	31.6694583834505
PI533776	36.1375249108903
PI533785	42.4649731609292
PI533788	42.3262133308845
PI533789	35.6102375567204
PI533792	39.3845049339366
PI533794	29.1995334086546
PI533799	35.6909941559744
PI533800	37.7748909054179
PI533807	27.8674390402254
PI533810	35.9155091828187
PI533814	35.2772139646131
PI533821	38.4566632576294
PI533822	31.6972103494595
PI533824	30.0598443549318
PI533830	39.6065206620081
PI533831	29.1717814426457
PI533833	36.0542690128634
PI533838	30.476123845066
PI533839	32.7517850577993
PI533841	32.1412418056025
PI533843	41.1606307585089
PI533845	33.9173676301749
PI533852	29.504805034753
PI533855	28.6444940884758
PI533856	36.2671752188192
PI533863	32.3355055676651
PI533866	30.6981395731375
PI533869	32.6685291597724
PI533871	36.728120069095
PI533876	29.3937971707172
PI533877	31.5862024854237
PI533878	35.4221096599802
PI533901	29.3937971707172
PI533902	37.3586114152837
PI533903	34.2781431882911
PI533910	34.5556628483805
PI533911	28.3114704963685
PI533912	45.3789295918682
PI533915	37.0810917551943
PI533919	38.8572175797666
PI533921	NA
PI533924	33.117385408601
PI533927	32.5020173637188
PI533936	37.1365956872122
PI533937	35.3604698626399
PI533938	36.0820209788724
PI533939	33.2790724119692
PI533940	34.7776785764521
PI533943	37.3308594492748
PI533948	35.5269816586935
PI533949	43.1865242771617
PI533954	37.8858987694537
PI533955	33.6675999360944
PI533957	38.9404734777935
PI533961	40.7998552003926
PI533962	38.7462097157309
PI533964	44.1300911214657
PI533965	41.5680409969912
PI533967	36.4705485029976
PI533970	34.83318250847
PI533972	42.1041976028129
PI533976	34.6666707124163
PI533979	36.0542690128634
PI533980	36.2671752188192
PI533985	37.8581468034447
PI533986	30.947907267218
PI533987	37.4973712453285
PI533989	35.9987650808456
PI533991	39.5787686959992
PI533996	34.3058951543001
PI533997	41.3548945205715
PI533998	33.390080276005
PI534009	42.8535006850544
PI534021	27.2846477540376
PI534028	27.0071280939482
PI534037	33.5010881400407
PI534046	32.5575212957367
PI534047	32.1689937716115
PI534053	32.3107319206183
PI534054	35.7489973867651
PI534063	36.0542690128634
PI534070	37.8581468034447
PI534075	32.0857378735846
PI534079	30.004340422914
PI534092	37.573185627934
PI534096	38.8572175797666
PI534097	37.7748909054179
PI534099	27.1635144258715
PI534101	35.0551982365415
PI534104	37.4418673133106
PI534105	37.0810917551943
PI534108	30.5316277770839
PI534112	34.1671353242554
PI534114	42.9922605150991
PI534115	37.7268339113593
PI534116	34.4618078885722
PI534117	39.3290010019187
PI534123	36.3872926049708
PI534124	36.5585499712602
PI534127	34.0561274602196
PI534128	42.6707589645797
PI534132	35.6909941559744
PI534133	38.8294656137577
PI534135	45.2956736938413
PI534137	35.6934934547472
PI534139	33.6675999360944
PI534144	35.4437257606667
PI534145	34.6389187464074
PI534148	30.4206199130481
PI534155	29.8226461827041
PI534157	50.325993152232
PI534163	34.6154561719974
PI534167	34.077687180009
PI542718	40.1893119481959
PI548797	31.7729629286298
PI552856	40.0783040841601
PI561071	35.6934934547472
PI561072	39.662024594026
PI561073	34.8886864404879
PI561472	41.3271425545625
PI564163	38.631989628288
PI564164	44.3721221695025
PI564165	40.7721032343837
PI565121	32.7240330917903
PI566819	37.9969066334894
PI574455	30.6426356411196
PI576130	31.0034111992359
PI576332	36.1930288429082
PI576333	34.8609344744789
PI576337	36.7203161970781
PI576339	32.2800016356473
PI576340	27.8951910062343
PI576345	38.3299302255967
PI576347	39.2457451038918
PI576348	39.8562883560886
PI576352	34.6389187464074
PI576359	33.1680645479334
PI576364	29.6990687968156
PI576373	35.804501318783
PI576375	31.0866670972627
PI576376	41.2607444301407
PI576380	41.4381504185983
PI576381	40.8831110984195
PI576385	32.5575212957367
PI576386	NA
PI576390	27.8951910062343
PI576393	33.6953519021033
PI576394	34.9996943045236
PI576396	34.4169030183358
PI576399	36.9700838911585
PI576422	33.6953519021033
PI576425	40.9386150304373
PI576426	26.1648005836072
PI576428	34.5001589163627
PI576434	42.2152054668487
PI595699	34.4169030183358
PI595702	32.5852732617456
PI595714	27.4234075840823
PI595718	29.2272853746636
PI595720	34.0006235282017
PI595739	43.6028037672958
PI595740	29.8378286268603
PI595741	33.4733361740318
PI595743	36.248532774926
PI595744	38.648723611911
PI595745	33.6271844336478
PI597945	26.9330420007336
PI597946	33.7231038681123
PI597950	28.1449587003148
PI597951	43.6038807523762
PI597952	34.5001589163627
PI597957	36.4983004690065
PI597958	35.5824855907114
PI597960	34.2781431882911
PI597961	33.362328309996
PI597964	31.8359701795042
PI597965	29.005269646592
PI597966	33.4733361740318
PI597968	28.1172067343059
PI597971	32.8350409558261
PI597972	35.3882218286488
PI597973	38.191170395552
PI597976	32.5297693297277
PI597980	34.0283754942106
PI597982	37.3863633812927
PI598070	31.7804662474863
PI601816	31.2809308593253
PI607931	38.9404734777935
PI609456	36.9978358571675
PI613536	32.8163811998402
PI629034	40.4925030130143
PI629040	40.5500875063121
PI629059	37.6638830413821
PI641824	32.0302339415668
PI641836	33.4733361740318
PI641849	34.6666707124163
PI641874	31.2531788933164
PI642791	34.7776785764521
PI642998	44.3798588155462
PI651496	42.575981024965
PI653617	38.9959774098114
PI655970	32.1134898395936
PI655971	32.0857378735846
PI655972	35.0274462705326
PI655973	35.2772139646131
PI655974	37.3031074832659
PI655975	35.5269816586935
PI655976	36.4983004690065
PI655977	39.8285363900796
PI655979	34.6944226784253
PI655980	40.6888473363569
PI655981	39.6065206620081
PI655982	33.0848086499066
PI655983	30.5871317091018
PI655984	34.9996943045236
PI655985	33.8896156641659
PI655986	35.1662061005773
PI655987	28.0061988702701
PI655988	34.2226392562732
PI655989	35.5547336247025
PI655990	30.351716306946
PI655991	37.3308594492748
PI655992	36.1097729448813
PI655993	31.5306985534058
PI655994	31.5306985534058
PI655995	47.0717995184137
PI655997	41.4381504185983
PI655998	41.2716386225447
PI655999	35.9155091828187
PI656001	36.748068163087
PI656002	39.9117922881065
PI656004	30.6206008029402
PI656006	37.3811252736524
PI656007	29.6218869606759
PI656008	44.5257704529278
PI656009	37.7471389394089
PI656010	43.8803234273853
PI656015	36.0367027936813
PI656018	34.9164384064968
PI656019	30.6148836751107
PI656020	37.219851585239
PI656022	33.2235684799513
PI656023	36.4983004690065
PI656024	40.9386150304373
PI656025	42.4649731609292
PI656026	36.3090720531656
PI656028	37.3308594492748
PI656029	39.6897765600349
PI656031	29.8378286268603
PI656033	33.8896156641659
