id	height_BLUP
PI152651	20.7073895373349
PI17548	27.2850900150908
PI24969	24.1553776909973
PI276837	21.2643722390804
PI329440	24.6858374069453
PI34911	19.0211237387675
PI35038	20.6012975941453
PI48770	17.6042001990388
PI533750	24.0227627620103
PI533752	20.972619395309
PI533754	18.3203208155687
PI533757	23.9697167904155
PI533758	23.545349017657
PI533759	21.237849253283
PI533760	13.3101752907909
PI533761	16.9941715256985
PI533762	23.4271203325945
PI533766	18.1611829007843
PI533769	19.0099184463012
PI533776	22.184403344592
PI533785	20.9991423811064
PI533788	25.1782215429617
PI533789	18.5325047019479
PI533792	23.0679352733038
PI533794	22.0865847987999
PI533799	23.8504945142792
PI533800	20.2830217645765
PI533807	21.0521883527012
PI533810	23.5983949892518
PI533814	22.1131077845973
PI533821	23.6530688758677
PI533822	18.9568724747064
PI533824	21.7929664466804
PI533830	21.2908952248778
PI533831	19.593424133844
PI533833	19.9647459350077
PI533838	22.47880913588
PI533839	20.1769298213869
PI533841	14.6071028039323
PI533843	16.5167577813453
PI533845	24.6593144211479
PI533852	16.9941715256985
PI533855	19.9382229492103
PI533856	15.4558383494492
PI533863	18.3203208155687
PI533866	21.3439411964726
PI533869	20.8134814805245
PI533871	26.3833084979791
PI533876	20.6278205799427
PI533877	21.503079111257
PI533878	21.5826480686492
PI533901	16.4902347955479
PI533902	14.3153499601609
PI533903	22.882274372722
PI533910	20.6543435657401
PI533911	24.9510672649194
PI533912	19.5669011480466
PI533915	25.6141419098544
PI533919	22.7761824295323
PI533921	20.5462764058615
PI533924	17.5776772132414
PI533927	20.3625907219687
PI533936	22.3518146567739
PI533937	24.791929350135
PI533938	19.1578866408084
PI533939	23.545349017657
PI533940	15.1110395340829
PI533943	22.6966134721401
PI533948	22.1926767419895
PI533949	21.1317573100934
PI533954	22.4579065999635
PI533955	23.4923030460622
PI533957	22.1926767419895
PI533961	22.2987686851791
PI533962	17.2063554120778
PI533964	21.6887400118388
PI533965	18.6651196309349
PI533967	17.7633381138232
PI533970	25.5831497290992
PI533972	20.5482516225505
PI533976	16.3576198665609
PI533979	20.2034528071843
PI533980	17.28592436947
PI533985	20.7339125231323
PI533986	22.5149061195221
PI533987	23.4657800602648
PI533989	22.1661537561921
PI533991	21.6887400118388
PI533996	18.3733667871635
PI533997	21.37046418227
PI533998	17.7368151280258
PI534009	22.3252916709765
PI534021	19.062964417896
PI534028	21.5561250828518
PI534037	23.545349017657
PI534046	20.6012975941453
PI534047	18.9833954605038
PI534053	21.0349297901967
PI534054	20.6378629701338
PI534063	18.2672748439739
PI534070	21.5561250828518
PI534075	19.5669011480466
PI534079	25.9324177394233
PI534092	24.2879926199843
PI534096	17.551154227444
PI534097	22.5639985431531
PI534099	22.9187361102299
PI534101	22.4313836141661
PI534104	27.1353200257088
PI534105	21.9009238982181
PI534108	23.4392570744674
PI534112	20.4952056509557
PI534114	21.0256653669038
PI534115	23.7422035633529
PI534116	20.972619395309
PI534117	23.5983949892518
PI534123	22.6231970704484
PI534124	22.8036819886588
PI534127	20.6543435657401
PI534128	23.677963946644
PI534132	18.8691107716717
PI534133	20.7604355089297
PI534135	21.3439411964726
PI534137	21.3439411964726
PI534139	18.2672748439739
PI534144	20.0177919066025
PI534145	24.6593144211479
PI534148	26.2772165547895
PI534155	16.0896430312313
PI534157	22.6592940540904
PI534163	20.5747746083479
PI534167	21.4235101538648
PI542718	21.5561250828518
PI548797	18.0550909575947
PI552856	20.840004466322
PI561071	16.3310968807635
PI561072	20.7073895373349
PI561073	21.788993393864
PI561472	22.0070158414077
PI564163	18.8021895592402
PI564164	22.7761824295323
PI564165	20.7339125231323
PI565121	16.8115827040729
PI566819	19.1690563610856
PI574455	20.2299757929817
PI576130	20.2564987787791
PI576332	21.3969871680674
PI576333	17.9755220002024
PI576337	16.3576198665609
PI576339	23.147504230696
PI576340	16.9146025683063
PI576345	22.9883663159116
PI576347	19.9382229492103
PI576348	27.9216416742285
PI576352	16.1719589659791
PI576359	17.948999014405
PI576364	16.4106658381557
PI576373	16.9941715256985
PI576375	20.6808665515375
PI576376	22.5109525715583
PI576380	22.7761824295323
PI576381	21.3969871680674
PI576385	20.5482516225505
PI576386	21.2908952248778
PI576390	18.6651196309349
PI576393	19.2751483042752
PI576394	20.9460964095116
PI576396	25.4815269808674
PI576399	26.1180786400051
PI576422	17.7102921422284
PI576425	23.8371018614285
PI576426	19.5910504445134
PI576428	21.9274468840155
PI576434	20.26384072677
PI595699	20.8930504379168
PI595702	17.3124473552674
PI595714	24.1819006767947
PI595718	19.9382229492103
PI595720	23.6249179750492
PI595739	22.0817423158171
PI595740	20.7869584947271
PI595741	20.0973608639947
PI595743	19.858653991818
PI595744	22.3518146567739
PI595745	18.3733667871635
PI597945	19.6995160770336
PI597946	22.1396307703947
PI597950	19.9912689208051
PI597951	19.5669011480466
PI597952	18.1611829007843
PI597957	21.4235101538648
PI597958	17.8583952296934
PI597960	23.0679352733038
PI597961	21.4235101538648
PI597964	16.9411255541037
PI597965	21.4235101538648
PI597966	16.4106658381557
PI597968	15.9332520938024
PI597971	18.4794587303531
PI597972	23.8371018614285
PI597973	22.6966134721401
PI597976	20.3095447503739
PI597980	21.9274468840155
PI597982	21.4500331396622
PI598070	22.0070158414077
PI601816	22.7231364579375
PI607931	18.7446885883271
PI609456	18.9038265031115
PI613536	22.7675850050167
PI629034	20.6808665515375
PI629040	22.9841669068692
PI629059	24.1288547051999
PI641824	22.0865847987999
PI641836	18.4794587303531
PI641849	20.9460964095116
PI641874	24.8980212933246
PI642791	15.9332520938024
PI642998	22.6435675005453
PI651496	21.0521883527012
PI653617	23.3596881170752
PI655970	21.5402875611859
PI655971	25.8528487820311
PI655972	21.4765561254596
PI655973	18.0020449859999
PI655974	21.4765561254596
PI655975	20.3360677361713
PI655976	20.8930504379168
PI655977	17.418539298457
PI655979	19.0776108745858
PI655980	18.6916426167323
PI655981	21.9539698698129
PI655982	25.587618924057
PI655983	20.2830217645765
PI655984	16.9146025683063
PI655985	25.0041132365142
PI655986	20.7339125231323
PI655987	23.8636248472259
PI655988	21.105234324296
PI655989	19.6271474281554
PI655990	18.2672748439739
PI655991	24.8184523359324
PI655992	18.1877058865817
PI655993	18.7181656025297
PI655994	22.5639985431531
PI655995	26.8076762707376
PI655997	18.1346599149869
PI655998	19.5669011480466
PI655999	25.6406648956519
PI656001	21.0256653669038
PI656002	23.1209812448986
PI656004	26.4209385309641
PI656006	19.8056080202232
PI656007	20.9460964095116
PI656008	21.2806091714993
PI656009	23.5965817400494
PI656010	17.2086495241359
PI656015	19.3016712900726
PI656018	17.9224760286076
PI656019	26.3567855121817
PI656020	23.0679352733038
PI656022	23.5718720034544
PI656023	22.8027054153298
PI656024	23.0679352733038
PI656025	24.1023317194025
PI656026	18.3998897729609
PI656028	24.6327914353505
PI656029	19.858653991818
PI656031	17.3169404750621
PI656033	21.768308969231
PI656034	26.966814185522
PI656036	20.5747746083479
PI656037	22.4313836141661
PI656038	21.3969871680674
PI656039	24.5532224779583
PI656041	21.2113262674856
PI656043	25.2428201086908
PI656044	18.3733667871635
PI656046	25.45500399507
PI656047	15.3232234204622
PI656049	23.6514409608466
PI656051	23.4392570744674
PI656052	19.4342862190596
PI656053	20.840004466322
PI656055	27.5768428588622
PI656056	24.6327914353505
PI656057	23.2005502022908
PI656058	15.7647701784525
PI656059	17.5776772132414
PI656060	22.0600618130025
PI656061	24.2349466483895
PI656062	19.3022745753767
PI656068	26.0119866968155
PI656069	17.9755220002024
PI656070	22.0335388272051
PI656071	21.503079111257
PI656072	23.0414122875064
PI656073	25.3754350376778
PI656075	23.3331651312778
PI656076	21.6846754957542
PI656077	23.0679352733038
PI656078	23.9587854652054
PI656079	20.9195734237142
PI656080	15.7210682074232
PI656081	17.6057163441988
PI656082	18.4264127587583
PI656083	23.6514409608466
PI656084	21.4765561254596
PI656085	18.6385966451375
PI656086	24.1049659624141
PI656087	20.710056937418
PI656088	19.8119436402237
PI656089	14.129689059579
PI656090	20.1504068355895
PI656091	24.2349466483895
PI656092	26.3302625263843
PI656093	18.9568724747063
PI656094	18.4264127587583
PI656095	23.3596881170752
PI656096	22.8027054153298
PI656097	23.014889301709
PI656098	14.8723326619063
PI656099	23.8105788756311
PI656101	21.6887400118388
PI656102	19.1425333752882
PI656103	23.014889301709
PI656104	16.9411255541037
PI656105	23.9166708188207
PI656106	25.6937108672467
PI656107	21.2908952248778
PI656108	23.5188260318596
PI656109	18.7446885883271
PI656110	16.3045738949661
PI656111	21.768308969231
PI656112	28.3194864611895
PI656113	19.5669011480466
PI656117	21.8744009124207
PI656118	24.4736535205661
