sub	n_samples	median_abs	mean_abs	median_chrs_per_sample	median_abs_per_ndel
improved	128	139691.5134908	140197.385549047	8	7.95999576043305
landrace	101	212520.5614754	207346.57496583	10	7.9692254465617
wild	49	317837.8815843	326129.12469509	10	7.95469518085749
