sample	group	dataset	Abs_genetic_load	Abs_per_Ndel
PI533987_PI533987	SAP_all	SAP	66291.0207399	15.3415923952557
PI533989_PI533989	SAP_all	SAP	73443.9909707	14.4546331373155
PI533991_PI533991	SAP_all	SAP	69697.9080553	15.3384480755502
PI533996_PI533996	SAP_all	SAP	65852.5039626	15.1524399361712
PI533997_PI533997	SAP_all	SAP	62380.9694417	14.8455424658972
PI534009_PI534009	SAP_all	SAP	84707.4024602	15.0323695581544
PI534021_PI534021	SAP_all	SAP	76936.0432813	15.0677718921465
PI534028_PI534028	SAP_all	SAP	87114.3472698	15.0978071524783
PI534037_PI534037	SAP_all	SAP	75569.1857785	15.2173148969996
PI534046_PI534046	SAP_all	SAP	70490.5755455	15.2346175806138
PI534047_PI534047	SAP_all	SAP	71719.3102682	15.0797540513457
PI534053_PI534053	SAP_all	SAP	78432.8229324	15.3219032882204
PI534054_PI534054	SAP_all	SAP	64562.6756665	15.4789440581395
PI534063_PI534063	SAP_all	SAP	74209.0542987	15.2662115405678
PI534070_PI534070	SAP_all	SAP	75217.6567305	15.3223990080464
PI534075_PI534075	SAP_all	SAP	66639.5930653	14.9048519492955
PI534079_PI534079	SAP_all	SAP	66229.1743518	15.0966889336221
PI534088_PI534088	SAP_all	SAP	70101.8816325	15.2927315952225
PI534092_PI534092	SAP_all	SAP	80227.6963225	14.0528457387458
PI534096_PI534096	SAP_all	SAP	23430.4843749	14.773319277995
PI534097_PI534097	SAP_all	SAP	95886.117534	15.2393702374444
PI534099_PI534099	SAP_all	SAP	74612.0313544	15.0518521997983
PI534101_PI534101	SAP_all	SAP	69082.8564447	11.8252065122732
PI534105_PI534105	SAP_all	SAP	70018.1087487	15.4838807493808
PI534108_PI534108	SAP_all	SAP	66280.3394348	15.2019127144037
PI534112_PI534112	SAP_all	SAP	67317.6353826	10.5019711985335
PI534114_PI534114	SAP_all	SAP	76197.306252	15.2914521878387
PI534115_PI534115	SAP_all	SAP	76667.5187353	15.2329661703358
PI534116_PI534116	SAP_all	SAP	58138.3573703	14.9494361970429
PI534117_PI534117	SAP_all	SAP	63468.7245756	15.2203176440288
PI534123_PI534123	SAP_all	SAP	71716.3207461	15.1236441893927
PI534124_PI534124	SAP_all	SAP	62531.8512632	14.8602308134981
PI534127_PI534127	SAP_all	SAP	97154.6889044	13.8931344064636
PI534128_PI534128	SAP_all	SAP	98236.654189	14.8933678273196
PI534132_PI534132	SAP_all	SAP	86420.2752998	12.5156082983056
PI534133_PI534133	SAP_all	SAP	94983.1708547	15.0242282275704
PI534135_PI534135	SAP_all	SAP	86388.7127293	15.2039269146955
PI534137_PI534137	SAP_all	SAP	88600.9866572	15.1636122979976
PI534138_PI534138	SAP_all	SAP	55738.4179126	15.2457379410832
PI534139_PI534139	SAP_all	SAP	95170.5005865001	15.2982640389809
PI534144_PI534144	SAP_all	SAP	79953.8455329	13.9365252802684
PI534145_PI534145	SAP_all	SAP	63927.1363452	15.1665803903203
PI534148_PI534148	SAP_all	SAP	81263.5107126	15.1328697788827
PI534155_PI534155	SAP_all	SAP	70699.9291608	14.6741239437111
PI534157_PI534157	SAP_all	SAP	83553.6083358	11.6224243059953
PI534163_PI534163	SAP_all	SAP	76980.6724179	15.0001310245323
PI534167_PI534167	SAP_all	SAP	84012.9215838	14.9755653447059
PI540816_PI540816	SAP_all	SAP	90402.0178625	15.2294504485344
PI542406_PI542406	SAP_all	SAP	61789.302047	15.0375522139207
PI542718_PI542718	SAP_all	SAP	98288.8350287	15.3312798360162
PI548797_PI548797	SAP_all	SAP	82608.0416132	15.2160695548351
PI552856_PI552856	SAP_all	SAP	76464.4223455	15.4598508583704
PI552861_PI552861	SAP_all	SAP	68547.6602885	15.4456197134971
PI561071_PI561071	SAP_all	SAP	90052.9820658	15.3099255467188
PI561072_PI561072	SAP_all	SAP	83317.7762181	15.4664518689623
PI561073_PI561073	SAP_all	SAP	96762.9629745	15.0136482505043
PI561472_PI561472	SAP_all	SAP	101659.6374224	14.1943084923764
PI562730_PI562730	SAP_all	SAP	67340.5927477	15.0852582320116
PI564163_PI564163	SAP_all	SAP	62999.433106	15.1732738694605
PI564164_PI564164	SAP_all	SAP	95214.4287557	13.8614687371815
PI564165_PI564165	SAP_all	SAP	102027.6985815	15.1421339539181
PI565121_PI565121	SAP_all	SAP	67995.9064855	15.5490296102218
PI566819_PI566819	SAP_all	SAP	74049.1386637	15.0812909702037
PI576130_PI576130	SAP_all	SAP	88648.2617136	15.4278213911591
PI576332_PI576332	SAP_all	SAP	86644.1371925	15.3108565457678
PI576333_PI576333	SAP_all	SAP	75755.5370804	15.4225441938925
PI576337_PI576337	SAP_all	SAP	66862.4162184001	10.5096536023892
PI576339_PI576339	SAP_all	SAP	76411.9946065	15.4398857560113
PI576340_PI576340	SAP_all	SAP	75640.1066562	15.4746535712357
PI576345_PI576345	SAP_all	SAP	62546.7358266	15.5511526172551
PI576347_PI576347	SAP_all	SAP	71827.5248281	12.1453373060703
PI576348_PI576348	SAP_all	SAP	44963.7334765	12.9802925740473
PI576349_PI576349	SAP_all	SAP	52397.1819703	14.8518089484977
PI576350_PI576350	SAP_all	SAP	62641.0720234	10.3011136364743
PI576352_PI576352	SAP_all	SAP	75748.8322685	15.405497715782
PI576359_PI576359	SAP_all	SAP	81659.8696818	15.2892472723834
PI576364_PI576364	SAP_all	SAP	78842.1074032	15.3808246982442
PI576366_PI576366	SAP_all	SAP	69514.982623	15.0563098598657
PI576373_PI576373	SAP_all	SAP	66001.8322479	15.4318055290858
PI576375_PI576375	SAP_all	SAP	86179.0463521	15.1777115801515
PI576376_PI576376	SAP_all	SAP	85597.5168246	11.6316777856502
PI576380_PI576380	SAP_all	SAP	76217.9293031	15.3882352721785
PI576381_PI576381	SAP_all	SAP	91630.7723388	15.1106154912269
PI576385_PI576385	SAP_all	SAP	80896.2636798	15.3707512216987
PI576386_PI576386	SAP_all	SAP	66566.4622301	15.3982100925515
PI576387_PI576387	SAP_all	SAP	67070.362079	15.44332536933
PI576390_PI576390	SAP_all	SAP	93456.6237758	15.2856761164213
PI576391_PI576391	SAP_all	SAP	92908.9708054	15.0606209767223
PI576393_PI576393	SAP_all	SAP	63589.3184152	13.8841306583406
PI576394_PI576394	SAP_all	SAP	91717.0435415	15.3604159339307
PI576396_PI576396	SAP_all	SAP	67121.7508249	15.4019620984167
PI576399_PI576399	SAP_all	SAP	70582.2814388	15.043111986104
PI576401_PI576401	SAP_all	SAP	98435.2731192	15.2094056117429
PI576418_PI576418	SAP_all	SAP	68490.4486033001	15.1829857245179
PI576422_PI576422	SAP_all	SAP	75184.8527536	15.5276441044197
PI576425_PI576425	SAP_all	SAP	84794.4674413001	10.5781521259107
PI576426_PI576426	SAP_all	SAP	68754.7221227	15.0810971973459
PI576428_PI576428	SAP_all	SAP	87990.6369388	15.3722286755416
PI576434_PI576434	SAP_all	SAP	70851.6459198	15.010941932161
PI576435_PI576435	SAP_all	SAP	90460.0073305	15.3296063939163
PI576437_PI576437	SAP_all	SAP	78145.0696884	15.232957054269
PI585291_PI585291	SAP_all	SAP	100697.149335	10.3843610740435
PI585295_PI585295	SAP_all	SAP	70733.4658024	15.4237823380724
PI595699_PI595699	SAP_all	SAP	74412.646535	15.3904129338159
PI595702_PI595702	SAP_all	SAP	75292.5102529	15.4922860602675
PI595714_PI595714	SAP_all	SAP	86248.3666593	15.2760125149309
PI595718_PI595718	SAP_all	SAP	75249.0045084	15.161999699456
PI595720_PI595720	SAP_all	SAP	82538.2230887	15.1390724667462
PI595739_PI595739	SAP_all	SAP	64896.2911258	15.4331251190963
PI595740_PI595740	SAP_all	SAP	83428.0460599	11.318416233876
PI595741_PI595741	SAP_all	SAP	89236.1860173	15.3063783906175
PI595743_PI595743	SAP_all	SAP	87350.4852869	12.1624178901281
PI595744_PI595744	SAP_all	SAP	60796.9406234	15.4542299500254
PI595745_PI595745	SAP_all	SAP	60347.6171474	15.3595360517689
PI597945_PI597945	SAP_all	SAP	88242.1509454	15.0378580343217
PI597946_PI597946	SAP_all	SAP	80532.0532184	15.0527202277383
PI597949_PI597949	SAP_all	SAP	76664.3812138	15.2839675466108
PI597950_PI597950	SAP_all	SAP	59012.9099281	15.0007396868582
PI597951_PI597951	SAP_all	SAP	90447.6975957	15.2525628323271
PI597952_PI597952	SAP_all	SAP	87773.6132535	8.68701635525535
PI597957_PI597957	SAP_all	SAP	78281.0319421	10.77954171607
PI597958_PI597958	SAP_all	SAP	82888.8977002	15.3441128656424
PI597960_PI597960	SAP_all	SAP	56046.238763	15.2631369180283
PI597961_PI597961	SAP_all	SAP	66261.2097179	15.3205109174335
PI597964_PI597964	SAP_all	SAP	72637.6606314	15.2889203602189
PI597965_PI597965	SAP_all	SAP	72544.7857438	15.3144998403631
PI597966_PI597966	SAP_all	SAP	79827.1971033	15.4285266917859
PI597967_PI597967	SAP_all	SAP	72377.4564132	15.3602411742784
PI597968_PI597968	SAP_all	SAP	82034.6070394	15.1635133159704
PI597971_PI597971	SAP_all	SAP	66160.4373655	15.3149160568287
PI597972_PI597972	SAP_all	SAP	66951.188443	14.9879535354824
PI597973_PI597973	SAP_all	SAP	65227.7785168	15.1975252835042
PI597976_PI597976	SAP_all	SAP	67392.0683203	15.2920509009076
PI597980_PI597980	SAP_all	SAP	63964.2667126	15.4167912057363
PI597982_PI597982	SAP_all	SAP	63758.203494	14.9421615875322
PI598069_PI598069	SAP_all	SAP	85979.0016724	15.1398136419088
PI598070_PI598070	SAP_all	SAP	84014.2545978	14.3786162241657
PI601816_PI601816	SAP_all	SAP	69968.9787485	15.5728864341197
PI607931_PI607931	SAP_all	SAP	66705.9881261	15.405539982933
PI609456_PI609456	SAP_all	SAP	22971.2043455	14.6220269544876
PI613536_PI613536	SAP_all	SAP	68522.0559682	15.2882766551093
PI629034_PI629034	SAP_all	SAP	70585.1951751	15.3379389776402
PI629040_PI629040	SAP_all	SAP	111540.7802647	15.0975609454115
PI629059_PI629059	SAP_all	SAP	68237.349352	15.5155410077308
PI641824_PI641824	SAP_all	SAP	88951.2287662	13.1877285049963
PI641836_PI641836	SAP_all	SAP	75005.4694576	15.5034041871848
PI641849_PI641849	SAP_all	SAP	101381.7106701	15.1090477898808
PI641874_PI641874	SAP_all	SAP	125222.5401183	15.1748109692559
PI642791_PI642791	SAP_all	SAP	85308.6936088	15.3959021131204
PI642793_PI642793	SAP_all	SAP	78571.0616512	15.4484981618561
PI642992_PI642992	SAP_all	SAP	87267.311369	15.2272398131216
PI642998_PI642998	SAP_all	SAP	70133.480268	15.0307501645949
PI651492_PI651492	SAP_all	SAP	89189.419541	15.2721608803082
PI651496_PI651496	SAP_all	SAP	68686.165581	15.3729108283348
PI653616_PI653616	SAP_all	SAP	76193.414063	14.7690277307618
PI653617_PI653617	SAP_all	SAP	68354.8323928	15.3261956037668
PI655970_PI655970	SAP_all	SAP	77700.8078454	15.6057055323157
PI655971_PI655971	SAP_all	SAP	114585.5023413	15.1447928021808
PI655972_PI655972	SAP_all	SAP	76889.0986144	15.4799876413127
PI655973_PI655973	SAP_all	SAP	85391.0740526	15.2484060808214
PI655974_PI655974	SAP_all	SAP	76140.055401	14.9793538070037
PI655975_PI655975	SAP_all	SAP	90259.0933668	15.4632676660613
PI655976_PI655976	SAP_all	SAP	76646.4252797	15.4404563415995
PI655977_PI655977	SAP_all	SAP	80789.0554107	15.411876270641
PI655978_PI655978	SAP_all	SAP	103694.5242919	15.2649086253349
PI655979_PI655979	SAP_all	SAP	87659.4811902	15.2610517392409
PI655980_PI655980	SAP_all	SAP	69758.2702901	15.1945698736877
PI655981_PI655981	SAP_all	SAP	84614.3307818	15.3760368493186
PI655982_PI655982	SAP_all	SAP	66858.8051802	15.5739122245982
PI655983_PI655983	SAP_all	SAP	75229.6120323	15.5368880694548
PI655984_PI655984	SAP_all	SAP	105120.0520932	15.0407858196022
PI655985_PI655985	SAP_all	SAP	89980.5992175	15.4446617263131
PI655986_PI655986	SAP_all	SAP	89754.0457544	15.5579902503727
PI655987_PI655987	SAP_all	SAP	75467.34445	15.5763352837977
PI655988_PI655988	SAP_all	SAP	78442.3273778	15.3058199761561
PI655989_PI655989	SAP_all	SAP	74145.1037245	15.1843341643457
PI655990_PI655990	SAP_all	SAP	114784.9656295	15.2619286836192
PI655991_PI655991	SAP_all	SAP	84609.1298122	11.3417064091421
PI655992_PI655992	SAP_all	SAP	75661.1255387	11.8036077283463
PI655993_PI655993	SAP_all	SAP	87958.4310042	14.8352894255692
PI655994_PI655994	SAP_all	SAP	83647.4235734	14.1655247372396
PI655995_PI655995	SAP_all	SAP	74687.3149763	15.1097137318025
