sample	sub	chrs_n	Genetic_load_sum	N_del_sum	Abs_genetic_load	Abs_per_Ndel
V123	improved	8	-97709.128243	12182	97709.128243	8.02077887399442
V124	improved	8	-130096.6083424	16298	130096.6083424	7.98236644633697
V125	improved	8	-141502.5318179	17702	141502.5318179	7.99359009252627
V126	improved	8	-141050.229571	17711	141050.229571	7.96399015137485
V127	improved	8	-122589.505113	15328	122589.505113	7.99774955069155
V128	improved	8	-120197.506337	15029	120197.506337	7.99770485973784
V129	improved	8	-180027.8253037	22640	180027.8253037	7.95175906818463
V130	improved	8	-185296.1331867	23290	185296.1331867	7.95603835065264
V131	improved	8	-113291.0171242	14298	113291.0171242	7.92355693972584
V132	improved	8	-155146.3245207	19619	155146.3245207	7.90796291965442
V5	landrace	10	-188762.8279218	23716	188762.8279218	7.95930291456401
V6	landrace	10	-193333.3425216	24272	193333.3425216	7.96528273408042
V7	landrace	10	-166812.2964856	20905	166812.2964856	7.97954061160488
V8	landrace	10	-201854.9483823	25307	201854.9483823	7.97624959032284
V9	landrace	10	-234085.0589702	29469	234085.0589702	7.94343408226272
V10	landrace	10	-215403.7835835	27033	215403.7835835	7.96817902502497
V11	landrace	10	-229079.1864944	28837	229079.1864944	7.94393267310747
V12	landrace	10	-239091.9233071	29974	239091.9233071	7.97664386825582
V13	landrace	10	-156192.7601429	19634	156192.7601429	7.95521850580116
V14	landrace	10	-221642.5277062	27865	221642.5277062	7.95415495087744
V15	landrace	10	-149488.9686884	18781	149488.9686884	7.95958514926788
V16	landrace	10	-134144.849236	16797	134144.849236	7.98623856855391
V17	landrace	10	-155147.3929677	19335	155147.3929677	8.02417341441427
V18	landrace	10	-208125.6484941	26133	208125.6484941	7.96409323438182
V19	landrace	10	-194870.9500968	24487	194870.9500968	7.95813901649038
V20	landrace	10	-257399.5592612	32383	257399.5592612	7.94860140386005
V21	landrace	10	-181847.8114625	22794	181847.8114625	7.97788064677108
V22	landrace	10	-215915.9728208	27062	215915.9728208	7.97856672902225
V23	landrace	10	-192220.7480988	24090	192220.7480988	7.97927555412204
V24	landrace	10	-212520.5614754	26641	212520.5614754	7.97719910947037
V25	landrace	10	-189136.305906	23702	189136.305906	7.97976145076365
V26	landrace	10	-242566.9793664	30413	242566.9793664	7.97576626332161
V27	landrace	10	-235455.7536011	29630	235455.7536011	7.94653235238272
V28	landrace	10	-255708.0086423	32150	255708.0086423	7.95359280380404
V29	landrace	10	-245265.7078274	30830	245265.7078274	7.95542354289329
V30	landrace	10	-230384.7846437	28890	230384.7846437	7.97455121646591
V31	landrace	10	-239646.6936063	30080	239646.6936063	7.96697784595412
V32	landrace	10	-261277.2458478	32845	261277.2458478	7.95485601606942
V33	landrace	10	-239032.1782971	29942	239032.1782971	7.98317341183288
V34	landrace	10	-159322.5617554	19954	159322.5617554	7.98449242033678
V35	landrace	10	-193826.3900006	24278	193826.3900006	7.98362262132795
V36	landrace	10	-140151.3360598	17492	140151.3360598	8.01231054538074
V37	landrace	10	-219470.3318034	27453	219470.3318034	7.99440249894001
V38	landrace	10	-215707.0901755	27064	215707.0901755	7.9702590221512
V39	landrace	10	-235594.2504194	29552	235594.2504194	7.97219309757039
V40	landrace	10	-206706.3445528	25959	206706.3445528	7.96280074551408
V41	landrace	10	-231610.2886801	29075	231610.2886801	7.96596005778504
V42	landrace	10	-243157.8480406	30515	243157.8480406	7.9684695409012
V43	landrace	10	-215224.9948026	27009	215224.9948026	7.96863989050317
V44	landrace	10	-231238.5442833	29005	231238.5442833	7.97236836005171
V45	landrace	10	-210580.9014831	26422	210580.9014831	7.9699077088449
V46	landrace	10	-239073.9808896	30003	239073.9808896	7.96833586273373
V47	landrace	10	-212711.4840825	26705	212711.4840825	7.96523063405729
V48	landrace	10	-208503.5482742	26122	208503.5482742	7.98191364651252
V49	landrace	10	-203451.0235494	25519	203451.0235494	7.97253119438066
V50	landrace	10	-174671.5558602	21910	174671.5558602	7.9722298430032
V51	landrace	10	-196462.804246	24659	196462.804246	7.9671845673385
V52	landrace	10	-234621.4070735	29446	234621.4070735	7.96785325930517
V53	landrace	10	-200562.1705622	25143	200562.1705622	7.97685918793302
V54	landrace	10	-215707.7319579	27093	215707.7319579	7.96175144715978
V55	landrace	10	-147208.7576865	18396	147208.7576865	8.00221557330398
V56	landrace	10	-212262.3966323	26697	212262.3966323	7.95079584343934
V57	landrace	10	-234397.9272805	29408	234397.9272805	7.97054975790601
V58	landrace	10	-169600.0158241	21301	169600.0158241	7.96206825144829
V59	landrace	10	-142247.6376732	17770	142247.6376732	8.00493177676984
V60	landrace	10	-169160.5147511	21261	169160.5147511	7.95637621706881
V61	landrace	10	-244626.962064	30767	244626.962064	7.95095271115156
V62	landrace	10	-166958.0784663	20943	166958.0784663	7.97202303711503
V63	landrace	10	-158794.1590967	19838	158794.1590967	8.00454476745136
V64	landrace	10	-235431.0995465	29620	235431.0995465	7.94838283411546
V65	landrace	10	-170275.6544919	21294	170275.6544919	7.99641469389969
V66	landrace	10	-180841.8701816	22575	180841.8701816	8.01071407227464
V67	landrace	10	-354382.0622477	44532	354382.0622477	7.95791929955313
V68	landrace	10	-242465.9841681	30379	242465.9841681	7.98136818750123
V69	landrace	10	-205742.0996393	25843	205742.0996393	7.96123126724065
V70	landrace	10	-157785.89831	19764	157785.89831	7.98350021807327
V71	landrace	10	-163374.1061216	20483	163374.1061216	7.97608290394962
V72	landrace	10	-250285.7220802	31409	250285.7220802	7.96859887548792
V73	landrace	10	-248966.8263354	31202	248966.8263354	7.97919448546247
V74	landrace	10	-238215.1137565	29868	238215.1137565	7.97559641611424
V75	landrace	10	-230648.919428	28895	230648.919428	7.98231249101921
V76	landrace	10	-231314.7378119	29026	231314.7378119	7.9692254465617
V77	landrace	10	-169299.7164533	21225	169299.7164533	7.97642951487868
V78	landrace	10	-235760.4268383	29610	235760.4268383	7.96218935624114
V79	landrace	10	-238690.1993972	29956	238690.1993972	7.96802641865403
V80	landrace	10	-218551.6908691	27438	218551.6908691	7.96529232703185
V81	landrace	10	-241758.4857243	30382	241758.4857243	7.95729332250346
V82	landrace	10	-235131.5127611	29484	235131.5127611	7.97488511603243
V83	landrace	10	-217266.8675155	27288	217266.8675155	7.96199309276972
V84	landrace	10	-253201.6285129	31830	253201.6285129	7.95481082352812
V85	landrace	10	-199271.802575	24980	199271.802575	7.9772539061249
V86	landrace	10	-227895.7832345	28551	227895.7832345	7.98205958581136
V87	landrace	10	-213212.6985119	26717	213212.6985119	7.98041316434854
V88	landrace	10	-237630.98281	29768	237630.98281	7.98276615190809
V89	landrace	10	-245211.6568593	30848	245211.6568593	7.94902933283519
V90	landrace	10	-168345.7025595	21094	168345.7025595	7.98073871999147
V91	landrace	10	-236107.9499259	29729	236107.9499259	7.9420078013354
V92	landrace	10	-203456.5891591	25592	203456.5891591	7.95000739133714
V93	landrace	10	-246291.4372322	30839	246291.4372322	7.98636263277668
V94	landrace	10	-171685.5126131	21589	171685.5126131	7.9524532221548
V95	landrace	10	-153760.3535817	19290	153760.3535817	7.97098774399689
V96	landrace	10	-139288.6212804	17386	139288.6212804	8.01153924309214
V97	landrace	10	-132818.4926263	16605	132818.4926263	7.99870476520927
V98	landrace	10	-160808.8724754	20203	160808.8724754	7.9596531443548
V99	landrace	10	-185810.0825951	23383	185810.0825951	7.94637482765685
V100	landrace	10	-196764.3275894	24721	196764.3275894	7.9594000076615
V101	landrace	10	-201048.183326	25255	201048.183326	7.96072790837458
V102	landrace	10	-186817.4497042	23528	186817.4497042	7.94021802551003
V103	landrace	10	-198408.7101227	24976	198408.7101227	7.94397462054372
V104	landrace	10	-217053.9086884	27268	217053.9086884	7.96002305590436
V105	landrace	10	-180896.5180061	22678	180896.5180061	7.97674036538055
V5	wild	10	-269708.9137608	34014	269708.9137608	7.92935008410655
V6	wild	10	-355276.1143394	44552	355276.1143394	7.97441448957174
V7	wild	10	-291402.2976548	36554	291402.2976548	7.97183065204355
V8	wild	10	-337480.8266785	42461	337480.8266785	7.94801880969596
V9	wild	10	-376761.9853728	47372	376761.9853728	7.95326322242675
V10	wild	10	-293371.7554574	36972	293371.7554574	7.93497120678892
V11	wild	10	-322990.1516216	40597	322990.1516216	7.95601033627115
V12	wild	10	-322252.9562627	40549	322252.9562627	7.94724792874547
V13	wild	10	-318806.8265987	40207	318806.8265987	7.92913737903101
V14	wild	10	-265438.1792008	33305	265438.1792008	7.96991980786068
V15	wild	10	-225930.7221281	28382	225930.7221281	7.96035241096822
V16	wild	10	-294965.8898009	37062	294965.8898009	7.95871485081485
V17	wild	10	-280897.3829572	35272	280897.3829572	7.96374980032887
V18	wild	10	-427158.2420785	53630	427158.2420785	7.96491221477718
V19	wild	10	-269942.997979	33851	269942.997979	7.97444678086319
V20	wild	10	-376447.9947389	47324	376447.9947389	7.95469518085749
V21	wild	10	-393631.4587557	49493	393631.4587557	7.95327538754369
V22	wild	10	-438313.4005675	55175	438313.4005675	7.94405800756683
V23	wild	10	-269224.9989933	33841	269224.9989933	7.95558638909311
V24	wild	10	-255011.7208454	32042	255011.7208454	7.95867052135947
V25	wild	10	-230531.8499087	28973	230531.8499087	7.95678217335796
V26	wild	10	-317837.8815843	39968	317837.8815843	7.95230888671687
V27	wild	10	-261087.6351184	32838	261087.6351184	7.95077760881905
V28	wild	10	-266262.501517	33476	266262.501517	7.95383264180308
V29	wild	10	-330850.3406586	41549	330850.3406586	7.96289539239452
V30	wild	10	-414688.5487517	52141	414688.5487517	7.95321433711858
V31	wild	10	-411209.7826276	51713	411209.7826276	7.95176807819311
V32	wild	10	-257516.4769071	32297	257516.4769071	7.97338690612441
V33	wild	10	-283200.7059742	35675	283200.7059742	7.93835195442747
V34	wild	10	-265081.3652053	33334	265081.3652053	7.95228191052079
V35	wild	10	-235342.2774358	29525	235342.2774358	7.97094927809653
V36	wild	10	-287007.6831842	36174	287007.6831842	7.93408755416045
V37	wild	10	-445063.8777953	55795	445063.8777953	7.97676992195179
V38	wild	10	-396426.5204595	49823	396426.5204595	7.95669711698413
V39	wild	10	-370243.6870033	46560	370243.6870033	7.95196922257947
V40	wild	10	-399304.9795466	50216	399304.9795466	7.95174803940178
V41	wild	10	-246888.9622549	31007	246888.9622549	7.96236212000194
V42	wild	10	-311072.5951272	39105	311072.5951272	7.9548036089298
V43	wild	10	-387288.8200438	48696	387288.8200438	7.95319574592985
V44	wild	10	-297321.0518371	37473	297321.0518371	7.93427405964561
V45	wild	10	-411039.0551619	51669	411039.0551619	7.95523534734367
V46	wild	10	-364614.9315959	45857	364614.9315959	7.95112919719781
V47	wild	10	-276338.1452855	34776	276338.1452855	7.9462314609357
V48	wild	10	-387526.4977854	48674	387526.4977854	7.96167353793401
V49	wild	10	-269261.4843357	33915	269261.4843357	7.93930368084034
V50	wild	10	-395784.068078	49745	395784.068078	7.95625827878179
V51	wild	10	-385350.1576092	48388	385350.1576092	7.96375460050426
V52	wild	10	-382721.525849	48078	382721.525849	7.9604294240401
V53	wild	10	-308448.8856262	38839	308448.8856262	7.94173087943047
