sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI533919_PI533919	1%	miss50	-70887.0382852	4793	1%	0.01	70887.0382852	14.7897012904653
PI533921_PI533921	1%	miss50	-107580.7951299	7236	1%	0.01	107580.7951299	14.8674399018657
PI533924_PI533924	1%	miss50	-72215.6915987	4796	1%	0.01	72215.6915987	15.0574836527731
PI533927_PI533927	1%	miss50	-75081.4194124	4951	1%	0.01	75081.4194124	15.1648999015148
PI533936_PI533936	1%	miss50	-74460.0312241	4838	1%	0.01	74460.0312241	15.3906637503307
PI533937_PI533937	1%	miss50	-75999.700892	4949	1%	0.01	75999.700892	15.3565772665185
PI533938_PI533938	1%	miss50	-72067.2157441	4784	1%	0.01	72067.2157441	15.0642173378135
PI533939_PI533939	1%	miss50	-76598.5010128	5699	1%	0.01	76598.5010128	13.4406915270749
PI533940_PI533940	1%	miss50	-78879.966677	5118	1%	0.01	78879.966677	15.4122639071903
PI533943_PI533943	1%	miss50	-88493.6255352	5878	1%	0.01	88493.6255352	15.0550570832256
PI533948_PI533948	1%	miss50	-77017.3123671	4952	1%	0.01	77017.3123671	15.5527690563611
PI533949_PI533949	1%	miss50	-68280.7720929	4440	1%	0.01	68280.7720929	15.3785522731757
PI533954_PI533954	1%	miss50	-88391.9475131	5785	1%	0.01	88391.9475131	15.2795069166984
PI533955_PI533955	1%	miss50	-76848.2746462	4967	1%	0.01	76848.2746462	15.4717686020133
PI533956_PI533956	1%	miss50	-70634.0512299	4609	1%	0.01	70634.0512299	15.3252443545021
PI533957_PI533957	1%	miss50	-82920.1411824	5447	1%	0.01	82920.1411824	15.2230844836424
PI533961_PI533961	1%	miss50	-79628.424641	5197	1%	0.01	79628.424641	15.3219981991534
PI533962_PI533962	1%	miss50	-65915.7816036	4338	1%	0.01	65915.7816036	15.1949704019364
PI533964_PI533964	1%	miss50	-78180.8135831	5078	1%	0.01	78180.8135831	15.3959853452343
PI533965_PI533965	1%	miss50	-87536.4986591	5751	1%	0.01	87536.4986591	15.2210917508433
PI533967_PI533967	1%	miss50	-81600.033377	5400	1%	0.01	81600.033377	15.111117292037
PI533970_PI533970	1%	miss50	-80907.3370065	5328	1%	0.01	80907.3370065	15.1853109997185
PI533972_PI533972	1%	miss50	-63772.2772147	4169	1%	0.01	63772.2772147	15.2967803345407
PI533976_PI533976	1%	miss50	-73127.040881	4846	1%	0.01	73127.040881	15.090185901981
PI533979_PI533979	1%	miss50	-88797.6882173	5744	1%	0.01	88797.6882173	15.4592075587221
