sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI655998_PI655998	1%	miss50	-80124.8013227	5244	1%	0.01	80124.8013227	15.2793290089054
PI655999_PI655999	1%	miss50	-63866.4092524	4375	1%	0.01	63866.4092524	14.5980364005486
PI656000_PI656000	1%	miss50	-64388.1530101	4108	1%	0.01	64388.1530101	15.6738444523126
PI656001_PI656001	1%	miss50	-66207.3031792	4268	1%	0.01	66207.3031792	15.5124890298032
PI656002_PI656002	1%	miss50	-74872.7800015	4834	1%	0.01	74872.7800015	15.4887836163633
PI656003_PI656003	1%	miss50	-88029.2031046	5725	1%	0.01	88029.2031046	15.3762800182707
PI656004_PI656004	1%	miss50	-106928.8665747	7066	1%	0.01	106928.8665747	15.1328710125531
PI656005_PI656005	1%	miss50	-80936.5102396	5253	1%	0.01	80936.5102396	15.4076737558728
PI656006_PI656006	1%	miss50	-85590.8348524	5614	1%	0.01	85590.8348524	15.2459627453509
PI656007_PI656007	1%	miss50	-65091.4171369	4436	1%	0.01	65091.4171369	14.6734484077773
PI656008_PI656008	1%	miss50	-84703.1507547	5547	1%	0.01	84703.1507547	15.2700830637642
PI656009_PI656009	1%	miss50	-67738.0118241	4508	1%	0.01	67738.0118241	15.0261783105812
PI656010_PI656010	1%	miss50	-95788.7739858	7060	1%	0.01	95788.7739858	13.567815012153
PI656011_PI656011	1%	miss50	-91251.1604776	6543	1%	0.01	91251.1604776	13.9463794096897
PI656012_PI656012	1%	miss50	-108448.2911401	7246	1%	0.01	108448.2911401	14.9666424427408
PI656013_PI656013	1%	miss50	-90820.5026511	8257	1%	0.01	90820.5026511	10.9992131102216
PI656014_PI656014	1%	miss50	-77866.9237118	7834	1%	0.01	77866.9237118	9.93961242172581
PI656015_PI656015	1%	miss50	-86336.912426	5608	1%	0.01	86336.912426	15.3953124868046
PI656016_PI656016	1%	miss50	-85201.6292487	5535	1%	0.01	85201.6292487	15.3932482834146
PI656017_PI656017	1%	miss50	-113781.1413154	7507	1%	0.01	113781.1413154	15.15667261428
PI656018_PI656018	1%	miss50	-100811.620233	6552	1%	0.01	100811.620233	15.3863889244506
PI656019_PI656019	1%	miss50	-84493.7356851	5520	1%	0.01	84493.7356851	15.306836174837
PI656020_PI656020	1%	miss50	-83691.4330651	5579	1%	0.01	83691.4330651	15.0011530856964
PI656021_PI656021	1%	miss50	-110958.6327004	8040	1%	0.01	110958.6327004	13.8008249627363
PI656022_PI656022	1%	miss50	-75772.1518435	5210	1%	0.01	75772.1518435	14.5435992022073
PI656023_PI656023	1%	miss50	-75622.9772895	4866	1%	0.01	75622.9772895	15.5410968535758
PI656024_PI656024	1%	miss50	-79539.1069104	5615	1%	0.01	79539.1069104	14.1654687284773
PI656025_PI656025	1%	miss50	-97193.9662597	6733	1%	0.01	97193.9662597	14.4354620911481
PI656026_PI656026	1%	miss50	-76883.8242029	4933	1%	0.01	76883.8242029	15.585612041942
PI656027_PI656027	1%	miss50	-76250.2603467	5146	1%	0.01	76250.2603467	14.8173844435873
PI656028_PI656028	1%	miss50	-74215.0625961	5049	1%	0.01	74215.0625961	14.6989626849079
PI656029_PI656029	1%	miss50	-74683.2304356	5214	1%	0.01	74683.2304356	14.3235961710012
PI656031_PI656031	1%	miss50	-65585.5562625	4423	1%	0.01	65585.5562625	14.8282966905946
PI656032_PI656032	1%	miss50	-88128.0621853	8935	1%	0.01	88128.0621853	9.86324143092334
PI656033_PI656033	1%	miss50	-112697.2130934	7450	1%	0.01	112697.2130934	15.1271426971007
PI656034_PI656034	1%	miss50	-79252.4841775	8391	1%	0.01	79252.4841775	9.4449391225718
PI656035_PI656035	1%	miss50	-72960.8108442	4765	1%	0.01	72960.8108442	15.3118175958447
PI656036_PI656036	1%	miss50	-90973.8719152	6424	1%	0.01	90973.8719152	14.1615616306351
PI656037_PI656037	1%	miss50	-81056.6463448	5533	1%	0.01	81056.6463448	14.6496740185794
PI656038_PI656038	1%	miss50	-74636.5932612	5437	1%	0.01	74636.5932612	13.7275323268714
PI656039_PI656039	1%	miss50	-77599.4158844	5197	1%	0.01	77599.4158844	14.931578965634
PI656040_PI656040	1%	miss50	-97162.4385451	6768	1%	0.01	97162.4385451	14.356152267302
PI656041_PI656041	1%	miss50	-113526.4527792	7509	1%	0.01	113526.4527792	15.1187179090691
PI656042_PI656042	1%	miss50	-98253.4551764	6684	1%	0.01	98253.4551764	14.6997987995811
PI656043_PI656043	1%	miss50	-87758.5976307	5713	1%	0.01	87758.5976307	15.3612108578155
PI656044_PI656044	1%	miss50	-76507.9391997	4909	1%	0.01	76507.9391997	15.5852391932573
PI656046_PI656046	1%	miss50	-91371.1128917	6290	1%	0.01	91371.1128917	14.5264090447854
PI656047_PI656047	1%	miss50	-90018.9053887	6295	1%	0.01	90018.9053887	14.3000643985226
PI656048_PI656048	1%	miss50	-63989.531743	4128	1%	0.01	63989.531743	15.5013400540213
PI656049_PI656049	1%	miss50	-73404.5283006	6711	1%	0.01	73404.5283006	10.9379419312472
PI656050_PI656050	1%	miss50	-69084.5562134	4927	1%	0.01	69084.5562134	14.0216269968338
PI656051_PI656051	1%	miss50	-86967.2913635	5633	1%	0.01	86967.2913635	15.4388942594532
PI656052_PI656052	1%	miss50	-94131.3420902	6676	1%	0.01	94131.3420902	14.0999613676153
PI656053_PI656053	1%	miss50	-75198.8273962	5087	1%	0.01	75198.8273962	14.7825491244742
PI656054_PI656054	1%	miss50	-81780.9420016	5760	1%	0.01	81780.9420016	14.1980802086111
PI656055_PI656055	1%	miss50	-98436.4561706001	6830	1%	0.01	98436.4561706001	14.4123654715374
PI656056_PI656056	1%	miss50	-88936.1647856	5776	1%	0.01	88936.1647856	15.3975354545706
PI656057_PI656057	1%	miss50	-85403.0694482	7717	1%	0.01	85403.0694482	11.0668743615654
PI656058_PI656058	1%	miss50	-76566.6811476	5355	1%	0.01	76566.6811476	14.2981664141176
PI656059_PI656059	1%	miss50	-63843.4384506	4190	1%	0.01	63843.4384506	15.2370974822434
PI656060_PI656060	1%	miss50	-75081.4796043	5223	1%	0.01	75081.4796043	14.3751636232625
PI656061_PI656061	1%	miss50	-68361.2707957	4606	1%	0.01	68361.2707957	14.8417869725792
PI656062_PI656062	1%	miss50	-91580.6186042	6538	1%	0.01	91580.6186042	14.0074363114408
PI656063_PI656063	1%	miss50	-66754.9089303	5967	1%	0.01	66754.9089303	11.1873485721971
PI656064_PI656064	1%	miss50	-104650.3177963	6894	1%	0.01	104650.3177963	15.1799126481433
PI656065_PI656065	1%	miss50	-85809.701492	5573	1%	0.01	85809.701492	15.3973984374664
PI656066_PI656066	1%	miss50	-83967.5927305	5817	1%	0.01	83967.5927305	14.4348620819151
PI656067_PI656067	1%	miss50	-90724.8534675	6722	1%	0.01	90724.8534675	13.4967053655906
PI656068_PI656068	1%	miss50	-86756.9044138	6081	1%	0.01	86756.9044138	14.2668811731294
PI656069_PI656069	1%	miss50	-64186.1801372	4850	1%	0.01	64186.1801372	13.2342639458144
PI656070_PI656070	1%	miss50	-69245.058017	4829	1%	0.01	69245.058017	14.3394197591634
PI656071_PI656071	1%	miss50	-75314.6600162	4936	1%	0.01	75314.6600162	15.2582374425041
PI656072_PI656072	1%	miss50	-97870.8529834	6458	1%	0.01	97870.8529834	15.1549787834314
PI656073_PI656073	1%	miss50	-87741.0222924	5907	1%	0.01	87741.0222924	14.8537366332148
PI656074_PI656074	1%	miss50	-69834.4632753	4923	1%	0.01	69834.4632753	14.1853469988422
PI656075_PI656075	1%	miss50	-69229.7374237	4626	1%	0.01	69229.7374237	14.9653561227194
PI656076_PI656076	1%	miss50	-87424.3411635	6054	1%	0.01	87424.3411635	14.4407567167988
PI656077_PI656077	1%	miss50	-75744.603053	5729	1%	0.01	75744.603053	13.2212607877466
PI656078_PI656078	1%	miss50	-23479.9364026	1706	1%	0.01	23479.9364026	13.7631514669402
PI656079_PI656079	1%	miss50	-72519.3408345	5095	1%	0.01	72519.3408345	14.2334329410206
PI656080_PI656080	1%	miss50	-67808.6578324	4814	1%	0.01	67808.6578324	14.0857203640216
PI656081_PI656081	1%	miss50	-19546.8576634	1342	1%	0.01	19546.8576634	14.5654677074516
PI656082_PI656082	1%	miss50	-96354.4213144	6405	1%	0.01	96354.4213144	15.0436254979547
PI656083_PI656083	1%	miss50	-80298.3624585	9606	1%	0.01	80298.3624585	8.35918826342911
PI656085_PI656085	1%	miss50	-68774.2175809	5788	1%	0.01	68774.2175809	11.8822075986351
PI656086_PI656086	1%	miss50	-77032.4059884	5128	1%	0.01	77032.4059884	15.0219200445398
PI656087_PI656087	1%	miss50	-66502.6698763	4524	1%	0.01	66502.6698763	14.6999712370248
PI656088_PI656088	1%	miss50	-90801.9772763	6339	1%	0.01	90801.9772763	14.3243377940211
PI656089_PI656089	1%	miss50	-90893.1418202	6383	1%	0.01	90893.1418202	14.2398780855711
PI656090_PI656090	1%	miss50	-65836.2506709	4579	1%	0.01	65836.2506709	14.3778664928805
PI656091_PI656091	1%	miss50	-92370.7995303	7749	1%	0.01	92370.7995303	11.9203509524197
PI656092_PI656092	1%	miss50	-86156.3522608	5657	1%	0.01	86156.3522608	15.2300428249602
PI656093_PI656093	1%	miss50	-64272.3665555	4311	1%	0.01	64272.3665555	14.9089228845975
PI656094_PI656094	1%	miss50	-64700.5590761	4266	1%	0.01	64700.5590761	15.166563308978
PI656095_PI656095	1%	miss50	-73965.4649651	5044	1%	0.01	73965.4649651	14.6640493586638
PI656096_PI656096	1%	miss50	-65723.4246265	4352	1%	0.01	65723.4246265	15.1018898498392
PI656097_PI656097	1%	miss50	-82664.6943965	5397	1%	0.01	82664.6943965	15.3167860656846
PI656098_PI656098	1%	miss50	-59168.9976685	4213	1%	0.01	59168.9976685	14.0443858695704
PI656099_PI656099	1%	miss50	-87440.2627343	6213	1%	0.01	87440.2627343	14.0737586889264
PI656100_PI656100	1%	miss50	-98385.0977249	6892	1%	0.01	98385.0977249	14.2752608422664
PI656101_PI656101	1%	miss50	-86610.5723429	5646	1%	0.01	86610.5723429	15.340165133351
PI656102_PI656102	1%	miss50	-58673.5409573	3820	1%	0.01	58673.5409573	15.3595656956283
PI656103_PI656103	1%	miss50	-80565.2024766	5583	1%	0.01	80565.2024766	14.430450022676
PI656104_PI656104	1%	miss50	-88479.7363767	9700	1%	0.01	88479.7363767	9.12162230687629
PI656105_PI656105	1%	miss50	-66025.265473	4627	1%	0.01	66025.265473	14.2695624536417
PI656106_PI656106	1%	miss50	-63849.7474205	4569	1%	0.01	63849.7474205	13.9745562312322
PI656107_PI656107	1%	miss50	-85427.0234003	7360	1%	0.01	85427.0234003	11.6069325272147
PI656108_PI656108	1%	miss50	-71615.7765306	4742	1%	0.01	71615.7765306	15.1024412759595
PI656109_PI656109	1%	miss50	-81747.1340331	5947	1%	0.01	81747.1340331	13.7459448517067
PI656110_PI656110	1%	miss50	-77919.4557116	6162	1%	0.01	77919.4557116	12.6451567204804
PI656111_PI656111	1%	miss50	-64348.9872959	4182	1%	0.01	64348.9872959	15.3871323041368
PI656112_PI656112	1%	miss50	-75047.1737982	5172	1%	0.01	75047.1737982	14.5102810901392
PI656113_PI656113	1%	miss50	-83733.0159451	5924	1%	0.01	83733.0159451	14.1345401662897
PI656114_PI656114	1%	miss50	-73778.0364291	6198	1%	0.01	73778.0364291	11.9035231411907
PI656115_PI656115	1%	miss50	-100126.2984135	6777	1%	0.01	100126.2984135	14.774427978973
PI656116_PI656116	1%	miss50	-69004.2051923	5735	1%	0.01	69004.2051923	12.0321194755536
PI656118_PI656118	1%	miss50	-66031.7210711	4579	1%	0.01	66031.7210711	14.4205549401834
PI656119_PI656119	1%	miss50	-71951.6613984	5740	1%	0.01	71951.6613984	12.5351326478049
PI656120_PI656120	1%	miss50	-84335.6047224	5794	1%	0.01	84335.6047224	14.5556791029341
PI656121_PI656121	1%	miss50	-70829.327735	5012	1%	0.01	70829.327735	14.1319488697127
PI659691_PI659691	1%	miss50	-75394.4673219	6865	1%	0.01	75394.4673219	10.9824424358194
PI659694_PI659694	1%	miss50	-96571.9452946	6727	1%	0.01	96571.9452946	14.3558711601903
PI659695_PI659695	1%	miss50	-79179.4926549	5559	1%	0.01	79179.4926549	14.2434777216945
PI659696_PI659696	1%	miss50	-78653.9125447	5309	1%	0.01	78653.9125447	14.8152029656621
PI659753_PI659753	1%	miss50	-94562.0839625	6995	1%	0.01	94562.0839625	13.5185252269478
