cutoff_lab	group	n	median_abs	mean_abs	median_chr_rows
1%	improved	128	170324.16655555	174217.125457382	10
5%	improved	128	654652.0143346	663968.534713909	10
10%	improved	128	1068124.3501616	1082325.00230479	10
1%	landrace	101	212520.5614754	207346.57496583	10
5%	landrace	101	808257.3489922	793497.052474022	10
10%	landrace	101	1314611.8289528	1292216.29793172	10
1%	wild	49	317837.8815843	326129.12469509	10
5%	wild	49	1233093.5147342	1255292.31018014	10
10%	wild	49	2007879.3368264	2038250.26029407	10
