group1	group2	p_value	p_adj_bh	cutoff
improved	wild	2.74592271086445e-24	8.23776813259335e-24	1%
landrace	wild	7.90820380905144e-21	1.18623057135772e-20	1%
improved	landrace	1.47996296184808e-10	1.47996296184808e-10	1%
improved	wild	2.93704176082714e-24	8.81112528248142e-24	5%
landrace	wild	9.55774372194683e-21	1.43366155829202e-20	5%
improved	landrace	2.66645539694463e-10	2.66645539694463e-10	5%
improved	wild	3.03748463654326e-24	9.11245390962979e-24	10%
landrace	wild	9.92636384348701e-21	1.48895457652305e-20	10%
improved	landrace	3.19721769502508e-10	3.19721769502508e-10	10%
