sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V127	improved	1%	-148518.6710022	10	148518.6710022
V128	improved	1%	-154808.0314668	10	154808.0314668
V129	improved	1%	-228344.430381	10	228344.430381
V130	improved	1%	-241482.3063725	10	241482.3063725
V131	improved	1%	-128293.8844487	10	128293.8844487
V132	improved	1%	-192538.8979093	10	192538.8979093
V5	improved	5%	-463511.3456018	10	463511.3456018
V6	improved	5%	-498540.393068	10	498540.393068
V7	improved	5%	-553085.0062606	10	553085.0062606
V8	improved	5%	-584421.6426236	10	584421.6426236
V9	improved	5%	-591448.8224501	10	591448.8224501
V10	improved	5%	-597817.6912065	10	597817.6912065
V11	improved	5%	-548693.5241492	10	548693.5241492
V12	improved	5%	-505238.9714492	10	505238.9714492
V13	improved	5%	-482184.1710756	10	482184.1710756
V14	improved	5%	-709921.274336	10	709921.274336
V15	improved	5%	-504524.6824733	10	504524.6824733
V16	improved	5%	-782354.7289847	10	782354.7289847
V17	improved	5%	-437846.8712607	10	437846.8712607
V18	improved	5%	-781684.9036994	10	781684.9036994
V19	improved	5%	-642982.0971837	10	642982.0971837
V20	improved	5%	-661551.8640105	10	661551.8640105
V21	improved	5%	-827490.7025448	10	827490.7025448
V22	improved	5%	-638337.8670265	10	638337.8670265
V23	improved	5%	-652345.7104731	10	652345.7104731
V24	improved	5%	-811523.4751829	10	811523.4751829
V25	improved	5%	-582300.2485213	10	582300.2485213
V26	improved	5%	-947207.5757012	10	947207.5757012
V27	improved	5%	-482811.52677	10	482811.52677
V28	improved	5%	-398775.4810284	10	398775.4810284
V29	improved	5%	-680799.8769941	10	680799.8769941
V30	improved	5%	-680143.3681766	10	680143.3681766
V31	improved	5%	-694833.1519068	10	694833.1519068
V32	improved	5%	-737383.1538659	10	737383.1538659
V33	improved	5%	-685814.7105802	10	685814.7105802
V34	improved	5%	-735504.6533548	10	735504.6533548
V35	improved	5%	-745152.4515786	10	745152.4515786
V36	improved	5%	-831881.970552	10	831881.970552
V37	improved	5%	-786189.5135305	10	786189.5135305
V38	improved	5%	-601649.3464257	10	601649.3464257
V39	improved	5%	-596180.5341511	10	596180.5341511
V40	improved	5%	-920073.6535606	10	920073.6535606
V41	improved	5%	-816951.4656914	10	816951.4656914
V42	improved	5%	-588559.875757	10	588559.875757
V43	improved	5%	-592417.42516	10	592417.42516
V44	improved	5%	-560904.9021417	10	560904.9021417
V45	improved	5%	-656855.4857333	10	656855.4857333
V46	improved	5%	-683900.9004944	10	683900.9004944
V47	improved	5%	-652448.5429359	10	652448.5429359
V48	improved	5%	-657979.210004	10	657979.210004
V49	improved	5%	-697061.4316005	10	697061.4316005
V50	improved	5%	-575728.2359041	10	575728.2359041
V51	improved	5%	-752153.8505997	10	752153.8505997
V52	improved	5%	-634227.9258453	10	634227.9258453
V53	improved	5%	-805765.0037061	10	805765.0037061
V54	improved	5%	-500808.4105104	10	500808.4105104
V55	improved	5%	-690468.0131335	10	690468.0131335
V56	improved	5%	-528370.338112	10	528370.338112
V57	improved	5%	-663470.6293708	10	663470.6293708
V58	improved	5%	-472467.826143	10	472467.826143
V59	improved	5%	-742166.6821368	10	742166.6821368
V60	improved	5%	-585752.6774728	10	585752.6774728
V61	improved	5%	-817546.9109066	10	817546.9109066
V62	improved	5%	-661575.1511667	10	661575.1511667
V63	improved	5%	-517674.3192542	10	517674.3192542
V64	improved	5%	-482541.8771418	10	482541.8771418
V65	improved	5%	-516770.9410045	10	516770.9410045
V66	improved	5%	-684279.7043982	10	684279.7043982
V67	improved	5%	-628003.3343535	10	628003.3343535
V68	improved	5%	-666118.875603	10	666118.875603
V69	improved	5%	-877090.1374661	10	877090.1374661
V70	improved	5%	-674622.4168841	10	674622.4168841
V71	improved	5%	-415901.5934202	10	415901.5934202
V72	improved	5%	-719319.9418834	10	719319.9418834
V73	improved	5%	-877714.2762605	10	877714.2762605
V74	improved	5%	-657731.7639034	10	657731.7639034
V75	improved	5%	-605696.9417392	10	605696.9417392
V76	improved	5%	-615659.5581131	10	615659.5581131
V77	improved	5%	-936749.0862621	10	936749.0862621
V78	improved	5%	-610912.1202577	10	610912.1202577
V79	improved	5%	-758808.2026375	10	758808.2026375
V80	improved	5%	-828395.1687139	10	828395.1687139
V81	improved	5%	-778563.8501374	10	778563.8501374
V82	improved	5%	-995084.7345369	10	995084.7345369
V83	improved	5%	-893710.7727814	10	893710.7727814
V84	improved	5%	-944953.6487281	10	944953.6487281
V85	improved	5%	-719787.5426363	10	719787.5426363
V86	improved	5%	-519926.6490413	10	519926.6490413
V87	improved	5%	-543359.5231816	10	543359.5231816
V88	improved	5%	-882853.6069371	10	882853.6069371
V89	improved	5%	-500398.113905	10	500398.113905
V90	improved	5%	-897671.3117118	10	897671.3117118
V91	improved	5%	-638416.1066266	10	638416.1066266
V92	improved	5%	-876157.2318052	10	876157.2318052
V93	improved	5%	-754068.6325535	10	754068.6325535
V94	improved	5%	-829903.1722168	10	829903.1722168
V95	improved	5%	-849297.1263225	10	849297.1263225
V96	improved	5%	-768375.490006	10	768375.490006
V97	improved	5%	-619528.862197	10	619528.862197
V98	improved	5%	-594099.6063445	10	594099.6063445
V99	improved	5%	-575274.9038399	10	575274.9038399
V100	improved	5%	-717101.1238895	10	717101.1238895
V101	improved	5%	-510580.5023785	10	510580.5023785
V102	improved	5%	-633125.0925905	10	633125.0925905
V103	improved	5%	-667698.8637387	10	667698.8637387
V104	improved	5%	-628868.2885523	10	628868.2885523
V105	improved	5%	-615848.7184005	10	615848.7184005
V106	improved	5%	-493544.8326147	10	493544.8326147
V107	improved	5%	-599310.8950286	10	599310.8950286
V108	improved	5%	-924553.8118679	10	924553.8118679
V109	improved	5%	-475052.8858123	10	475052.8858123
V110	improved	5%	-426153.9750587	10	426153.9750587
V111	improved	5%	-508560.1723273	10	508560.1723273
V112	improved	5%	-641505.4491172	10	641505.4491172
V113	improved	5%	-564408.871853	10	564408.871853
V114	improved	5%	-800580.3802245	10	800580.3802245
V115	improved	5%	-707777.1928141	10	707777.1928141
V116	improved	5%	-573662.7836527	10	573662.7836527
V117	improved	5%	-587600.8063016	10	587600.8063016
V118	improved	5%	-502037.878035	10	502037.878035
V119	improved	5%	-827821.6468578	10	827821.6468578
V120	improved	5%	-435233.659784	10	435233.659784
V121	improved	5%	-658743.2232672	10	658743.2232672
V122	improved	5%	-798386.0216877	10	798386.0216877
V123	improved	5%	-482193.0470211	10	482193.0470211
V124	improved	5%	-652009.2204407	10	652009.2204407
V125	improved	5%	-721499.3990065	10	721499.3990065
V126	improved	5%	-661815.2192739	10	661815.2192739
V127	improved	5%	-549194.9258265	10	549194.9258265
V128	improved	5%	-587688.0114787	10	587688.0114787
V129	improved	5%	-879654.0380707	10	879654.0380707
V130	improved	5%	-928243.3440995	10	928243.3440995
V131	improved	5%	-501435.8116495	10	501435.8116495
V132	improved	5%	-750873.3495697	10	750873.3495697
V5	improved	10%	-759557.0085018	10	759557.0085018
V6	improved	10%	-815219.5375334	10	815219.5375334
V7	improved	10%	-905596.5151263	10	905596.5151263
V8	improved	10%	-953033.2951219	10	953033.2951219
V9	improved	10%	-964374.3909623	10	964374.3909623
V10	improved	10%	-973238.7016122	10	973238.7016122
V11	improved	10%	-897349.2279361	10	897349.2279361
V12	improved	10%	-829621.1974849	10	829621.1974849
V13	improved	10%	-789076.2143877	10	789076.2143877
