Taxa	SDW.HN	SDW.LN	SDW.NR	SFW.HN	SFW.LN	SFW.NR	LC.HN	LC.LN	LC.NR	PH.HN	PH.LN	PH.NR
PI152651	0.668663462817068	0.333333331875941	1.00599039722175	7.18017226065618	1.32989855350577	4.39903757450401	5.99999999986795	3.93339020682272	0.525401672445455	33.7543796190548	22.3482535115522	0.510381095399986
PI17548	0.504030427681512	0.233333335459593	1.16013038466506	4.0324493523304	1.66724137885996	1.41863559977605	4.83333333369485	3.93339020682002	0.228795791811969	30.8195647341385	28.9187991532761	0.0657276801428689
PI24969	1.03719974997585	0.133333335121374	6.77899802050014	7.00411067177551	1.42758703813917	3.90625824181286	5.5	4.99999999999997	0.100000000000007	27.1230893382664	27.6278438376875	-0.0182697753174845
PI276837	1.035330129484	0.100000002061183	9.35330108143952	10.1135055940356	0.671250870881054	14.0666554529174	5.33333333321314	3.38096109947436	0.577460720870854	60.2543796189828	21.1021778092553	1.85536308923317
PI329435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI329440	0.693124350594729	0.133333333333333	4.19843262946048	8.36868646837224	0.700000000000002	10.9552663833889	5.16666666634002	4.49999999999998	0.148148148075565	34.3391001591856	25.5999999999999	0.341371099968193
PI34911	0.806024196451154	0.0999999999466656	7.06024196881042	7.20292450838281	0.699999999999999	9.2898921548326	6	4.04762776614103	0.482349748213221	34.7884965634478	17.3999999999999	0.999338882956782
PI35038	0.799999999999997	0.100000000323214	6.99999997414285	8.90000000000006	0.817870077442252	9.88192396992109	5.5	4.00000000000001	0.374999999999997	43.6000000000047	16.7453652863048	1.60370551818675
PI48770	0.585024800041893	0.0999999970638228	4.85024817219258	NA	0.462077836208249	NA	5	3.16666666666668	0.578947368421046	32.0439485481251	18.0235634605237	0.777891958951941
PI533750	0.386311947815365	0.200000002191336	0.931559717913343	5.00837885373383	0.904584204214387	4.53666406112354	5.66666666666667	3.99519865879685	0.418369185269295	34.8739111879727	24.568844475922	0.41943636063755
PI533752	0.694655689862225	0.100000002114517	5.94655675173613	7.82213695201354	1.03791753754772	6.53637612723535	4.83333333347326	3.50000000000007	0.380952380992332	30.8161180361283	20.7355111425886	0.486151839914627
PI533754	1.19613101626742	0.100000002437732	10.9613098710895	9.69084798327007	0.506757264449787	18.123254195067	5.4999999999922	3.33333333333334	0.649999999997657	38.3461411031277	16.5372357997119	1.31877573541013
PI533755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI533757	0.628263567648733	0.133333335447851	3.71197668263881	5.81711558246175	0.933908045526626	5.22878838053216	5.49999999984448	4.16666666666666	0.319999999962677	33.3922874796332	24.7521324866095	0.349067095439065
PI533758	0.91964528114869	0.166666668510244	4.5178716258564	7.34171218706716	1.01059844224603	6.26471749822846	5.66666666666667	3.84743805955967	0.472841558186178	33.8072445213063	24.4508999251048	0.38265849620508
PI533759	0.933333333333348	0.166666666989881	4.59999998914009	9.7333333333332	1.25120341077559	6.77917742991105	5.33333333333334	4.16666666666664	0.28000000000001	32.8333333333376	17.5453652863048	0.871339399184009
PI533760	0.204034631382537	0.10000000178804	1.04034627734316	2.68296199512844	0.194253704805837	12.8116387422837	7	4.25000000000001	0.647058823529408	30.6047024600156	12.9945105043542	1.3552024102609
PI533761	1.7	0.166666657094234	9.20000058583291	15.4499999999999	0.884024913464878	16.4768830206884	6.5	3.16666666666672	1.05263157894733	37.9000000000042	14.1407276194934	1.6802015440675
PI533762	0.46666666666666	0.200000000411775	1.33333332852926	4.96666666666669	1.6965652201722	1.9274834869965	5.33333333333333	4.74697130494502	0.123523398546245	30.266666666671	24.288021588243	0.246156116779889
PI533766	0.53333333333333	0.0999999905161278	4.33333383913986	3.66666666666675	0.447358246798211	7.19626483452459	5.16666666666667	3.48784612350096	0.481334463654772	31.1666666666707	15.6073942861601	0.996916723908733
PI533769	0.913562406987526	0.133333333345075	5.85171805180307	7.97798207305422	1.06666666666667	6.47935819348831	5.16666666665887	3.90156391680044	0.324255292707316	35.1898995238797	18.4666666666663	0.905590226924932
PI533776	0.768663462817334	0.100000002203078	6.68663445883079	8.61350559403555	1.11059844224603	6.75573354543514	5.49999999987981	3.82117945683429	0.439346165761176	33.9543796189783	23.2842332584382	0.458256290516813
PI533785	1.08710015414358	0.0999999904275673	9.87100258205521	10.3490952933228	0.634024913464878	15.3228527358115	6.16666666634002	3.3333333333333	0.849999999902024	43.3839369290711	19.1740609528267	1.26263685276724
PI533788	0.874323195817177	0.4	1.18580798954294	8.25642388621592	2.4	2.44017661925663	5.83333333353932	3.99999999999997	0.458333333384841	46.6574264640782	28.3	0.648672313218311
PI533789	1.0093410478427	0.0999999999999999	9.09341047842701	9.09553526995735	0.566666666666665	15.0509445940424	5.66666666651114	4.00000000000001	0.416666666627782	33.2763833806694	17.8666666666663	0.86248414444049
PI533792	0.701996796150664	0.266666666743485	1.63248798480665	7.66350559403558	0.966666666666665	6.92776440762303	5.16666666654648	4.14126250813739	0.24760665531205	37.8543796189832	23.5666666666663	0.606267876335946
PI533794	0.85025781264795	0.0999999997290603	7.50257814951636	7.04408466818371	0.900000000000002	6.82676074242633	4.83333333354712	3.180771392893	0.519547536282093	28.4206620471246	22.3333333333332	0.272566957333945
PI533799	1.49999999999981	0.2	6.49999999999905	14.1999999999668	1.4	9.14285714283343	5.25	4.24999999999997	0.235294117647068	35.7500000000671	24.8999999999999	0.435742971890251
PI533800	1.07472800457662	0.0999999997290603	9.74728007488485	9.89294921665158	0.800000000000002	11.3661865208144	6.5	3.680771392893	0.765934176882187	41.787233320784	20.0666666666663	1.08242026515539
PI533807	0.374994606032795	0.100000002449474	2.749945968474	5.21468957348272	1.07342393111645	3.85799638178274	4.9999999999922	4.40156391680044	0.135959875740433	25.3334175702801	19.9705691330453	0.268537586560861
PI533810	NA	0.133333335394516	NA	NA	0.833908045526627	NA	5.16666666666667	3.2142944328077	0.607403047440668	36.0000000000047	24.2854658199428	0.482368107201062
PI533814	0.62946434960076	NA	NA	5.99084798327006	NA	NA	5.16666666665887	3.33333333333331	0.549999999997672	36.4794744364574	22.3666666666663	0.630975012062206
PI533821	1.37946434960057	0.599999990450933	1.29910728592483	16.2408479832367	2.58402491346488	5.28509729090018	6.2499999999922	5.11137509782425	0.222762931770088	40.5961411031891	23.8073942861601	0.705190438534836
PI533822	0.771901134288065	0.133333333333333	4.7892585071605	8.02995916623826	0.866666666666669	8.26533749950566	5.33333333333333	4.16666666666667	0.279999999999998	36.2231486202701	18.3999999999996	0.968649381536461
PI533824	0.253540029202949	0.200000000400033	0.267700143479136	3.64216345109415	1.3465652201722	1.7047805754469	5.33333333303009	4.82853199213018	0.104545510255014	31.2590803278705	21.138021588243	0.478808231762657
PI533830	0.593730398076531	0.100000002137883	4.9373038538327	6.00345174468531	0.598569966182744	9.02965749011946	6.49999999984448	4.27804176449092	0.519386756295019	43.7405079860454	20.582040071304	1.12517844851685
PI533831	0.287100154143575	0.133333335394516	1.15325112278998	2.88242862665615	1.01059844224603	1.85219975230718	4.66666666634002	3.04762776614103	0.531245619358906	27.4172702624089	19.4842332584382	0.407151613242727
PI533833	0.766666666666671	0.166666667313095	3.5999999821586	8.63333333333344	0.927558438448165	8.30758966278964	6	4.00000000000001	0.499999999999996	36.1666666666721	22.0017386042614	0.643809487840528
PI533838	0.433333333333328	0.15	1.88888888888885	3.66666666666672	0.999999999999999	2.66666666666672	6	4.25	0.411764705882353	29.4666666666706	22.9999999999999	0.281159420290032
PI533839	0.500000000000007	0.100000000334956	3.99999998325227	5.46666666666675	0.651203410775585	7.3947144259517	5.33333333333334	3.93339020682002	0.355912597760067	32.2000000000025	16.2120319529714	0.986179159614891
PI533841	0.987199749975847	0.100000001788041	8.87199732324311	8.53744400510882	0.594253704805836	13.3666651735866	5.66666666666667	3.66666666666667	0.545454545454545	28.2897560049337	15.6278438376875	0.810214915042293
PI533842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI533843	0.433333333333329	0.100000002114517	3.33333324170422	4.33333333333343	0.533908045526627	7.11625404344524	5.83333333333333	3.49999999999998	0.666666666666675	42.3000000000057	15.3854658199428	1.7493480207259
PI533845	0.761306553848156	0.266666668858002	1.85489955347043	7.35640176054982	1.29856996618274	4.66500223486194	5.66666666665887	4.47459584147073	0.266408602569193	30.9406620915826	24.8153734046374	0.246834435535857
PI533852	0.500000000000007	0.199999990504386	1.50000011869522	5.26666666666661	0.650691580131544	7.09395238463344	6	3.82853199213018	0.567180321944136	28.3000000000048	14.1407276194934	1.00131144319564
PI533855	0.81367315434595	0.1666666670667	3.88203891435783	8.99242767356369	0.751203410775585	10.9706960119888	5.5	4.47459584147073	0.229161290730614	24.4183793888664	15.9120319529714	0.534585869424837
PI533856	1.42009062512173	0.166666666666667	7.52054375073036	10.3564361670033	0.799999999999999	11.9455452087541	6.25	4.00000000000006	0.562499999999976	35.6897061082722	13.9999999999999	1.54926472201946
PI533863	0.605458287518803	0.1	5.05458287518803	7.01946161794775	0.533333333333336	12.161490533652	5.49999999967335	3.33333333333332	0.649999999902012	33.1612188105298	17.5999999999996	0.884160159689236
PI533866	0.284345089334197	0.133333333333333	1.13258817000648	3.34281875623167	0.866666666666665	2.8570985648827	6	3.49999999999997	0.714285714285729	18.3473844640062	21.3999999999996	-0.142645585794087
