group1	group2	p_value	p_adj_bh
Bicolor	Guinea	2.47580709592306e-16	3.71371064388458e-15
Milo/Durra-Bicolor	Guinea	4.82660669163732e-08	3.61995501872799e-07
Durra	Guinea	2.98600445262071e-07	1.49300222631035e-06
Kafir	Guinea	6.49357093751892e-07	2.4350891015696e-06
Bicolor	Caudatum	1.29189852318652e-06	3.87569556955957e-06
Durra	Bicolor	1.74427846413491e-05	4.36069616033728e-05
Kafir	Caudatum	0.00133854145336195	0.00286830311434704
Kafir	Durra	0.00217804045203276	0.00408382584756143
Milo/Durra-Bicolor	Caudatum	0.00540544329414003	0.00900907215690004
Durra	Milo/Durra-Bicolor	0.0440425888294071	0.0550532360367589
Bicolor	Milo/Durra-Bicolor	0.041208469094626	0.0550532360367589
Guinea	Caudatum	0.0425601822851386	0.0550532360367589
Durra	Caudatum	0.0722665278168017	0.0833844551732327
Kafir	Milo/Durra-Bicolor	0.11593559947045	0.124216713718339
Kafir	Bicolor	0.889734451228311	0.889734451228311
