sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[100]282set_CML218:GT	improved	-76119.054361	10	improved	76119.054361
[101]282set_CML220:GT	improved	-75856.888296	10	improved	75856.888296
[102]282set_CML228:GT	improved	-78208.744235	10	improved	78208.744235
[103]282set_CML238:GT	improved	-76120.642759	10	improved	76120.642759
[104]282set_CML247:GT	improved	-77950.459588	10	improved	77950.459588
[105]282set_CML254:GT	improved	-74922.075324	10	improved	74922.075324
[106]282set_CML258:GT	improved	-74458.52131	10	improved	74458.52131
[107]282set_CML261:GT	improved	-73672.990189	10	improved	73672.990189
[108]282set_CML264:GT	improved	-74001.349506	10	improved	74001.349506
[109]282set_CML277:GT	improved	-76386.561352	10	improved	76386.561352
[110]282set_CML281:GT	improved	-76211.020857	10	improved	76211.020857
[111]282set_CML287:GT	improved	-76310.221194	10	improved	76310.221194
[112]282set_CML311:GT	improved	-76886.621057	10	improved	76886.621057
[113]282set_CML314:GT	improved	-75039.509396	10	improved	75039.509396
[114]282set_CML321:GT	improved	-75131.375664	10	improved	75131.375664
[115]282set_CML322:GT	improved	-76195.385364	10	improved	76195.385364
[116]282set_CML323:GT	improved	-74721.612172	10	improved	74721.612172
[117]282set_CML328:GT	improved	-78682.710759	10	improved	78682.710759
[118]282set_CML331:GT	improved	-76168.338549	10	improved	76168.338549
[119]282set_CML332:GT	improved	-75928.097334	10	improved	75928.097334
[120]282set_CML333:GT	improved	-76266.193745	10	improved	76266.193745
[121]282set_CML341:GT	improved	-72865.404181	10	improved	72865.404181
[122]282set_CML38:GT	improved	-76582.549471	10	improved	76582.549471
[123]282set_CML45:GT	improved	-77944.122786	10	improved	77944.122786
[124]282set_CML5:GT	improved	-74827.472984	10	improved	74827.472984
[125]282set_CML52:GT	improved	-76805.955668	10	improved	76805.955668
[126]282set_CML61:GT	improved	-76538.294098	10	improved	76538.294098
[127]282set_CML69:GT	improved	-77259.66345	10	improved	77259.66345
[128]282set_CML77:GT	improved	-75873.124455	10	improved	75873.124455
[129]282set_CML91:GT	improved	-73795.507464	10	improved	73795.507464
[130]282set_CML92:GT	improved	-74490.015139	10	improved	74490.015139
[131]282set_CMV3:GT	improved	-75827.622406	10	improved	75827.622406
[132]282set_CO106:GT	improved	-76130.823383	10	improved	76130.823383
[133]282set_CO125:GT	improved	-74512.39231	10	improved	74512.39231
[134]282set_CO255:GT	improved	-78985.033416	10	improved	78985.033416
[135]282set_D940Y:GT	improved	-77573.98033	10	improved	77573.98033
[136]282set_DE1:GT	improved	-77609.783333	10	improved	77609.783333
[137]282set_DE-2:GT	improved	-76585.93886	10	improved	76585.93886
[138]282set_DE811:GT	improved	-67641.135292	10	improved	67641.135292
[139]282set_E2558W:GT	improved	-74585.240412	10	improved	74585.240412
[140]282set_EP1:GT	improved	-79506.995865	10	improved	79506.995865
[141]282set_F2834T:GT	improved	-75830.153385	10	improved	75830.153385
[142]282set_F6:GT	improved	-77380.204486	10	improved	77380.204486
[143]282set_F7:GT	improved	-80964.811494	10	improved	80964.811494
[144]282set_GA209:GT	improved	-73321.554847	10	improved	73321.554847
[145]282set_GT112:GT	improved	-76522.465225	10	improved	76522.465225
[146]282set_H105W:GT	improved	-66379.256052	10	improved	66379.256052
[147]282set_H49:GT	improved	-76104.867494	10	improved	76104.867494
[148]282set_H84:GT	improved	-66767.011363	10	improved	66767.011363
[149]282set_H91:GT	improved	-56116.698726	10	improved	56116.698726
[150]282set_H95:GT	improved	-77589.69774	10	improved	77589.69774
[151]282set_H99:GT	improved	-76502.018855	10	improved	76502.018855
[152]282set_Hi27Goodman-Buckler:GT	improved	-71469.523569	10	improved	71469.523569
[153]282set_HP301:GT	improved	-77003.184064	10	improved	77003.184064
[154]282set_I137TN:GT	improved	-74797.147319	10	improved	74797.147319
[155]282set_i1677a:GT	improved	-78876.340986	10	improved	78876.340986
[156]282set_I205:GT	improved	-72263.27727	10	improved	72263.27727
