group1	group2	p_value	p_adj_bh
improved	wild	2.74592271086445e-24	8.23776813259335e-24
landrace	wild	7.90820380905144e-21	1.18623057135772e-20
improved	landrace	1.47996296184808e-10	1.47996296184808e-10
