sample	PI	Race	cutoff	Abs_genetic_load
PI152651_PI152651	PI152651	Kafir	10%	675065.7834508
PI17548_PI17548	PI17548	Durra	10%	674212.54278
PI24969_PI24969	PI24969	Bicolor	10%	887648.8713131
PI276837_PI276837	PI276837	Milo/Durra-Bicolor	10%	820105.8321964
PI329435_PI329435	PI329435	Milo/Durra-Bicolor	10%	572301.6486047
PI329440_PI329440	PI329440	Durra	10%	751018.574585799
PI34911_PI34911	PI34911	Guinea	10%	698627.5097702
PI35038_PI35038	PI35038	Durra	10%	612671.9513766
PI48770_PI48770	PI48770	Durra	10%	609485.4069168
PI533750_PI533750	PI533750	Bicolor	10%	662755.3958769
PI533752_PI533752	PI533752	Guinea	10%	658178.1442918
PI533754_PI533754	PI533754	Bicolor	10%	608125.9756864
PI533755_PI533755	PI533755	Kafir	10%	699103.1578464
PI533757_PI533757	PI533757	Guinea	10%	543112.7848463
PI533758_PI533758	PI533758	Guinea	10%	520975.3891296
PI533759_PI533759	PI533759	Guinea	10%	573758.8171168
PI533760_PI533760	PI533760	Guinea	10%	623568.3761025
PI533761_PI533761	PI533761	Guinea	10%	533920.392419
PI533762_PI533762	PI533762	Guinea	10%	618181.7387643
PI533766_PI533766	PI533766	Caudatum	10%	563633.3291301
PI533769_PI533769	PI533769	Guinea	10%	470398.3491046
PI533776_PI533776	PI533776	Caudatum	10%	623437.1267731
PI533785_PI533785	PI533785	Caudatum	10%	586887.3571723
PI533788_PI533788	PI533788	Bicolor	10%	755774.4567457
PI533789_PI533789	PI533789	Guinea	10%	571458.6601758
PI533792_PI533792	PI533792	Caudatum	10%	733390.192951
PI533794_PI533794	PI533794	Milo/Durra-Bicolor	10%	644806.7905483
PI533799_PI533799	PI533799	Milo/Durra-Bicolor	10%	643334.3150556
PI533800_PI533800	PI533800	Milo/Durra-Bicolor	10%	639324.8357042
PI533807_PI533807	PI533807	Guinea	10%	535823.6504741
PI533810_PI533810	PI533810	Bicolor	10%	705451.1699614
PI533814_PI533814	PI533814	Bicolor	10%	702333.3803738
PI533821_PI533821	PI533821	Guinea	10%	483784.3675114
PI533822_PI533822	PI533822	Guinea	10%	611282.6781911
PI533824_PI533824	PI533824	Bicolor	10%	554228.4222312
PI533830_PI533830	PI533830	Bicolor	10%	680140.0050965
PI533831_PI533831	PI533831	Guinea	10%	591385.0666873
PI533833_PI533833	PI533833	Guinea	10%	458364.0433005
PI533838_PI533838	PI533838	Guinea	10%	570287.8498308
PI533839_PI533839	PI533839	Caudatum	10%	261018.137449
PI533841_PI533841	PI533841	Caudatum	10%	683759.0846819
PI533842_PI533842	PI533842	Bicolor	10%	616749.6912565
PI533843_PI533843	PI533843	Bicolor	10%	613535.8777085
PI533845_PI533845	PI533845	Caudatum	10%	671027.0207926
PI533852_PI533852	PI533852	Bicolor	10%	609539.612039
PI533855_PI533855	PI533855	Caudatum	10%	566430.681775
PI533856_PI533856	PI533856	Bicolor	10%	744953.8217484
PI533863_PI533863	PI533863	Guinea	10%	594105.2685449
PI533866_PI533866	PI533866	Caudatum	10%	645947.1574234
PI533869_PI533869	PI533869	Durra	10%	568424.9718779
PI533871_PI533871	PI533871	Caudatum	10%	564764.4095988
PI533876_PI533876	PI533876	Guinea	10%	573600.0323356
