group1	group2	p_value	p_adj_bh
improved	wild	6.38224855976454e-17	1.91467456792936e-16
landrace	improved	1.32655321006587e-10	1.98982981509881e-10
landrace	wild	1.68597576072148e-05	1.68597576072148e-05
