sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
V5	improved	-126093.0725669	10	improved	126093.0725669
V6	improved	-136701.6848917	10	improved	136701.6848917
V7	improved	-144876.1823593	10	improved	144876.1823593
V8	improved	-157715.9404103	10	improved	157715.9404103
V9	improved	-156570.8266479	10	improved	156570.8266479
V10	improved	-158428.6875482	10	improved	158428.6875482
V11	improved	-147441.529066	10	improved	147441.529066
V12	improved	-133563.9482971	10	improved	133563.9482971
V13	improved	-133860.0015908	10	improved	133860.0015908
V14	improved	-179065.0839901	10	improved	179065.0839901
V15	improved	-137718.8541114	10	improved	137718.8541114
V16	improved	-201487.8528863	10	improved	201487.8528863
V17	improved	-115412.367054	10	improved	115412.367054
V18	improved	-201944.9258929	10	improved	201944.9258929
V19	improved	-167768.5269619	10	improved	167768.5269619
V20	improved	-172485.6353982	10	improved	172485.6353982
V21	improved	-208415.4019608	10	improved	208415.4019608
V22	improved	-168549.6972216	10	improved	168549.6972216
V23	improved	-170478.5529962	10	improved	170478.5529962
V24	improved	-213250.5090955	10	improved	213250.5090955
V25	improved	-150474.739166	10	improved	150474.739166
V26	improved	-245323.5713835	10	improved	245323.5713835
V27	improved	-132627.1530254	10	improved	132627.1530254
V28	improved	-109223.4372596	10	improved	109223.4372596
V29	improved	-179683.4270146	10	improved	179683.4270146
V30	improved	-174686.991175	10	improved	174686.991175
V31	improved	-178430.137036	10	improved	178430.137036
V32	improved	-190340.5992019	10	improved	190340.5992019
V33	improved	-176760.4545786	10	improved	176760.4545786
V34	improved	-191066.1462656	10	improved	191066.1462656
V35	improved	-184604.8517872	10	improved	184604.8517872
V36	improved	-210733.1294811	10	improved	210733.1294811
V37	improved	-198514.5881447	10	improved	198514.5881447
V38	improved	-155347.9389421	10	improved	155347.9389421
V39	improved	-159072.2119857	10	improved	159072.2119857
V40	improved	-239387.0065147	10	improved	239387.0065147
V41	improved	-210250.1458457	10	improved	210250.1458457
V42	improved	-159281.872392	10	improved	159281.872392
V43	improved	-160177.7253972	10	improved	160177.7253972
V44	improved	-155645.1569214	10	improved	155645.1569214
V45	improved	-175397.184581	10	improved	175397.184581
V46	improved	-182500.1793296	10	improved	182500.1793296
V47	improved	-170618.6130141	10	improved	170618.6130141
V48	improved	-170157.4042152	10	improved	170157.4042152
V49	improved	-182139.3178373	10	improved	182139.3178373
V50	improved	-158566.1249149	10	improved	158566.1249149
V51	improved	-188294.5560832	10	improved	188294.5560832
V52	improved	-164465.4334415	10	improved	164465.4334415
V53	improved	-202646.7572097	10	improved	202646.7572097
V54	improved	-136822.1682025	10	improved	136822.1682025
V55	improved	-181902.5654849	10	improved	181902.5654849
V56	improved	-142517.5340246	10	improved	142517.5340246
V57	improved	-170169.7801149	10	improved	170169.7801149
V58	improved	-127962.0905438	10	improved	127962.0905438
V59	improved	-191521.9313219	10	improved	191521.9313219
V60	improved	-158654.1106947	10	improved	158654.1106947
V61	improved	-210045.9630264	10	improved	210045.9630264
V62	improved	-169978.5176844	10	improved	169978.5176844
V63	improved	-135797.7039412	10	improved	135797.7039412
V64	improved	-129231.6607984	10	improved	129231.6607984
V65	improved	-140069.0246565	10	improved	140069.0246565
V66	improved	-178597.1484767	10	improved	178597.1484767
V67	improved	-163789.5389349	10	improved	163789.5389349
V68	improved	-173652.2244051	10	improved	173652.2244051
V69	improved	-222628.7603422	10	improved	222628.7603422
V70	improved	-178730.0611393	10	improved	178730.0611393
V71	improved	-109430.7538483	10	improved	109430.7538483
V72	improved	-186657.5001232	10	improved	186657.5001232
V73	improved	-226548.6668721	10	improved	226548.6668721
V74	improved	-173374.1316518	10	improved	173374.1316518
V75	improved	-164964.9246642	10	improved	164964.9246642
V76	improved	-160865.3801684	10	improved	160865.3801684
V77	improved	-240709.09215	10	improved	240709.09215
V78	improved	-158592.3010266	10	improved	158592.3010266
V79	improved	-196110.3449551	10	improved	196110.3449551
V80	improved	-216440.1309763	10	improved	216440.1309763
V81	improved	-205176.6109592	10	improved	205176.6109592
V82	improved	-260213.6401507	10	improved	260213.6401507
V83	improved	-236811.3768931	10	improved	236811.3768931
V84	improved	-244528.7525281	10	improved	244528.7525281
V85	improved	-189569.2075026	10	improved	189569.2075026
V86	improved	-139601.3911048	10	improved	139601.3911048
V87	improved	-147113.5406386	10	improved	147113.5406386
V88	improved	-230999.5176696	10	improved	230999.5176696
V89	improved	-136964.0777324	10	improved	136964.0777324
V90	improved	-238283.6737944	10	improved	238283.6737944
V91	improved	-169318.5431787	10	improved	169318.5431787
V92	improved	-225449.8052001	10	improved	225449.8052001
V93	improved	-195448.6080583	10	improved	195448.6080583
V94	improved	-214969.4594696	10	improved	214969.4594696
V95	improved	-222355.986885	10	improved	222355.986885
V96	improved	-196231.3546407	10	improved	196231.3546407
V97	improved	-165852.4313749	10	improved	165852.4313749
V98	improved	-158912.8983275	10	improved	158912.8983275
V99	improved	-155772.9345466	10	improved	155772.9345466
V100	improved	-186538.9386253	10	improved	186538.9386253
V101	improved	-137984.8505286	10	improved	137984.8505286
V102	improved	-168975.9864232	10	improved	168975.9864232
V103	improved	-177163.1893344	10	improved	177163.1893344
V104	improved	-165195.6344369	10	improved	165195.6344369
V105	improved	-160418.2697208	10	improved	160418.2697208
V106	improved	-127973.1432975	10	improved	127973.1432975
V107	improved	-157651.6084421	10	improved	157651.6084421
V108	improved	-238485.1076704	10	improved	238485.1076704
V109	improved	-126225.4750912	10	improved	126225.4750912
V110	improved	-116460.5878629	10	improved	116460.5878629
V111	improved	-132500.2815822	10	improved	132500.2815822
V112	improved	-166286.3623769	10	improved	166286.3623769
V113	improved	-147269.3510975	10	improved	147269.3510975
V114	improved	-211588.6134983	10	improved	211588.6134983
V115	improved	-181352.0597276	10	improved	181352.0597276
V116	improved	-154730.7687828	10	improved	154730.7687828
V117	improved	-156040.0523205	10	improved	156040.0523205
V118	improved	-136317.9220855	10	improved	136317.9220855
V119	improved	-214699.8526563	10	improved	214699.8526563
V120	improved	-119620.5694121	10	improved	119620.5694121
V121	improved	-177702.3960206	10	improved	177702.3960206
V122	improved	-207749.7690555	10	improved	207749.7690555
V123	improved	-132479.5294845	10	improved	132479.5294845
V124	improved	-172564.1680005	10	improved	172564.1680005
V125	improved	-190214.4628551	10	improved	190214.4628551
V126	improved	-174032.9306003	10	improved	174032.9306003
V127	improved	-148518.6710022	10	improved	148518.6710022
V128	improved	-154808.0314668	10	improved	154808.0314668
V129	improved	-228344.430381	10	improved	228344.430381
V130	improved	-241482.3063725	10	improved	241482.3063725
V131	improved	-128293.8844487	10	improved	128293.8844487
V132	improved	-192538.8979093	10	improved	192538.8979093
V5	landrace	-188762.8279218	10	landrace	188762.8279218
V6	landrace	-193333.3425216	10	landrace	193333.3425216
V7	landrace	-166812.2964856	10	landrace	166812.2964856
V8	landrace	-201854.9483823	10	landrace	201854.9483823
V9	landrace	-234085.0589702	10	landrace	234085.0589702
V10	landrace	-215403.7835835	10	landrace	215403.7835835
V11	landrace	-229079.1864944	10	landrace	229079.1864944
V12	landrace	-239091.9233071	10	landrace	239091.9233071
V13	landrace	-156192.7601429	10	landrace	156192.7601429
V14	landrace	-221642.5277062	10	landrace	221642.5277062
V15	landrace	-149488.9686884	10	landrace	149488.9686884
V16	landrace	-134144.849236	10	landrace	134144.849236
V17	landrace	-155147.3929677	10	landrace	155147.3929677
V18	landrace	-208125.6484941	10	landrace	208125.6484941
V19	landrace	-194870.9500968	10	landrace	194870.9500968
V20	landrace	-257399.5592612	10	landrace	257399.5592612
V21	landrace	-181847.8114625	10	landrace	181847.8114625
V22	landrace	-215915.9728208	10	landrace	215915.9728208
V23	landrace	-192220.7480988	10	landrace	192220.7480988
V24	landrace	-212520.5614754	10	landrace	212520.5614754
V25	landrace	-189136.305906	10	landrace	189136.305906
V26	landrace	-242566.9793664	10	landrace	242566.9793664
V27	landrace	-235455.7536011	10	landrace	235455.7536011
V28	landrace	-255708.0086423	10	landrace	255708.0086423
V29	landrace	-245265.7078274	10	landrace	245265.7078274
V30	landrace	-230384.7846437	10	landrace	230384.7846437
V31	landrace	-239646.6936063	10	landrace	239646.6936063
V32	landrace	-261277.2458478	10	landrace	261277.2458478
V33	landrace	-239032.1782971	10	landrace	239032.1782971
V34	landrace	-159322.5617554	10	landrace	159322.5617554
V35	landrace	-193826.3900006	10	landrace	193826.3900006
V36	landrace	-140151.3360598	10	landrace	140151.3360598
V37	landrace	-219470.3318034	10	landrace	219470.3318034
V38	landrace	-215707.0901755	10	landrace	215707.0901755
V39	landrace	-235594.2504194	10	landrace	235594.2504194
V40	landrace	-206706.3445528	10	landrace	206706.3445528
V41	landrace	-231610.2886801	10	landrace	231610.2886801
V42	landrace	-243157.8480406	10	landrace	243157.8480406
V43	landrace	-215224.9948026	10	landrace	215224.9948026
V44	landrace	-231238.5442833	10	landrace	231238.5442833
V45	landrace	-210580.9014831	10	landrace	210580.9014831
V46	landrace	-239073.9808896	10	landrace	239073.9808896
V47	landrace	-212711.4840825	10	landrace	212711.4840825
V48	landrace	-208503.5482742	10	landrace	208503.5482742
V49	landrace	-203451.0235494	10	landrace	203451.0235494
V50	landrace	-174671.5558602	10	landrace	174671.5558602
V51	landrace	-196462.804246	10	landrace	196462.804246
V52	landrace	-234621.4070735	10	landrace	234621.4070735
V53	landrace	-200562.1705622	10	landrace	200562.1705622
V54	landrace	-215707.7319579	10	landrace	215707.7319579
V55	landrace	-147208.7576865	10	landrace	147208.7576865
V56	landrace	-212262.3966323	10	landrace	212262.3966323
V57	landrace	-234397.9272805	10	landrace	234397.9272805
V58	landrace	-169600.0158241	10	landrace	169600.0158241
V59	landrace	-142247.6376732	10	landrace	142247.6376732
V60	landrace	-169160.5147511	10	landrace	169160.5147511
V61	landrace	-244626.962064	10	landrace	244626.962064
V62	landrace	-166958.0784663	10	landrace	166958.0784663
V63	landrace	-158794.1590967	10	landrace	158794.1590967
V64	landrace	-235431.0995465	10	landrace	235431.0995465
V65	landrace	-170275.6544919	10	landrace	170275.6544919
V66	landrace	-180841.8701816	10	landrace	180841.8701816
V67	landrace	-354382.0622477	10	landrace	354382.0622477
V68	landrace	-242465.9841681	10	landrace	242465.9841681
V69	landrace	-205742.0996393	10	landrace	205742.0996393
V70	landrace	-157785.89831	10	landrace	157785.89831
V71	landrace	-163374.1061216	10	landrace	163374.1061216
V72	landrace	-250285.7220802	10	landrace	250285.7220802
V73	landrace	-248966.8263354	10	landrace	248966.8263354
V74	landrace	-238215.1137565	10	landrace	238215.1137565
V75	landrace	-230648.919428	10	landrace	230648.919428
V76	landrace	-231314.7378119	10	landrace	231314.7378119
V77	landrace	-169299.7164533	10	landrace	169299.7164533
V78	landrace	-235760.4268383	10	landrace	235760.4268383
V79	landrace	-238690.1993972	10	landrace	238690.1993972
V80	landrace	-218551.6908691	10	landrace	218551.6908691
V81	landrace	-241758.4857243	10	landrace	241758.4857243
V82	landrace	-235131.5127611	10	landrace	235131.5127611
V83	landrace	-217266.8675155	10	landrace	217266.8675155
V84	landrace	-253201.6285129	10	landrace	253201.6285129
V85	landrace	-199271.802575	10	landrace	199271.802575
V86	landrace	-227895.7832345	10	landrace	227895.7832345
V87	landrace	-213212.6985119	10	landrace	213212.6985119
V88	landrace	-237630.98281	10	landrace	237630.98281
V89	landrace	-245211.6568593	10	landrace	245211.6568593
V90	landrace	-168345.7025595	10	landrace	168345.7025595
V91	landrace	-236107.9499259	10	landrace	236107.9499259
V92	landrace	-203456.5891591	10	landrace	203456.5891591
V93	landrace	-246291.4372322	10	landrace	246291.4372322
V94	landrace	-171685.5126131	10	landrace	171685.5126131
V95	landrace	-153760.3535817	10	landrace	153760.3535817
V96	landrace	-139288.6212804	10	landrace	139288.6212804
V97	landrace	-132818.4926263	10	landrace	132818.4926263
V98	landrace	-160808.8724754	10	landrace	160808.8724754
V99	landrace	-185810.0825951	10	landrace	185810.0825951
V100	landrace	-196764.3275894	10	landrace	196764.3275894
V101	landrace	-201048.183326	10	landrace	201048.183326
V102	landrace	-186817.4497042	10	landrace	186817.4497042
V103	landrace	-198408.7101227	10	landrace	198408.7101227
V104	landrace	-217053.9086884	10	landrace	217053.9086884
V105	landrace	-180896.5180061	10	landrace	180896.5180061
V5	wild	-269708.9137608	10	wild	269708.9137608
V6	wild	-355276.1143394	10	wild	355276.1143394
V7	wild	-291402.2976548	10	wild	291402.2976548
V8	wild	-337480.8266785	10	wild	337480.8266785
V9	wild	-376761.9853728	10	wild	376761.9853728
V10	wild	-293371.7554574	10	wild	293371.7554574
V11	wild	-322990.1516216	10	wild	322990.1516216
V12	wild	-322252.9562627	10	wild	322252.9562627
V13	wild	-318806.8265987	10	wild	318806.8265987
V14	wild	-265438.1792008	10	wild	265438.1792008
V15	wild	-225930.7221281	10	wild	225930.7221281
V16	wild	-294965.8898009	10	wild	294965.8898009
V17	wild	-280897.3829572	10	wild	280897.3829572
V18	wild	-427158.2420785	10	wild	427158.2420785
V19	wild	-269942.997979	10	wild	269942.997979
V20	wild	-376447.9947389	10	wild	376447.9947389
V21	wild	-393631.4587557	10	wild	393631.4587557
V22	wild	-438313.4005675	10	wild	438313.4005675
V23	wild	-269224.9989933	10	wild	269224.9989933
V24	wild	-255011.7208454	10	wild	255011.7208454
V25	wild	-230531.8499087	10	wild	230531.8499087
V26	wild	-317837.8815843	10	wild	317837.8815843
V27	wild	-261087.6351184	10	wild	261087.6351184
V28	wild	-266262.501517	10	wild	266262.501517
V29	wild	-330850.3406586	10	wild	330850.3406586
V30	wild	-414688.5487517	10	wild	414688.5487517
V31	wild	-411209.7826276	10	wild	411209.7826276
V32	wild	-257516.4769071	10	wild	257516.4769071
V33	wild	-283200.7059742	10	wild	283200.7059742
V34	wild	-265081.3652053	10	wild	265081.3652053
V35	wild	-235342.2774358	10	wild	235342.2774358
V36	wild	-287007.6831842	10	wild	287007.6831842
V37	wild	-445063.8777953	10	wild	445063.8777953
V38	wild	-396426.5204595	10	wild	396426.5204595
V39	wild	-370243.6870033	10	wild	370243.6870033
V40	wild	-399304.9795466	10	wild	399304.9795466
V41	wild	-246888.9622549	10	wild	246888.9622549
V42	wild	-311072.5951272	10	wild	311072.5951272
V43	wild	-387288.8200438	10	wild	387288.8200438
V44	wild	-297321.0518371	10	wild	297321.0518371
V45	wild	-411039.0551619	10	wild	411039.0551619
V46	wild	-364614.9315959	10	wild	364614.9315959
V47	wild	-276338.1452855	10	wild	276338.1452855
V48	wild	-387526.4977854	10	wild	387526.4977854
V49	wild	-269261.4843357	10	wild	269261.4843357
V50	wild	-395784.068078	10	wild	395784.068078
V51	wild	-385350.1576092	10	wild	385350.1576092
V52	wild	-382721.525849	10	wild	382721.525849
V53	wild	-308448.8856262	10	wild	308448.8856262
