sample	PI	Race	cutoff	Abs_genetic_load
PI597957_PI597957	PI597957	Bicolor	1%	78281.0319421
PI597958_PI597958	PI597958	Durra	1%	82888.8977002
PI597960_PI597960	PI597960	Caudatum	1%	56046.238763
PI597961_PI597961	PI597961	Guinea	1%	66261.2097179
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	1%	72637.6606314
PI597965_PI597965	PI597965	Guinea	1%	72544.7857438
PI597966_PI597966	PI597966	Guinea	1%	79827.1971033
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	1%	72377.4564132
PI597968_PI597968	PI597968	Guinea	1%	82034.6070394
PI597971_PI597971	PI597971	Guinea	1%	66160.4373655
PI597972_PI597972	PI597972	Bicolor	1%	66951.188443
PI597973_PI597973	PI597973	Bicolor	1%	65227.7785168
PI597976_PI597976	PI597976	Caudatum	1%	67392.0683203
PI597980_PI597980	PI597980	Guinea	1%	63964.2667126
PI597982_PI597982	PI597982	Guinea	1%	63758.203494
PI598069_PI598069	PI598069	Bicolor	1%	85979.0016724
PI598070_PI598070	PI598070	Bicolor	1%	84014.2545978
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	1%	69968.9787485
PI607931_PI607931	PI607931	Guinea	1%	66705.9881261
PI609456_PI609456	PI609456	Caudatum	1%	22971.2043455
PI613536_PI613536	PI613536	Bicolor	1%	68522.0559682
PI629034_PI629034	PI629034	Guinea	1%	70585.1951751
PI629040_PI629040	PI629040	Bicolor	1%	111540.7802647
PI629059_PI629059	PI629059	Durra	1%	68237.349352
PI641824_PI641824	PI641824	Durra	1%	88951.2287662
PI641836_PI641836	PI641836	Durra	1%	75005.4694576
PI641849_PI641849	PI641849	Durra	1%	101381.7106701
PI641874_PI641874	PI641874	Bicolor	1%	125222.5401183
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	1%	85308.6936088
PI642793_PI642793	PI642793	Durra	1%	78571.0616512
PI642992_PI642992	PI642992	Guinea	1%	87267.311369
PI642998_PI642998	PI642998	Bicolor	1%	70133.480268
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	1%	89189.419541
PI651496_PI651496	PI651496	Guinea	1%	68686.165581
PI653616_PI653616	PI653616	Guinea	1%	76193.414063
PI653617_PI653617	PI653617	Guinea	1%	68354.8323928
PI655970_PI655970	PI655970	Durra	1%	77700.8078454
PI655971_PI655971	PI655971	Bicolor	1%	114585.5023413
PI655972_PI655972	PI655972	Durra	1%	76889.0986144
PI655973_PI655973	PI655973	Kafir	1%	85391.0740526
PI655974_PI655974	PI655974	Durra	1%	76140.055401
PI655975_PI655975	PI655975	Durra	1%	90259.0933668
PI655976_PI655976	PI655976	Durra	1%	76646.4252797
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	1%	80789.0554107
PI655978_PI655978	PI655978	Caudatum	1%	103694.5242919
PI655979_PI655979	PI655979	Caudatum	1%	87659.4811902
PI655980_PI655980	PI655980	Bicolor	1%	69758.2702901
PI655981_PI655981	PI655981	Caudatum	1%	84614.3307818
PI655982_PI655982	PI655982	Durra	1%	66858.8051802
PI655983_PI655983	PI655983	Durra	1%	75229.6120323
PI655984_PI655984	PI655984	Kafir	1%	105120.0520932
PI655985_PI655985	PI655985	Durra	1%	89980.5992175
PI655986_PI655986	PI655986	Bicolor	1%	89754.0457544
PI655987_PI655987	PI655987	Durra	1%	75467.34445
PI655988_PI655988	PI655988	Durra	1%	78442.3273778
PI655989_PI655989	PI655989	Durra	1%	74145.1037245
PI655990_PI655990	PI655990	Bicolor	1%	114784.9656295
PI655991_PI655991	PI655991	Durra	1%	84609.1298122
PI655992_PI655992	PI655992	Durra	1%	75661.1255387
PI655993_PI655993	PI655993	Durra	1%	87958.4310042
PI655994_PI655994	PI655994	Durra	1%	83647.4235734
PI655995_PI655995	PI655995	Bicolor	1%	74687.3149763
PI655996_PI655996	PI655996	Caudatum	1%	101464.3439106
PI655997_PI655997	PI655997	Bicolor	1%	109873.5548082
PI655998_PI655998	PI655998	Caudatum	1%	80124.8013227
PI655999_PI655999	PI655999	Bicolor	1%	63866.4092524
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	1%	64388.1530101
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	1%	66207.3031792
PI656002_PI656002	PI656002	Durra	1%	74872.7800015
PI656003_PI656003	PI656003	Durra	1%	88029.2031046
PI656004_PI656004	PI656004	Caudatum	1%	106928.8665747
PI656005_PI656005	PI656005	Durra	1%	80936.5102396
PI656006_PI656006	PI656006	Durra	1%	85590.8348524
PI656007_PI656007	PI656007	Durra	1%	65091.4171369
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	1%	84703.1507547
PI656009_PI656009	PI656009	Guinea	1%	67738.0118241
PI656010_PI656010	PI656010	Caudatum	1%	95788.7739858
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	1%	91251.1604776
PI656012_PI656012	PI656012	Bicolor	1%	108448.2911401
PI656013_PI656013	PI656013	Bicolor	1%	90820.5026511
PI656014_PI656014	PI656014	Caudatum	1%	77866.9237118
PI656015_PI656015	PI656015	Kafir	1%	86336.912426
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	1%	85201.6292487
PI656017_PI656017	PI656017	Bicolor	1%	113781.1413154
PI656018_PI656018	PI656018	Durra	1%	100811.620233
PI656019_PI656019	PI656019	Durra	1%	84493.7356851
PI656020_PI656020	PI656020	Durra	1%	83691.4330651
PI656021_PI656021	PI656021	Bicolor	1%	110958.6327004
PI656022_PI656022	PI656022	Durra	1%	75772.1518435
PI656023_PI656023	PI656023	Durra	1%	75622.9772895
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	1%	79539.1069104
PI656025_PI656025	PI656025	Bicolor	1%	97193.9662597
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	1%	76883.8242029
PI656027_PI656027	PI656027	Guinea	1%	76250.2603467
PI656028_PI656028	PI656028	Durra	1%	74215.0625961
