group1	group2	p_value	p_adj_bh
Bicolor	Guinea	6.64865718660787e-17	9.97298577991181e-16
Milo/Durra-Bicolor	Guinea	5.48118105729228e-09	4.11088579296921e-08
Durra	Guinea	1.16943093801503e-08	5.84715469007514e-08
Kafir	Guinea	4.83684316020783e-07	1.81381618507794e-06
Bicolor	Caudatum	3.44496140716354e-06	1.03348842214906e-05
Durra	Bicolor	8.09325112589835e-05	0.000202331278147459
Kafir	Caudatum	0.00186266858727502	0.00399143268701789
Kafir	Durra	0.003455506600734	0.00647907487637624
Guinea	Caudatum	0.00898111962054584	0.0149685327009097
Milo/Durra-Bicolor	Caudatum	0.0138805774380303	0.0208208661570455
Bicolor	Milo/Durra-Bicolor	0.0403225547332881	0.0549853019090292
Durra	Milo/Durra-Bicolor	0.0934186726197156	0.107790776099672
Durra	Caudatum	0.0871738676134925	0.107790776099672
Kafir	Milo/Durra-Bicolor	0.165317766786545	0.17712617869987
Kafir	Bicolor	0.78460777236376	0.78460777236376
