sample	PI	Race	cutoff	Abs_genetic_load
PI152651_PI152651	PI152651	Kafir	5%	365556.9035852
PI17548_PI17548	PI17548	Durra	5%	366659.0660352
PI24969_PI24969	PI24969	Bicolor	5%	482736.6666505
PI276837_PI276837	PI276837	Milo/Durra-Bicolor	5%	442309.9561848
PI329435_PI329435	PI329435	Milo/Durra-Bicolor	5%	309987.4436355
PI329440_PI329440	PI329440	Durra	5%	408129.4613182
PI34911_PI34911	PI34911	Guinea	5%	379607.8377671
PI35038_PI35038	PI35038	Durra	5%	332489.6932852
PI48770_PI48770	PI48770	Durra	5%	332358.8513092
PI533750_PI533750	PI533750	Bicolor	5%	359179.5544574
PI533752_PI533752	PI533752	Guinea	5%	358133.563499
PI533754_PI533754	PI533754	Bicolor	5%	330483.2652776
PI533755_PI533755	PI533755	Kafir	5%	379506.4029244
PI533757_PI533757	PI533757	Guinea	5%	293774.127739
PI533758_PI533758	PI533758	Guinea	5%	281853.6029313
PI533759_PI533759	PI533759	Guinea	5%	309436.3463078
PI533760_PI533760	PI533760	Guinea	5%	339457.2805135
PI533761_PI533761	PI533761	Guinea	5%	289427.2704806
PI533762_PI533762	PI533762	Guinea	5%	336934.4948017
PI533766_PI533766	PI533766	Caudatum	5%	305454.8794703
PI533769_PI533769	PI533769	Guinea	5%	253457.098801
PI533776_PI533776	PI533776	Caudatum	5%	337902.0135077
PI533785_PI533785	PI533785	Caudatum	5%	318752.8269318
PI533788_PI533788	PI533788	Bicolor	5%	410899.9302864
PI533789_PI533789	PI533789	Guinea	5%	309140.7272095
PI533792_PI533792	PI533792	Caudatum	5%	397861.3319019
PI533794_PI533794	PI533794	Milo/Durra-Bicolor	5%	349503.0694944
PI533799_PI533799	PI533799	Milo/Durra-Bicolor	5%	348622.4054476
PI533800_PI533800	PI533800	Milo/Durra-Bicolor	5%	344876.3297363
PI533807_PI533807	PI533807	Guinea	5%	290268.2203705
PI533810_PI533810	PI533810	Bicolor	5%	382712.1404476
PI533814_PI533814	PI533814	Bicolor	5%	381885.0526994
PI533821_PI533821	PI533821	Guinea	5%	261484.6782567
PI533822_PI533822	PI533822	Guinea	5%	330826.8943219
PI533824_PI533824	PI533824	Bicolor	5%	298752.3654432
PI533830_PI533830	PI533830	Bicolor	5%	368639.1947697
PI533831_PI533831	PI533831	Guinea	5%	318829.3906013
PI533833_PI533833	PI533833	Guinea	5%	247992.2432531
PI533838_PI533838	PI533838	Guinea	5%	307307.9170737
PI533839_PI533839	PI533839	Caudatum	5%	137766.3414736
PI533841_PI533841	PI533841	Caudatum	5%	369123.3195726
PI533842_PI533842	PI533842	Bicolor	5%	333689.995535
PI533843_PI533843	PI533843	Bicolor	5%	331179.4095197
PI533845_PI533845	PI533845	Caudatum	5%	364141.3354788
PI533852_PI533852	PI533852	Bicolor	5%	330442.3749567
PI533855_PI533855	PI533855	Caudatum	5%	307777.296825
PI533856_PI533856	PI533856	Bicolor	5%	403357.9655275
PI533863_PI533863	PI533863	Guinea	5%	322458.2715006
PI533866_PI533866	PI533866	Caudatum	5%	348960.3465248
PI533869_PI533869	PI533869	Durra	5%	308525.4958121
PI533871_PI533871	PI533871	Caudatum	5%	305441.1833404
PI533876_PI533876	PI533876	Guinea	5%	310155.6533915
PI533877_PI533877	PI533877	Caudatum	5%	318774.2820587
PI533878_PI533878	PI533878	Caudatum	5%	323749.6883973
PI533882_PI533882	PI533882	Caudatum	5%	298474.7063861
PI533901_PI533901	PI533901	Guinea	5%	337845.4130752
PI533902_PI533902	PI533902	Durra	5%	350009.9108447
PI533903_PI533903	PI533903	Caudatum	5%	244453.8229174
PI533910_PI533910	PI533910	Guinea	5%	293076.5783353
PI533911_PI533911	PI533911	Guinea	5%	407356.9628772
PI533912_PI533912	PI533912	Guinea	5%	270455.5345871
PI533913_PI533913	PI533913	Guinea	5%	298320.1976189
PI533915_PI533915	PI533915	Kafir	5%	354964.6883123
PI533919_PI533919	PI533919	Bicolor	5%	306805.0781906
PI533921_PI533921	PI533921	Bicolor	5%	469944.8781277
PI533924_PI533924	PI533924	Caudatum	5%	318472.4163487
PI533927_PI533927	PI533927	Caudatum	5%	330199.7996268
PI533936_PI533936	PI533936	Durra	5%	328347.4994981
PI533937_PI533937	PI533937	Durra	5%	334616.4939227
PI533938_PI533938	PI533938	Durra	5%	319033.073381
PI533939_PI533939	PI533939	Guinea	5%	339873.1638147
PI533940_PI533940	PI533940	Durra	5%	351804.495182
PI533943_PI533943	PI533943	Bicolor	5%	385055.3451296
PI533948_PI533948	PI533948	Durra	5%	341543.7717163
PI533949_PI533949	PI533949	Guinea	5%	295685.8435487
PI533954_PI533954	PI533954	Durra	5%	386512.583845
PI533955_PI533955	PI533955	Durra	5%	341052.7672785
PI533956_PI533956	PI533956	Durra	5%	312498.083835
PI533957_PI533957	PI533957	Caudatum	5%	361462.9641319
PI533961_PI533961	PI533961	Guinea	5%	348101.4480395
PI533962_PI533962	PI533962	Guinea	5%	286242.1575248
PI533964_PI533964	PI533964	Guinea	5%	338592.183497
PI533965_PI533965	PI533965	Guinea	5%	375208.4686258
PI533967_PI533967	PI533967	Guinea	5%	353796.9045769
PI533970_PI533970	PI533970	Guinea	5%	355987.784775
PI533972_PI533972	PI533972	Guinea	5%	272633.6824279
PI533976_PI533976	PI533976	Guinea	5%	324576.9212889
PI533979_PI533979	PI533979	Durra	5%	398198.0956021
PI533980_PI533980	PI533980	Guinea	5%	322446.6640979
PI533985_PI533985	PI533985	Guinea	5%	286073.7480427
PI533986_PI533986	PI533986	Guinea	5%	300656.7793073
PI533987_PI533987	PI533987	Guinea	5%	285965.1868774
