sample	PI	Race	Abs_genetic_load
PI534108_PI534108	PI534108	Guinea	66280.3394348
PI534112_PI534112	PI534112	Guinea	67317.6353826
PI534114_PI534114	PI534114	Guinea	76197.306252
PI534115_PI534115	PI534115	Milo/Durra-Bicolor	76667.5187353
PI534116_PI534116	PI534116	Caudatum	58138.3573703
PI534117_PI534117	PI534117	Caudatum	63468.7245756
PI534123_PI534123	PI534123	Bicolor	71716.3207461
PI534124_PI534124	PI534124	Caudatum	62531.8512632
PI534127_PI534127	PI534127	Bicolor	97154.6889044
PI534128_PI534128	PI534128	Bicolor	98236.654189
PI534132_PI534132	PI534132	Bicolor	86420.2752998
PI534133_PI534133	PI534133	Bicolor	94983.1708547
PI534135_PI534135	PI534135	Bicolor	86388.7127293
PI534137_PI534137	PI534137	Bicolor	88600.9866572
PI534138_PI534138	PI534138	Guinea	55738.4179126
PI534139_PI534139	PI534139	Kafir	95170.5005865001
PI534144_PI534144	PI534144	Caudatum	79953.8455329
PI534145_PI534145	PI534145	Caudatum	63927.1363452
PI534148_PI534148	PI534148	Bicolor	81263.5107126
PI534155_PI534155	PI534155	Bicolor	70699.9291608
PI534157_PI534157	PI534157	Milo/Durra-Bicolor	83553.6083358
PI534163_PI534163	PI534163	Guinea	76980.6724179
PI534167_PI534167	PI534167	Bicolor	84012.9215838
PI540816_PI540816	PI540816	Kafir	90402.0178625
PI542406_PI542406	PI542406	Guinea	61789.302047
PI542718_PI542718	PI542718	Bicolor	98288.8350287
PI548797_PI548797	PI548797	Guinea	82608.0416132
PI552856_PI552856	PI552856	Milo/Durra-Bicolor	76464.4223455
PI552861_PI552861	PI552861	Durra	68547.6602885
PI561071_PI561071	PI561071	Kafir	90052.9820658
PI561072_PI561072	PI561072	Durra	83317.7762181
PI561073_PI561073	PI561073	Durra	96762.9629745
PI561472_PI561472	PI561472	Milo/Durra-Bicolor	101659.6374224
PI562730_PI562730	PI562730	Bicolor	67340.5927477
PI564163_PI564163	PI564163	Durra	62999.433106
PI564164_PI564164	PI564164	Bicolor	95214.4287557
PI564165_PI564165	PI564165	Milo/Durra-Bicolor	102027.6985815
