Pedigree,Treatment,Bench,Row,Column,plant_height_rep_1,plant_height_rep_2,plant_height_rep_3,Pot_id,mean
PI 656049,HN,3,29,15,39.6,40.5,43.7,2142,41.26666667
PI 656084,HN,3,28,15,40.7,41.2,42.3,2143,41.4
PI 656043,HN,3,27,15,43.6,45.7,46.4,2144,45.23333333
PI 656007,HN,3,26,15,26.3,29.4,NA,2145,27.85
PI 597971,HN,3,25,15,31.2,32.4,33.3,2146,32.3
PI 576396,HN,3,24,15,31.9,33.6,37.1,2147,34.2
PI 659696,HN,3,23,15,37.8,36.1,38.2,2148,37.36666667
PI 533776,HN,3,22,15,34.5,36.8,37.5,2149,36.26666667
PI 656061,HN,3,21,15,43.6,45.3,NA,2150,44.45
PI 656033,HN,3,30,16,31.6,33.9,35.2,2151,33.56666667
PI 655971,HN,3,29,16,30.3,31.4,32.5,2152,31.4
PI 656118,HN,3,28,16,43.6,45.9,44.3,2153,44.6
PI 656107,HN,3,27,16,39,NA,NA,2154,39
PI 542718,HN,3,26,16,40.1,40.7,42.6,2155,41.13333333
PI 564163,HN,3,25,16,24.3,32.9,38.1,2156,31.76666667
PI 552856,HN,3,24,16,38.7,41.8,42.5,2157,41
PI 533919,HN,3,23,16,49.6,32.1,36.9,2158,39.53333333
PI 655980,HN,3,22,16,38.1,42.5,44.6,2159,41.73333333
PI 533961,HN,3,21,16,38.6,41.3,45.7,2160,41.86666667
PI 659753,HN,3,30,17,35.6,38.4,39.2,2161,37.73333333
PI 533810,HN,3,29,17,33.5,36.1,38.4,2162,36
PI 656093,HN,3,28,17,33.4,35.8,36.1,2163,35.1
PI 656090,HN,3,27,17,33.2,34.4,36.4,2164,34.66666667
PI 576390,HN,3,26,17,24.6,25.9,28.6,2165,26.36666667
PI 533869,HN,3,25,17,30.2,32.6,33.5,2166,32.1
PI 655990,HN,3,24,17,28.2,29.4,NA,2167,28.8
PI 533852,HN,3,23,17,27.1,28.6,29.2,2168,28.3
PI 656015,HN,3,22,17,34.5,37.9,NA,2169,36.2
PI 656080,HN,3,21,17,26.5,31.4,39.2,2170,32.36666667
PI 564163,HN,3,30,18,40.5,44.3,45.7,2171,43.5
PI 597957,HN,3,29,18,35.9,36.4,37.8,2172,36.7
PI 656038,HN,3,28,18,34.7,36.8,40.5,2173,37.33333333
PI 655984,HN,3,27,18,33.1,35.4,36.2,2174,34.9
PI 656039,HN,3,26,18,37.2,40.4,NA,2175,38.8
PI 534075,HN,3,25,18,29.4,31.6,33.2,2176,31.4
PI 533970,HN,3,24,18,32.9,34.7,36.5,2177,34.7
PI 576385,HN,3,23,18,30.4,32.6,32.9,2178,31.96666667
PI 534163,HN,3,22,18,29.5,39.2,NA,2179,34.35
PI 533980,HN,3,21,18,27.5,45.5,NA,2180,36.5
PI 595714,HN,4,40,1,26.3,23.4,27.7,2181,25.8
PI 656046,HN,4,39,1,35.8,34.7,38.7,2182,36.4
PI 576130,HN,4,38,1,23.5,31.3,35.5,2183,30.1
PI 597980,HN,4,37,1,31.3,34.4,35.5,2184,33.73333333
PI 576386,HN,4,36,1,NA,NA,NA,2185,#DIV/0!
PI 656097,HN,4,35,1,33.1,36.4,38.2,2186,35.9
PI 533866,HN,4,34,1,24.7,31.9,32.6,2187,29.73333333
PI 656026,HN,4,33,1,36.8,NA,NA,2188,36.8
PI 655972,HN,4,32,1,32.3,35.4,37.1,2189,34.93333333
PI 533871,HN,4,31,1,36.4,37.8,NA,2190,37.1
PI 534155,HN,4,40,2,26.4,NA,NA,2191,26.4
PI 595740,HN,4,39,2,28.2,27.8,30.1,2192,28.7
PI 656047,HN,4,38,2,30.7,35.7,31.8,2193,32.73333333
PI 533762,HN,4,37,2,29.8,32.4,28.6,2194,30.26666667
PI 533987,HN,4,36,2,40.2,32.7,40.8,2195,37.9
PI 533954,HN,4,35,2,37.1,38.6,39.4,2196,38.36666667
PI 656077,HN,4,34,2,33.9,34.3,37.5,2197,35.23333333
PI 642998,HN,4,33,2,44.5,46.7,47.3,2198,46.16666667
PI 534097,HN,4,32,2,36.4,38.9,39.4,2199,38.23333333
PI 533991,HN,4,31,2,36.5,42.6,42.1,2200,40.4
PI 656088,HN,4,40,3,41.7,37.7,32.6,2201,37.33333333
PI 533822,HN,4,39,3,29.5,30.7,32.6,2202,30.93333333
PI 533757,HN,4,38,3,29.6,30.1,26.7,2203,28.8
PI 656068,HN,4,37,3,32.8,35.7,31.6,2204,33.36666667
PI 655999,HN,4,36,3,33,39.3,35.7,2205,36
PI 534167,HN,4,35,3,32.6,34.7,NA,2206,33.65
PI 656037,HN,4,34,3,35.7,36.4,NA,2207,36.05
PI 564163,HN,4,33,3,30.5,32.8,36.4,2208,33.23333333
PI 656095,HN,4,32,3,36.7,42.9,44.8,2209,41.46666667
PI 595699,HN,4,31,3,32.6,34.8,35.2,2210,34.2
PI 595744,HN,4,40,4,38,41.2,NA,2211,39.6
PI 533799,HN,4,39,4,40.5,31,NA,2212,35.75
PI 656076,HN,4,38,4,34.7,34.6,28.6,2213,32.63333333
PI 656019,HN,4,37,4,28.4,31.7,28.8,2214,29.63333333
PI 534070,HN,4,36,4,38.5,38,38.5,2215,38.33333333
PI 533821,HN,4,35,4,38.5,40.2,NA,2216,39.35
PI 597972,HN,4,34,4,34.7,35.3,36.1,2217,35.36666667
PI 656070,HN,4,33,4,37,40,42,2218,39.66666667
PI 576333,HN,4,32,4,32.6,34.7,36.9,2219,34.73333333
PI 656057,HN,4,31,4,36.1,37.4,38.2,2220,37.23333333
PI 564163,HN,4,40,5,36.5,33,39,2221,36.16666667
PI 655974,HN,4,39,5,37.8,39.2,36,2222,37.66666667
PI 576352,HN,4,38,5,35.9,35.7,31.8,2223,34.46666667
PI 641824,HN,4,37,5,31.3,33.9,28.8,2224,31.33333333
PI 576422,HN,4,36,5,35.3,34,30.7,2225,33.33333333
PI 534116,HN,4,35,5,33.5,34.8,NA,2226,34.15
PI 656055,HN,4,34,5,39.6,42.5,NA,2227,41.05
PI 533996,HN,4,33,5,30.8,31.2,40.2,2228,34.06666667
PI 655988,HN,4,32,5,32.7,33.4,35.8,2229,33.96666667
PI 533856,HN,4,31,5,34.8,38.2,NA,2230,36.5
PI 17548,HN,4,40,6,26.5,32.6,26.8,2231,28.63333333
PI 656082,HN,4,39,6,30.4,28.7,26.6,2232,28.56666667
PI 656089,HN,4,38,6,29.8,28.4,NA,2233,29.1
PI 656101,HN,4,37,6,25,24.7,31.3,2234,27
PI 576375,HN,4,36,6,35.8,24.8,30,2235,30.2
PI 533814,HN,4,35,6,34.2,35.4,36.1,2236,35.23333333
PI 534127,HN,4,34,6,32.9,33.6,34.8,2237,33.76666667
PI 533924,HN,4,33,6,30.6,34.2,NA,2238,32.4
PI 656103,HN,4,32,6,30.8,32.7,33.5,2239,32.33333333
PI 534047,HN,4,31,6,30.5,31.8,32.2,2240,31.5
PI 597946,HN,4,40,7,33.6,30.4,36.1,2241,33.36666667
PI 597966,HN,4,39,7,40.3,31.3,27.6,2242,33.06666667
PI 595743,HN,4,38,7,27.4,39.6,42.2,2243,36.4
PI 533838,HN,4,37,7,28.4,30.8,29.2,2244,29.46666667
PI 533903,HN,4,36,7,36.2,33.5,32.4,2245,34.03333333
PI 534132,HN,4,35,7,41.2,30.3,NA,2246,35.75
PI 533766,HN,4,34,7,35.5,30.2,27.8,2247,31.16666667
PI 533831,HN,4,33,7,27,31.4,25.3,2248,27.9
PI 534145,HN,4,32,7,30.5,39.5,33.4,2249,34.46666667
PI 576340,HN,4,31,7,28.4,27.5,23.2,2250,26.36666667
PI 656121,HN,4,40,8,26.7,36.6,34.2,2251,32.5
PI 576425,HN,4,39,8,39.6,40.7,45.8,2252,42.03333333
PI 533830,HN,4,38,8,40.8,45.1,35.4,2253,40.43333333
PI 655993,HN,4,37,8,32.8,31.6,27.8,2254,30.73333333
PI 533760,HN,4,36,8,26.6,NA,NA,2255,26.6
PI 641849,HN,4,35,8,31.2,35,37.3,2256,34.5
PI 656053,HN,4,34,8,32.7,41.3,35.3,2257,36.43333333
PI 564163,HN,4,33,8,37.3,34.6,33,2258,34.96666667
PI 629040,HN,4,32,8,35.3,43.9,45.5,2259,41.56666667
PI 533902,HN,4,31,8,43.8,27.9,41.5,2260,37.73333333
PI 576359,HN,4,40,9,30.2,35.7,32.2,2261,32.7
PI 534037,HN,4,39,9,34.7,29.3,35.3,2262,33.1
PI 656002,HN,4,38,9,41.6,37.2,43.6,2263,40.8
PI 533843,HN,4,37,9,45.9,38.3,42.7,2264,42.3
PI 656079,HN,4,36,9,30.6,33.7,27.9,2265,30.73333333
PI 533754,HN,4,35,9,38.2,37.5,35.6,2266,37.1
PI 534144,HN,4,34,9,40.7,35.6,30,2267,35.43333333
PI 656051,HN,4,33,9,18.9,28.7,14.5,2268,20.7
PI 656036,HN,4,32,9,37.5,35,24,2269,32.16666667
PI 533955,HN,4,31,9,34.1,30.1,35.7,2270,33.3
PI 659695,HN,4,40,10,45,51.7,49.5,2271,48.73333333
PI 533940,HN,4,39,10,33.1,32.7,38.1,2272,34.63333333
PI 655995,HN,4,38,10,48.3,48.2,51.7,2273,49.4
PI 656106,HN,4,37,10,42.7,43.2,43.4,2274,43.1
PI 597982,HN,4,36,10,41.6,35.3,36.4,2275,37.76666667
PI 564163,HN,4,35,10,35.3,30.1,29.8,2276,31.73333333
PI 548797,HN,4,34,10,33.1,28.2,NA,2277,30.65
PI 329440,HN,4,33,10,27,31.5,30.7,2278,29.73333333
PI 659691,HN,4,32,10,31.6,31.6,30.8,2279,31.33333333
PI 34911,HN,4,31,10,29.6,29.8,NA,2280,29.7
PI 601816,HN,4,40,11,30.9,27.9,32.5,2281,30.43333333
PI 561071,HN,4,39,11,35.9,36.8,34.5,2282,35.73333333
PI 656113,HN,4,38,11,28.2,40.4,30.3,2283,32.96666667
PI 565121,HN,4,37,11,32.6,30.3,33.6,2284,32.16666667
PI 576399,HN,4,36,11,43.4,35.8,32.6,2285,37.26666667
PI 574455,HN,4,35,11,32.6,38.8,17.6,2286,29.66666667
PI 655979,HN,4,34,11,32.5,29.8,41.3,2287,34.53333333
PI 533863,HN,4,33,11,33,30.1,32,2288,31.7
PI 534021,HN,4,32,11,27.8,24.4,24.7,2289,25.63333333
PI 655976,HN,4,31,11,35.2,39.8,35.1,2290,36.7
PI 595741,HN,4,40,12,36.1,33.7,29.4,2291,33.06666667
PI 534124,HN,4,39,12,37.2,NA,NA,2292,37.2
PI 564163,HN,4,38,12,45.3,48.5,34.3,2293,42.7
PI 533949,HN,4,37,12,52.2,36.7,45.3,2294,44.73333333
PI 534133,HN,4,36,12,48.2,18,52.3,2295,39.5
PI 656001,HN,4,35,12,38.6,32.8,39.6,2296,37
PI 655973,HN,4,34,12,39.2,33.5,33,2297,35.23333333
PI 656091,HN,4,33,12,40.6,44.3,46.5,2298,43.8
PI 533938,HN,4,32,12,33.4,36.7,38.5,2299,36.2
PI 576373,HN,4,31,12,32.7,36.4,38.5,2300,35.86666667
PI 656092,HN,4,40,13,37.5,39.6,NA,2301,38.55
PI 659694,HN,4,39,13,35.2,38.3,NA,2302,36.75
PI 534063,HN,4,38,13,31.2,38,39.3,2303,36.16666667
PI 656034,HN,4,37,13,36.5,39.9,42.7,2304,39.7
PI 655991,HN,4,36,13,35.7,36,41.4,2305,37.7
PI 597973,HN,4,35,13,37.2,37.2,41.8,2306,38.73333333
PI 641874,HN,4,34,13,28.1,36.1,27,2307,30.4
PI 656081,HN,4,33,13,37.4,39.6,39.3,2308,38.76666667
PI 656018,HN,4,32,13,35.3,32.1,37,2309,34.8
PI 656104,HN,4,31,13,39,35.5,37.9,2310,37.46666667
PI 597960,HN,4,40,14,26.8,32.5,42.8,2311,34.03333333
PI 597958,HN,4,39,14,37.7,36.5,32.6,2312,35.6
PI 533789,HN,4,38,14,35.2,37,34.7,2313,35.63333333
PI 533758,HN,4,37,14,39.6,32.3,34.5,2314,35.46666667
PI 642791,HN,4,36,14,35.9,38.2,29.8,2315,34.63333333
PI 655998,HN,4,35,14,39.2,41.6,46.5,2316,42.43333333
PI 533965,HN,4,34,14,42.5,44.3,NA,2317,43.4
PI 564163,HN,4,33,14,41.6,42.8,42.5,2318,42.3
PI 597951,HN,4,32,14,45.2,46.9,NA,2319,46.05
PI 533967,HN,4,31,14,35.4,36.1,38.5,2320,36.66666667
PI 656062,HN,4,40,15,23.5,42,NA,2321,32.75
PI 533910,HN,4,39,15,31.5,35.6,36,2322,34.36666667
PI 653617,HN,4,38,15,46,34.7,38.4,2323,39.7
PI 656056,HN,4,37,15,45.7,NA,NA,2324,45.7
PI 534054,HN,4,36,15,36.2,36.7,34.5,2325,35.8
PI 564164,HN,4,35,15,46.9,47.2,NA,2326,47.05
PI 656010,HN,4,34,15,44.6,45.2,46.9,2327,45.56666667
PI 533785,HN,4,33,15,42.3,43.6,45.7,2328,43.86666667
PI 533936,HN,4,32,15,36.9,37.1,38.4,2329,37.46666667
PI 533962,HN,4,31,15,38.5,39,40.7,2330,39.4
PI 534092,HN,4,40,16,35.8,40.6,NA,2331,38.2
PI 533989,HN,4,39,16,34.7,39.5,34.1,2332,36.1
PI 656075,HN,4,38,16,32.3,38.7,32.6,2333,34.53333333
PI 656086,HN,4,37,16,36.2,41,35.7,2334,37.63333333
PI 533948,HN,4,36,16,39,33.6,34,2335,35.53333333
PI 534009,HN,4,35,16,42.6,44.1,46.3,2336,44.33333333
PI 651496,HN,4,34,16,42.4,43.5,46.1,2337,44
PI 655997,HN,4,33,16,41.5,42.6,43.8,2338,42.63333333
PI 533972,HN,4,32,16,40.1,43.9,46.3,2339,43.43333333
PI 533800,HN,4,31,16,35.9,38.6,40.2,2340,38.23333333
PI 655975,HN,4,40,17,39,33.6,34,2341,35.53333333
PI 533901,HN,4,39,17,27.5,28.5,28.5,2342,28.16666667
PI 655992,HN,4,38,17,38.5,38.3,31.9,2343,36.23333333
PI 533761,HN,4,37,17,42.3,33.5,NA,2344,37.9
PI 533759,HN,4,36,17,31,36.2,31.3,2345,32.83333333
PI 597952,HN,4,35,17,31.7,34.8,36.4,2346,34.3
PI 656085,HN,4,34,17,34.5,36.3,42.1,2347,37.63333333
PI 576347,HN,4,33,17,36.2,40.9,42.9,2348,40
PI 576380,HN,4,32,17,40.6,43.1,44.2,2349,42.63333333
PI 655989,HN,4,31,17,32.7,35.4,38.6,2350,35.56666667
PI 656094,HN,4,40,18,31.5,29.7,31.2,2351,30.8
PI 24969,HN,4,39,18,31.2,30,29.7,2352,30.3
PI 595720,HN,4,38,18,34,33.1,34,2353,33.7
PI 534128,HN,4,37,18,47,NA,NA,2354,47
PI 655985,HN,4,36,18,33.5,36.2,31,2355,33.56666667
PI 655986,HN,4,35,18,31.9,35.8,37.6,2356,35.1
PI 534105,HN,4,34,18,35.6,37.4,39.2,2357,37.4
PI 564163,HN,4,33,18,40.8,42.5,43.6,2358,42.3
PI 576394,HN,4,32,18,33.2,34.7,36.8,2359,34.9
PI 533841,HN,4,31,18,29.4,31.6,33.4,2360,31.46666667
