Taxa	SDW.HN	SDW.LN	SFW.HN	SFW.LN	LC.HN	LC.LN	PH.HN	PH.LN
PI152651	0.668663462817068	0.333333331875941	7.18017226065618	1.32989855350577	5.99999999986795	3.93339020682272	33.7543796190548	22.3482535115522
PI17548	0.504030427681512	0.233333335459593	4.0324493523304	1.66724137885996	4.83333333369485	3.93339020682002	30.8195647341385	28.9187991532761
PI24969	1.03719974997585	0.133333335121374	7.00411067177551	1.42758703813917	5.5	4.99999999999997	27.1230893382664	27.6278438376875
PI276837	1.035330129484	0.100000002061183	10.1135055940356	0.671250870881054	5.33333333321314	3.38096109947436	60.2543796189828	21.1021778092553
PI329435	NA	NA	NA	NA	NA	NA	NA	NA
PI329440	0.693124350594729	0.133333333333333	8.36868646837224	0.700000000000002	5.16666666634002	4.49999999999998	34.3391001591856	25.5999999999999
PI34911	0.806024196451154	0.0999999999466656	7.20292450838281	0.699999999999999	6	4.04762776614103	34.7884965634478	17.3999999999999
PI35038	0.799999999999997	0.100000000323214	8.90000000000006	0.817870077442252	5.5	4.00000000000001	43.6000000000047	16.7453652863048
PI48770	0.585024800041893	0.0999999970638228	NA	0.462077836208249	5	3.16666666666668	32.0439485481251	18.0235634605237
PI533750	0.386311947815365	0.200000002191336	5.00837885373383	0.904584204214387	5.66666666666667	3.99519865879685	34.8739111879727	24.568844475922
PI533752	0.694655689862225	0.100000002114517	7.82213695201354	1.03791753754772	4.83333333347326	3.50000000000007	30.8161180361283	20.7355111425886
PI533754	1.19613101626742	0.100000002437732	9.69084798327007	0.506757264449787	5.4999999999922	3.33333333333334	38.3461411031277	16.5372357997119
PI533755	NA	NA	NA	NA	NA	NA	NA	NA
PI533757	0.628263567648733	0.133333335447851	5.81711558246175	0.933908045526626	5.49999999984448	4.16666666666666	33.3922874796332	24.7521324866095
PI533758	0.91964528114869	0.166666668510244	7.34171218706716	1.01059844224603	5.66666666666667	3.84743805955967	33.8072445213063	24.4508999251048
PI533759	0.933333333333348	0.166666666989881	9.7333333333332	1.25120341077559	5.33333333333334	4.16666666666664	32.8333333333376	17.5453652863048
PI533760	0.204034631382537	0.10000000178804	2.68296199512844	0.194253704805837	7	4.25000000000001	30.6047024600156	12.9945105043542
PI533761	1.7	0.166666657094234	15.4499999999999	0.884024913464878	6.5	3.16666666666672	37.9000000000042	14.1407276194934
PI533762	0.46666666666666	0.200000000411775	4.96666666666669	1.6965652201722	5.33333333333333	4.74697130494502	30.266666666671	24.288021588243
PI533766	0.53333333333333	0.0999999905161278	3.66666666666675	0.447358246798211	5.16666666666667	3.48784612350096	31.1666666666707	15.6073942861601
PI533769	0.913562406987526	0.133333333345075	7.97798207305422	1.06666666666667	5.16666666665887	3.90156391680044	35.1898995238797	18.4666666666663
PI533776	0.768663462817334	0.100000002203078	8.61350559403555	1.11059844224603	5.49999999987981	3.82117945683429	33.9543796189783	23.2842332584382
PI533785	1.08710015414358	0.0999999904275673	10.3490952933228	0.634024913464878	6.16666666634002	3.3333333333333	43.3839369290711	19.1740609528267
PI533788	0.874323195817177	0.4	8.25642388621592	2.4	5.83333333353932	3.99999999999997	46.6574264640782	28.3
PI533789	1.0093410478427	0.0999999999999999	9.09553526995735	0.566666666666665	5.66666666651114	4.00000000000001	33.2763833806694	17.8666666666663
PI533792	0.701996796150664	0.266666666743485	7.66350559403558	0.966666666666665	5.16666666654648	4.14126250813739	37.8543796189832	23.5666666666663
PI533794	0.85025781264795	0.0999999997290603	7.04408466818371	0.900000000000002	4.83333333354712	3.180771392893	28.4206620471246	22.3333333333332
PI533799	1.49999999999981	0.2	14.1999999999668	1.4	5.25	4.24999999999997	35.7500000000671	24.8999999999999
PI533800	1.07472800457662	0.0999999997290603	9.89294921665158	0.800000000000002	6.5	3.680771392893	41.787233320784	20.0666666666663
PI533807	0.374994606032795	0.100000002449474	5.21468957348272	1.07342393111645	4.9999999999922	4.40156391680044	25.3334175702801	19.9705691330453
PI533810	NA	0.133333335394516	NA	0.833908045526627	5.16666666666667	3.2142944328077	36.0000000000047	24.2854658199428
PI533814	0.62946434960076	NA	5.99084798327006	NA	5.16666666665887	3.33333333333331	36.4794744364574	22.3666666666663
PI533821	1.37946434960057	0.599999990450933	16.2408479832367	2.58402491346488	6.2499999999922	5.11137509782425	40.5961411031891	23.8073942861601
PI533822	0.771901134288065	0.133333333333333	8.02995916623826	0.866666666666669	5.33333333333333	4.16666666666667	36.2231486202701	18.3999999999996
PI533824	0.253540029202949	0.200000000400033	3.64216345109415	1.3465652201722	5.33333333303009	4.82853199213018	31.2590803278705	21.138021588243
PI533830	0.593730398076531	0.100000002137883	6.00345174468531	0.598569966182744	6.49999999984448	4.27804176449092	43.7405079860454	20.582040071304
PI533831	0.287100154143575	0.133333335394516	2.88242862665615	1.01059844224603	4.66666666634002	3.04762776614103	27.4172702624089	19.4842332584382
PI533833	0.766666666666671	0.166666667313095	8.63333333333344	0.927558438448165	6	4.00000000000001	36.1666666666721	22.0017386042614
PI533838	0.433333333333328	0.15	3.66666666666672	0.999999999999999	6	4.25	29.4666666666706	22.9999999999999
PI533839	0.500000000000007	0.100000000334956	5.46666666666675	0.651203410775585	5.33333333333334	3.93339020682002	32.2000000000025	16.2120319529714
PI533841	0.987199749975847	0.100000001788041	8.53744400510882	0.594253704805836	5.66666666666667	3.66666666666667	28.2897560049337	15.6278438376875
PI533842	NA	NA	NA	NA	NA	NA	NA	NA
PI533843	0.433333333333329	0.100000002114517	4.33333333333343	0.533908045526627	5.83333333333333	3.49999999999998	42.3000000000057	15.3854658199428
PI533845	0.761306553848156	0.266666668858002	7.35640176054982	1.29856996618274	5.66666666665887	4.47459584147073	30.9406620915826	24.8153734046374
PI533852	0.500000000000007	0.199999990504386	5.26666666666661	0.650691580131544	6	3.82853199213018	28.3000000000048	14.1407276194934
PI533855	0.81367315434595	0.1666666670667	8.99242767356369	0.751203410775585	5.5	4.47459584147073	24.4183793888664	15.9120319529714
PI533856	1.42009062512173	0.166666666666667	10.3564361670033	0.799999999999999	6.25	4.00000000000006	35.6897061082722	13.9999999999999
PI533863	0.605458287518803	0.1	7.01946161794775	0.533333333333336	5.49999999967335	3.33333333333332	33.1612188105298	17.5999999999996
PI533866	0.284345089334197	0.133333333333333	3.34281875623167	0.866666666666665	6	3.49999999999997	18.3473844640062	21.3999999999996
PI533869	0.690989862483846	0.233333335198192	6.73975721954906	1.19425370480584	5.33333333353932	4.14126250813739	35.0574264640804	23.4278438376875
PI533871	0.751011756000868	0.200000001799783	7.75948542289831	0.82758703813917	6.75	4.73489725013378	25.7140511306733	30.4278438376875
PI533876	0.333333333333333	0.100000000011742	3.4666666666668	0.700000000000002	5.16666666666667	3.40156391680044	28.1666666666727	20.4999999999996
PI533877	0.689357529784486	0.166666666989881	6.90292450838284	0.684536744108918	5.83333333333333	4.00000000000001	35.8884965634475	17.8786986196381
PI533878	0.845085231154525	0.133333331865245	8.08779240715262	1.06323188683888	5.2499999999922	3.5	33.5897903452146	23.4482535115267
PI533882	NA	NA	NA	NA	NA	NA	NA	NA
PI533901	0.766666666666673	0.100000000323214	7.89999999999992	0.596565220172197	5.83333333333333	4.33333333333335	28.1666666666709	14.388021588243
PI533902	0.870701298049197	0.100000000593095	8.1162953284618	0.527558438448165	5.16666666666667	3.38096109947436	41.7380357933495	14.9017386042614
PI533903	0.466666666666674	0.200000000076818	4.80000000000004	1.2	5.83333333333333	4.14126250813739	34.0333333333372	23.3333333333329
PI533910	0.700000000000002	0.200000001788041	8.90000000000003	0.794253704805837	5.83333333333334	4.16666666666664	34.366666666666	23.2278438376875
PI533911	0.550257812647941	0.100000002114517	4.97741800151703	0.93791753754772	4.50000000021379	4.00000000000006	27.3539953804594	25.7355111425886
PI533912	NA	0.166666663807308	NA	0.895411169541582	5.66666666666667	4.14126250813739	46.5563727749388	20.4902301271903
PI533913	NA	NA	NA	NA	NA	NA	NA	NA
PI533915	1.0052344676214	0.233333333603213	9.5632924995716	1.08453674410892	5.66666666666667	3.54762776614103	42.6898152869371	23.0453652863048
PI533919	0.841394671243283	0.26666666373049	8.35961588331829	1.12874450287492	5.16666666666667	3.66666666666665	43.0872333207839	24.5235634605237
PI533921	NA	0.0999999999999998	NA	0.8	NA	4.49999999999997	NA	20.0999999999997
PI533924	0.43710015414358	0.100000002437732	5.56576195998952	0.673423931116454	5.24999999967335	4	31.9172702624071	15.6039024663786
PI533927	0.590621058479697	0.1	6.53917495688518	0.733333333333336	4.6666666668066	3.66666666666672	32.3114155761184	20.1666666666663
PI533936	0.766666666666676	0.100000000323214	7.79999999999997	0.817870077442252	5.66666666666667	3.99999999999996	37.4666666666658	18.9453652863048
PI533937	0.664182499418472	0.166666668781184	7.17257227604475	1.03190329951608	5.83333333303008	3.83333333333333	32.5372504310923	24.982040071304
PI533938	0.880339821012624	0.13333333405658	9.45909434023029	0.794225105114831	5.66666666666667	3.30792917480406	33.3517127221992	20.7350719375947
PI533939	0.574323195817183	0.1	5.7564238862159	0.36666666666667	5.50000000020599	3.49999999999997	35.7907597974119	24.1666666666663
PI533940	0.422690863117821	0.166666665198578	4.70292450838284	0.729898553505547	6.16666666666667	3.83333333333332	39.7218298967805	15.3149201781934
PI533943	0.649207299460356	0.166666666666667	6.89960526733634	1.03333333333333	5.49999999969675	3.66666666666672	36.8478656458814	23.0999999999996
PI533948	1.07472800457662	0.266666666690032	10.3262825499849	0.999999999999999	5.16666666666667	3.77804176449092	39.0872333207834	22.4666666666665
PI533949	0.847006487679279	0.100000002114517	8.12576100689698	0.804584204214387	6.33333333333333	4.16666666666664	41.8850460555327	20.9355111425886
PI533954	0.729464349600754	0.133333334068323	9.12418131660332	0.894225105114831	5.9999999999922	3.91363797161169	39.612807769793	25.1350719375947
PI533955	0.800000000000002	0.166666666395727	7.46666666666677	1.13333333333333	5.5	3.680771392893	33.3000000000062	24.0999999999997
PI533956	NA	NA	NA	NA	NA	NA	NA	NA
PI533957	0.852978614482029	0.266666668454707	9.84171218706722	1.3609203714725	6.16666666666667	4.33333333333339	37.9739111879735	25.1611771710208
PI533961	1.00557717066174	0.166666668401373	10.2655214926963	1.1609203714725	6.16666666636342	4.78732635747795	42.6244837518734	25.2945105043542
PI533962	1.13333333333334	0.100000000375489	9.6	0.560891771781498	5.66666666666667	3.51410472622633	39.4	18.5350719375948
PI533964	0.599999999999817	0.100000002114517	5.73333333330008	1.51059844224603	5.5	3.66666666666665	45.8666666667336	22.1175665917715
PI533965	1.30297861448203	0.100000002114517	10.6583788537339	0.743931775579361	5.5	3.66666666666667	41.7405778546398	18.3175665917715
PI533967	1.05297861448203	0.100000000011742	8.24171218706717	0.666666666666665	6.16666666666667	3.73489725013377	35.0072445213069	16.8999999999999
PI533970	0.103866416642517	0.200000000088561	1.73744400510882	1.35	5.33333333333333	5.07117945683429	31.5230893382662	27.2999999999999
PI533972	1.64139467124329	0.233333333410152	14.3596158833182	1.1	5.5	3.82853199213018	46.9872333207832	20.3999999999996
PI533976	0.500000000000004	0.133333333345075	5.76666666666679	0.733333333333335	5.66666666666667	3.40156391680044	34.5000000000024	15.1333333333332
PI533979	0.946224330105238	0.133333335459593	9.41971638578739	0.83791753754772	5.50000000020599	4.73489725013378	44.4139084176796	19.768844475922
PI533980	0.418048916060975	0.1	2.6100162811535	0.466666666666668	5.49999999969675	4.16666666666664	30.527006436023	16.2999999999999
PI533985	0.8707012980492	0.200000002114517	10.6162953284618	1.16724137885996	4.83333333333334	4.16666666666668	42.3380357933487	20.6854658199428
PI533986	1.09062105847951	0.200000000088561	10.7391749568518	1.2	5.1666666668066	4.49697130494502	30.4447489095132	23.05
PI533987	0.666666666666673	0.133333333656548	7.00000000000001	1.18453674410892	4.83333333333334	4.16666666666665	37.9000000000044	20.3453652863048
PI533989	1.14139467124328	0.100000000088561	9.62628254998494	0.666666666666666	5.16666666666667	3.41363797161169	39.65389998745	22.4333333333331
PI533991	0.733333333333332	0.299999998555277	7.63333333333336	1.16323188683888	6.25	3.61137509782425	40.4000000000049	23.5815868448601
PI533996	0.540524112598639	0.15000000008856	4.38886479365939	0.800000000000002	5.33333333300669	3.32117945683429	32.7736430373433	17.6666666666663
PI533997	0.600000000000001	0.100000002191336	6.1666666666667	0.571250870881054	5.66666666666667	3.97459584147073	42.5333333333381	21.2355111425886
PI534009	1.37085902084404	0.099999997063823	11.0171305332549	0.355411169541583	5.16666666665887	4	49.1333744239054	23.956896793857
PI534021	0.818358133375235	0.2333333237609	8.97036632462497	0.917358246798211	5.16666666666667	3.49999999999997	27.5772818814579	16.7407276194934
PI534028	0.630597633660558	0.233333331942063	5.53651234174729	1.02989855350555	4.50000000021379	3.97459584147073	22.9390414359883	23.4149201781934
PI534037	0.833333333333335	0.100000000400033	7.1666666666668	0.684536744108918	6.16666666666667	3.99519865879685	33.1000000000057	20.4453652863048
PI534046	0.284345089334203	0.100000001876601	3.44281875623163	0.594253704805837	6	3.91363797161169	20.5807177973399	23.1611771710208
PI534047	0.700000000000005	0.166666666666666	6.10000000000009	0.800000000000002	5.83333333333333	3.66666666666668	31.5000000000026	18.4333333333332
