Rank	Sample_ID	Race	resistance_score	SDW.HN	SDW.LN	SDW.NR	SFW.HN	SFW.LN	SFW.NR	LC.HN	LC.LN	LC.NR	PH.HN	PH.LN	PH.NR	Selection_basis
1	PI533824	Bicolor	0.53	0.253540029202949	0.200000000400033	0.267700143479136	3.64216345109415	1.3465652201722	1.7047805754469	5.33333333303009	4.82853199213018	0.104545510255014	31.2590803278705	21.138021588243	0.478808231762657	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
2	PI534028	Bicolor	0.64	0.630597633660558	0.233333331942063	1.70256130323093	5.53651234174729	1.02989855350555	4.37578417107414	4.50000000021379	3.97459584147073	0.132190587345013	22.9390414359883	23.4149201781934	-0.0203237396746837	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
3	PI656099	Bicolor	0.695	0.36666666666667	0.133333333656548	1.74999999333372	4.30000000000005	0.92989855350553	3.62416032780126	4	3.66666666666666	0.0909090909090929	22.866666666671	23.588021588243	-0.0305814084014381	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
4	PI534148	Bicolor	0.74	0.450257812647942	0.166666666989881	1.70154687064858	3.77741800151707	1.12989855350553	2.34314792226042	4.83333333354713	3.66666666666663	0.31818181824014	29.8873287137945	26.688021588243	0.119878017745643	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
5	PI656046	Bicolor	0.81	0.551011756000867	0.166666666718941	2.30607053496827	4.14281875623166	1.05120341077559	2.94102484235191	5	3.84743805955967	0.299566080752509	25.0140511306727	22.8453652863048	0.0949289195943814	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
6	PI655986	Bicolor	0.9	0.599997432909935	0.35000000178804	0.714278370984962	5.96162532171211	1.39425370480584	3.27585402940874	6.66666666665887	4.66666666666673	0.428571428569738	33.1692304413884	23.3278438376875	0.421872963149795	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
7	PI656086	Bicolor	0.94	1.14139467124328	0.500000000011742	1.28278934243295	10.8929492166516	2.6	3.18959585255831	5.83333333333333	4.26672354015336	0.367169276011649	41.1872333207834	26.3999999999997	0.560122474272116	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
8	PI656108	Bicolor	0.966667	0.231018802483949	0.399999990427567	-0.422452979968802	2.58428074853213	1.63402491346488	0.581543051906273	4.66666666665887	3.00000000000007	0.55555555555292	32.3885808003901	22.3407276194934	0.449754965551321	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
9	PI598070	Bicolor	1.013333	0.366666666666674	0.166666667313095	1.19999999146719	3.26666666666677	0.460891771781498	6.08770879992071	5.16666666666667	4.66666666666667	0.107142857142857	31.0333333333352	24.5684052709281	0.263139914500559	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
10	PI656077	Bicolor	1.106667	0.566666666666661	0.233333333603214	1.42857142576244	5.93333333333339	1.02989855350553	4.76108521867298	5.5	4.2142944328077	0.305082045806591	35.2333333333378	22.6546882549096	0.555233642453774	Lower composite NR across SDW, SFW, LC, and PH; LN biomass used as a secondary tie-breaker
