species	group	n	total_snp	median_abs_per_total_snp	mean_abs_per_total_snp	median_abs_per_1k_snp
maize	improved	1110	22982800	0.00332883031664984	0.00314244039921919	3.32883031664984
maize	landrace	26	22982800	0.00333170868647423	0.00333981918798975	3.33170868647423
maize	wild	20	22982800	0.00266527288911708	0.00264360901605549	2.66527288911708
sorghum	improved	128	29236924	0.0058256527449861	0.00595880488170992	5.8256527449861
sorghum	landrace	101	29236924	0.00726890973466976	0.00709194219493917	7.26890973466976
sorghum	wild	49	29236924	0.0108711122135933	0.0111547002925167	10.8711122135933
sunflower	landrace	18	11391308	0.00355791926443829	0.00375780505793589	3.55791926443829
sunflower	improved	288	11391308	0.00926543484862318	0.00920111944318928	9.26543484862318
sunflower	wild	26	11391308	0.0017327069755554	0.00158258006995367	1.7327069755554
