species	group	n	median_abs_per_ndel	mean_abs_per_ndel	median_ratio_vs_wild
sorghum	improved	128	7.97562531120621	7.97735392786281	1.00263116686094
sorghum	landrace	101	7.9692254465617	7.97052472824089	1.00182662759211
sorghum	wild	49	7.95469518085749	7.95450670254857	1
maize	improved	1110	5.66270483733837	5.6615146581786	1.01199928350066
maize	landrace	26	5.63814808333749	5.63753758311996	1.00761067096162
maize	wild	20	5.59556210133887	5.59640916557633	1
sunflower	landrace	18	4.89988198552404	4.90259587580946	0.988767486261227
sunflower	improved	288	4.88489838762294	4.88442536755592	0.985743883963134
sunflower	wild	26	4.9555452152373	4.97024028703639	1
