sample	cutoff	miss	Genetic_load	N_del
PI534096_PI534096	25%	miss50	-488552.3567636	52310
PI534097_PI534097	25%	miss50	-1628056.9787748	162826
PI534099_PI534099	25%	miss50	-1246376.6705087	126458
PI534101_PI534101	25%	miss50	-1169965.4578343	152172
PI534105_PI534105	25%	miss50	-1151114.2804552	114135
PI534108_PI534108	25%	miss50	-1124316.1813513	113502
PI534112_PI534112	25%	miss50	-1143611.6025559	169974
PI534114_PI534114	25%	miss50	-1268732.8557098	126424
PI534115_PI534115	25%	miss50	-1297837.6436503	130558
PI534116_PI534116	25%	miss50	-1026498.3822707	105697
PI534117_PI534117	25%	miss50	-1105433.0790598	112341
PI534123_PI534123	25%	miss50	-1208494.1355223	122618
PI534124_PI534124	25%	miss50	-1070303.4532449	110662
PI534127_PI534127	25%	miss50	-1595660.0961403	173694
PI534128_PI534128	25%	miss50	-1622620.0043608	166038
PI534132_PI534132	25%	miss50	-1415518.1273075	175749
PI534133_PI534133	25%	miss50	-1557780.3531628	158574
PI534135_PI534135	25%	miss50	-1395860.3320626	141290
PI534137_PI534137	25%	miss50	-1450085.3055102	145883
PI534138_PI534138	25%	miss50	-996957.0093491	101232
PI534139_PI534139	25%	miss50	-1594245.2698829	158615
PI534144_PI534144	25%	miss50	-1392563.1377237	152280
PI534145_PI534145	25%	miss50	-1107548.044813	112733
PI534148_PI534148	25%	miss50	-1373321.3495032	138546
PI534155_PI534155	25%	miss50	-1195542.191165	124737
PI534157_PI534157	25%	miss50	-1424548.8987428	189942
PI534163_PI534163	25%	miss50	-1303863.9732618	132513
PI534167_PI534167	25%	miss50	-1366509.0867088	140406
PI540816_PI540816	25%	miss50	-1502803.2789865	150254
PI542406_PI542406	25%	miss50	-1087997.1511262	111076
PI542718_PI542718	25%	miss50	-1654466.5233862	164499
PI548797_PI548797	25%	miss50	-1395626.623636	139406
PI552856_PI552856	25%	miss50	-1286744.1495372	128068
PI552861_PI552861	25%	miss50	-1156704.7170982	115159
PI561071_PI561071	25%	miss50	-1497595.594504	149385
PI561072_PI561072	25%	miss50	-1386937.0450805	137878
PI561073_PI561073	25%	miss50	-1637169.3407489	165368
PI561472_PI561472	25%	miss50	-1666077.9123565	177195
PI562730_PI562730	25%	miss50	-1185823.7989412	120247
PI564163_PI564163	25%	miss50	-1120795.0604882	114114
PI564164_PI564164	25%	miss50	-1559842.3804647	171313
PI564165_PI564165	25%	miss50	-1640501.990362	165904
PI565121_PI565121	25%	miss50	-1145764.6257179	113142
PI566819_PI566819	25%	miss50	-1278024.799944	129412
PI576130_PI576130	25%	miss50	-1486748.4086373	147361
PI576332_PI576332	25%	miss50	-1489288.2414627	148528
PI576333_PI576333	25%	miss50	-1300402.2798612	129266
PI576337_PI576337	25%	miss50	-1162024.3564772	170370
PI576339_PI576339	25%	miss50	-1297020.5080562	128782
PI576340_PI576340	25%	miss50	-1293709.4608649	128479
PI576345_PI576345	25%	miss50	-1100143.7226401	109305
PI576347_PI576347	25%	miss50	-1229675.1225168	155792
PI576348_PI576348	25%	miss50	-825722.6767221	98776
PI576349_PI576349	25%	miss50	-913060.881295298	95470
PI576350_PI576350	25%	miss50	-1085053.549478	164039
PI576352_PI576352	25%	miss50	-1287652.8339232	127994
PI576359_PI576359	25%	miss50	-1367903.3863323	137628
PI576364_PI576364	25%	miss50	-1340549.8650588	133551
PI576366_PI576366	25%	miss50	-1199398.6161404	122349
PI576373_PI576373	25%	miss50	-1118207.8833192	111520
PI576375_PI576375	25%	miss50	-1402956.7830359	142346
PI576376_PI576376	25%	miss50	-1450682.4618393	191049
PI576380_PI576380	25%	miss50	-1294843.3034485	128726
PI576381_PI576381	25%	miss50	-1546982.3402644	156059
PI576385_PI576385	25%	miss50	-1370615.4991534	137325
PI576386_PI576386	25%	miss50	-1124240.6825964	112296
PI576387_PI576387	25%	miss50	-1132228.5552386	112864
PI576390_PI576390	25%	miss50	-1545099.7940648	154780
PI576391_PI576391	25%	miss50	-1571036.9779001	158380
PI576393_PI576393	25%	miss50	-1100857.4204539	122294
PI576394_PI576394	25%	miss50	-1566114.6185869	155646
