sample	cutoff	miss	Genetic_load	N_del
PI533964_PI533964	10%	miss50	-621480.0263516	51034
PI533965_PI533965	10%	miss50	-694552.008043	57665
PI533967_PI533967	10%	miss50	-655122.2669289	54705
PI533970_PI533970	10%	miss50	-656472.5575739	54767
PI533972_PI533972	10%	miss50	-504734.4105695	41695
PI533976_PI533976	10%	miss50	-597496.8748451	50021
PI533979_PI533979	10%	miss50	-730269.6082875	59630
PI533980_PI533980	10%	miss50	-598396.0644184	49397
PI533985_PI533985	10%	miss50	-530116.987212	43958
PI533986_PI533986	10%	miss50	-551548.9853918	45327
PI533987_PI533987	10%	miss50	-531042.8753078	43775
PI533989_PI533989	10%	miss50	-573718.8223107	50120
PI533991_PI533991	10%	miss50	-562387.9797473	46453
PI533996_PI533996	10%	miss50	-546356.5026467	45806
PI533997_PI533997	10%	miss50	-497144.4461265	42574
PI534009_PI534009	10%	miss50	-670974.6397305	56435
PI534021_PI534021	10%	miss50	-619423.1024181	52035
PI534028_PI534028	10%	miss50	-704243.551903901	59050
PI534037_PI534037	10%	miss50	-611332.166078	51157
PI534046_PI534046	10%	miss50	-571055.6156534	47600
PI534047_PI534047	10%	miss50	-589261.7089173	49341
PI534053_PI534053	10%	miss50	-633180.0503936	52209
PI534054_PI534054	10%	miss50	-538240.0787181	44228
PI534063_PI534063	10%	miss50	-605904.563776	50504
PI534070_PI534070	10%	miss50	-613866.6088995	51167
PI534075_PI534075	10%	miss50	-559683.8706409	47621
PI534079_PI534079	10%	miss50	-537839.5134283	45175
PI534088_PI534088	10%	miss50	-572415.8773136	47678
PI534092_PI534092	10%	miss50	-640812.4573553	57976
PI534096_PI534096	10%	miss50	-198606.422701	17106
PI534097_PI534097	10%	miss50	-786194.5968433	65159
PI534099_PI534099	10%	miss50	-592291.6014542	49677
PI534101_PI534101	10%	miss50	-558115.1310325	60085
PI534105_PI534105	10%	miss50	-545751.2297654	44615
PI534108_PI534108	10%	miss50	-530901.8376158	44222
PI534112_PI534112	10%	miss50	-542483.3757033	66448
PI534114_PI534114	10%	miss50	-607816.4084524	50117
PI534115_PI534115	10%	miss50	-623148.1439563	51814
PI534116_PI534116	10%	miss50	-478545.3423793	40552
PI534117_PI534117	10%	miss50	-513870.3276514	42927
PI534123_PI534123	10%	miss50	-572640.2883881	47950
PI534124_PI534124	10%	miss50	-501864.4321753	42747
PI534127_PI534127	10%	miss50	-772439.0884315	69962
PI534128_PI534128	10%	miss50	-791413.4332546	67051
PI534132_PI534132	10%	miss50	-693843.2296415	70755
PI534133_PI534133	10%	miss50	-763586.8166397	64217
PI534135_PI534135	10%	miss50	-682099.2710309	56913
PI534137_PI534137	10%	miss50	-701551.9977932	58490
PI534138_PI534138	10%	miss50	-461738.3593871	38505
PI534139_PI534139	10%	miss50	-766010.4102181	63171
PI534144_PI534144	10%	miss50	-660727.5855275	59859
PI534145_PI534145	10%	miss50	-524830.6527175	43848
PI534148_PI534148	10%	miss50	-653094.4630466	54536
PI534155_PI534155	10%	miss50	-572320.1294574	49308
PI534157_PI534157	10%	miss50	-689873.6033626	75923
PI534163_PI534163	10%	miss50	-621754.9252988	52321
PI534167_PI534167	10%	miss50	-662278.3016568	56093
PI540816_PI540816	10%	miss50	-723913.6869145	60025
PI542406_PI542406	10%	miss50	-505073.6597911	42575
PI542718_PI542718	10%	miss50	-797454.9649417	65687
PI548797_PI548797	10%	miss50	-663745.0602697	54953
PI552856_PI552856	10%	miss50	-617970.7459991	50778
PI552861_PI552861	10%	miss50	-548822.3483822	45057
PI561071_PI561071	10%	miss50	-725246.004915399	59933
PI561072_PI561072	10%	miss50	-668136.0713203	54790
PI561073_PI561073	10%	miss50	-784296.3980768	65779
PI561472_PI561472	10%	miss50	-808345.2781727	71481
PI562730_PI562730	10%	miss50	-557607.2193666	46726
PI564163_PI564163	10%	miss50	-529107.1024427	44353
PI564164_PI564164	10%	miss50	-762298.5922981	69264
PI564165_PI564165	10%	miss50	-805267.4100692	67346
PI565121_PI565121	10%	miss50	-544914.1671983	44440
PI566819_PI566819	10%	miss50	-606469.5537655	50675
PI576130_PI576130	10%	miss50	-713626.0611253	58636
PI576332_PI576332	10%	miss50	-710228.2088862	58485
PI576333_PI576333	10%	miss50	-618050.7397315	50708
PI576337_PI576337	10%	miss50	-548266.0499638	66450
PI576339_PI576339	10%	miss50	-619248.5237979	50730
PI576340_PI576340	10%	miss50	-614336.5480348	50271
PI576345_PI576345	10%	miss50	-513702.8985071	41940
PI576347_PI576347	10%	miss50	-575584.2777993	60658
PI576348_PI576348	10%	miss50	-374382.5809838	36611
PI576349_PI576349	10%	miss50	-424963.7918147	36495
PI576350_PI576350	10%	miss50	-506969.0841071	62928
PI576352_PI576352	10%	miss50	-614998.4963586	50466
PI576359_PI576359	10%	miss50	-649400.645419	53843
PI576364_PI576364	10%	miss50	-639667.1120401	52576
PI576366_PI576366	10%	miss50	-564060.9280062	47348
PI576373_PI576373	10%	miss50	-525339.7014442	43097
PI576375_PI576375	10%	miss50	-683924.3353414	57289
PI576376_PI576376	10%	miss50	-699086.7628634	76058
PI576380_PI576380	10%	miss50	-622328.0090109	51220
PI576381_PI576381	10%	miss50	-744606.671687	62232
PI576385_PI576385	10%	miss50	-660995.7333328	54591
PI576386_PI576386	10%	miss50	-532400.7079453	43828
PI576387_PI576387	10%	miss50	-535962.896437	44083
PI576390_PI576390	10%	miss50	-741941.613875099	61425
PI576391_PI576391	10%	miss50	-750809.6923685	62634
PI576393_PI576393	10%	miss50	-518514.3730486	47648
PI576394_PI576394	10%	miss50	-754146.8477796	61990
PI576396_PI576396	10%	miss50	-534875.6081481	44040
PI576399_PI576399	10%	miss50	-550857.4684021	46496
PI576401_PI576401	10%	miss50	-787033.8841668	65497
PI576418_PI576418	10%	miss50	-560003.2222491	46777
PI576422_PI576422	10%	miss50	-613617.791742	50138
PI576425_PI576425	10%	miss50	-678344.865713	82013
PI576426_PI576426	10%	miss50	-554214.0595536	46600
PI576428_PI576428	10%	miss50	-697726.0458099	57634
PI576434_PI576434	10%	miss50	-566708.4865738	47687
PI576435_PI576435	10%	miss50	-724362.2351998	59750
PI576437_PI576437	10%	miss50	-620322.7297471	51624
PI585291_PI585291	10%	miss50	-806209.693218801	98611
PI585295_PI585295	10%	miss50	-570086.386435	46926
PI595699_PI595699	10%	miss50	-602957.7294937	49734
PI595702_PI595702	10%	miss50	-619690.2597	50761
PI595714_PI595714	10%	miss50	-689681.0184015	57107
PI595718_PI595718	10%	miss50	-614092.5600835	51116
PI595720_PI595720	10%	miss50	-653376.0913561	54936
PI595739_PI595739	10%	miss50	-522410.0375399	42906
PI595740_PI595740	10%	miss50	-680033.3908681	76330
PI595741_PI595741	10%	miss50	-712308.9218232	59154
PI595743_PI595743	10%	miss50	-717830.3363916	74884
PI595744_PI595744	10%	miss50	-501268.1985696	41152
PI595745_PI595745	10%	miss50	-483530.7732472	40056
PI597945_PI597945	10%	miss50	-719294.5034843	60537
PI597946_PI597946	10%	miss50	-651255.4362631	54337
PI597949_PI597949	10%	miss50	-619395.2202069	51337
PI597950_PI597950	10%	miss50	-477346.6616463	40315
PI597951_PI597951	10%	miss50	-739324.7317239	61346
PI597952_PI597952	10%	miss50	-711770.2430644	104623
PI597957_PI597957	10%	miss50	-628346.7715288	74993
PI597958_PI597958	10%	miss50	-670130.456315	55188
PI597960_PI597960	10%	miss50	-462142.9500007	38595
PI597961_PI597961	10%	miss50	-532362.5792228	44110
PI597964_PI597964	10%	miss50	-577124.7969293	47726
PI597965_PI597965	10%	miss50	-576167.3520951	47571
PI597966_PI597966	10%	miss50	-641530.7980905	52453
PI597967_PI597967	10%	miss50	-576770.572080901	47499
PI597968_PI597968	10%	miss50	-660713.9549172	54858
PI597971_PI597971	10%	miss50	-529336.6647789	43790
PI597972_PI597972	10%	miss50	-543438.2407857	45863
PI597973_PI597973	10%	miss50	-527607.3217052	44069
PI597976_PI597976	10%	miss50	-549910.2520997	45889
PI597980_PI597980	10%	miss50	-519814.4154222	42710
PI597982_PI597982	10%	miss50	-500723.5595526	42193
PI598069_PI598069	10%	miss50	-704467.7653402	58807
PI598070_PI598070	10%	miss50	-687214.0166756	60684
PI601816_PI601816	10%	miss50	-562607.4468856	45854
PI607931_PI607931	10%	miss50	-534747.3413659	43959
PI609456_PI609456	10%	miss50	-197689.2721639	17222
PI613536_PI613536	10%	miss50	-550416.5710337	45701
PI629034_PI629034	10%	miss50	-562358.8193588	46383
PI629040_PI629040	10%	miss50	-903334.6328223	75534
PI629059_PI629059	10%	miss50	-552859.7812721	45123
PI641824_PI641824	10%	miss50	-733026.9851973	70073
PI641836_PI641836	10%	miss50	-617448.9361331	50524
PI641849_PI641849	10%	miss50	-836371.0099874	69822
PI641874_PI641874	10%	miss50	-987852.4419987	82101
PI642791_PI642791	10%	miss50	-694214.5438923	57201
PI642793_PI642793	10%	miss50	-626777.0914918	51529
PI642992_PI642992	10%	miss50	-707102.9903324	58523
PI642998_PI642998	10%	miss50	-584585.6431389	48937
PI651492_PI651492	10%	miss50	-715427.2672038	59397
PI651496_PI651496	10%	miss50	-555296.7557467	45825
PI653616_PI653616	10%	miss50	-614379.5285067	52734
PI653617_PI653617	10%	miss50	-558930.9173291	46157
PI655970_PI655970	10%	miss50	-629167.0997906	51225
PI655971_PI655971	10%	miss50	-905813.31473	75445
PI655972_PI655972	10%	miss50	-621279.2729101	50944
PI655973_PI655973	10%	miss50	-683773.6173989	56684
PI655974_PI655974	10%	miss50	-620947.3528327	52361
PI655975_PI655975	10%	miss50	-724080.27864	59392
PI655976_PI655976	10%	miss50	-622872.3575842	51083
PI655977_PI655977	10%	miss50	-645088.2959397	52964
PI655978_PI655978	10%	miss50	-825755.489253999	68481
PI655979_PI655979	10%	miss50	-693268.4987744	57675
PI655980_PI655980	10%	miss50	-593457.7879059	49288
PI655981_PI655981	10%	miss50	-695763.8230394	57694
PI655982_PI655982	10%	miss50	-547501.3122217	44618
PI655983_PI655983	10%	miss50	-618974.4700695	50510
PI655984_PI655984	10%	miss50	-823180.9445368	68971
PI655985_PI655985	10%	miss50	-722049.6546451	59180
PI655986_PI655986	10%	miss50	-722488.005116099	58918
PI655987_PI655987	10%	miss50	-605810.4481156	49341
PI655988_PI655988	10%	miss50	-635563.6981927	52286
PI655989_PI655989	10%	miss50	-600644.2761116	50224
PI655990_PI655990	10%	miss50	-915368.6871653	75811
PI655991_PI655991	10%	miss50	-690953.2015977	77515
PI655992_PI655992	10%	miss50	-609370.65195	65171
PI655993_PI655993	10%	miss50	-709618.9325359	60577
PI655994_PI655994	10%	miss50	-666294.9740912	59503
PI655995_PI655995	10%	miss50	-616461.9473593	51390
PI655996_PI655996	10%	miss50	-810529.7152497	68457
PI655997_PI655997	10%	miss50	-870673.375423199	72025
PI655998_PI655998	10%	miss50	-647713.6857018	53903
PI655999_PI655999	10%	miss50	-519660.1249046	44891
PI656000_PI656000	10%	miss50	-536011.2829641	43384
PI656001_PI656001	10%	miss50	-538022.6187536	44082
PI656002_PI656002	10%	miss50	-610311.2529536	49872
PI656003_PI656003	10%	miss50	-717593.5319194	58971
PI656004_PI656004	10%	miss50	-854290.070911	71342
PI656005_PI656005	10%	miss50	-653524.0411583	53813
PI656006_PI656006	10%	miss50	-710636.2157886	59136
PI656007_PI656007	10%	miss50	-541968.3956438	46706
PI656008_PI656008	10%	miss50	-698740.7694183	57863
PI656009_PI656009	10%	miss50	-536510.8313996	45240
PI656010_PI656010	10%	miss50	-772530.7983107	71538
PI656011_PI656011	10%	miss50	-723289.7898845	65309
PI656012_PI656012	10%	miss50	-872672.0184502	73769
PI656013_PI656013	10%	miss50	-741700.3202031	85048
PI656014_PI656014	10%	miss50	-637579.1730046	81170
PI656015_PI656015	10%	miss50	-685719.2220369	56385
PI656016_PI656016	10%	miss50	-690282.1456781	57103
PI656017_PI656017	10%	miss50	-907306.6923827	75640
PI656018_PI656018	10%	miss50	-809823.6186341	66555
PI656019_PI656019	10%	miss50	-680103.977718799	56407
PI656020_PI656020	10%	miss50	-673660.8976089	56516
PI656021_PI656021	10%	miss50	-878143.8132204	80221
PI656022_PI656022	10%	miss50	-618045.2847995	53707
PI656023_PI656023	10%	miss50	-614008.5556631	50003
PI656024_PI656024	10%	miss50	-635324.861283801	56611
PI656025_PI656025	10%	miss50	-789135.8286863	68493
PI656026_PI656026	10%	miss50	-613744.257669	49970
PI656027_PI656027	10%	miss50	-614718.7466078	52333
PI656028_PI656028	10%	miss50	-600759.6166666	51699
PI656029_PI656029	10%	miss50	-598789.7827315	52775
PI656031_PI656031	10%	miss50	-514127.6774379	43997
PI656032_PI656032	10%	miss50	-718512.4813997	92685
PI656033_PI656033	10%	miss50	-903887.1549287	75493
PI656034_PI656034	10%	miss50	-645110.4939715	87613
PI656035_PI656035	10%	miss50	-581630.8417689	48112
PI656036_PI656036	10%	miss50	-730951.9890066	65469
PI656037_PI656037	10%	miss50	-639399.2226555	55493
PI656038_PI656038	10%	miss50	-613622.0128305	56779
PI656039_PI656039	10%	miss50	-640063.1499645	54211
PI656040_PI656040	10%	miss50	-770749.0309183	67489
PI656041_PI656041	10%	miss50	-907459.9328024	75744
PI656042_PI656042	10%	miss50	-803743.254545299	69068
PI656043_PI656043	10%	miss50	-708522.986153	58435
PI656044_PI656044	10%	miss50	-611974.0445653	49745
PI656046_PI656046	10%	miss50	-732897.5147884	63299
PI656047_PI656047	10%	miss50	-737780.2337915	65165
PI656048_PI656048	10%	miss50	-530258.4521049	43472
PI656049_PI656049	10%	miss50	-593205.511257301	69010
PI656050_PI656050	10%	miss50	-559356.872657599	50238
PI656051_PI656051	10%	miss50	-695095.8427815	57086
PI656052_PI656052	10%	miss50	-763147.894893	68240
PI656053_PI656053	10%	miss50	-623850.5329161	53555
PI656054_PI656054	10%	miss50	-661934.9480722	59032
PI656055_PI656055	10%	miss50	-794883.2211979	69770
PI656056_PI656056	10%	miss50	-719759.2016084	59275
PI656057_PI656057	10%	miss50	-680284.8336695	78207
PI656058_PI656058	10%	miss50	-627635.6145768	55553
PI656059_PI656059	10%	miss50	-531517.5849079	44260
PI656060_PI656060	10%	miss50	-613788.6933884	54079
PI656061_PI656061	10%	miss50	-552286.5318924	47072
PI656062_PI656062	10%	miss50	-722670.0291676	65236
PI656063_PI656063	10%	miss50	-550506.5406482	63094
PI656064_PI656064	10%	miss50	-827321.2102311	68927
PI656065_PI656065	10%	miss50	-686988.0144678	56518
PI656066_PI656066	10%	miss50	-696107.4402312	60755
PI656067_PI656067	10%	miss50	-727105.364504	67976
PI656068_PI656068	10%	miss50	-710782.8823755	63145
PI656069_PI656069	10%	miss50	-520013.2589327	49772
PI656070_PI656070	10%	miss50	-554442.8108374	49167
PI656071_PI656071	10%	miss50	-596021.7396255	49342
PI656072_PI656072	10%	miss50	-787619.8287625	65808
PI656073_PI656073	10%	miss50	-701908.7601618	59702
PI656074_PI656074	10%	miss50	-572630.8288239	51100
PI656075_PI656075	10%	miss50	-563146.9636219	47411
PI656076_PI656076	10%	miss50	-701080.512772101	61643
PI656077_PI656077	10%	miss50	-617196.6019703	58992
PI656078_PI656078	10%	miss50	-196259.647122	18211
PI656079_PI656079	10%	miss50	-586763.4756999	52319
PI656080_PI656080	10%	miss50	-542728.6485532	48916
PI656081_PI656081	10%	miss50	-168870.2186184	14866
PI656082_PI656082	10%	miss50	-772915.3946386	65008
PI656083_PI656083	10%	miss50	-655400.662111901	99996
PI656085_PI656085	10%	miss50	-555527.5857894	58990
PI656086_PI656086	10%	miss50	-619329.7479663	52217
PI656087_PI656087	10%	miss50	-533655.9693472	45883
PI656088_PI656088	10%	miss50	-736548.5858758	64966
PI656089_PI656089	10%	miss50	-730667.8538859	64577
PI656090_PI656090	10%	miss50	-534369.7020771	46883
PI656091_PI656091	10%	miss50	-753491.6283192	80067
PI656092_PI656092	10%	miss50	-690858.0883429	57640
PI656093_PI656093	10%	miss50	-528350.1262382	44996
PI656094_PI656094	10%	miss50	-532333.9169867	44767
PI656095_PI656095	10%	miss50	-620049.4215328	53554
PI656096_PI656096	10%	miss50	-537476.5767184	45251
PI656097_PI656097	10%	miss50	-655640.1757058	54352
PI656098_PI656098	10%	miss50	-468469.100931	42446
PI656099_PI656099	10%	miss50	-713783.7299316	63743
PI656100_PI656100	10%	miss50	-789210.7997963	69541
PI656101_PI656101	10%	miss50	-695943.9575086	57340
PI656102_PI656102	10%	miss50	-471871.2095802	39091
PI656103_PI656103	10%	miss50	-655514.7882654	57348
PI656104_PI656104	10%	miss50	-722014.789510101	100396
PI656105_PI656105	10%	miss50	-529683.8855361	46942
PI656106_PI656106	10%	miss50	-513277.2658461	46540
PI656107_PI656107	10%	miss50	-693523.3514774	75197
PI656108_PI656108	10%	miss50	-579996.0799163	48600
PI656109_PI656109	10%	miss50	-649071.0816758	60001
PI656110_PI656110	10%	miss50	-633424.8503433	62638
PI656111_PI656111	10%	miss50	-520432.2950257	43007
PI656112_PI656112	10%	miss50	-595763.9320748	51800
PI656113_PI656113	10%	miss50	-673946.3009744	60177
PI656114_PI656114	10%	miss50	-598881.3734704	63918
PI656115_PI656115	10%	miss50	-794641.2809844	67885
PI656116_PI656116	10%	miss50	-568679.7885198	59966
PI656118_PI656118	10%	miss50	-523795.2233258	45972
PI656119_PI656119	10%	miss50	-583172.9075617	59193
PI656120_PI656120	10%	miss50	-675520.3809392	58286
PI656121_PI656121	10%	miss50	-574050.9201951	51187
PI659691_PI659691	10%	miss50	-609818.529152	70743
PI659694_PI659694	10%	miss50	-771612.5848505	67206
PI659695_PI659695	10%	miss50	-639426.1891547	56588
PI659696_PI659696	10%	miss50	-637162.7403763	54265
PI659753_PI659753	10%	miss50	-757543.8297215	70794
PI152651_PI152651	5%	miss50	-365556.9035852	28276
PI17548_PI17548	5%	miss50	-366659.0660352	28134
PI24969_PI24969	5%	miss50	-482736.6666505	37156
PI276837_PI276837	5%	miss50	-442309.9561848	34087
PI329435_PI329435	5%	miss50	-309987.4436355	24214
PI329440_PI329440	5%	miss50	-408129.4613182	30943
PI34911_PI34911	5%	miss50	-379607.8377671	28769
PI35038_PI35038	5%	miss50	-332489.6932852	25210
PI48770_PI48770	5%	miss50	-332358.8513092	31425
PI533750_PI533750	5%	miss50	-359179.5544574	27509
PI533752_PI533752	5%	miss50	-358133.563499	27047
PI533754_PI533754	5%	miss50	-330483.2652776	26356
PI533755_PI533755	5%	miss50	-379506.4029244	30274
PI533757_PI533757	5%	miss50	-293774.127739	22248
PI533758_PI533758	5%	miss50	-281853.6029313	21255
PI533759_PI533759	5%	miss50	-309436.3463078	23177
PI533760_PI533760	5%	miss50	-339457.2805135	25757
PI533761_PI533761	5%	miss50	-289427.2704806	21716
PI533762_PI533762	5%	miss50	-336934.4948017	34790
PI533766_PI533766	5%	miss50	-305454.8794703	23399
PI533769_PI533769	5%	miss50	-253457.098801	19312
PI533776_PI533776	5%	miss50	-337902.0135077	26128
PI533785_PI533785	5%	miss50	-318752.8269318	24851
PI533788_PI533788	5%	miss50	-410899.9302864	31597
PI533789_PI533789	5%	miss50	-309140.7272095	23477
PI533792_PI533792	5%	miss50	-397861.3319019	30332
PI533794_PI533794	5%	miss50	-349503.0694944	26424
PI533799_PI533799	5%	miss50	-348622.4054476	26350
PI533800_PI533800	5%	miss50	-344876.3297363	26375
PI533807_PI533807	5%	miss50	-290268.2203705	22212
PI533810_PI533810	5%	miss50	-382712.1404476	29425
PI533814_PI533814	5%	miss50	-381885.0526994	29444
PI533821_PI533821	5%	miss50	-261484.6782567	19613
PI533822_PI533822	5%	miss50	-330826.8943219	25275
PI533824_PI533824	5%	miss50	-298752.3654432	22948
PI533830_PI533830	5%	miss50	-368639.1947697	40385
PI533831_PI533831	5%	miss50	-318829.3906013	24535
PI533833_PI533833	5%	miss50	-247992.2432531	18765
PI533838_PI533838	5%	miss50	-307307.9170737	23765
PI533839_PI533839	5%	miss50	-137766.3414736	10951
PI533841_PI533841	5%	miss50	-369123.3195726	28124
PI533842_PI533842	5%	miss50	-333689.995535	25736
PI533843_PI533843	5%	miss50	-331179.4095197	25354
PI533845_PI533845	5%	miss50	-364141.3354788	28096
PI533852_PI533852	5%	miss50	-330442.3749567	26326
PI533855_PI533855	5%	miss50	-307777.296825	31899
PI533856_PI533856	5%	miss50	-403357.9655275	33785
PI533863_PI533863	5%	miss50	-322458.2715006	26590
PI533866_PI533866	5%	miss50	-348960.3465248	26548
PI533869_PI533869	5%	miss50	-308525.4958121	23536
PI533871_PI533871	5%	miss50	-305441.1833404	23211
PI533876_PI533876	5%	miss50	-310155.6533915	37289
PI533877_PI533877	5%	miss50	-318774.2820587	29533
PI533878_PI533878	5%	miss50	-323749.6883973	25542
PI533882_PI533882	5%	miss50	-298474.7063861	22924
PI533901_PI533901	5%	miss50	-337845.4130752	25703
PI533902_PI533902	5%	miss50	-350009.9108447	30408
PI533903_PI533903	5%	miss50	-244453.8229174	19023
PI533910_PI533910	5%	miss50	-293076.5783353	22630
PI533911_PI533911	5%	miss50	-407356.9628772	31714
PI533912_PI533912	5%	miss50	-270455.5345871	20769
PI533913_PI533913	5%	miss50	-298320.1976189	22831
PI533915_PI533915	5%	miss50	-354964.6883123	26751
PI533919_PI533919	5%	miss50	-306805.0781906	24083
PI533921_PI533921	5%	miss50	-469944.8781277	36544
PI533924_PI533924	5%	miss50	-318472.4163487	24505
PI533927_PI533927	5%	miss50	-330199.7996268	25452
PI533936_PI533936	5%	miss50	-328347.4994981	24719
PI533937_PI533937	5%	miss50	-334616.4939227	25208
PI533938_PI533938	5%	miss50	-319033.073381	24623
PI533939_PI533939	5%	miss50	-339873.1638147	29360
PI533940_PI533940	5%	miss50	-351804.495182	26530
PI533943_PI533943	5%	miss50	-385055.3451296	29613
PI533948_PI533948	5%	miss50	-341543.7717163	25476
PI533949_PI533949	5%	miss50	-295685.8435487	22269
PI533954_PI533954	5%	miss50	-386512.583845	29385
PI533955_PI533955	5%	miss50	-341052.7672785	25587
PI533956_PI533956	5%	miss50	-312498.083835	23659
PI533957_PI533957	5%	miss50	-361462.9641319	27533
PI533961_PI533961	5%	miss50	-348101.4480395	26334
PI533962_PI533962	5%	miss50	-286242.1575248	21847
PI533964_PI533964	5%	miss50	-338592.183497	25468
PI533965_PI533965	5%	miss50	-375208.4686258	28536
PI533967_PI533967	5%	miss50	-353796.9045769	27121
PI533970_PI533970	5%	miss50	-355987.784775	27177
PI533972_PI533972	5%	miss50	-272633.6824279	20636
PI533976_PI533976	5%	miss50	-324576.9212889	24911
PI533979_PI533979	5%	miss50	-398198.0956021	29833
PI533980_PI533980	5%	miss50	-322446.6640979	24352
PI533985_PI533985	5%	miss50	-286073.7480427	21723
PI533986_PI533986	5%	miss50	-300656.7793073	22630
PI533987_PI533987	5%	miss50	-285965.1868774	21581
PI533989_PI533989	5%	miss50	-313230.2666546	25095
PI533991_PI533991	5%	miss50	-304269.8517814	23019
PI533996_PI533996	5%	miss50	-294567.299482	22573
PI533997_PI533997	5%	miss50	-269568.5057155	21151
PI534009_PI534009	5%	miss50	-364859.9592943	28075
PI534021_PI534021	5%	miss50	-334884.7754319	25778
PI534028_PI534028	5%	miss50	-382763.5146121	29441
PI534037_PI534037	5%	miss50	-333558.4456459	25520
PI534046_PI534046	5%	miss50	-310068.4271691	23669
PI534047_PI534047	5%	miss50	-316663.9107548	24292
PI534053_PI534053	5%	miss50	-341331.9797668	25801
PI534054_PI534054	5%	miss50	-291038.461922	21914
PI534063_PI534063	5%	miss50	-330034.1188231	25177
PI534070_PI534070	5%	miss50	-333906.391794	25418
PI534075_PI534075	5%	miss50	-301078.2250595	23479
PI534079_PI534079	5%	miss50	-290477.839475	22343
PI534088_PI534088	5%	miss50	-308940.616996	23537
PI534092_PI534092	5%	miss50	-350032.3931842	28962
PI534096_PI534096	5%	miss50	-103418.1641072	8125
PI534097_PI534097	5%	miss50	-428435.6824152	32597
PI534099_PI534099	5%	miss50	-322197.5346723	24811
PI534101_PI534101	5%	miss50	-300912.8798141	29769
PI534105_PI534105	5%	miss50	-297162.4465615	22240
PI534108_PI534108	5%	miss50	-287033.246579	21901
PI534112_PI534112	5%	miss50	-293125.8142955	32756
PI534114_PI534114	5%	miss50	-329546.3601561	24914
PI534115_PI534115	5%	miss50	-335974.2893895	25562
PI534116_PI534116	5%	miss50	-257186.5425718	19979
PI534117_PI534117	5%	miss50	-278684.9900756	21303
PI534123_PI534123	5%	miss50	-309050.9987939	23723
PI534124_PI534124	5%	miss50	-270841.5185567	21167
PI534127_PI534127	5%	miss50	-422103.9361149	35064
PI534128_PI534128	5%	miss50	-432359.0414158	33579
PI534132_PI534132	5%	miss50	-379297.6857711	35347
PI534133_PI534133	5%	miss50	-416651.6357834	32078
PI534135_PI534135	5%	miss50	-373482.7486262	28499
PI534137_PI534137	5%	miss50	-381037.2856205	29139
PI534138_PI534138	5%	miss50	-245350.2746008	18691
PI534139_PI534139	5%	miss50	-415759.9125708	31438
PI534144_PI534144	5%	miss50	-355933.9079437	29564
PI534145_PI534145	5%	miss50	-284209.9183273	21723
PI534148_PI534148	5%	miss50	-352797.2325682	26982
PI534155_PI534155	5%	miss50	-310039.8938797	24496
PI534157_PI534157	5%	miss50	-372004.8314118	37348
PI534163_PI534163	5%	miss50	-335948.8898221	25907
PI534167_PI534167	5%	miss50	-360447.9090849	27901
PI540816_PI540816	5%	miss50	-394357.2338432	30011
PI542406_PI542406	5%	miss50	-271135.0410953	20953
PI542718_PI542718	5%	miss50	-432505.9715177	32649
PI548797_PI548797	5%	miss50	-359820.0455687	27336
PI552856_PI552856	5%	miss50	-335369.3694663	25205
PI552861_PI552861	5%	miss50	-297824.4149832	22375
PI561071_PI561071	5%	miss50	-394270.5192908	29851
PI561072_PI561072	5%	miss50	-364384.9216605	27339
PI561073_PI561073	5%	miss50	-426232.9401842	32806
PI561472_PI561472	5%	miss50	-438820.263674	35586
PI562730_PI562730	5%	miss50	-299233.8068885	22993
PI564163_PI564163	5%	miss50	-285430.2864851	21882
PI564164_PI564164	5%	miss50	-413696.3208964	34466
PI564165_PI564165	5%	miss50	-438755.9550877	33553
PI565121_PI565121	5%	miss50	-293336.677534	21869
PI566819_PI566819	5%	miss50	-328362.7382837	25130
PI576130_PI576130	5%	miss50	-386015.0516731	29039
PI576332_PI576332	5%	miss50	-385263.5273021	29087
PI576333_PI576333	5%	miss50	-335347.2670142	25205
PI576337_PI576337	5%	miss50	-295875.0157795	32867
PI576339_PI576339	5%	miss50	-337289.9177367	25321
PI576340_PI576340	5%	miss50	-333404.9286783	24982
PI576345_PI576345	5%	miss50	-277408.8220457	20727
PI576347_PI576347	5%	miss50	-308734.6942623	29764
PI576348_PI576348	5%	miss50	-198685.2442257	17793
PI576349_PI576349	5%	miss50	-227343.3087826	17864
PI576350_PI576350	5%	miss50	-273443.2362341	30971
PI576352_PI576352	5%	miss50	-334557.5632377	25169
PI576359_PI576359	5%	miss50	-353008.4218557	26810
PI576364_PI576364	5%	miss50	-349107.1923052	26291
PI576366_PI576366	5%	miss50	-303397.9258447	23300
PI576373_PI576373	5%	miss50	-284443.7980159	21354
PI576375_PI576375	5%	miss50	-373169.3891695	28580
PI576376_PI576376	5%	miss50	-378958.4440309	37739
PI576380_PI576380	5%	miss50	-335044.2568562	25216
PI576381_PI576381	5%	miss50	-405381.6312572	31075
PI576385_PI576385	5%	miss50	-359383.6659735	27143
PI576386_PI576386	5%	miss50	-288324.2217462	21720
PI576387_PI576387	5%	miss50	-289715.8094058	21799
PI576390_PI576390	5%	miss50	-401825.2176877	30439
PI576391_PI576391	5%	miss50	-405448.4839615	31027
PI576393_PI576393	5%	miss50	-279894.1094162	23556
PI576394_PI576394	5%	miss50	-411492.9707	31011
