Pedigree,HN_Blues
PI 656036,-0.11689633
PI 656037,0.310777589
PI 656038,-0.0754647
PI 656041,0.528095599
PI 656043,0.351428888
PI 656044,0.343408736
PI 656046,0.268461356
PI 656047,0.053809332
PI 656049,0.052132167
PI 656051,-0.483144215
PI 656052,0.168866039
PI 656053,0.228055235
PI 656055,0.461127537
PI 656056,0.594373718
PI 656057,0.451741508
PI 656058,0.571410235
PI 656059,-0.040754896
PI 656060,0.170084464
PI 656061,0.933889384
PI 656062,1.120766202
PI 656068,0.251919979
PI 656069,-0.100102062
PI 656070,0.014175104
PI 656071,0.136711307
PI 656072,0.185122286
PI 656073,0.308722978
PI 656075,0.650654265
PI 656076,0.170036223
PI 656077,0.127246237
PI 656078,-0.070405001
PI 656079,-0.213317015
PI 656080,0.349788886
PI 656081,-0.160903886
PI 656082,0.035980663
PI 656083,0.13493476
PI 656084,0.137926145
PI 656085,0.279738754
PI 656086,0.167435162
PI 656087,-0.038871648
PI 656088,0.373470042
PI 656089,0.436260529
PI 656091,0.058593414
PI 656092,0.662875907
PI 656094,0.732561726
PI 656095,0.632586789
PI 656096,-0.040955544
PI 656097,0.22242053
PI 656098,0.321258526
PI 656099,-0.124040095
PI 656101,0.104173566
PI 656102,0.157075433
PI 656103,-0.092190999
PI 656104,-0.361753853
PI 656105,0.061966302
PI 656106,0.096073677
PI 656107,0.436065646
PI 656108,-0.275259639
PI 656109,0.127686016
PI 656110,0.571402777
PI 656111,-0.15268391
PI 656112,0.493451742
PI 656113,-0.198281789
PI 656117,0.417486808
PI 656118,0.311336012
PI 656119,0.07791942
PI 656120,-0.19598581
PI 656121,0.159713129
PI 659691,-0.036289697
PI 659693,-0.311441615
PI 659694,0.240416085
PI 659695,0.467652463
PI 659696,0.185612163
PI 659753,0.082959399
Intercept,0.569745249
R21,-2.09E-05
R22,3.77390506602127e-05
R23,-1.15E-06
R24,-1.15E-06
R25,-1.26E-05
R26,-9.80E-06
R27,-1.69E-05
R28,-1.15E-06
R29,-1.15E-06
