sample	group	Abs_genetic_load	canon
[566]FC-13:GT	improved	299604.024426	FC-13
[567]Feb-48:GT	improved	313235.166193	FEB-48
[568]fengke1:GT	improved	316202.417588	FENGKE1
[569]FR14:GT	improved	269643.722619	FR14
[570]fu8521:GT	improved	291007.063958	FU8521
[571]fu8527:GT	improved	299722.943345	FU8527
[572]fu8529:GT	improved	301927.205923	FU8529
[573]fu8538:GT	improved	302395.858263	FU8538
[574]fu8701:GT	improved	262323.184094	FU8701
[575]fu96:GT	improved	296941.730713	FU96
[576]fusheA:GT	improved	300620.021913	FUSHEA
[577]gan41:GT	improved	314347.785159	GAN41
[579]german_CH10:GT	improved	318542.393516	CH10
[580]german_D06:GT	improved	283560.410237	D06
[581]german_D09:GT	improved	288181.004555	D09
[582]german_D152:GT	improved	311462.689757	D152
[583]german_DK105:GT	improved	319571.349008	DK105
[584]german_EC169:GT	improved	204366.91933	EC169
[585]german_EC49A:GT	improved	301905.17665	EC49A
[586]german_EP1:GT	improved	315216.042144	EP1
[587]german_EP44:GT	improved	310348.555789	EP44
[588]german_EZ5:GT	improved	309802.978224	EZ5
[589]german_F03802:GT	improved	307979.927447	F03802
[590]german_F2:GT	improved	315461.148436	F2
[591]german_F252:GT	improved	295250.359029	F252
[592]german_F283:GT	improved	310994.946701	F283
[593]german_F353:GT	improved	293110.034434	F353
[594]german_F618:GT	improved	266908.965269	F618
[595]german_F64:GT	improved	309046.73844	F64
[596]german_F7:GT	improved	319988.646871	F7
[597]german_F98902:GT	improved	186917.942756	F98902
[598]german_FF0721H-7:GT	improved	318638.757779	FF0721H-7
[599]german_Lo11:GT	improved	312378.146357	LO11
[600]german_Mo17:GT	improved	316085.869033	MO17
[601]german_PH207:GT	improved	296348.645881	PH207
[602]german_UH006:GT	improved	320182.294932	UH006
[603]german_UH007:GT	improved	317420.034097	UH007
[604]german_UH009:GT	improved	319062.673341	UH009
[605]german_UH250:GT	improved	275480.20639	UH250
[606]german_UH304:GT	improved	290230.334235	UH304
[607]german_W117:GT	improved	300366.736566	W117
[608]GN4095:GT	improved	310014.912565	GN4095
[609]guan17-1:GT	improved	315495.899756	GUAN17-1
[610]guangyou5:GT	improved	315128.336117	GUANGYOU5
[611]GY3:GT	improved	218382.019956	GY3
[612]H105W:GT	improved	260031.277009	H105W
[613]H114:GT	improved	255440.042542	H114
[614]H127:GT	improved	307034.454177	H127
[615]H16:GT	improved	310525.263416	H16
[616]H2:GT	improved	283076.944026	H2
[617]H21:GT	improved	329579.677874	H21
[618]H66-6:GT	improved	256467.596997	H66-6
[619]H84:GT	improved	262449.399263	H84
[620]H8431:GT	improved	218016.66828	H8431
[621]H99:GT	improved	314121.885041	H99
[622]hai014:GT	improved	312415.408641	HAI014
[623]hai1134:GT	improved	317008.662743	HAI1134
[624]hai9-21:GT	improved	293835.20005	HAI9-21
[625]han21:GT	improved	268866.501408	HAN21
[626]han49:GT	improved	323608.591943	HAN49
[627]HB8229:GT	improved	273175.494064	HB8229
[628]HBAI:GT	improved	291859.526136	HBAI
[629]HD568:GT	improved	240818.294687	HD568
[630]Hda-5:GT	improved	271615.286747	HDA-5
[631]he344:GT	improved	306965.097268	HE344
[632]HHe01:GT	improved	304953.171986	HHE01
[633]HP301:GT	improved	300790.8	HP301
[634]hu803:GT	improved	216096.357272	HU803
[635]hua160:GT	improved	299659.455258	HUA160
[636]huangC:GT	improved	300593.282736	HUANGC
[637]huangchanga:GT	improved	332101.306446	HUANGCHANGA
[638]huangchangb:GT	improved	335639.141907	HUANGCHANGB
[639]huangyesi:GT	improved	344796.512584	HUANGYESI
[640]huangyesi3:GT	improved	342923.055879	HUANGYESI3
[641]huangzaosi:GT	improved	347443.743828	HUANGZAOSI
[642]huo17:GT	improved	320223.328405	HUO17
[643]huobai:GT	improved	316582.956959	HUOBAI
[644]huotanghuang:GT	improved	320619.245655	HUOTANGHUANG
[645]huotanghuang17:GT	improved	301018.557977	HUOTANGHUANG17
[646]IA5125:GT	improved	305263.751956	IA5125
[647]IB014:GT	improved	301497.230116	IB014
[648]IB02:GT	improved	298305.025854	IB02
[649]IBB14:GT	improved	267034.799664	IBB14
[650]IBB15:GT	improved	293396.579439	IBB15
[651]IBC2:GT	improved	299599.247268	IBC2
[652]Il14H:GT	improved	314238.915272	IL14H
[653]J8606:GT	improved	314274.04654	J8606
[654]ji4112:GT	improved	337975.838779	JI4112
[655]ji432:GT	improved	314005.877048	JI432
[656]ji434:GT	improved	293106.263328	JI434
[657]ji444:GT	improved	338071.703256	JI444
[658]ji53:GT	improved	314629.568645	JI53
[659]ji533:GT	improved	320697.889941	JI533
[660]ji63:GT	improved	294618.90539	JI63
[661]ji833:GT	improved	296230.496764	JI833
[662]ji846:GT	improved	308709.166044	JI846
[663]ji853:GT	improved	320102.986089	JI853
[664]ji870:GT	improved	224716.830734	JI870
[665]jian1495a:GT	improved	299002.053375	JIAN1495A
[666]jian1495b:GT	improved	296084.290501	JIAN1495B
[667]jiao05:GT	improved	291303.055236	JIAO05
[668]jiao3:GT	improved	313624.976009	JIAO3
[669]jiao51:GT	improved	330237.868148	JIAO51
[670]jingnuo2:GT	improved	320483.224509	JINGNUO2
[671]jinsui54:GT	improved	326743.386151	JINSUI54
[672]jiu138-5:GT	improved	307770.191915	JIU138-5
[673]jiu22:GT	improved	303666.034349	JIU22
[674]jiutai1:GT	improved	264059.321191	JIUTAI1
[675]K10:GT	improved	299553.81729	K10
[676]K12:GT	improved	324591.056931	K12
[677]K14:GT	improved	308547.073586	K14
[678]K22:GT	improved	295654.454306	K22
[679]K514:GT	improved	322823.650466	K514
[680]Ki11:GT	improved	315253.666	KI11
[681]Ki21:GT	improved	314416.079807	KI21
[682]KI3:GT	improved	315594.050381	KI3
[683]KP3130:GT	improved	287364.434933	KP3130
[684]Ky21:GT	improved	294662.183443	KY21
[685]L005:GT	improved	325788.287171	L005
[686]L05-6:GT	improved	184874.133334	L05-6
[687]L061F:GT	improved	286039.202659	L061F
[688]L061M:GT	improved	280679.682705	L061M
[689]L069:GT	improved	319252.522991	L069
[690]L-1:GT	improved	326226.606584	L-1
[691]L105:GT	improved	292731.430423	L105
[692]L127:GT	improved	296333.718127	L127
[693]L135:GT	improved	299331.577012	L135
[694]L139:GT	improved	304093.889537	L139
[695]L473:GT	improved	292880.370092	L473
[696]L578:GT	improved	300674.138459	L578
[697]La2-4:GT	improved	191754.816779	LA2-4
[698]lan766-4-2:GT	improved	277478.829351	LAN766-4-2
[699]LD61:GT	improved	315008.731573	LD61
[700]LH1:GT	improved	271224.716584	LH1
[701]LH119:GT	improved	48826.400082	LH119
[702]LH123HT:GT	improved	293386.028435	LH123HT
[703]LH127:GT	improved	300295.872791	LH127
[704]LH128:GT	improved	309246.799124	LH128
[705]LH132:GT	improved	73779.982088	LH132
[706]LH143:GT	improved	240144.871717	LH143
[707]LH145:GT	improved	256213.488972	LH145
[708]LH146HT:GT	improved	171580.99825	LH146HT
[709]LH149:GT	improved	74646.763126	LH149
[710]LH150:GT	improved	308766.322894	LH150
[711]LH156:GT	improved	306585.640785	LH156
[712]LH160:GT	improved	299200.557425	LH160
[713]LH162:GT	improved	304799.334491	LH162
[714]LH190:GT	improved	63692.613833	LH190
[715]LH191:GT	improved	169400.792074	LH191
[716]LH192:GT	improved	105741.800205	LH192
[717]LH193:GT	improved	101891.828463	LH193
[718]LH194:GT	improved	110048.80495	LH194
[719]LH196:GT	improved	51812.205781	LH196
[720]LH202:GT	improved	32232.203738	LH202
[721]LH205:GT	improved	87218.127008	LH205
[722]LH208:GT	improved	143435.259327	LH208
[723]LH215:GT	improved	311996.926032	LH215
[724]LH220Ht:GT	improved	175137.950788	LH220HT
[725]LH295:GT	improved	312599.064957	LH295
[726]LH38:GT	improved	313897.20633	LH38
[727]LH39:GT	improved	307893.025439	LH39
[728]LH51:GT	improved	318552.886045	LH51
[729]LH52:GT	improved	316378.066021	LH52
[730]LH54:GT	improved	316184.829564	LH54
[731]LH57:GT	improved	315527.500041	LH57
[732]LH59:GT	improved	315839.412718	LH59
[733]LH60:GT	improved	316266.595363	LH60
[734]LH61:GT	improved	311626.773053	LH61
[735]LH65:GT	improved	312940.394898	LH65
[736]LH74:GT	improved	112738.206762	LH74
[737]LH82:GT	improved	293302.383256	LH82
[738]LH85:GT	improved	296501.232525	LH85
[739]LH93:GT	improved	297693.238939	LH93
[740]lian87:GT	improved	313169.530154	LIAN87
[741]liao2202:GT	improved	301490.500519	LIAO2202
[742]liao2204:GT	improved	292842.675452	LIAO2204
[743]liao4271:GT	improved	292185.056371	LIAO4271
[744]liao5110:GT	improved	248376.948277	LIAO5110
[745]liao7794:GT	improved	205447.575736	LIAO7794
[746]LIBC4:GT	improved	305711.979236	LIBC4
[747]LM-2:GT	improved	323560.414593	LM-2
[748]Lo:GT	improved	285211.059829	LO
[749]Lo1067:GT	improved	271566.210164	LO1067
[750]Lo1125:GT	improved	329516.081391	LO1125
[751]longkang1:GT	improved	310858.932845	LONGKANG1
[752]longkang11:GT	improved	316468.24715	LONGKANG11
[753]Los-6:GT	improved	177852.672737	LOS-6
[754]LP1:GT	improved	226119.020816	LP1
[755]Lp215D:GT	improved	307035.862109	LP215D
[756]LP5:GT	improved	68034.464596	LP5
[757]lu65:GT	improved	311725.148826	LU65
[758]luosu3:GT	improved	308499.177755	LUOSU3
[759]luyuan133:GT	improved	303790.741562	LUYUAN133
[760]luyuan92:GT	improved	300294.306571	LUYUAN92
[761]lv28:GT	improved	302300.506844	LV28
[762]lv45:GT	improved	305309.192377	LV45
[763]Lx9801:GT	improved	325667.484377	LX9801
[764]M101:GT	improved	303835.414038	M101
[765]M1016:GT	improved	317638.568385	M1016
[766]M131-5:GT	improved	208909.920442	M131-5
[767]M14:GT	improved	227339.809136	M14
[768]M162W:GT	improved	307420.0951	M162W
[769]M22:GT	improved	211164.339283	M22
[770]M3:GT	improved	260694.965662	M3
[771]M3736:GT	improved	305686.392775	M3736
[772]M37W:GT	improved	309635.324789	M37W
[773]M9:GT	improved	283667.35568	M9
[774]Max:GT	improved	247279.200223	MAX
[775]Maxa:GT	improved	235096.15231	MAXA
[776]MBNA:GT	improved	311339.17186	MBNA
[777]MBPM:GT	improved	299071.758526	MBPM
[778]MBSJ:GT	improved	310646.231642	MBSJ
[779]MBST:GT	improved	316558.914048	MBST
[780]MBUB:GT	improved	308619.205843	MBUB
[781]MDF-13D:GT	improved	315007.733871	MDF-13D
[782]mei68113:GT	improved	281697.967197	MEI68113
[783]ML606:GT	improved	304046.542583	ML606
[784]MM-1A:GT	improved	317790.03806	MM-1A
[785]MM402A:GT	improved	315211.221021	MM402A
[786]MO113:GT	improved	304924.97004	MO113
[787]Mo17:GT	improved	314431.928768	MO17
[788]Mo17-chin:GT	improved	316398.529785	MO17-CHIN
[789]MO18W:GT	improved	305532.777761	MO18W
[790]Mo24W:GT	improved	296842.52989	MO24W
[791]MP:GT	improved	201969.004622	MP
[792]Ms71:GT	improved	282751.771094	MS71
[793]mu4:GT	improved	315346.30633	MU4
[794]mu6:GT	improved	309359.381827	MU6
[795]N138:GT	improved	316983.99219	N138
[796]N192:GT	improved	335216.021875	N192
[797]N42:GT	improved	227895.098036	N42
[798]N6:GT	improved	297564.402087	N6
[799]N68a:GT	improved	205600.117511	N68A
[800]nan21-3:GT	improved	253164.990074	NAN21-3
[801]NC268:GT	improved	115544.291642	NC268
[802]NC350:GT	improved	310797.90617	NC350
[803]NC358:GT	improved	306531.191032	NC358
[804]ND246:GT	improved	297757.206368	ND246
[805]ning24:GT	improved	302150.168443	NING24
[806]ning37:GT	improved	294962.644468	NING37
[807]ning45:GT	improved	288509.037435	NING45
[808]ning55:GT	improved	292842.140301	NING55
[809]niu2-1:GT	improved	306854.257872	NIU2-1
[810]NN14B:GT	improved	277631.662601	NN14B
[811]NQ508:GT	improved	278306.825209	NQ508
[812]NS501:GT	improved	267939.947563	NS501
[813]NS701:GT	improved	75993.796645	NS701
[814]oh07B:GT	improved	294864.144128	OH07B
[815]Oh40B:GT	improved	312036.822117	OH40B
[816]Oh43:GT	improved	306603.751645	OH43
[817]OH7:GT	improved	290363.366529	OH7
[818]Oh7B:GT	improved	294843.53188	OH7B
[819]OQ603:GT	improved	275108.081434	OQ603
[820]P007:GT	improved	316300.912424	P007
[821]P1:GT	improved	314820.38314	P1
[822]P136:GT	improved	324931.765717	P136
[823]P138:GT	improved	329178.465949	P138
[824]P167:GT	improved	322223.646506	P167
[825]P25:GT	improved	325123.078694	P25
[826]P39:GT	improved	322361.076762	P39
[827]P39-chin:GT	improved	314804.475098	P39-CHIN
[828]Pa91:GT	improved	307539.774807	PA91
[829]PB80:GT	improved	41349.714771	PB80
[830]PH207:GT	improved	295661.628623	PH207
[831]PHBA6:GT	improved	306599.020945	PHBA6
[832]PHG24:GT	improved	293248.996169	PHG24
[833]PHG35:GT	improved	310094.515912	PHG35
[834]PHG39:GT	improved	266891.307945	PHG39
[835]PHG47:GT	improved	300879.296483	PHG47
[836]PHG50:GT	improved	303199.487704	PHG50
[837]PHG71:GT	improved	254640.383628	PHG71
[838]PHG72:GT	improved	283551.079485	PHG72
[839]PHG83:GT	improved	307313.674702	PHG83
[840]PHG84:GT	improved	303043.134569	PHG84
[841]PHG86:GT	improved	130827.162415	PHG86
[842]PHH93:GT	improved	299942.184629	PHH93
[843]PHJ31:GT	improved	303570.449967	PHJ31
[844]PHJ33:GT	improved	307956.789602	PHJ33
[845]PHJ40:GT	improved	285179.042096	PHJ40
[846]PHJ70:GT	improved	172531.14587	PHJ70
[847]PHJ75:GT	improved	302627.695319	PHJ75
[848]PHK05:GT	improved	315339.594749	PHK05
[849]PHK24:GT	improved	191473.990348	PHK24
[850]PHK35:GT	improved	183548.07062	PHK35
[851]PHK42:GT	improved	296509.349888	PHK42
[852]PHK76:GT	improved	311158.905621	PHK76
[853]PHK93:GT	improved	302757.776859	PHK93
[854]PHM10:GT	improved	283363.863269	PHM10
[855]PHM44:GT	improved	308400.377911	PHM44
[856]PHM57:GT	improved	305255.312215	PHM57
[857]PHM81:GT	improved	280855.212096	PHM81
[858]PHN11:GT	improved	296725.505311	PHN11
[859]PHN29:GT	improved	206423.696974	PHN29
[860]PHN37:GT	improved	313892.166617	PHN37
[861]PHN47:GT	improved	268778.077838	PHN47
[862]PHN66:GT	improved	256195.406959	PHN66
[863]PHN73:GT	improved	310221.538239	PHN73
[864]PHN82:GT	improved	293904.291398	PHN82
[865]PHNV9:GT	improved	229355.231333	PHNV9
[866]PHP02:GT	improved	261201.16365	PHP02
[867]PHP55:GT	improved	288061.224053	PHP55
[868]PHP60:GT	improved	296036.150352	PHP60
[869]PHP76:GT	improved	295764.064653	PHP76
[870]PHP85:GT	improved	192277.422986	PHP85
[871]PHPR5:GT	improved	228076.603176	PHPR5
[872]PHR25:GT	improved	298862.96894	PHR25
[873]PHR30:GT	improved	291607.179076	PHR30
[874]PHR32:GT	improved	301787.834107	PHR32
[875]PHR36:GT	improved	290414.505749	PHR36
[876]PHR47:GT	improved	286210.407654	PHR47
[877]PHR55:GT	improved	280214.736341	PHR55
[878]PHR58:GT	improved	315753.793136	PHR58
[879]PHR62:GT	improved	297543.384089	PHR62
[880]PHR63:GT	improved	304024.259513	PHR63
[881]PHT10:GT	improved	141968.369898	PHT10
[882]PHT22:GT	improved	303388.281734	PHT22
[883]PHT55:GT	improved	263830.085892	PHT55
[884]PHT60:GT	improved	301368.107064	PHT60
[885]PHT69:GT	improved	276131.548776	PHT69
[886]PHT77:GT	improved	273381.635792	PHT77
[887]PHV37:GT	improved	269623.123674	PHV37
[888]PHV53:GT	improved	312521.217939	PHV53
[889]PHV78:GT	improved	307564.082721	PHV78
[890]PHW03:GT	improved	293701.663111	PHW03
[891]PHW17:GT	improved	122442.746795	PHW17
[892]PHW20:GT	improved	296686.700496	PHW20
[893]PHW30:GT	improved	298358.740728	PHW30
[894]PHW43:GT	improved	303126.582485	PHW43
[895]PHW51:GT	improved	248578.611965	PHW51
[896]PHW52:GT	improved	187289.292167	PHW52
[897]PHW79:GT	improved	296274.153564	PHW79
[898]PHWG5:GT	improved	308469.388961	PHWG5
[899]PHZ51:GT	improved	306350.83832	PHZ51
[900]PN2:GT	improved	305130.091653	PN2
[901]PN2-8:GT	improved	263009.624694	PN2-8
[902]Q1261:GT	improved	304690.103774	Q1261
[903]Q381:GT	improved	298715.572738	Q381
[904]qi205:GT	improved	306555.014423	QI205
[905]qi318:GT	improved	310905.901789	QI318
[906]qi319:GT	improved	326473.962152	QI319
[907]qi35:GT	improved	303381.118024	QI35
[908]qi410:GT	improved	247321.931863	QI410
[909]qiong51:GT	improved	288348.140699	QIONG51
[910]R017:GT	improved	315571.079604	R017
[911]R08:GT	improved	313661.618036	R08
[912]R136:GT	improved	317615.04285	R136
[913]R150:GT	improved	322506.23659	R150
[914]R1656:GT	improved	334405.349616	R1656
[915]R25:GT	improved	317388.05082	R25
[916]R31:GT	improved	301720.295314	R31
[917]R98:GT	improved	315474.224224	R98
[918]RIMMA0438.1:GT	improved	305109.744196	RIMMA0438.1
[919]RS710:GT	improved	282271.417922	RS710
[920]S001:GT	improved	321665.94176	S001
[921]S22:GT	improved	252985.505471	S22
[922]S311:GT	improved	313249.472009	S311
[923]S37:GT	improved	320064.289118	S37
[924]S53:GT	improved	237999.517507	S53
[925]S7913:GT	improved	311935.070894	S7913
[926]S8324:GT	improved	106673.013817	S8324
[927]S8326:GT	improved	316251.027848	S8326
[928]SC11-1:GT	improved	306795.576646	SC11-1
[929]SC-14:GT	improved	280820.417877	SC-14
[930]SC14:GT	improved	271065.876396	SC14
[931]SC24-1:GT	improved	281169.181177	SC24-1
[932]SC30-1:GT	improved	316463.791586	SC30-1
[933]SC-9:GT	improved	281045.489921	SC-9
[934]SC9:GT	improved	281572.869156	SC9
[935]Seagu1117:GT	improved	316299.17786	SEAGU1117
[936]Sg1533:GT	improved	302996.264631	SG1533
[937]SG17:GT	improved	318491.537958	SG17
[938]shan89:GT	improved	322327.110484	SHAN89
[939]shangyin110-1:GT	improved	296323.268984	SHANGYIN110-1
[940]shen135:GT	improved	321720.984826	SHEN135
[941]shen137:GT	improved	331098.612004	SHEN137
[942]shen142:GT	improved	241277.24503	SHEN142
[943]shen5005:GT	improved	312678.128398	SHEN5005
[944]shen977:GT	improved	332714.605463	SHEN977
[945]shuang741:GT	improved	329279.752931	SHUANG741
[946]shuangM9B-1:GT	improved	295495.833677	SHUANGM9B-1
[947]shuangtaiwu:GT	improved	315351.542308	SHUANGTAIWU
[948]siyi:GT	improved	256445.396098	SIYI
[949]song1145:GT	improved	310451.84003	SONG1145
[950]SS99:GT	improved	297151.754494	SS99
[951]su75:GT	improved	278330.974764	SU75
[952]suwan1611:GT	improved	310007.103375	SUWAN1611
[953]SW153:GT	improved	292714.2249	SW153
[954]SX-4-21:GT	improved	288706.364931	SX-4-21
[955]SX-6-7:GT	improved	285534.463746	SX-6-7
[956]SZ3:GT	improved	325237.725078	SZ3
[957]T24:GT	improved	289819.615501	T24
[958]tai184:GT	improved	300189.598252	TAI184
[959]tangsipingtou:GT	improved	288078.524223	TANGSIPINGTOU
[960]tian77:GT	improved	314395.992094	TIAN77
[961]tie7922:GT	improved	193784.349349	TIE7922
[962]Timpunia-1:GT	improved	290846.779359	TIMPUNIA-1
[963]Tx303:GT	improved	297042.853361	TX303
[964]Tx601:GT	improved	307853.912454	TX601
[965]Tzi8:GT	improved	305904.811612	TZI8
[966]Va26:GT	improved	302161.757247	VA26
[967]Va35:GT	improved	310769.915986	VA35
[968]VG85-5:GT	improved	296211.058412	VG85-5
[969]VL0512447:GT	improved	306869.925872	VL0512447
[970]VL05128:GT	improved	307817.453413	VL05128
[971]VL054178:GT	improved	307671.376487	VL054178
[972]VL05610:GT	improved	313337.140075	VL05610
[973]VL056883:GT	improved	307780.342617	VL056883
[974]VL062784:GT	improved	318132.52766	VL062784
[975]W117:GT	improved	85669.402118	W117
[976]W153R:GT	improved	331819.136585	W153R
[977]W172:GT	improved	160423.849974	W172
[978]W182bn:GT	improved	297816.282189	W182BN
[979]W22:GT	improved	295464.125345	W22
[980]W222:GT	improved	288773.211463	W222
[981]W23:GT	improved	296204.494745	W23
[982]W238:GT	improved	292809.883687	W238
[983]W2H03:GT	improved	300382.651591	W2H03
[984]W344:GT	improved	287273.652224	W344
[985]W499:GT	improved	101272.543404	W499
[986]W64A:GT	improved	290685.020025	W64A
[987]W668:GT	improved	253975.298004	W668
[988]W8304:GT	improved	73281.909894	W8304
[989]W8555:GT	improved	83322.128625	W8555
[990]W966:GT	improved	294054.470147	W966
[991]W967:GT	improved	305432.248541	W967
[992]W968:GT	improved	322614.620631	W968
[993]W969:GT	improved	310987.689516	W969
[994]W9706:GT	improved	310895.368149	W9706
[995]wei3322:GT	improved	301906.355882	WEI3322
[996]wenhuang31413:GT	improved	317328.982919	WENHUANG31413
[997]WIL500:GT	improved	271637.246445	WIL500
[998]WIL900:GT	improved	310355.073919	WIL900
[999]WIL901:GT	improved	253597.881952	WIL901
[1000]WIL903:GT	improved	260134.323873	WIL903
[1001]WN11H:GT	improved	314557.246319	WN11H
[1002]wu109:GT	improved	311617.194301	WU109
[1003]wu125:GT	improved	295592.388541	WU125
[1004]wu126:GT	improved	337327.214226	WU126
[1005]wu312:GT	improved	302673.178004	WU312
[1006]X314:GT	improved	251955.077083	X314
[1007]XF117:GT	improved	272327.017513	XF117
[1008]XF134:GT	improved	317172.511558	XF134
[1009]XF197:GT	improved	322481.333949	XF197
[1010]XF223:GT	improved	312679.813338	XF223
[1011]XF27:GT	improved	306212.136607	XF27
[1012]XF77:GT	improved	295390.897433	XF77
[1013]xi502:GT	improved	337527.917632	XI502
[1014]xiangai3:GT	improved	294810.204656	XIANGAI3
[1015]xing230:GT	improved	279571.043771	XING230
[1016]xingK36:GT	improved	300088.336325	XINGK36
[1017]xinlun5-9:GT	improved	314231.18301	XINLUN5-9
[1018]XOP2:GT	improved	249583.381833	XOP2
[1019]xuan6:GT	improved	301566.397084	XUAN6
[1020]xun92-6:GT	improved	335898.184874	XUN92-6
[1021]xun92-8:GT	improved	336840.192696	XUN92-8
[1022]xun971:GT	improved	296784.520571	XUN971
[1023]XZ19:GT	improved	316138.665927	XZ19
[1024]Y223:GT	improved	327293.110082	Y223
[1025]y9961:GT	improved	308933.588713	Y9961
[1026]yan103:GT	improved	313648.213045	YAN103
[1027]yan156:GT	improved	311200.901897	YAN156
[1028]yan172:GT	improved	304648.255437	YAN172
[1029]yan38:GT	improved	302657.027994	YAN38
[1030]yan812:GT	improved	152258.486532	YAN812
[1031]Yd6:GT	improved	219166.090169	YD6
[1032]ye107:GT	improved	283966.100335	YE107
[1033]ye488:GT	improved	258206.30088	YE488
[1034]ye515:GT	improved	304504.368874	YE515
[1035]ye52106:GT	improved	298193.316928	YE52106
[1036]ye5237:GT	improved	334369.58376	YE5237
[1037]ye8001:GT	improved	254283.929204	YE8001
[1038]ye8112:GT	improved	152740.376359	YE8112
[1039]ye832:GT	improved	144734.375194	YE832
[1040]yi12:GT	improved	267962.314905	YI12
[1041]yi36:GT	improved	284918.517957	YI36
[1042]yi49:GT	improved	290133.841886	YI49
[1043]yi67:GT	improved	294769.91243	YI67
[1044]ys06:GT	improved	236291.268384	YS06
[1045]yu374:GT	improved	258193.575595	YU374
[1046]yu537A:GT	improved	298080.854045	YU537A
[1047]yu82:GT	improved	276513.973516	YU82
[1048]yu87-1:GT	improved	310361.137112	YU87-1
[1049]yuanwu02:GT	improved	296286.307748	YUANWU02
[1050]yuanwu05:GT	improved	320882.22459	YUANWU05
[1051]yue39-4:GT	improved	312031.996235	YUE39-4
[1052]yue89A12-1:GT	improved	311564.400209	YUE89A12-1
[1053]yue89E4-2:GT	improved	329553.651729	YUE89E4-2
[1054]yun147:GT	improved	302928.570488	YUN147
[1055]Z31B:GT	improved	318162.287141	Z31B
[1056]zaC546:GT	improved	304570.382575	ZAC546
[1057]ZEAxppRCUDIAAPEI-1:GT	improved	322311.292267	ZEAXPPRCUDIAAPEI-1
[1058]ZEAxppRCVDIAAPEI-2:GT	improved	321141.001238	ZEAXPPRCVDIAAPEI-2
[1059]ZEAxppRCYDIAAPEI-5:GT	improved	274242.179264	ZEAXPPRCYDIAAPEI-5
[1060]ZEAxppRDCDIAAPEI-2:GT	improved	313950.355821	ZEAXPPRDCDIAAPEI-2
[1061]ZEAxppRDCDIAAPEI-7:GT	improved	313076.179332	ZEAXPPRDCDIAAPEI-7
[1062]ZEAxppRDGDIAAPEI-11:GT	improved	316054.024876	ZEAXPPRDGDIAAPEI-11
[1063]ZEAxppRDHDIAAPEI-12:GT	improved	324234.441026	ZEAXPPRDHDIAAPEI-12
[1064]ZEAxppRDIDIAAPEI-1:GT	improved	332312.967902	ZEAXPPRDIDIAAPEI-1
[1065]ZEAxppRDLDIAAPEI-2:GT	improved	257110.674096	ZEAXPPRDLDIAAPEI-2
[1066]ZEAxppRDQDIAAPEI-3:GT	improved	319192.952969	ZEAXPPRDQDIAAPEI-3
[1067]ZEAxujRADDIBAPE:GT	improved	250222.977836	ZEAXUJRADDIBAPE
[1068]ZEAxujRAGDIBAPE:GT	improved	322981.765142	ZEAXUJRAGDIBAPE
[1069]ZEAxujRAHDIBAPE:GT	improved	323001.391639	ZEAXUJRAHDIBAPE
[1070]ZEAxujRAJDIBAPE:GT	improved	324752.040072	ZEAXUJRAJDIBAPE
[1071]ZEAxujRAKDIBAPE:GT	improved	348423.131219	ZEAXUJRAKDIBAPE
[1072]ZEAxujRALDIBAPE:GT	improved	180774.91603	ZEAXUJRALDIBAPE
[1073]ZEAxujRAMDIBAPE:GT	improved	268099.703449	ZEAXUJRAMDIBAPE
[1074]ZEAxujRANDIBAPE:GT	improved	295540.224022	ZEAXUJRANDIBAPE
[1075]ZEAxujRAODIBAPE:GT	improved	239131.776202	ZEAXUJRAODIBAPE
[1076]ZEAxujRAPDIAAPE:GT	improved	305131.860787	ZEAXUJRAPDIAAPE
[1077]ZEAxujRAQDIAAPE:GT	improved	314855.991541	ZEAXUJRAQDIAAPE
[1078]ZEAxujRARDIAAPE:GT	improved	320863.404077	ZEAXUJRARDIAAPE
[1079]ZEAxujRASDIAAPE:GT	improved	320918.712108	ZEAXUJRASDIAAPE
[1080]ZEAxujRATDIAAPE:GT	improved	314735.597301	ZEAXUJRATDIAAPE
[1081]ZEAxujRAUDIAAPE:GT	improved	326204.587097	ZEAXUJRAUDIAAPE
[1082]ZEAxujRAVDIAAPE:GT	improved	329907.336532	ZEAXUJRAVDIAAPE
[1083]ZEAxujRAWDIAAPE:GT	improved	251937.529084	ZEAXUJRAWDIAAPE
[1084]ZEAxujRAXDIAAPE:GT	improved	311395.064022	ZEAXUJRAXDIAAPE
[1085]ZEAxujRAYDIAAPE:GT	improved	296649.202431	ZEAXUJRAYDIAAPE
[1086]ZEAxujRAZDIAAPE:GT	improved	297859.60293	ZEAXUJRAZDIAAPE
[1087]ZEAxujRBADIAAPE:GT	improved	261229.732005	ZEAXUJRBADIAAPE
[1088]ZEAxujRBBDIAAPE:GT	improved	317452.919698	ZEAXUJRBBDIAAPE
[1089]ZEAxujRBCDIBAPE:GT	improved	313655.296006	ZEAXUJRBCDIBAPE
[1090]ZEAxujRBDDIBAPE:GT	improved	317994.534707	ZEAXUJRBDDIBAPE
[1091]ZEAxujRBFDIBAPE:GT	improved	311936.357895	ZEAXUJRBFDIBAPE
[1092]zhangjin6:GT	improved	299976.211431	ZHANGJIN6
[1093]zhangxi28:GT	improved	296876.136439	ZHANGXI28
[1094]zhen367:GT	improved	314341.593476	ZHEN367
[1095]zheng22:GT	improved	297357.255817	ZHENG22
[1096]zheng32:GT	improved	108703.591378	ZHENG32
