group	canonical_line	Abs_genetic_load	n_alias_rows	alias_samples
improved	CML314	300369.435343	1	[113]282set_CML314:GT
improved	CML321	302830.073269	1	[114]282set_CML321:GT
improved	CML322	306811.9826495	2	[115]282set_CML322:GT | [468]CML322:GT
improved	CML323	301029.347526	1	[116]282set_CML323:GT
improved	CML328	311055.146768	1	[117]282set_CML328:GT
improved	CML331	304666.465862	1	[118]282set_CML331:GT
improved	CML332	303672.877771	1	[119]282set_CML332:GT
improved	CML333	305478.101371	2	[120]282set_CML333:GT | [470]CML333:GT
improved	CML341	305334.842479	2	[121]282set_CML341:GT | [471]CML341:GT
improved	CML38	306565.271697	1	[122]282set_CML38:GT
improved	CML45	312168.541325	1	[123]282set_CML45:GT
improved	CML5	303629.311706	1	[124]282set_CML5:GT
improved	CML52	306887.473662	2	[125]282set_CML52:GT | [478]CML52:GT
improved	CML61	303836.809784	1	[126]282set_CML61:GT
improved	CML69	307609.103183	2	[127]282set_CML69:GT | [480]CML69:GT
improved	CML77	302588.109047	1	[128]282set_CML77:GT
improved	CML91	299943.740109	1	[129]282set_CML91:GT
improved	CML92	298941.644536	1	[130]282set_CML92:GT
improved	CMV3	304259.417085	1	[131]282set_CMV3:GT
improved	CO106	300776.045862	1	[132]282set_CO106:GT
improved	CO125	295566.809301	1	[133]282set_CO125:GT
improved	CO255	311741.77043	1	[134]282set_CO255:GT
improved	D940Y	307068.268854	1	[135]282set_D940Y:GT
improved	DE1	303056.911927	1	[136]282set_DE1:GT
improved	DE-2	298162.768256	1	[137]282set_DE-2:GT
improved	DE811	264336.154427	2	[138]282set_DE811:GT | [527]De811:GT
improved	E2558W	296541.145349	1	[139]282set_E2558W:GT
improved	EP1	315480.2505235	2	[140]282set_EP1:GT | [586]german_EP1:GT
improved	F2834T	301468.097345	1	[141]282set_F2834T:GT
improved	F6	304240.128198	1	[142]282set_F6:GT
improved	F7	320268.940942	3	[143]282set_F7:GT | [558]F7:GT | [596]german_F7:GT
improved	GA209	295958.954621	1	[144]282set_GA209:GT
improved	GT112	304680.131124	1	[145]282set_GT112:GT
improved	H105W	260368.681456	2	[146]282set_H105W:GT | [612]H105W:GT
improved	H49	295783.332425	1	[147]282set_H49:GT
improved	H84	262767.18901	2	[148]282set_H84:GT | [619]H84:GT
improved	H91	218815.612887	1	[149]282set_H91:GT
improved	H95	303882.39818	1	[150]282set_H95:GT
