group1	group2	p_value	p_adj_bh
wild	landrace	3.56618563717236e-13	1.06985569115171e-12
wild	improved	4.63582823167285e-07	6.95374234750927e-07
landrace	improved	0.00419920129936738	0.00419920129936738
