sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[372]8701:GT	improved	5%	-308805.55719	10	308805.55719
[373]87916W:GT	improved	5%	-118632.582361	10	118632.582361
[374]897:GT	improved	5%	-322802.054212	10	322802.054212
[375]8982:GT	improved	5%	-317345.906468	10	317345.906468
[376]9058:GT	improved	5%	-326514.855826	10	326514.855826
[377]9101-7:GT	improved	5%	-224825.268496	10	224825.268496
[378]91huang10:GT	improved	5%	-301439.224764	10	301439.224764
[379]91huang15:GT	improved	5%	-311702.353796	10	311702.353796
[380]91huang5:GT	improved	5%	-297764.248027	10	297764.248027
[381]926:GT	improved	5%	-336538.979999	10	336538.979999
[382]928:GT	improved	5%	-335571.291389	10	335571.291389
[383]92huang40:GT	improved	5%	-311893.3268	10	311893.3268
[384]953:GT	improved	5%	-256143.910517	10	256143.910517
[385]96201:GT	improved	5%	-306840.7807	10	306840.7807
[386]9702:GT	improved	5%	-297848.729515	10	297848.729515
[387]9706:GT	improved	5%	-310097.141995	10	310097.141995
[388]9710:GT	improved	5%	-249570.030392	10	249570.030392
[389]98F1:GT	improved	5%	-103272.880011	10	103272.880011
[390]99122:GT	improved	5%	-289344.230567	10	289344.230567
[391]A272:GT	improved	5%	-314915.704227	10	314915.704227
[392]A554:GT	improved	5%	-296920.255735	10	296920.255735
[393]A619:GT	improved	5%	-271149.864935	10	271149.864935
[394]A632:GT	improved	5%	-241815.660088	10	241815.660088
[395]A679:GT	improved	5%	-67704.150409	10	67704.150409
[396]A801:GT	improved	5%	-252294.634117	10	252294.634117
[397]Ay3566:GT	improved	5%	-236255.977686	10	236255.977686
[398]Ay420:GT	improved	5%	-281496.838532	10	281496.838532
[399]B09:GT	improved	5%	-236856.355838	10	236856.355838
[400]B100:GT	improved	5%	-300943.615341	10	300943.615341
[401]B102:GT	improved	5%	-305666.372941	10	305666.372941
[402]B12:GT	improved	5%	-314715.185262	10	314715.185262
[403]B14:GT	improved	5%	-206664.58182	10	206664.58182
[404]B37:GT	improved	5%	-258346.85837	10	258346.85837
[405]B394:GT	improved	5%	-308373.14876	10	308373.14876
[406]B4:GT	improved	5%	-294991.025784	10	294991.025784
[407]B47:GT	improved	5%	-263220.276666	10	263220.276666
[408]B68:GT	improved	5%	-240060.643485	10	240060.643485
[409]B7:GT	improved	5%	-280971.879127	10	280971.879127
[410]B73:GT	improved	5%	-7257.836949	10	7257.836949
[411]B76:GT	improved	5%	-262544.102348	10	262544.102348
[412]B8:GT	improved	5%	-307352.432969	10	307352.432969
[413]B95:GT	improved	5%	-296573.845238	10	296573.845238
[414]B97:GT	improved	5%	-297440.407751	10	297440.407751
[415]B98:GT	improved	5%	-291215.705549	10	291215.705549
[416]bai197:GT	improved	5%	-339292.687727	10	339292.687727
[417]baihe43:GT	improved	5%	-310849.07788	10	310849.07788
[418]baiU8112:GT	improved	5%	-284840.838121	10	284840.838121
[419]bao3040:GT	improved	5%	-279672.285412	10	279672.285412
[420]BC4B:GT	improved	5%	-208450.834395	10	208450.834395
[421]BCC03:GT	improved	5%	-306355.988302	10	306355.988302
[422]Beck:GT	improved	5%	-180277.33848	10	180277.33848
[423]ben7884:GT	improved	5%	-292267.092802	10	292267.092802
[424]BM:GT	improved	5%	-314234.303601	10	314234.303601
[425]BS110:GT	improved	5%	-131539.16811	10	131539.16811
[426]BT1:GT	improved	5%	-312191.144012	10	312191.144012
[427]C103:GT	improved	5%	-309433.206333	10	309433.206333
[428]C13:GT	improved	5%	-319423.559483	10	319423.559483
[429]C166:GT	improved	5%	-334335.6974	10	334335.6974
[430]C521:GT	improved	5%	-305726.901745	10	305726.901745
[431]C8605-2:GT	improved	5%	-244887.094019	10	244887.094019
[432]cai11-8:GT	improved	5%	-318659.252144	10	318659.252144
[433]CAU178:GT	improved	5%	-322420.286066	10	322420.286066
[434]CAU478:GT	improved	5%	-239512.96485	10	239512.96485
[435]CAU5003:GT	improved	5%	-309584.973043	10	309584.973043
[436]CAUCHANG72:GT	improved	5%	-332292.605823	10	332292.605823
[437]CAUMo17:GT	improved	5%	-316362.594484	10	316362.594484
[438]CAUZHENG58:GT	improved	5%	-276782.841877	10	276782.841877
[439]chang3:GT	improved	5%	-295795.100732	10	295795.100732
[440]chang69:GT	improved	5%	-284665.929439	10	284665.929439
[441]chang72:GT	improved	5%	-327256.262676	10	327256.262676
[442]chang7daxian1:GT	improved	5%	-322724.053089	10	322724.053089
[443]changD:GT	improved	5%	-340389.130293	10	340389.130293
[444]changK:GT	improved	5%	-326252.721277	10	326252.721277
[445]chaoxianbai:GT	improved	5%	-289401.315317	10	289401.315317
[446]chen322:GT	improved	5%	-325067.441084	10	325067.441084
[447]cheng18:GT	improved	5%	-296402.250686	10	296402.250686
[448]cheng435:GT	improved	5%	-147702.668127	10	147702.668127
[449]cheng698-3:GT	improved	5%	-254358.645947	10	254358.645947
[450]chengzi108:GT	improved	5%	-306678.386665	10	306678.386665
[451]chengzi2142:GT	improved	5%	-314107.750438	10	314107.750438
[452]chi545:GT	improved	5%	-310712.948785	10	310712.948785
