sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
V108	improved	-286645.4473812	86171	17	286645.4473812
V109	improved	-447602.0234565	134337	17	447602.0234565
V110	improved	-530705.2555465	159251	17	530705.2555465
V111	improved	-484038.1664288	145595	17	484038.1664288
V112	improved	-364511.7432586	109813	17	364511.7432586
V113	improved	-427480.2869782	128767	17	427480.2869782
V114	improved	-314855.544735	95003	17	314855.544735
V115	improved	-535336.8870965	160811	17	535336.8870965
V116	improved	-400882.7599707	120674	17	400882.7599707
V117	improved	-524827.1758654	157906	17	524827.1758654
V118	improved	-336290.5584098	101169	17	336290.5584098
V119	improved	-315210.1830434	94700	17	315210.1830434
V120	improved	-389824.4531264	117240	17	389824.4531264
V121	improved	-507917.4140736	152306	17	507917.4140736
V122	improved	-533952.0313004	160604	17	533952.0313004
V123	improved	-491861.7495396	147864	17	491861.7495396
V124	improved	-404727.4214396	121425	17	404727.4214396
V125	improved	-266408.4602895	79818	17	266408.4602895
V126	improved	-287307.0414593	86208	17	287307.0414593
V127	improved	-281180.4571953	84759	17	281180.4571953
V128	improved	-341265.3600649	103028	17	341265.3600649
V129	improved	-337807.3115668	101753	17	337807.3115668
V130	improved	-314914.5947026	94831	17	314914.5947026
V131	improved	-383937.3340672	115589	17	383937.3340672
V132	improved	-272355.5990802	82149	17	272355.5990802
V133	improved	-414753.0583552	124795	17	414753.0583552
V134	improved	-363297.169201	109258	17	363297.169201
V135	improved	-444299.683147	133753	17	444299.683147
V136	improved	-404706.5742132	121879	17	404706.5742132
V137	improved	-358450.6601846	107869	17	358450.6601846
V138	improved	-499476.0021492	149996	17	499476.0021492
V139	improved	-180736.08477	54573	17	180736.08477
V140	improved	-496552.1598099	149344	17	496552.1598099
V141	improved	-225254.4642452	67747	17	225254.4642452
V142	improved	-362120.2504889	108908	17	362120.2504889
V143	improved	-334123.6511999	100610	17	334123.6511999
V144	improved	-276704.5191839	83282	17	276704.5191839
V145	improved	-172313.8564423	51784	17	172313.8564423
V146	improved	-397406.8928324	119819	17	397406.8928324
V147	improved	-327007.99005	98334	17	327007.99005
V148	improved	-438775.8812774	131977	17	438775.8812774
V149	improved	-278873.5551568	84374	17	278873.5551568
V150	improved	-381843.9777767	114912	17	381843.9777767
V151	improved	-510396.2277356	153699	17	510396.2277356
V152	improved	-141854.9969013	42811	17	141854.9969013
V153	improved	-308125.6465917	92751	17	308125.6465917
V154	improved	-247213.4797556	74606	17	247213.4797556
V155	improved	-200014.1045172	60464	17	200014.1045172
V156	improved	-242310.7916718	72824	17	242310.7916718
V157	improved	-368786.7689459	111236	17	368786.7689459
V158	improved	-388840.4321868	116712	17	388840.4321868
V159	improved	-268911.7206758	81014	17	268911.7206758
V160	improved	-331412.1083658	99949	17	331412.1083658
V161	improved	-355477.2948116	107054	17	355477.2948116
V162	improved	-304187.5004017	91811	17	304187.5004017
V163	improved	-316234.9963462	95924	17	316234.9963462
V164	improved	-271018.5719001	81467	17	271018.5719001
V165	improved	-419833.1541604	126505	17	419833.1541604
V166	improved	-391324.367497	117574	17	391324.367497
V167	improved	-503786.4363939	151662	17	503786.4363939
V168	improved	-433219.9323211	130007	17	433219.9323211
V169	improved	-494017.9942376	148562	17	494017.9942376
V170	improved	-441552.9060844	132769	17	441552.9060844
V171	improved	-526173.8801544	157642	17	526173.8801544
V172	improved	-379859.1098014	114441	17	379859.1098014
V173	improved	-296557.9667594	89451	17	296557.9667594
V174	improved	-559000.8946194	168738	17	559000.8946194
V175	improved	-568742.0835341	170629	17	568742.0835341
V176	improved	-407239.7605957	122504	17	407239.7605957
V177	improved	-220373.7816374	66264	17	220373.7816374
V178	improved	-175382.308576	52788	17	175382.308576
V179	improved	-478564.0365168	143346	17	478564.0365168
V180	improved	-469695.6333529	141058	17	469695.6333529
V181	improved	-430062.0006189	129241	17	430062.0006189
V182	improved	-290564.0321737	87249	17	290564.0321737
V183	improved	-472711.009588	141873	17	472711.009588
V184	improved	-408390.2023443	122626	17	408390.2023443
V185	improved	-341672.6247826	103274	17	341672.6247826
V186	improved	-498220.9468069	150048	17	498220.9468069
V187	improved	-478781.2241481	144155	17	478781.2241481
V188	improved	-603004.4102836	180918	17	603004.4102836
V189	improved	-378690.6310035	113771	17	378690.6310035
V190	improved	-309095.722346	92969	17	309095.722346
V191	improved	-544145.2277856	163533	17	544145.2277856
V192	improved	-356353.6238486	107606	17	356353.6238486
V193	improved	-2407.6845569	748	17	2407.6845569
V194	improved	-284284.4983249	85589	17	284284.4983249
V195	improved	-457301.7737905	137288	17	457301.7737905
V196	improved	-271151.3435244	81708	17	271151.3435244
V197	improved	-252059.0398967	75637	17	252059.0398967
V198	improved	-354397.1769133	106481	17	354397.1769133
V199	improved	-502798.8464209	150846	17	502798.8464209
V200	improved	-283036.0552198	85427	17	283036.0552198
V201	improved	-372765.1097293	112041	17	372765.1097293
V202	improved	-336690.5988881	101502	17	336690.5988881
V203	improved	-310109.5780239	93309	17	310109.5780239
V204	improved	-387636.5378553	116543	17	387636.5378553
V205	improved	-509764.1345043	153451	17	509764.1345043
V206	improved	-467108.9032422	140797	17	467108.9032422
V207	improved	-583441.1294558	175852	17	583441.1294558
V208	improved	-363132.5616127	109390	17	363132.5616127
V209	improved	-268635.0090376	80877	17	268635.0090376
V210	improved	-253903.8056947	76423	17	253903.8056947
V211	improved	-384884.4995944	115754	17	384884.4995944
V212	improved	-292686.1837802	87945	17	292686.1837802
V213	improved	-341864.4941551	102584	17	341864.4941551
V214	improved	-323638.7599445	97220	17	323638.7599445
V215	improved	-280215.3935116	84412	17	280215.3935116
V216	improved	-272875.8921659	82296	17	272875.8921659
V217	improved	-317879.4707632	95636	17	317879.4707632
V218	improved	-435053.6187856	130678	17	435053.6187856
V219	improved	-412588.5622182	124116	17	412588.5622182
V220	improved	-374493.807988	112731	17	374493.807988
V221	improved	-453892.4346721	136797	17	453892.4346721
V222	improved	-555828.4999611	166673	17	555828.4999611
V223	improved	-554184.7849421	166355	17	554184.7849421
V224	improved	-317949.867679	95831	17	317949.867679
V225	improved	-360980.0724836	108612	17	360980.0724836
V226	improved	-379307.7004501	114197	17	379307.7004501
V227	improved	-365103.2182427	109653	17	365103.2182427
V228	improved	-201729.2522962	60865	17	201729.2522962
V229	improved	-417077.5293783	125506	17	417077.5293783
V230	improved	-501234.1849595	150725	17	501234.1849595
V231	improved	-533560.1519088	160410	17	533560.1519088
V232	improved	-319350.2035747	96591	17	319350.2035747
V233	improved	-378416.1705507	114081	17	378416.1705507
V234	improved	-412767.2688797	124079	17	412767.2688797
V235	improved	-247415.8866998	74486	17	247415.8866998
V236	improved	-424532.9427026	127413	17	424532.9427026
V237	improved	-394811.0276314	118454	17	394811.0276314
V238	improved	-384092.6652388	115649	17	384092.6652388
V239	improved	-531976.5587039	160009	17	531976.5587039
V240	improved	-412547.2214291	124216	17	412547.2214291
V241	improved	-613620.4679984	183931	17	613620.4679984
V242	improved	-417431.6575511	125739	17	417431.6575511
V243	improved	-232182.0614288	70121	17	232182.0614288
V244	improved	-543325.8173819	162955	17	543325.8173819
V245	improved	-179637.5327899	54208	17	179637.5327899
V246	improved	-521261.1939261	156304	17	521261.1939261
V247	improved	-269951.369706	81584	17	269951.369706
V248	improved	-267832.8236414	80511	17	267832.8236414
V249	improved	-318524.1255914	96102	17	318524.1255914
V250	improved	-360551.4598874	108703	17	360551.4598874
V251	improved	-305929.3621878	92255	17	305929.3621878
V252	improved	-326271.2506885	98156	17	326271.2506885
V253	improved	-307246.3176863	92315	17	307246.3176863
V254	improved	-277844.8467763	83802	17	277844.8467763
V255	improved	-313334.6426642	94494	17	313334.6426642
V256	improved	-273207.844553	82103	17	273207.844553
V257	improved	-446252.9268481	134160	17	446252.9268481
V258	improved	-409872.3591335	123952	17	409872.3591335
V259	improved	-394938.9439717	118639	17	394938.9439717
V260	improved	-495588.894031	149100	17	495588.894031
V261	improved	-245014.9301897	73674	17	245014.9301897
V262	improved	-523434.8694131	157665	17	523434.8694131
V263	improved	-323266.5369826	97569	17	323266.5369826
V264	improved	-129847.0504635	38912	17	129847.0504635
V265	improved	-412892.5893772	123884	17	412892.5893772
V266	improved	-206238.3296371	62124	17	206238.3296371
V267	improved	-257381.6181595	77528	17	257381.6181595
V268	improved	-259883.0270008	78065	17	259883.0270008
V269	improved	-597398.9221984	178652	17	597398.9221984
V270	improved	-498677.3545894	150033	17	498677.3545894
V271	improved	-410976.266805	124108	17	410976.266805
V272	improved	-429725.1333687	129327	17	429725.1333687
V273	improved	-369872.003701	111974	17	369872.003701
V274	improved	-428705.7074821	128574	17	428705.7074821
V275	improved	-380914.1193385	114530	17	380914.1193385
V276	improved	-504023.0703031	151167	17	504023.0703031
V277	improved	-444766.4338089	133905	17	444766.4338089
V278	improved	-503392.0138205	151509	17	503392.0138205
V279	improved	-302967.5043736	91276	17	302967.5043736
V280	improved	-435788.3375505	130729	17	435788.3375505
V281	improved	-474095.2879911	142853	17	474095.2879911
V282	improved	-392874.9865844	118649	17	392874.9865844
V283	improved	-410795.1016555	123920	17	410795.1016555
V284	improved	-114297.6828387	34606	17	114297.6828387
V285	improved	-523531.137633	157097	17	523531.137633
V286	improved	-307630.3118196	92519	17	307630.3118196
V287	improved	-738956.2224963	223946	17	738956.2224963
V288	improved	-257352.8344566	77574	17	257352.8344566
V289	improved	-487081.9168739	146160	17	487081.9168739
V290	improved	-506599.8646026	152228	17	506599.8646026
V291	improved	-339896.7628779	102874	17	339896.7628779
V292	improved	-160160.2022062	48133	17	160160.2022062
V5	wild	-135118.7905962	41442	17	135118.7905962
V6	wild	-127579.1531389	39149	17	127579.1531389
V7	wild	-132676.3791836	40934	17	132676.3791836
V8	wild	-28491.0725945	8705	17	28491.0725945
V9	wild	-78581.3943339	24020	17	78581.3943339
V10	wild	-126670.6192426	38720	17	126670.6192426
V11	wild	-90790.4049905	28141	17	90790.4049905
V12	wild	-8490.4185288	2615	17	8490.4185288
V13	wild	-95867.9525882	29488	17	95867.9525882
V14	wild	-126261.8777337	38748	17	126261.8777337
V15	wild	-6809.8958545	2074	17	6809.8958545
V16	wild	-13311.448728	4068	17	13311.448728
V17	wild	-81334.310137	25189	17	81334.310137
V18	wild	-64054.1823421	19713	17	64054.1823421
V19	wild	-11534.7325315	3578	17	11534.7325315
V20	wild	-107705.039041	32841	17	107705.039041
V21	wild	-13777.162631	4174	17	13777.162631
V22	wild	-14787.183945	4520	17	14787.183945
V23	wild	-11738.3365215	3657	17	11738.3365215
V24	wild	-11556.2935773	3609	17	11556.2935773
V25	wild	-5515.6914365	1730	17	5515.6914365
V26	wild	-7261.3311739	2262	17	7261.3311739
V27	wild	-135402.5083971	41236	17	135402.5083971
V28	wild	-138435.4151435	42497	17	138435.4151435
V29	wild	-149002.0181736	45688	17	149002.0181736
V30	wild	-123977.5578618	38021	17	123977.5578618
